timestamps,TP9,AF7,AF8,TP10
1628105811.474,-1000.000,-75.684,-75.684,-851.074
1628105811.478,-451.172,-64.941,-76.660,-389.160
1628105811.482,-975.586,-3.906,13.184,672.363
1628105811.486,604.492,-2.441,-3.418,390.137
1628105811.490,-874.512,-15.137,-30.273,-618.652
1628105811.494,-780.762,1.465,-40.039,-533.691
1628105811.498,649.902,-1.465,-24.902,464.844
1628105811.501,895.020,-21.973,-18.555,577.637
1628105811.505,-446.289,-46.875,-12.695,-404.785
1628105811.509,-1000.000,-48.828,-29.785,-732.910
1628105811.513,155.273,-19.043,-61.035,166.504
1628105811.517,-880.371,-18.066,-15.625,718.262
1628105811.518,-204.590,14.648,-26.367,-111.816
1628105811.522,-854.004,35.156,-36.621,647.949
1628105811.526,332.031,-26.855,-14.648,130.859
1628105811.530,-1000.000,-34.180,-13.672,-714.844
1628105811.534,-578.613,-63.477,-29.297,-359.863
1628105811.537,887.695,26.855,-14.648,569.336
1628105811.541,691.406,64.453,-1.953,436.523
1628105811.545,-773.438,-80.566,-27.344,-570.312
1628105811.549,-883.789,-70.801,-14.648,-590.820
1628105811.553,488.770,-58.594,-20.996,378.906
1628105811.602,-998.535,20.020,-17.578,631.348
1628105811.606,-295.898,10.254,-32.715,-329.590
1628105811.610,-1000.000,-79.102,-58.594,-770.020
1628105811.614,64.941,-68.359,-39.551,112.793
1628105811.618,-854.980,-61.523,-31.738,693.359
1628105811.622,142.090,65.430,8.301,3.906
1628105811.626,-1000.000,18.066,8.301,-746.582
1628105811.629,-384.277,-89.844,-34.180,-210.449
1628105811.633,-914.062,-43.457,-33.203,662.109
1628105811.637,417.480,-62.012,-27.832,225.098
1628105811.641,-1000.000,-97.656,-45.898,-725.098
1628105811.645,-646.484,-69.336,-44.434,-439.941
1628105811.621,817.383,-25.391,-19.043,559.082
1628105811.625,775.879,-54.199,-32.227,488.281
1628105811.629,-657.715,-25.391,-22.949,-483.398
1628105811.633,-922.363,15.625,-7.812,-574.219
1628105811.637,422.363,-31.250,-23.926,373.047
1628105811.641,-948.242,-33.203,-16.113,697.754
1628105811.645,-215.332,-85.449,-35.645,-257.324
1628105811.648,-1000.000,16.602,-8.789,-727.539
1628105811.652,102.051,83.984,13.672,137.695
1628105811.656,-844.727,-61.523,-29.785,717.285
1628105811.660,139.648,-83.008,-37.109,9.766
1628105811.664,-1000.000,-61.523,-41.992,-768.555
1628105811.661,-390.625,-26.855,-35.645,-226.074
1628105811.665,-940.918,-25.879,-20.020,651.367
1628105811.669,516.113,-53.223,-26.367,289.062
1628105811.673,-962.891,-67.383,-43.457,-674.805
1628105811.677,-740.723,-53.711,-46.875,-504.883
1628105811.681,710.938,36.133,-31.738,501.465
1628105811.685,836.426,19.043,-31.738,541.016
1628105811.688,-546.875,-53.711,-44.434,-466.309
1628105811.692,-1000.000,-60.059,-36.133,-701.660
1628105811.696,263.672,-46.875,-31.738,234.863
1628105811.700,-925.781,-1.465,-33.203,660.645
1628105811.704,-133.789,-50.781,-34.180,-214.844
1628105811.698,-1000.000,-83.496,-37.598,-806.152
1628105811.702,-126.465,-58.105,-31.738,-24.902
1628105811.706,-838.379,0.000,-36.621,696.289
1628105811.710,235.352,-2.930,-56.641,54.199
1628105811.714,-1000.000,-73.730,-58.105,-792.480
1628105811.718,-456.055,-47.852,-31.738,-300.293
1628105811.722,-985.352,-59.570,-20.020,633.789
1628105811.725,591.309,-9.766,-54.199,335.938
1628105811.729,-890.137,2.441,-84.473,-689.941
1628105811.733,-812.988,-70.801,-49.316,-594.238
1628105811.737,604.004,-34.668,-34.668,433.594
1628105811.741,906.250,-54.199,-48.340,560.547
1628105811.755,-428.223,19.531,-48.828,-419.922
1628105811.759,-1000.000,15.625,-47.363,-754.395
1628105811.763,161.621,-77.148,-37.109,175.293
1628105811.767,-877.441,-71.289,-40.527,698.242
1628105811.771,-18.066,-79.590,-40.527,-127.930
1628105811.775,-1000.000,-17.090,-38.086,-774.414
1628105811.779,-213.379,-16.602,-30.273,-84.961
1628105811.782,-853.516,-40.527,0.000,696.289
1628105811.786,347.168,-73.242,-21.973,158.203
1628105811.790,-1000.000,-43.457,-38.086,-737.305
1628105811.794,-573.730,49.805,-38.574,-371.582
1628105811.798,884.277,-19.531,-54.688,579.590
1628105811.792,724.121,-66.895,-29.785,455.078
1628105811.796,-713.379,-71.777,-18.066,-531.738
1628105811.800,-917.969,-2.441,-19.531,-607.910
1628105811.804,449.219,34.668,-23.438,355.957
1628105811.808,973.633,-54.199,-26.855,614.258
1628105811.812,-324.707,-78.125,-29.297,-326.172
1628105811.816,-1000.000,-89.844,-31.738,-750.977
1628105811.819,86.914,54.688,-4.395,159.668
1628105811.823,-854.004,107.422,-4.883,763.672
1628105811.827,56.641,-79.102,-38.574,-64.941
1628105811.831,-1000.000,-104.492,-34.668,-808.594
1628105811.835,-332.520,-94.727,-31.250,-184.570
1628105811.850,-905.273,9.766,0.488,712.891
1628105811.854,453.613,6.348,-8.301,296.387
1628105811.858,-1000.000,-107.422,-67.383,-713.379
1628105811.862,-677.246,-91.797,-53.711,-465.332
1628105811.866,786.621,-58.105,-35.156,525.391
1628105811.870,795.410,-31.250,-29.785,497.559
1628105811.874,-613.770,-72.266,-29.297,-503.418
1628105811.877,-994.141,-90.332,-38.086,-688.477
1628105811.881,330.078,-33.691,-30.762,290.527
