timestamps,TP9,AF7,AF8,TP10
1628113493.228,57.129,-36.621,-32.715,0.977
1628113493.232,198.730,-14.160,-22.949,65.918
1628113493.236,-54.199,23.926,-20.508,-27.832
1628113493.240,-270.020,-10.254,-41.504,-130.371
1628113493.244,-68.848,-41.016,-28.809,-45.410
1628113493.248,192.871,-37.109,-14.648,70.801
1628113493.252,33.203,-19.531,-18.066,-3.906
1628113493.255,-215.820,30.762,-8.301,-104.492
1628113493.259,-127.441,-41.504,-31.250,-70.312
1628113493.263,144.043,-82.031,-48.340,48.828
1628113493.267,102.051,-64.453,-61.035,27.344
1628113493.271,-205.078,-33.203,-55.664,-116.699
1628113493.274,165.527,-39.062,-26.367,43.457
1628113493.278,-159.180,-59.570,-35.156,-98.145
1628113493.282,-283.691,-18.066,-40.039,-143.066
1628113493.286,15.625,-1.953,-33.203,-10.254
1628113493.290,190.918,-52.246,-32.227,63.477
1628113493.293,-69.824,-42.969,-48.828,-53.223
1628113493.297,-273.926,-49.316,-48.340,-138.672
1628113493.301,-43.457,-69.336,-33.203,-30.762
1628113493.305,224.121,-45.898,-37.109,89.355
1628113493.309,73.730,-44.434,-52.246,18.555
1628113493.303,-251.953,-74.707,-57.129,-132.812
1628113493.307,-170.410,-49.316,-33.691,-100.586
1628113493.311,168.945,28.320,-16.602,65.918
1628113493.315,128.906,-4.395,-28.809,43.457
1628113493.319,-207.520,-58.594,-36.133,-115.723
1628113493.323,-232.910,-48.828,-27.832,-117.188
1628113493.327,83.496,-14.648,-27.832,20.508
1628113493.330,176.270,28.320,-36.621,54.688
1628113493.334,-117.188,-37.109,-36.133,-69.824
1628113493.338,-250.488,-60.547,-40.039,-122.070
1628113493.342,9.766,-40.527,-48.340,-7.812
1628113493.346,208.496,-7.812,-37.598,77.148
1628113493.360,3.906,19.043,-10.742,-14.160
1628113493.364,-259.277,-45.898,-11.230,-121.582
1628113493.368,-98.145,-74.707,-33.203,-48.340
1628113493.372,181.152,-53.711,-39.551,69.824
1628113493.376,77.637,-20.996,-23.926,23.438
1628113493.380,-223.633,-20.020,-33.203,-107.910
1628113493.384,-186.035,-28.809,-28.320,-85.938
1628113493.387,120.117,-20.020,-36.621,45.898
1628113493.391,126.465,-55.176,-59.570,42.969
1628113493.395,-136.719,16.602,0.488,-62.500
1628113493.399,-197.266,40.039,10.742,-91.309
1628113493.403,48.828,-46.875,-31.738,7.324
1628113493.397,166.016,-65.430,-32.715,52.246
1628113493.401,-118.652,-55.176,-40.527,-85.449
1628113493.405,-286.621,-5.859,-34.180,-146.973
1628113493.409,-18.066,-23.438,-22.949,-17.578
1628113493.413,211.914,-33.691,-43.945,74.707
1628113493.417,-10.254,-41.016,-74.707,-35.156
