timestamps,TP9,AF7,AF8,TP10,Right AUX
1626062958.3776698,-40.527,-23.926,-33.203,-126.95299999999999,1.0
1626062958.381576,-4.395,-26.855,-28.809,98.145,1.0
1626062958.3854823,-8.789,-33.691,-14.648,102.051,1.0
1626062958.3893886,-40.527,-45.41,-18.066,-115.234,1.0
1626062958.3932948,-59.082,-42.48,-20.508000000000003,-184.57,1.0
1626062958.397201,-41.992,-41.504,-19.531,11.23,1.0
1626062958.4011073,-13.184000000000001,-45.41,-4.883,115.723,1.0
1626062958.4050138,-37.109,-46.875,-14.648,-78.125,1.0
1626062958.4089198,-90.33200000000001,-77.148,-52.246,-240.234,1.0
1626062958.412826,-63.965,-66.406,-41.016000000000005,-65.43,1.0
1626062958.4167323,-10.742,-27.831999999999997,-20.996,120.605,1.0
1626062958.4206386,4.883,-27.344,-31.738000000000003,15.137,1.0
1626062958.4245448,-23.926,-12.207,-41.016000000000005,-46.875,1.0
1626062958.428451,-34.18,-23.438000000000002,-55.176,-182.61700000000002,1.0
1626062958.432357,-6.836,-29.296999999999997,-43.457,-32.715,1.0
1626062958.4362638,16.602,-49.316,-20.02,138.184,1.0
1626062958.4401696,8.301,-44.922,-2.441,32.227,1.0
1626062958.4440763,-21.484,-17.09,8.789,-164.062,1.0
1626062958.447982,-33.691,-15.137,-12.695,-107.91,1.0
1626062958.4518883,-20.508000000000003,-20.02,-35.156,83.49600000000001,1.0
1626062958.455795,-20.02,-35.156,-31.738000000000003,49.805,1.0
1626062958.459701,-29.785,-36.621,-23.438000000000002,-134.766,1.0
1626062958.463607,-11.23,-19.531,-33.203,-111.816,1.0
1626062958.4675136,18.555,-19.531,-51.758,89.844,1.0
1626062958.4714196,-25.391,-67.87100000000001,-41.992,105.95700000000001,1.0
1626062958.475326,-11.23,-22.461,-18.066,-103.516,1.0
1626062958.4792323,-33.691,-19.531,-10.742,-167.48,1.0
1626062958.4831386,-49.805,-27.831999999999997,-19.043,35.156,1.0
1626062958.4870448,-33.691,-10.742,-25.391,139.16,1.0
1626062958.490951,-19.531,-12.695,-40.039,-31.738000000000003,1.0
1626062958.4948573,-31.25,-26.855,-25.391,-190.918,1.0
1626062958.4987636,-53.711000000000006,-57.129,-12.207,-58.105,1.0
1626062958.5026696,-48.34,-91.79700000000001,-31.25,129.395,1.0
1626062958.506576,-22.461,-62.012,-41.504,42.48,1.0
1626062958.5104823,-40.527,-36.621,-38.574,-159.18,1.0
1626062958.5143886,-63.965,-28.32,-15.625,-125.0,1.0
1626062958.5182948,-59.57,-14.648,-19.043,-193.84799999999998,1.0
1626062958.522201,-24.414,-6.836,3.418,-20.508000000000003,1.0
1626062958.5261073,-0.488,-24.414,-10.742,140.137,1.0
1626062958.5300136,-31.738000000000003,-40.527,-33.203,-10.742,1.0
1626062958.5339198,-47.852,-48.34,-25.391,-186.035,1.0
1626062958.537826,-33.691,-53.223,-13.672,-84.473,1.0
1626062958.5417323,-7.812,-49.316,-15.625,114.258,1.0
1626062958.5456386,-14.16,-15.625,-46.875,55.176,1.0
1626062958.549545,-51.758,-6.836,-55.176,-169.922,1.0
1626062958.553451,-57.129,-38.086,-32.715,-161.621,1.0
1626062958.557357,-36.621,-31.25,-30.761999999999997,48.34,1.0
1626062958.5612638,-32.227,-26.855,-34.668,88.37899999999999,1.0
1626062958.5651696,-14.16,-36.133,-29.785,1.0,1.0
1626062958.5690758,-50.293,-12.207,-48.34,1.0,1.0
1626062958.572982,-48.828,-26.855,-26.855,1.0,1.0
1626062958.5768883,-42.968999999999994,-46.875,-21.973000000000003,1.0,1.0
1626062958.580795,-29.785,-10.742,-38.086,1.0,1.0
1626062958.584701,-28.32,8.301,-43.945,1.0,1.0
1626062958.5886073,-50.781000000000006,-2.441,-32.227,1.0,1.0
1626062958.5925136,-39.062,-40.527,-11.23,1.0,1.0
1626062958.5964196,-7.812,-101.56200000000001,-0.977,1.0,1.0
1626062958.600326,-13.184000000000001,-69.336,-29.785,1.0,1.0
1626062958.6042323,-37.109,0.0,-41.992,1.0,1.0
1626062958.6081383,-48.34,2.93,-17.09,1.0,1.0
1626062958.6120448,-54.199,-26.855,-37.598,-39.551,1.0
1626062958.615951,-9.277000000000001,-20.508000000000003,-19.043,132.812,1.0
1626062958.6198573,-14.648,-41.504,-8.789,6.348,1.0
