timestamps,TP9,AF7,AF8,TP10,Right AUX
1626062687.8620448,31.738000000000003,-34.18,-31.25,1.0,1.0
1626062687.865951,7.812,-25.879,-32.227,1.0,1.0
1626062687.8698573,-73.242,-9.277000000000001,-34.18,1.0,1.0
1626062687.8737636,-68.848,-24.901999999999997,-31.25,1.0,1.0
1626062687.8776698,14.648,-44.922,-21.973000000000003,1.0,1.0
1626062687.881576,12.695,-61.523,-47.852,1.0,1.0
1626062687.8854823,-63.965,-44.434,-55.176,1.0,1.0
1626062687.8893886,-79.59,-25.879,-31.25,1.0,1.0
1626062687.8932948,-13.672,-18.066,-28.32,1.0,1.0
1626062687.897201,21.973000000000003,-11.23,-29.296999999999997,1.0,1.0
1626062687.9011073,-53.711000000000006,-29.785,-37.109,1.0,1.0
1626062687.9050138,-94.238,-46.387,-41.016000000000005,1.0,1.0
1626062687.9089198,-17.578,-40.039,-24.414,22.461,1.0
1626062687.912826,39.062,-42.48,-14.648,280.27299999999997,1.0
1626062687.9167323,-13.672,-44.922,-25.879,-4.883,1.0
1626062687.9206386,-91.79700000000001,-40.527,-38.574,-321.777,1.0
1626062687.9245448,-51.27,-26.366999999999997,-27.344,-95.215,1.0
1626062687.928451,25.879,-23.926,-20.02,265.625,1.0
1626062687.932357,-12.695,-43.945,-39.551,86.914,1.0
1626062687.9362638,-89.844,-43.945,-38.086,-299.805,1.0
1626062687.9401696,-66.895,-23.438000000000002,-20.996,-201.66,1.0
1626062687.9440763,18.066,-13.672,-16.113,203.613,1.0
1626062687.947982,21.973000000000003,-29.785,-17.09,198.73,1.0
1626062687.9518883,-63.965,-37.109,-27.831999999999997,-203.613,1.0
1626062687.955795,-104.98,-69.336,-12.695,-270.996,1.0
1626062687.959701,-96.68,-58.105,-12.207,-219.238,1.0
1626062687.963607,-11.23,-52.733999999999995,-3.418,187.012,1.0
1626062687.9675136,2.441,-68.359,-20.508000000000003,222.168,1.0
1626062687.9714196,-76.172,-82.031,-29.296999999999997,-171.875,1.0
1626062687.975326,-100.098,-67.383,-17.09,-284.668,1.0
1626062687.9792323,-19.043,-55.663999999999994,-7.812,90.82,1.0
1626062687.9831386,31.738000000000003,-72.266,-7.324,276.855,1.0
1626062687.9870448,-28.809,-78.613,-16.602,-55.176,1.0
1626062687.990951,-94.238,-71.289,-17.09,-313.47700000000003,1.0
1626062687.9948573,-45.898,-63.477,-9.766,-35.645,1.0
1626062687.9987636,26.366999999999997,-38.574,-8.789,270.996,1.0
1626062688.0026696,-14.648,-25.879,-13.184000000000001,1.0,1.0
1626062688.006576,-95.215,-23.926,-20.508000000000003,1.0,1.0
1626062688.0104823,-72.75399999999999,-40.527,-28.809,1.0,1.0
1626062688.0143886,10.742,-61.523,-25.879,1.0,1.0
1626062688.0182948,9.277000000000001,-63.477,-20.508000000000003,1.0,1.0
1626062688.022201,-72.75399999999999,-47.363,-19.043,1.0,1.0
1626062688.0261073,-85.93799999999999,-45.898,-19.531,1.0,1.0
1626062688.0300136,-15.137,-56.641000000000005,-32.227,1.0,1.0
1626062688.0339198,6.836,-30.273000000000003,-33.691,1.0,1.0
1626062688.037826,-59.57,-14.16,-19.531,1.0,1.0
1626062688.0417323,-92.285,-26.855,-8.301,1.0,1.0
1626062688.0456386,-23.438000000000002,-29.785,-11.719000000000001,1.0,1.0
1626062688.049545,20.508000000000003,-28.32,-25.879,257.812,1.0
1626062688.053451,-26.366999999999997,-20.996,-29.785,-50.781000000000006,1.0
1626062688.057357,-93.262,-30.273000000000003,-33.691,-336.914,1.0
1626062688.0612638,-60.059,-53.711000000000006,-34.668,-92.773,1.0
1626062688.0651696,20.02,-70.801,-26.366999999999997,234.375,1.0
1626062688.0690758,-9.277000000000001,-77.148,-27.344,62.012,1.0
1626062688.072982,-75.684,-47.363,-34.18,-291.01599999999996,1.0
1626062688.0768883,-58.105,-17.578,-36.621,-181.15200000000002,1.0
1626062688.080795,16.113,-11.719000000000001,-28.32,215.332,1.0
1626062688.084701,24.414,-5.859,-17.578,191.895,1.0
1626062688.0886073,-75.195,-24.901999999999997,-21.973000000000003,-232.91,1.0
1626062688.0925136,-110.84,-38.574,-34.668,-294.434,1.0
1626062688.0964196,-20.996,-45.41,-31.738000000000003,112.79299999999999,1.0
1626062688.100326,14.648,-86.426,-18.555,242.676,1.0
1626062688.1042323,-61.035,-89.355,-20.508000000000003,-134.766,1.0
1626062688.1081383,-100.098,-34.668,-24.414,-332.031,1.0
1626062688.1120448,-31.25,1.953,-24.901999999999997,8.301,1.0
1626062688.115951,14.648,-16.602,-27.831999999999997,256.836,1.0
