timestamps,TP9,AF7,AF8,TP10
1630086786.764,-818.359,-42.480,-56.152,-70.801
1630086786.768,240.723,-44.922,-28.809,55.664
1630086786.772,-1000.000,-51.758,-34.180,-6.836
1630086786.776,-528.809,-45.898,-53.711,-116.699
1630086786.780,-934.082,-34.668,-54.199,-89.355
1630086786.784,611.816,-25.879,-22.949,62.012
1630086786.788,-981.934,-27.344,-22.461,34.668
1630086786.791,-978.516,-32.715,-41.504,-83.008
1630086786.795,535.156,-29.297,-56.152,-102.539
1630086786.799,-932.617,-29.785,-37.109,26.855
1630086786.803,-359.863,-44.922,-20.996,45.410
1630086786.807,-1000.000,-44.434,-29.785,-79.590
1630086786.809,-149.414,-31.250,-50.781,-143.066
1630086786.813,-816.895,-30.273,-31.250,-39.551
1630086786.817,183.105,-38.574,-13.672,64.453
1630086786.821,-1000.000,-45.410,-24.902,-18.555
1630086786.825,-259.277,-41.992,-39.551,-116.699
1630086786.829,-814.453,-31.250,-35.156,-66.406
1630086786.833,278.320,-34.668,-8.789,74.219
1630086786.836,-1000.000,-50.293,-11.230,3.906
1630086786.840,-633.789,-41.016,-38.086,-130.371
1630086786.844,987.305,-24.902,-49.316,-106.445
1630086786.848,708.984,-22.949,-16.113,60.059
1630086786.852,-838.867,-40.039,-10.254,49.805
1630086786.854,-1000.000,-49.316,-37.598,-90.332
1630086786.858,218.750,-39.062,-56.641,-131.836
1630086786.862,-840.332,-29.785,-31.738,12.207
1630086786.866,-187.012,-38.086,-14.648,61.523
1630086786.870,-1000.000,-44.434,-27.832,-62.012
1630086786.874,-203.613,-33.203,-59.082,-117.188
1630086786.878,-820.801,-34.668,-52.734,-25.879
1630086786.881,233.398,-37.598,-8.301,73.730
1630086786.885,-1000.000,-35.645,-10.742,-19.531
1630086786.889,-327.637,-34.180,-46.875,-126.953
1630086786.893,-832.520,-26.367,-43.457,-70.801
1630086786.897,359.375,-32.715,-0.977,68.848
1630086786.900,-1000.000,-47.363,-10.742,12.695
1630086786.904,-723.145,-44.434,-43.945,-100.098
1630086786.908,884.277,-37.109,-48.828,-97.168
1630086786.912,825.684,-36.621,-15.137,39.551
1630086786.916,-708.984,-32.715,-5.371,55.664
1630086786.920,-1000.000,-31.250,-26.367,-54.199
1630086786.924,125.488,-30.273,-38.574,-90.820
1630086786.927,-802.246,-25.879,-17.578,21.973
1630086786.931,-20.020,-37.109,-10.742,68.359
1630086786.935,-1000.000,-42.969,-23.438,-40.527
1630086786.939,-238.770,-33.203,-43.457,-119.629
1630086786.943,-819.824,-29.297,-41.992,-50.781
1630086786.944,238.281,-34.668,-14.160,75.195
1630086786.948,-1000.000,-44.434,-13.672,8.789
1630086786.952,-398.926,-34.668,-29.785,-92.285
1630086786.956,-867.188,-26.367,-26.855,-69.824
1630086786.960,524.902,-28.809,-2.930,72.266
1630086786.964,-1000.000,-27.832,0.488,45.410
1630086786.968,-874.023,-36.133,-27.832,-89.844
1630086786.971,688.965,-51.270,-60.059,-128.418
1630086786.975,-997.559,-39.062,-21.973,24.902
1630086786.979,-465.820,-32.715,10.742,66.895
1630086786.983,-1000.000,-39.062,-10.742,-61.523
1630086786.987,-11.230,-39.062,-42.969,-129.395
1630086786.989,-805.664,-35.156,-26.855,-34.180
1630086786.993,49.805,-32.227,-1.953,50.781
1630086786.997,-1000.000,-35.645,-12.207,-40.527
1630086787.001,-243.652,-33.691,-39.551,-128.418
1630086787.005,-820.312,-23.438,-34.668,-57.617
1630086787.009,240.723,-33.691,-18.066,62.988
1630086787.013,-1000.000,-57.129,-28.809,-8.789
1630086787.016,-505.371,-48.828,-42.969,-110.840
1630086787.020,-913.574,-38.086,-52.246,-103.027
1630086787.024,545.898,-47.852,-19.043,29.297
1630086787.028,-983.887,-57.129,-10.742,13.672
1630086787.032,-1000.000,-50.781,-34.668,-110.352
1630086787.049,368.652,-48.828,-52.246,-146.484
1630086787.053,-880.371,-36.133,-25.391,-0.488
1630086787.057,-284.668,-29.785,-11.719,50.781
1630086787.061,-1000.000,-38.574,-36.621,-72.266
1630086787.065,-161.621,-36.621,-54.199,-137.695
1630086787.069,-813.965,-29.297,-34.180,-39.551
1630086787.073,214.355,-31.250,-10.254,71.777
1630086787.076,-1000.000,-45.410,-18.555,-20.996
1630086787.080,-274.902,-49.805,-44.434,-128.906
1630086787.084,-816.406,-39.551,-47.363,-71.289
1630086787.088,283.691,-40.039,-14.160,69.824
1630086787.092,-1000.000,-57.129,-7.324,11.719
1630086787.094,-652.344,-56.641,-29.297,-114.258
1630086787.098,963.379,-43.457,-40.039,-109.375
1630086787.102,735.352,-39.062,-23.926,46.387
1630086787.106,-827.637,-39.062,-30.273,57.617
1630086787.110,-1000.000,-35.156,-44.922,-63.477
1630086787.114,271.973,-25.391,-51.758,-88.867
1630086787.118,-837.891,-25.391,-36.133,35.156
1630086787.121,-181.152,-39.551,-11.230,99.121
1630086787.125,-1000.000,-58.105,-7.812,-7.812
1630086787.129,-220.215,-55.176,-38.086,-119.141
1630086787.133,-825.195,-42.969,-29.297,-41.016
1630086787.137,230.469,-56.152,-7.324,62.500
1630086787.140,-1000.000,-70.312,-20.020,-25.391
1630086787.144,-327.148,-66.895,-37.109,-129.395
1630086787.148,-833.008,-74.219,-30.762,-93.750
1630086787.152,362.305,-85.449,6.836,48.828
1630086787.156,-1000.000,-98.145,7.812,4.395
1630086787.160,-778.809,-96.191,-35.156,-125.977
1630086787.164,802.246,-85.938,-34.668,-114.746
1630086787.167,895.508,-92.773,22.949,46.875
1630086787.171,-623.535,-113.281,25.879,42.969
1630086787.175,-1000.000,-121.094,-4.395,-91.309
1630086787.179,70.312,-108.398,-15.625,-133.301
1630086787.183,-805.664,-106.445,13.672,-12.207
1630086787.184,-6.836,-121.094,35.156,75.195
1630086787.188,-1000.000,-125.000,24.902,-18.555
1630086787.192,-238.770,-108.887,-0.977,-101.074
1630086787.196,-821.289,-98.633,3.418,-29.297
1630086787.200,239.746,-98.145,33.203,89.355
1630086787.204,-1000.000,-97.656,40.527,30.273
1630086787.208,-437.988,-89.844,15.137,-65.918
1630086787.211,-878.906,-85.449,-10.742,-60.059
1630086787.215,486.816,-86.914,13.672,81.055
1630086787.219,-1000.000,-93.262,15.137,57.617
1630086787.223,-899.414,-78.613,4.395,-62.988
1630086787.227,659.180,-65.430,-7.812,-76.660
1630086787.229,963.867,-62.012,4.395,48.340
1630086787.233,-527.344,-68.848,5.859,77.148
1630086787.237,-1000.000,-76.172,-12.695,-46.387
1630086787.241,-63.477,-70.312,-26.367,-101.562
1630086787.245,-809.570,-73.242,-10.254,1.953
1630086787.249,107.422,-73.242,14.648,85.449
1630086787.253,-1000.000,-68.359,-3.418,-3.906
1630086787.256,-249.512,-60.547,-39.551,-96.191
1630086787.260,-818.848,-58.594,-33.691,-54.199
1630086787.264,240.723,-65.918,5.859,59.082
1630086787.268,-1000.000,-62.012,14.160,14.160
1630086787.272,-578.125,-58.105,-15.137,-93.750
1630086787.274,-956.543,-56.641,-20.996,-67.871
1630086787.278,583.008,-55.176,6.348,91.797
1630086787.282,-968.750,-65.430,-5.859,66.406
1630086787.286,-1000.000,-68.359,-29.297,-65.430
1630086787.290,338.379,-55.176,-45.410,-92.773
1630086787.294,-876.953,-44.922,-14.160,50.293
1630086787.298,-277.344,-53.711,7.324,91.797
1630086787.301,-1000.000,-57.617,-8.301,-21.973
1630086787.305,-176.758,-51.758,-31.738,-90.820
1630086787.309,-818.848,-46.875,-22.461,-13.184
1630086787.313,207.031,-43.457,4.395,95.703
1630086787.317,-1000.000,-53.223,-12.695,10.742
1630086787.319,-283.691,-60.059,-56.641,-100.586
1630086787.323,-820.312,-49.316,-44.434,-55.664
1630086787.327,292.969,-50.781,1.953,89.844
1630086787.331,-1000.000,-56.641,0.488,33.691
1630086787.335,-684.570,-53.223,-27.832,-117.188
1630086787.339,927.246,-47.363,-48.340,-117.188
1630086787.343,764.648,-31.250,-17.090,65.918
1630086787.346,-785.645,-42.969,-3.418,63.477
1630086787.350,-1000.000,-58.594,-32.227,-99.121
1630086787.354,183.105,-46.875,-42.969,-140.137
1630086787.358,-819.824,-37.109,-13.184,-1.465
1630086787.362,-118.652,-42.480,-0.977,63.965
1630086787.365,-1000.000,-46.875,-18.555,-34.668
1630086787.369,-226.562,-41.016,-46.875,-106.445
1630086787.373,-822.754,-40.527,-36.133,-33.203
1630086787.377,235.840,-46.875,-6.836,82.031
1630086787.381,-1000.000,-51.758,-21.973,6.348
1630086787.385,-334.473,-54.688,-49.805,-96.191
1630086787.389,-834.961,-57.129,-48.828,-63.477
1630086787.392,372.070,-58.594,-21.973,64.453
1630086787.396,-1000.000,-61.523,-22.461,27.344
1630086787.400,-808.105,-56.152,-41.016,-91.309
1630086787.404,790.527,-50.293,-52.734,-108.398
1630086787.408,842.773,-51.758,-30.273,27.344
1630086787.425,-698.730,-60.547,-23.438,40.527
1630086787.429,-1000.000,-53.223,-29.785,-77.148
1630086787.433,62.012,-42.969,-41.016,-123.535
1630086787.437,-801.758,-39.062,-27.344,-11.719
1630086787.441,31.738,-48.828,-19.043,58.105
1630086787.445,-1000.000,-43.457,-21.973,-32.227
1630086787.449,-243.652,-22.949,-30.762,-95.215
1630086787.452,-818.848,-39.062,-39.551,-36.621
1630086787.456,239.258,-65.918,-13.672,59.570
1630086787.460,-1000.000,-74.219,-17.578,-23.926
1630086787.464,-443.848,-55.664,-48.340,-125.000
1630086787.468,-880.371,-39.551,-50.293,-96.680
1630086787.469,482.422,-39.551,-22.949,41.504
1630086787.473,-1000.000,-43.945,-22.949,20.508
1630086787.477,-972.656,-52.734,-45.410,-107.910
1630086787.481,546.387,-55.664,-61.523,-131.348
1630086787.485,994.141,-50.293,-39.551,-0.488
1630086787.489,-510.742,-45.898,-26.855,52.246
1630086787.493,-1000.000,-41.504,-37.598,-44.922
1630086787.496,-29.297,-46.387,-49.805,-112.305
1630086787.500,-801.270,-42.480,-26.855,-12.207
1630086787.504,123.535,-41.992,0.977,60.547
1630086787.508,-1000.000,-52.246,-14.160,-39.062
1630086787.512,-252.930,-43.945,-39.551,-118.652
1630086787.514,-817.383,-37.598,-31.738,-66.406
1630086787.518,240.234,-43.945,-1.465,59.082
1630086787.522,-1000.000,-53.223,-6.348,2.930
1630086787.526,-583.496,-53.223,-59.082,-118.164
1630086787.530,-973.145,-51.270,-92.285,-116.699
1630086787.534,649.902,-46.387,-33.203,36.621
1630086787.538,-926.758,-54.199,-6.348,42.969
1630086787.541,-1000.000,-71.777,-22.949,-67.383
1630086787.545,408.203,-50.293,-39.551,-72.754
1630086787.549,-900.391,-24.902,-31.738,17.578
1630086787.553,-315.918,-27.344,-19.531,17.090
1630086787.557,-1000.000,-31.250,-31.738,-73.730
1630086787.559,-186.035,-23.926,-52.246,-121.582
1630086787.563,-821.777,-9.766,-45.410,-27.344
1630086787.567,218.262,-16.113,-24.414,63.477
1630086787.571,-1000.000,-35.645,-35.156,-42.969
1630086787.575,-274.902,-32.227,-57.129,-133.301
1630086787.579,-815.918,-21.973,-49.805,-63.965
1630086787.583,302.246,-34.668,-28.320,62.500
1630086787.586,-1000.000,-47.363,-29.785,4.395
1630086787.590,-696.289,-39.551,-55.176,-108.887
1630086787.594,915.039,-36.621,-70.801,-116.699
1630086787.598,775.391,-37.109,-39.062,32.227
1630086787.602,-776.855,-37.109,-35.156,40.039
1630086787.606,-1000.000,-38.574,-43.945,-86.426
1630086787.610,169.434,-38.574,-62.012,-131.348
1630086787.614,-799.805,-36.621,-31.250,8.789
1630086787.618,-14.648,-27.832,2.441,97.656
1630086787.622,-1000.000,-32.715,-38.574,-26.855
1630086787.626,-240.234,-43.945,-88.867,-123.535
1630086787.630,-818.848,-46.875,-72.754,-40.039
1630086787.633,237.305,-6.348,15.625,120.117
1630086787.637,-1000.000,16.113,41.504,55.176
1630086787.641,-387.207,-36.621,-33.691,-128.906
1630086787.645,-856.934,-43.457,-58.105,-89.355
1630086787.649,443.848,-33.203,-35.156,69.824
1630086787.649,-1000.000,-41.016,-23.438,11.230
1630086787.653,-838.379,-35.645,-36.133,-118.164
1630086787.657,731.934,-29.297,-57.617,-119.629
1630086787.661,946.777,-32.715,-29.785,24.414
1630086787.665,-561.035,-46.875,-20.508,31.738
1630086787.669,-1000.000,-61.523,-50.293,-101.074
1630086787.673,52.734,-49.316,-51.758,-130.371
1630086787.676,-793.945,1.465,12.207,54.199
1630086787.680,77.148,-20.996,3.418,104.980
1630086787.684,-1000.000,-54.199,-36.621,-52.734
1630086787.688,-249.023,-33.203,-55.176,-118.652
1630086787.692,-815.918,-29.785,-63.477,-49.805
1630086787.694,238.770,-39.062,-36.621,48.340
1630086787.698,-1000.000,-50.293,-21.484,-30.762
1630086787.702,-460.449,-40.039,-25.879,-114.746
1630086787.706,-894.043,-37.598,-38.574,-75.684
1630086787.710,538.086,-42.969,-25.879,50.781
1630086787.714,-1000.000,-49.316,-24.414,14.648
1630086787.718,-891.602,-14.648,-8.789,-61.523
1630086787.721,643.555,19.043,5.859,-15.625
1630086787.725,-950.684,-29.297,-2.930,79.102
1630086787.729,-386.230,-55.664,-17.578,53.711
1630086787.733,-1000.000,-38.086,-36.133,-60.059
1630086787.737,-61.523,-29.297,-45.410,-115.234
1630086787.739,-800.781,-32.227,-20.996,-16.113
1630086787.743,142.578,-35.645,5.371,61.523
1630086787.747,-1000.000,-37.598,-9.277,-48.828
1630086787.751,-256.348,-33.203,-36.621,-131.348
1630086787.755,-815.918,-32.715,-39.062,-61.035
1630086787.759,270.996,-29.297,-3.418,78.125
1630086787.763,-1000.000,-21.484,10.742,42.969
1630086787.766,-593.750,-35.156,-30.273,-110.352
1630086787.770,-983.398,-33.203,-47.852,-115.234
1630086787.774,692.871,-27.832,-9.766,49.316
1630086787.778,-877.930,-32.227,0.000,36.621
1630086787.782,-1000.000,-48.828,-22.461,-88.867
1630086787.785,349.609,-60.059,-35.645,-85.449
1630086787.789,-844.238,-21.973,-3.418,78.125
1630086787.793,-191.406,-9.766,0.977,60.547
1630086787.797,-1000.000,-39.062,-40.039,-133.789
1630086787.801,-197.754,-20.996,-61.035,-192.871
1630086787.805,-819.824,13.672,-33.203,-71.289
1630086787.809,227.539,5.371,-17.578,6.836
1630086787.812,-1000.000,-26.855,-61.035,-142.090
1630086787.816,-327.148,-35.156,-105.469,-253.906
1630086787.820,-833.008,19.043,-62.500,-150.879
1630086787.824,320.312,51.270,-1.465,8.301
1630086787.828,-1000.000,13.672,-47.852,-94.238
1630086787.844,-743.652,11.230,-96.680,-226.562
1630086787.848,875.977,17.578,-104.980,-210.449
1630086787.852,763.672,15.137,-72.754,-62.500
1630086787.856,-801.270,4.395,-81.055,-82.520
1630086787.860,-1000.000,12.207,-94.238,-207.031
