timestamps,TP9,AF7,AF8,TP10
1630087894.079,419.922,-53.223,-37.598,14.160
1630087894.083,-897.461,-40.039,-21.484,248.535
1630087894.087,-272.461,-65.918,12.207,13.672
1630087894.091,-1000.000,-73.730,8.789,-256.348
1630087894.095,-342.285,-39.551,-5.859,-141.113
1630087894.099,-990.234,-24.902,-4.883,218.262
1630087894.103,373.047,-35.645,-21.484,118.164
1630087894.106,-1000.000,-50.781,-3.418,-251.953
1630087894.110,-823.242,-48.828,23.926,-232.910
1630087894.114,778.809,-28.320,-11.230,119.629
1630087894.118,913.574,-37.109,-25.879,163.086
1630087894.122,-782.715,-57.617,-7.812,-187.988
1630087894.138,-1000.000,-52.246,-5.371,-298.340
1630087894.142,620.605,-34.668,-29.297,49.805
1630087894.146,-929.688,-36.133,-17.578,267.090
1630087894.150,-530.762,-45.410,-23.438,-40.039
1630087894.154,-1000.000,-51.270,-30.273,-291.504
1630087894.158,326.172,-40.039,-9.277,-78.613
1630087894.162,-895.508,-41.992,-24.902,209.473
1630087894.165,-199.707,-48.340,-13.672,4.883
1630087894.169,-1000.000,-28.320,-5.859,-289.551
1630087894.173,-426.270,-32.715,-33.691,-184.082
1630087894.177,973.633,-41.504,-31.250,121.094
1630087894.181,480.469,-41.016,-11.719,47.363
1630087894.181,-1000.000,-32.227,-29.297,-237.305
1630087894.185,-859.375,-36.133,-31.250,-244.629
1630087894.189,764.160,-31.738,-39.551,84.473
1630087894.193,945.801,-35.156,-30.273,186.523
1630087894.197,-745.605,-55.664,-20.508,-138.184
1630087894.201,-1000.000,-50.781,-35.156,-287.109
1630087894.205,596.191,-37.109,-36.621,-3.418
1630087894.208,-955.566,-40.039,-36.621,207.520
1630087894.212,-549.316,-29.785,-38.086,-62.012
1630087894.216,-1000.000,-28.320,-33.203,-274.414
1630087894.220,130.371,-38.086,-46.875,-85.938
1630087894.224,-894.531,-45.410,-52.246,207.031
1630087894.226,0.488,-59.570,-33.203,18.066
1630087894.230,-1000.000,-69.824,-26.855,-325.195
1630087894.234,-596.680,-35.645,-61.035,-211.426
1630087894.238,896.484,-15.137,-53.711,166.016
1630087894.242,767.578,-40.527,-24.902,149.414
1630087894.246,-875.000,-52.734,-21.973,-218.262
1630087894.250,-967.773,-51.270,-41.016,-285.645
1630087894.253,709.473,-39.062,-49.805,59.082
1630087894.257,-986.816,-31.250,-18.066,214.355
1630087894.261,-648.926,-45.410,-21.484,-96.191
1630087894.265,-1000.000,-49.316,-42.480,-293.945
1630087894.269,454.590,-44.434,-36.133,-57.129
1630087894.272,-893.555,-34.180,-34.180,217.285
1630087894.276,-306.152,-30.273,-49.805,15.137
1630087894.280,-1000.000,-29.785,-44.922,-286.133
1630087894.284,-185.059,-33.203,-33.203,-134.766
1630087894.288,-936.523,-32.715,-36.133,178.711
1630087894.292,286.133,-33.691,-32.715,53.711
1630087894.296,-1000.000,-38.086,-40.039,-232.910
1630087894.299,-716.309,-33.203,-38.574,-177.246
1630087894.303,855.957,-34.180,-36.621,136.719
1630087894.307,819.824,-50.781,-30.762,116.699
1630087894.311,-847.168,-72.266,-49.805,-199.219
1630087894.315,-995.605,-46.875,-59.570,-256.836
1630087894.317,678.223,-32.227,-39.551,40.527
1630087894.321,-972.656,-41.992,-40.039,188.477
1630087894.325,-589.355,-52.734,-51.758,-89.355
1630087894.329,-1000.000,-39.062,-48.828,-291.992
1630087894.333,259.766,-27.832,-44.922,-94.727
1630087894.337,-885.742,-32.715,-38.086,187.988
1630087894.341,-110.352,-27.832,-23.926,-4.883
1630087894.344,-1000.000,-27.832,-18.555,-298.828
1630087894.348,-447.754,-37.598,-47.852,-187.988
1630087894.352,969.238,-36.133,-48.340,150.391
1630087894.356,458.496,-25.879,-40.527,85.938
1630087894.360,-1000.000,-31.738,-52.246,-233.398
1630087894.365,-836.426,-40.527,-59.082,-233.398
1630087894.369,772.949,-38.086,-32.227,90.820
1630087894.373,954.102,-31.738,-28.809,183.105
1630087894.377,-742.188,-39.551,-44.922,-148.926
1630087894.381,-1000.000,-32.715,-33.691,-289.062
1630087894.385,646.484,-18.066,-49.316,54.688
1630087894.389,-990.723,-29.785,-69.336,247.070
1630087894.392,-606.445,-27.344,-46.387,-105.957
1630087894.396,-1000.000,-22.461,-20.508,-337.402
1630087894.400,136.230,-10.254,-45.410,-114.746
1630087894.404,-901.855,-18.555,-32.227,181.152
1630087894.408,-57.129,-26.367,-11.230,7.324
1630087894.406,-1000.000,-24.902,-38.086,-287.109
1630087894.410,-438.965,-30.273,-25.879,-201.660
1630087894.414,978.516,-28.809,-40.039,152.832
1630087894.418,724.121,-34.668,-40.039,139.648
1630087894.422,-884.766,-31.738,-20.020,-208.984
1630087894.426,-936.035,-32.227,-11.230,-283.691
1630087894.430,758.301,-18.555,-0.488,90.820
1630087894.433,945.801,-20.996,-31.738,226.074
1630087894.437,-733.398,-60.547,-46.387,-127.930
1630087894.441,-1000.000,-62.500,-25.879,-308.105
1630087894.445,515.625,-11.719,-22.949,-26.367
1630087894.449,-935.547,-11.719,-18.066,203.613
1630087894.453,-477.539,-32.227,-34.668,-55.176
1630087894.457,-1000.000,-16.113,-28.320,-332.031
1630087894.461,-52.246,-20.508,-21.973,-152.832
1630087894.465,-913.086,-27.344,-36.133,175.781
1630087894.469,213.379,-46.875,-20.508,18.066
1630087894.473,-1000.000,-62.988,-32.227,-300.781
1630087894.477,-658.203,-46.875,-72.754,-225.586
1630087894.480,883.301,-28.320,-92.773,120.117
1630087894.484,799.316,-23.926,-80.566,118.164
1630087894.488,-854.004,-48.340,-96.680,-264.648
1630087894.492,-1000.000,-45.898,-72.754,-365.234
1630087894.496,679.199,2.930,-51.758,7.324
1630087894.511,-990.234,21.973,-53.711,178.223
1630087894.515,-675.781,-12.207,-45.898,-141.113
1630087894.519,-1000.000,-30.762,-62.012,-322.754
1630087894.523,479.492,-12.207,-77.637,-57.617
1630087894.527,-875.000,-20.996,-72.266,209.473
1630087894.531,-182.129,-12.695,-43.945,14.160
1630087894.535,-1000.000,-7.324,-29.297,-274.902
1630087894.538,-331.543,-3.418,-41.992,-173.828
1630087894.542,-986.328,2.441,-65.430,148.438
1630087894.546,341.309,-14.648,-62.012,53.711
1630087894.550,-1000.000,-20.508,-38.574,-256.348
1630087894.554,-805.176,-18.555,-52.734,-217.773
1630087894.557,788.086,-34.180,-54.199,109.375
1630087894.561,923.340,-33.203,-56.641,154.297
1630087894.565,-785.156,-31.738,-45.898,-158.203
1630087894.569,-1000.000,-27.832,-21.973,-266.602
1630087894.573,697.266,-9.277,-43.945,33.203
1630087894.577,-985.352,-11.719,-48.828,190.430
1630087894.581,-594.727,-33.691,-32.715,-104.004
1630087894.584,-1000.000,-26.855,-50.781,-302.246
1630087894.588,214.844,-34.180,-64.453,-103.027
1630087894.592,-912.598,-38.086,-54.199,168.457
1630087894.596,-174.805,-26.855,-30.762,-21.973
1630087894.600,-1000.000,-21.973,-36.133,-301.270
1630087894.602,-460.938,-24.902,-58.105,-166.992
1630087894.606,962.402,-21.484,-68.359,193.359
1630087894.610,612.793,-7.324,-43.945,136.719
1630087894.614,-961.914,-28.809,-5.859,-211.914
1630087894.618,-871.582,-55.664,-30.273,-241.211
1630087894.622,786.621,-39.551,-56.641,125.488
1630087894.626,928.223,-28.809,-50.293,193.848
1630087894.629,-751.953,-40.527,-66.406,-155.273
1630087894.633,-1000.000,-41.992,-54.199,-274.902
1630087894.637,547.852,-26.367,-51.270,-32.715
1630087894.641,-921.875,-32.227,-31.738,155.273
1630087894.645,-469.238,-57.617,-11.719,-72.266
1630087894.649,-1000.000,-39.551,-28.320,-312.500
1630087894.653,109.375,-18.066,-57.129,-119.629
1630087894.657,-895.996,-29.785,-48.828,185.547
1630087894.661,-2.441,-28.809,-32.715,1.953
1630087894.665,-1000.000,-33.203,-45.410,-263.672
1630087894.669,-473.145,-42.969,-43.457,-182.129
1630087894.673,979.492,-35.156,-48.340,151.855
1630087894.676,571.777,-74.707,-73.242,82.520
1630087894.680,-989.746,-70.801,-71.289,-281.738
1630087894.684,-907.715,-23.438,-45.898,-282.227
1630087894.688,737.305,-15.137,-42.480,59.570
1630087894.692,972.656,-22.949,-38.574,187.988
1630087894.693,-695.312,-31.738,-34.180,-131.348
1630087894.697,-1000.000,-40.527,-41.016,-306.641
1630087894.701,468.262,-49.805,-61.035,-32.227
1630087894.705,-916.016,-39.062,-46.875,214.844
1630087894.709,-410.156,-40.039,-27.344,-74.219
1630087894.713,-1000.000,-50.293,-35.645,-344.727
1630087894.717,-106.445,-39.062,-41.992,-160.645
1630087894.720,-924.316,0.977,-44.434,187.012
1630087894.724,407.227,-0.488,-54.199,85.938
1630087894.728,-1000.000,-45.898,-66.895,-299.805
1630087894.732,-887.695,-66.895,-72.266,-318.359
1630087894.736,760.254,-36.621,-68.848,90.332
1630087894.738,855.469,-20.020,-39.551,152.832
1630087894.742,-853.027,-39.062,-31.738,-240.234
1630087894.746,-1000.000,-39.062,-75.684,-315.918
1630087894.750,681.152,-29.785,-68.848,23.926
1630087894.754,-981.445,-52.246,-31.738,190.430
1630087894.758,-619.141,-61.035,-27.344,-104.492
1630087894.762,-1000.000,-40.039,-26.855,-327.637
1630087894.765,330.078,-23.438,-36.621,-109.375
1630087894.769,-891.602,-27.832,-40.039,172.363
1630087894.773,-226.074,-36.133,-33.203,-20.508
1630087894.777,-1000.000,-30.762,-43.945,-298.340
1630087894.781,-269.043,-32.715,-53.711,-198.730
1630087894.785,-964.355,-34.180,-43.457,118.164
1630087894.789,527.832,-53.711,-43.457,75.195
1630087894.793,-982.910,-52.734,-50.293,-256.348
1630087894.797,-838.379,-33.203,-37.109,-270.996
1630087894.801,793.945,-37.109,-41.016,62.500
1630087894.805,946.289,-31.738,-40.039,148.926
1630087894.809,-729.004,-41.992,-39.062,-182.617
1630087894.812,-1000.000,-56.641,-50.293,-330.566
1630087894.816,582.031,-59.570,-64.453,-13.672
1630087894.820,-958.984,-41.504,-42.969,191.895
1630087894.824,-594.238,-39.062,-11.719,-112.793
1630087894.828,-1000.000,-44.434,-26.367,-290.039
1630087894.828,275.391,-26.855,-44.434,-69.824
1630087894.832,-867.676,-11.719,-33.203,199.707
1630087894.836,28.809,-24.902,-9.766,17.090
1630087894.840,-1000.000,-44.434,-28.320,-302.734
1630087894.844,-556.152,-33.203,-43.457,-201.172
1630087894.848,939.453,-42.480,-47.363,134.277
1630087894.852,514.648,-60.547,-63.477,85.938
1630087894.855,-1000.000,-63.477,-35.156,-227.051
1630087894.859,-899.414,-54.199,-34.180,-253.418
1630087894.863,738.770,-25.391,-42.480,85.449
1630087894.867,945.801,-20.996,-24.414,144.043
1630087894.871,-757.324,-31.250,-27.832,-209.961
1630087894.886,-1000.000,-25.391,-38.574,-298.828
1630087894.890,578.125,-16.602,-47.363,-1.953
1630087894.894,-916.504,-27.344,-41.992,189.941
1630087894.898,-480.469,-39.062,-27.344,-73.242
1630087894.902,-1000.000,-29.297,-42.480,-300.293
1630087894.906,204.590,-19.043,-41.504,-112.305
1630087894.910,-870.117,-18.066,-18.555,190.430
1630087894.913,87.402,-28.809,-30.273,47.363
1630087894.917,-1000.000,-43.945,-56.152,-279.297
1630087894.921,-709.473,-56.152,-68.359,-244.629
1630087894.925,849.609,-39.062,-47.363,100.586
1630087894.929,733.398,-26.855,-28.320,87.891
1630087894.931,-911.621,-46.875,-31.250,-233.398
1630087894.935,-964.844,-44.434,-34.668,-275.391
1630087894.939,698.242,-21.484,-32.227,20.508
1630087894.943,-989.258,0.977,-35.156,183.105
1630087894.947,-661.133,-12.207,-41.504,-125.977
1630087894.951,-1000.000,-29.297,-34.668,-309.082
1630087894.955,462.891,-26.367,-34.180,-51.270
1630087894.958,-874.512,-32.715,-29.297,205.078
1630087894.962,-214.844,-62.012,-45.898,-27.832
1630087894.966,-1000.000,-61.523,-50.781,-315.918
1630087894.970,-253.906,-36.133,-32.715,-164.062
1630087894.974,-954.590,-31.738,-35.156,176.758
1630087894.976,346.680,-41.016,-29.297,76.172
1630087894.980,-1000.000,-55.176,-33.203,-231.934
1630087894.984,-797.363,-44.434,-38.086,-214.844
1630087894.988,801.758,-45.898,-36.621,125.488
1630087894.992,894.043,-62.500,-46.875,161.621
1630087894.996,-791.016,-61.523,-33.203,-172.363
1630087895.000,-1000.000,-53.711,-23.926,-282.227
1630087895.003,638.184,-42.969,-49.805,-0.977
1630087895.007,-973.633,-58.105,-66.406,151.367
1630087895.011,-621.582,-46.875,-30.273,-116.211
1630087895.015,-1000.000,-35.645,-12.695,-312.500
1630087895.019,331.543,-32.227,-43.457,-92.773
1630087895.022,-862.305,-34.180,-48.828,205.078
1630087895.026,-29.785,-30.273,-32.715,31.250
1630087895.030,-1000.000,-40.039,-26.367,-282.227
1630087895.034,-431.641,-49.805,-24.902,-198.242
1630087895.038,989.746,-27.344,-43.945,177.246
1630087895.042,647.461,-13.672,-37.109,127.441
1630087895.046,-919.434,-28.809,-31.250,-233.887
1630087895.049,-960.938,-69.336,-61.035,-301.758
1630087895.053,718.262,-53.711,-75.195,43.457
1630087895.057,953.125,-20.020,-40.527,160.156
1630087895.061,-744.141,-29.297,-20.508,-178.711
1630087895.065,-1000.000,-44.434,-24.902,-322.266
1630087895.066,541.504,-38.574,-39.062,-20.508
1630087895.070,-931.152,-21.973,-38.086,204.590
1630087895.074,-469.727,-29.785,-22.949,-53.711
1630087895.078,-1000.000,-55.664,-30.762,-299.805
1630087895.082,7.812,-37.109,-46.875,-129.395
1630087895.086,-914.062,-24.414,-26.367,176.758
1630087895.090,47.363,-46.387,-19.531,22.461
1630087895.093,-1000.000,-45.898,-41.992,-296.875
1630087895.097,-493.164,-25.391,-42.480,-225.586
1630087895.101,958.984,-24.902,-47.852,143.066
1630087895.105,651.855,-49.805,-34.668,130.859
1630087895.109,-927.246,-51.758,-16.602,-231.445
1630087895.113,-961.914,-36.621,-34.668,-304.688
1630087895.117,704.590,-29.785,-51.758,25.391
1630087895.121,985.352,-20.996,-16.602,155.762
1630087895.125,-705.566,-40.039,-6.348,-179.688
1630087895.129,-1000.000,-58.105,-20.020,-359.375
1630087895.133,531.250,-51.758,-23.926,-43.457
1630087895.137,-937.500,-56.641,-33.203,193.848
1630087895.140,-453.613,-62.500,-44.434,-100.586
1630087895.144,-1000.000,-55.176,-28.809,-378.418
1630087895.148,-172.852,-61.523,-16.113,-213.379
1630087895.152,-955.566,-47.852,-32.715,166.992
1630087895.156,223.145,-41.504,-28.809,48.828
1630087895.157,-1000.000,-48.340,-21.973,-291.992
1630087895.161,-753.418,-41.992,-34.668,-255.371
1630087895.165,814.941,-36.621,-39.062,112.793
1630087895.169,860.352,-39.551,-20.996,143.555
1630087895.173,-826.660,-45.410,-24.902,-220.703
1630087895.177,-1000.000,-51.270,-56.152,-301.758
