timestamps,TP9,AF7,AF8,TP10
1630093637.233,-766.602,-25.391,-50.781,104.004
1630093637.237,-724.609,-31.738,-45.410,145.508
1630093637.241,-688.965,-33.691,-47.852,130.859
1630093637.245,-702.637,-15.625,-57.129,87.402
1630093637.249,-812.988,-19.531,-65.430,37.598
1630093637.253,-924.805,-33.203,-52.734,38.086
1630093637.257,-979.980,-34.180,-54.199,44.434
1630093637.260,-1000.000,-9.277,-36.133,93.262
1630093637.264,-999.512,0.977,-26.855,76.660
1630093637.268,-1000.000,-35.645,-50.781,7.812
1630093637.272,-1000.000,-41.016,-44.922,-9.766
1630093637.276,-1000.000,-35.156,-48.340,54.688
1630093637.278,-1000.000,-34.668,-60.059,296.387
1630093637.282,-1000.000,-36.621,-51.270,442.383
1630093637.286,-1000.000,-47.852,-38.086,467.285
1630093637.290,-1000.000,1.953,5.859,626.953
1630093637.294,-942.383,12.207,-5.859,675.293
1630093637.298,-1000.000,-31.250,-60.059,583.008
1630093637.302,-811.035,-23.438,-34.668,634.766
1630093637.305,600.098,-4.883,-7.324,647.949
1630093637.309,-937.012,-20.996,-36.133,589.355
1630093637.313,902.832,-41.016,-64.941,566.406
1630093637.317,977.539,-24.902,-43.945,633.789
1630093637.321,927.246,-17.578,-39.551,725.098
1630093637.324,-976.562,-30.762,-53.711,738.281
1630093637.328,460.938,-36.133,-62.012,699.219
1630093637.332,-715.820,-24.414,-47.852,629.883
1630093637.336,-1000.000,-15.137,-37.109,601.562
1630093637.340,-967.285,-15.137,-42.480,674.316
1630093637.344,-1000.000,-26.855,-55.176,885.254
1630093637.348,-1000.000,10.254,-27.344,976.562
1630093637.351,-1000.000,42.969,10.254,780.762
1630093637.355,-1000.000,-3.418,-33.691,573.242
1630093637.359,-997.559,-14.648,-60.547,502.441
1630093637.363,-991.699,-13.672,-55.664,392.578
1630093637.367,-1000.000,-19.531,-47.363,225.098
1630093637.368,-765.625,-15.137,-50.293,90.332
1630093637.372,-318.848,-21.484,-59.570,-111.328
1630093637.376,52.734,2.930,-42.480,-251.953
1630093637.380,352.539,2.441,-29.785,-45.410
1630093637.384,587.891,-24.414,-52.246,66.406
1630093637.388,827.148,-18.555,-66.406,-299.805
1630093637.392,963.867,-0.488,-45.898,-781.250
1630093637.395,963.379,-13.184,-47.852,-1000.000
1630093637.399,963.867,-37.109,-69.824,-993.164
1630093637.403,967.285,-18.066,-53.223,-996.582
1630093637.407,966.309,-1.953,-48.340,-1000.000
1630093637.411,966.309,-23.926,-79.590,-1000.000
1630093637.415,966.309,-31.250,-77.148,-1000.000
1630093637.419,966.309,-23.926,-68.359,-1000.000
1630093637.423,966.309,-27.344,-74.707,-1000.000
1630093637.427,966.309,-30.762,-72.266,-1000.000
1630093637.431,966.309,-32.227,-73.242,-1000.000
1630093637.435,966.309,-3.418,-58.594,-1000.000
1630093637.439,966.309,1.953,-65.430,-1000.000
1630093637.442,966.309,-31.250,-100.586,-1000.000
1630093637.446,966.309,-22.461,-102.051,-1000.000
1630093637.450,966.309,6.836,-87.402,-1000.000
1630093637.454,966.309,4.395,-84.961,-1000.000
1630093637.458,966.797,-15.625,-108.887,-1000.000
1630093637.473,966.309,-9.277,-96.680,-1000.000
1630093637.477,966.309,28.809,-37.109,-1000.000
1630093637.481,965.820,17.578,-50.781,-1000.000
1630093637.485,958.496,-29.785,-99.121,-1000.000
1630093637.489,950.195,-23.926,-81.543,-1000.000
1630093637.493,807.617,9.277,-49.316,-1000.000
1630093637.497,309.082,-4.395,-72.754,-1000.000
1630093637.500,-27.832,-34.180,-105.469,-1000.000
1630093637.504,-180.664,-20.020,-100.586,-999.023
1630093637.508,-661.133,10.254,-55.664,-1000.000
1630093637.512,-978.027,-25.391,-74.219,-999.023
1630093637.516,-989.258,-51.758,-96.680,-929.688
1630093637.518,-837.402,-39.062,-91.797,-868.652
1630093637.522,-714.844,-33.691,-87.891,-878.906
1630093637.526,-581.055,-43.945,-77.148,-867.188
1630093637.530,-363.770,-54.688,-86.426,-848.145
1630093637.534,-350.098,-30.762,-72.754,-806.641
