timestamps,TP9,AF7,AF8,TP10
1630093743.628,-1000.000,-40.039,-40.039,-54.199
1630093743.632,-944.336,-45.898,-37.109,-50.293
1630093743.636,-1000.000,-45.898,-41.992,-49.316
1630093743.640,-155.273,-43.457,-48.828,-58.594
1630093743.644,-949.219,-40.039,-45.898,-59.082
1630093743.648,941.406,-48.828,-43.457,-49.316
1630093743.652,952.148,-41.016,-53.223,-47.852
1630093743.655,900.391,34.180,9.766,8.789
1630093743.659,-898.926,15.137,6.348,-2.441
1630093743.663,359.375,-48.828,-45.898,-52.734
1630093743.667,-1000.000,-39.551,-40.039,-39.062
1630093743.671,-1000.000,-39.551,-53.711,-55.176
1630093743.673,-968.262,-36.621,-52.734,-65.918
1630093743.677,-974.609,-43.457,-44.434,-65.918
1630093743.681,-1000.000,-9.277,-12.695,-14.160
1630093743.685,-977.051,8.789,-0.488,11.719
1630093743.689,321.777,-34.180,-52.246,-41.504
1630093743.693,-913.574,-48.828,-53.223,-53.711
1630093743.697,904.785,-2.930,4.395,12.207
1630093743.700,970.703,13.672,9.277,26.367
1630093743.704,965.332,-51.270,-66.406,-53.223
1630093743.708,906.738,-55.176,-66.406,-62.988
1630093743.712,-898.926,-30.273,-30.273,-26.367
1630093743.716,153.809,-34.668,-34.668,-22.461
1630093743.718,-1000.000,-53.711,-61.035,-54.199
1630093743.722,-979.980,-54.688,-62.012,-62.012
1630093743.726,-987.793,-53.711,-44.434,-38.574
1630093743.730,-952.148,-47.363,-46.387,-30.273
1630093743.734,-1000.000,-54.199,-68.359,-54.199
1630093743.738,-810.059,-49.805,-62.500,-56.641
1630093743.742,571.289,-0.977,1.953,1.465
1630093743.745,-938.477,-17.090,-5.371,1.465
1630093743.749,904.297,-48.828,-50.781,-39.551
1630093743.753,976.074,-41.504,-58.594,-48.828
1630093743.757,966.797,-43.457,-44.434,-53.711
1630093743.761,966.797,-41.504,-35.645,-40.039
1630093743.764,955.566,-40.039,-53.711,-36.621
1630093743.768,900.879,-9.277,-29.297,-14.648
1630093743.772,-895.508,21.484,20.020,32.227
1630093743.776,166.992,-33.203,-11.230,10.742
1630093743.780,-1000.000,-65.918,-46.875,-19.531
1630093743.784,-981.445,-30.273,-31.250,5.371
1630093743.788,-987.793,-23.438,-28.320,5.371
1630093743.791,-938.477,-51.270,-36.133,-13.184
1630093743.795,-1000.000,-50.293,-40.527,-4.395
1630093743.799,-604.980,-27.344,-36.133,10.254
1630093743.803,808.105,-26.367,-38.086,-0.488
1630093743.807,-978.027,-44.434,-42.480,-23.926
1630093743.823,911.133,-40.039,-36.133,-1.953
1630093743.827,993.164,-38.086,-43.945,-1.953
1630093743.831,899.902,-37.598,-57.617,-23.926
1630093743.835,-936.035,-38.574,-58.594,-25.879
1630093743.839,617.188,-40.039,-45.410,-13.672
1630093743.843,-797.363,-3.418,-6.348,21.484
1630093743.847,-1000.000,-15.137,-24.902,0.977
1630093743.850,-942.871,-55.664,-62.500,-51.758
