timestamps,TP9,AF7,AF8,TP10
1630093530.973,-24.414,-52.246,-52.246,-54.199
1630093530.977,-26.855,-53.711,-35.645,-36.621
1630093530.981,-41.504,-47.852,-33.203,-22.949
1630093530.985,-47.852,-53.711,-47.852,-40.527
1630093530.989,-25.879,-47.363,-48.828,-60.547
1630093530.993,2.930,-21.973,-15.625,-21.484
1630093530.997,-20.996,-41.992,-23.438,-17.578
1630093531.000,-55.664,-58.594,-47.363,-43.945
1630093531.004,-29.297,-46.875,-50.293,-40.527
1630093531.008,-6.836,-48.828,-40.039,-31.250
1630093531.012,-26.855,-49.316,-29.785,-36.133
1630093531.016,-38.574,-46.387,-31.738,-40.527
1630093531.020,-28.320,-48.828,-35.156,-45.898
1630093531.024,-21.973,-54.199,-44.434,-67.383
1630093531.028,-24.414,-53.711,-37.109,-54.199
1630093531.032,-41.992,-48.340,-26.367,-23.926
1630093531.036,-37.598,-44.434,-28.809,-30.762
1630093531.040,-13.672,-39.062,-34.668,-49.805
1630093531.044,-18.066,-38.574,-27.832,-46.875
1630093531.047,-29.785,-39.551,-31.250,-35.645
1630093531.051,-9.766,-17.090,-25.391,-17.090
1630093531.055,-3.418,-20.020,-33.203,-31.250
1630093531.059,-18.066,-51.270,-48.828,-56.641
1630093531.063,-35.156,-49.316,-38.086,-49.316
1630093531.063,-50.293,-35.156,-41.016,-49.316
1630093531.067,-36.133,-39.551,-51.758,-64.453
1630093531.071,-22.949,-43.945,-45.898,-65.918
1630093531.075,-19.531,-30.762,-18.066,-40.039
1630093531.079,-26.367,-31.738,-26.367,-42.969
1630093531.083,-28.809,-39.551,-53.711,-58.594
1630093531.087,-13.184,-41.016,-64.453,-63.477
1630093531.090,-12.207,-30.273,-29.785,-39.062
1630093531.094,-37.598,-23.438,-3.418,-14.160
1630093531.098,-51.758,-48.340,-39.062,-47.363
1630093531.102,-34.180,-51.758,-54.199,-59.082
1630093531.106,-31.738,-44.922,-32.227,-42.969
1630093531.110,-44.434,-46.875,-20.996,-29.297
1630093531.114,-46.387,-53.223,-31.250,-31.250
1630093531.118,-38.086,-50.293,-47.363,-52.246
1630093531.122,-38.086,-42.969,-46.387,-67.871
1630093531.126,-49.316,-38.574,-26.367,-63.965
1630093531.130,-52.246,-38.574,-28.320,-57.129
1630093531.134,-28.320,-30.762,-43.457,-50.781
1630093531.137,1.953,-20.020,-31.738,-45.898
1630093531.141,-7.324,-25.879,-20.996,-54.199
1630093531.145,-28.809,-39.062,-27.344,-55.176
1630093531.149,-21.973,-44.922,-38.086,-58.594
1630093531.153,-10.742,-47.852,-51.270,-77.637
1630093531.155,-10.742,-46.875,-35.645,-63.477
1630093531.159,-29.785,-46.387,-33.691,-50.293
1630093531.163,-27.344,-37.109,-43.945,-68.359
1630093531.167,-16.602,-32.715,-43.457,-72.754
1630093531.171,-22.949,-43.457,-34.180,-55.664
1630093531.175,-43.457,-48.340,-22.949,-54.688
1630093531.179,-46.387,-46.387,-23.438,-59.570
1630093531.182,-12.695,-31.738,-27.832,-58.105
1630093531.186,-21.484,-35.645,-30.273,-71.289
1630093531.190,-47.852,-49.805,-23.926,-63.965
1630093531.194,-50.781,-49.805,-24.902,-47.852
1630093531.198,-33.691,-48.340,-35.645,-59.570
1630093531.200,-24.902,-47.852,-42.969,-71.777
1630093531.204,-36.133,-49.805,-27.832,-67.383
1630093531.208,-45.410,-48.340,-22.461,-59.570
1630093531.212,-41.016,-48.340,-38.086,-63.965
1630093531.216,-22.461,-44.434,-52.246,-81.055
1630093531.220,-21.973,-41.992,-40.039,-78.125
1630093531.224,-20.508,-33.203,-11.230,-44.922
1630093531.227,-20.508,-33.203,-19.043,-55.664
1630093531.231,-35.156,-50.781,-47.363,-94.238
1630093531.235,-32.227,-49.316,-35.645,-86.914
1630093531.239,-38.086,-44.434,-16.113,-59.082
1630093531.243,-44.434,-47.363,-20.020,-56.641
1630093531.243,-42.969,-50.781,-38.086,-78.125
1630093531.247,-28.320,-46.875,-37.598,-86.914
1630093531.251,-31.738,-42.480,-22.949,-76.172
1630093531.255,-38.574,-41.016,-28.320,-65.430
1630093531.259,-18.555,-44.922,-43.457,-70.801
1630093531.263,1.953,-40.039,-30.762,-62.988
1630093531.267,-7.324,-29.785,0.000,-47.852
1630093531.270,-45.410,-50.781,-15.137,-58.594
1630093531.274,-52.246,-65.918,-42.480,-69.824
1630093531.278,-35.156,-53.223,-40.527,-74.219
1630093531.282,-33.691,-53.711,-29.785,-79.102
1630093531.286,-59.082,-64.941,-38.574,-74.219
1630093531.303,-68.848,-62.500,-47.852,-70.312
1630093531.307,-41.016,-55.664,-54.688,-74.219
1630093531.311,-26.367,-56.641,-46.387,-73.730
1630093531.315,-39.062,-59.570,-32.715,-67.383
