timestamps,TP9,AF7,AF8,TP10
1630094591.876,-453.613,-39.551,-17.090,-59.570
1630094591.880,-540.527,-42.480,-57.617,-66.406
1630094591.884,-101.562,-31.738,-57.617,-46.387
1630094591.888,94.727,-22.461,-4.395,-28.809
1630094591.892,-342.285,-36.133,-9.766,-50.781
1630094591.896,-589.844,-35.156,-38.086,-69.824
1630094591.900,-235.352,-18.555,-54.199,-75.195
1630094591.903,102.539,-20.020,-7.324,-56.152
1630094591.907,-203.125,-27.344,13.184,-69.824
1630094591.911,-551.270,-20.996,-22.461,-104.004
1630094591.915,-335.449,-14.160,-43.945,-115.723
1630094591.919,62.988,-28.809,-21.973,-138.184
1630094591.921,-95.703,-31.738,16.602,-161.133
1630094591.925,-498.535,-22.949,5.371,-181.641
1630094591.929,-461.426,-16.113,-26.367,-218.750
1630094591.933,-30.273,-22.461,-18.066,-236.328
1630094591.937,21.973,-21.973,33.691,-217.773
1630094591.941,-443.848,-20.020,21.484,-284.668
1630094591.945,-566.895,-17.090,-12.207,-337.402
1630094591.948,-138.672,-1.953,-8.789,-304.199
1630094591.952,46.875,-0.488,28.320,-329.102
1630094591.956,-322.266,-17.578,13.672,-361.816
1630094591.960,-520.508,-15.625,-7.812,-333.984
1630094591.964,-187.988,-3.906,-26.855,-323.242
1630094591.966,194.336,-5.371,0.977,-317.383
1630094591.970,-43.945,-0.488,15.625,-307.617
1630094591.974,-372.559,0.000,-20.508,-305.664
1630094591.978,-154.297,-7.812,-51.270,-292.969
1630094591.982,345.703,-10.742,-35.156,-262.695
1630094591.986,324.707,-5.371,-4.395,-228.027
1630094591.990,5.859,-1.465,-17.090,-224.609
1630094591.993,95.215,-16.113,-45.410,-219.727
1630094591.997,550.293,-27.832,-55.664,-180.664
1630094592.001,620.605,-27.344,-18.555,-163.086
1630094592.005,196.777,-34.668,-31.250,-172.852
1630094592.009,90.820,-40.039,-66.895,-159.668
1630094592.012,545.410,-36.621,-76.172,-108.887
1630094592.016,856.934,-40.039,-28.320,-65.918
1630094592.020,530.273,-49.805,-20.508,-63.965
1630094592.024,270.996,-56.152,-52.246,-62.012
1630094592.028,551.270,-53.711,-71.777,-41.992
1630094592.032,948.730,-50.293,-42.480,-7.812
1630094592.036,723.145,-49.805,-19.043,-3.418
1630094592.039,318.359,-56.152,-52.246,-34.668
1630094592.043,455.566,-57.617,-76.660,-17.090
1630094592.047,898.926,-47.363,-50.781,26.367
1630094592.051,825.195,-46.387,-11.719,37.598
1630094592.055,348.145,-56.641,-38.574,20.996
1630094592.071,245.605,-53.223,-77.637,6.836
1630094592.075,606.445,-57.617,-77.148,32.227
1630094592.079,674.316,-64.453,-29.297,46.387
