timestamps,TP9,AF7,AF8,TP10
1630094699.861,52.734,-17.578,51.758,5.371
1630094699.865,276.855,-21.484,-2.930,46.875
1630094699.869,18.066,-30.273,-100.098,-26.367
1630094699.873,-340.332,-32.715,-80.078,-80.566
1630094699.877,-100.098,-26.367,44.434,-0.488
1630094699.881,231.934,-33.203,21.484,26.367
1630094699.885,97.656,-38.086,-90.820,-44.922
1630094699.888,-308.594,-31.738,-106.445,-92.773
1630094699.892,-196.289,-20.020,20.020,-14.160
1630094699.896,194.336,-20.020,37.598,45.410
1630094699.900,161.133,-37.109,-39.551,-4.883
1630094699.904,-240.723,-44.922,-101.074,-86.426
1630094699.921,-342.285,-47.363,-0.977,-90.332
1630094699.925,67.871,-56.641,52.734,-11.230
1630094699.929,221.191,-64.941,-18.066,-21.484
1630094699.933,-118.652,-71.777,-96.680,-77.637
1630094699.937,-383.301,-78.613,-39.551,-74.707
1630094699.941,-33.203,-77.637,50.781,-10.254
1630094699.945,230.469,-80.566,6.836,8.789
1630094699.948,-1.953,-86.426,-84.473,-36.133
1630094699.952,-353.027,-90.332,-70.801,-53.711
1630094699.956,-145.020,-124.023,29.297,-14.160
1630094699.960,216.309,-127.930,16.602,28.320
1630094699.964,169.922,-96.680,-54.688,49.316
1630094699.967,-239.746,-109.375,-85.938,5.859
1630094699.971,-195.312,-103.516,33.691,13.672
1630094699.975,226.074,-91.797,60.547,66.895
1630094699.979,283.691,-89.355,-31.738,82.520
1630094699.983,-117.676,-104.980,-96.191,37.598
1630094699.987,-280.762,-110.352,-6.836,10.742
1630094699.991,135.254,-92.285,56.641,67.871
1630094699.994,346.680,-83.984,0.977,90.820
1630094699.998,6.836,-95.703,-81.543,38.574
1630094700.002,-315.918,-104.492,-38.086,5.859
1630094700.006,52.734,-79.590,69.336,77.148
1630094700.010,344.238,-78.125,39.551,95.703
1630094700.010,120.117,-83.984,-62.988,50.781
1630094700.014,-287.109,-82.520,-61.035,5.371
1630094700.018,-62.988,-75.195,59.082,39.551
1630094700.022,325.684,-66.406,46.387,80.566
1630094700.026,230.957,-65.918,-49.805,52.246
1630094700.030,-202.637,-73.242,-90.820,6.836
1630094700.034,-208.008,-73.730,22.949,7.324
1630094700.037,242.676,-56.641,55.664,52.734
1630094700.041,298.828,-73.730,-36.133,30.762
1630094700.045,-149.414,-85.449,-118.164,-39.062
1630094700.049,-319.336,-57.129,-20.508,-20.996
1630094700.053,134.277,-45.898,58.594,45.410
1630094700.056,348.145,-52.734,-3.418,54.688
1630094700.060,-2.441,-60.547,-91.797,14.160
1630094700.064,-365.723,-60.059,-54.688,-17.090
1630094700.068,-12.695,-49.316,37.598,22.949
1630094700.072,336.426,-42.969,-2.930,45.898
