timestamps,TP9,AF7,AF8,TP10
1630094477.636,107.422,-45.410,-17.578,-35.156
1630094477.640,-238.770,-28.809,-14.160,-29.785
1630094477.644,-186.035,-25.391,-51.270,-27.344
1630094477.648,188.477,-41.016,-81.055,-51.270
1630094477.652,185.059,-44.922,-25.879,-49.316
1630094477.656,-138.672,-24.414,9.277,0.977
1630094477.660,-201.660,-9.277,-18.555,14.160
1630094477.663,83.496,-22.949,-82.031,-59.082
1630094477.667,214.355,-41.504,-50.781,-86.914
1630094477.671,-60.059,-0.488,19.043,-16.602
1630094477.675,-197.754,35.645,20.508,17.090
1630094477.679,-37.598,-21.973,-85.449,-41.992
1630094477.696,200.684,-38.574,-77.148,-47.852
1630094477.700,9.277,-29.297,-8.789,-6.348
1630094477.704,-295.410,-30.762,-32.715,-24.414
1630094477.708,-188.477,-39.062,-82.031,-64.941
1630094477.712,189.453,-41.992,-86.426,-58.594
1630094477.716,140.137,-22.461,-11.719,-32.227
1630094477.720,-257.324,-25.879,-22.461,-53.223
1630094477.723,-262.695,-40.527,-81.543,-71.777
1630094477.727,127.441,-31.250,-99.121,-68.359
1630094477.731,216.309,-7.324,-6.836,-29.297
1630094477.735,-143.555,-23.438,0.977,-31.738
1630094477.739,-288.574,-32.227,-63.477,-53.223
1630094477.741,27.344,-31.250,-104.980,-53.711
1630094477.745,223.633,-28.320,-58.594,-53.711
1630094477.749,-97.168,-29.297,-17.090,-43.945
1630094477.753,-311.523,-30.762,-41.992,-46.387
1630094477.757,-104.004,-29.297,-97.168,-65.918
1630094477.761,226.074,-37.598,-80.566,-68.359
1630094477.765,55.664,-44.922,-13.672,-12.207
1630094477.768,-295.898,-42.480,-39.551,-51.270
1630094477.772,-173.340,-13.184,-64.453,-62.500
1630094477.776,270.020,28.809,-26.367,10.254
1630094477.780,169.922,-13.672,-4.883,-32.715
1630094477.784,-240.723,-32.227,-19.043,-51.758
1630094477.787,-257.324,-19.043,-47.852,-37.598
1630094477.791,95.215,-36.133,-90.820,-67.871
1630094477.795,185.059,-48.828,-47.852,-73.242
1630094477.799,-167.480,-38.086,-12.207,-59.570
1630094477.803,-281.250,-20.020,-33.691,-60.547
1630094477.807,12.207,-27.344,-91.797,-77.148
1630094477.811,216.797,-37.109,-62.988,-87.891
1630094477.814,-90.332,-29.785,-16.113,-63.477
1630094477.818,-321.289,5.859,-5.371,-48.340
1630094477.822,-138.184,-19.043,-74.707,-109.375
1630094477.826,197.754,-29.785,-77.148,-122.559
1630094477.830,19.043,-23.438,-3.906,-99.609
1630094477.832,-396.484,-39.551,-35.645,-125.000
1630094477.836,-319.336,-32.715,-78.125,-166.016
1630094477.840,73.730,-18.555,-74.707,-180.176
1630094477.844,44.922,-0.488,-1.953,-168.945
1630094477.848,-347.168,-11.230,-4.395,-186.523
