timestamps,TP9,AF7,AF8,TP10
1630096414.989,-27.832,-71.777,-80.078,-364.746
1630096414.993,-26.367,-67.871,-42.969,-341.797
1630096414.997,-41.016,-40.039,-18.066,192.871
1630096415.001,-60.059,-30.762,-40.527,243.164
1630096415.005,-52.246,-41.016,-66.406,-217.285
1630096415.009,-48.340,-45.898,-46.875,-374.512
1630096415.013,-9.277,-23.926,-4.883,100.098
1630096415.017,9.766,-20.020,-15.625,326.660
1630096415.020,-35.156,-40.527,-63.477,-57.129
1630096415.024,-40.039,-52.246,-62.988,-413.574
1630096415.028,-20.508,-49.805,-21.973,-70.801
1630096415.032,-27.832,-31.738,-20.020,299.316
1630096415.032,-27.832,-31.738,-20.020,299.316
1630096415.033,-40.527,-38.086,-50.781,65.918
1630096415.037,-18.066,-50.293,-49.316,-358.398
1630096415.041,-4.395,-37.598,3.418,-162.109
1630096415.045,-27.832,-35.156,-6.836,283.203
1630096415.049,-38.574,-42.480,-58.105,169.434
1630096415.053,-35.645,-36.133,-68.848,-296.387
1630096415.057,1.953,9.277,9.766,-256.348
1630096415.061,5.371,-14.648,11.230,199.219
1630096415.064,-21.973,-56.152,-44.434,223.633
1630096415.068,-33.203,-36.621,-66.406,-200.684
1630096415.072,-60.059,-32.715,-51.270,-433.105
1630096415.076,-62.012,-37.109,-17.090,-2.930
1630096415.079,-41.016,-38.086,-26.367,264.160
1630096415.083,-30.273,-40.039,-56.152,-38.086
1630096415.087,-27.832,-37.598,-60.547,-413.086
1630096415.091,-11.230,-24.902,-26.855,-121.582
1630096415.095,-18.066,-34.180,-28.320,314.453
1630096415.099,-21.484,-29.785,-30.273,187.500
1630096415.103,-26.367,-14.160,-27.832,-330.566
1630096415.107,-50.781,-32.227,-33.691,-311.523
1630096415.110,-38.086,-37.598,-30.762,202.148
1630096415.114,-42.969,-26.855,-41.504,208.984
1630096415.118,-44.434,-28.809,-62.500,-270.508
1630096415.122,-31.250,-32.715,-41.992,-364.258
1630096415.137,-10.254,-28.809,-20.020,145.996
1630096415.141,-25.391,-41.504,-27.832,316.895
1630096415.145,-63.965,-50.781,-52.246,-150.879
1630096415.149,-56.641,-47.852,-41.504,-423.828
1630096415.153,-23.438,-50.781,-5.371,18.555
1630096415.157,15.625,-32.227,23.438,371.582
1630096415.161,-26.367,-45.898,-39.551,56.152
1630096415.165,-68.848,-47.852,-69.336,-422.363
1630096415.168,-37.598,-10.254,-15.137,-139.648
1630096415.172,0.488,0.488,-3.906,330.078
1630096415.176,-10.742,-31.738,-31.738,151.367
1630096415.180,-75.684,-49.316,-52.246,-383.789
1630096415.183,-69.824,-41.992,-21.484,-309.082
1630096415.187,-43.945,-33.203,-9.766,237.305
1630096415.191,-45.898,-45.410,-35.156,237.793
