timestamps,TP9,AF7,AF8,TP10
1630096161.788,-50.781,-35.645,-53.223,-317.383
1630096161.792,-78.613,-57.129,-33.203,-1000.000
1630096161.796,-61.035,-47.363,17.090,179.199
1630096161.800,-35.645,-30.273,-1.465,-918.457
1630096161.804,-58.105,-54.688,-71.777,48.828
1630096161.808,-82.031,-64.941,-67.871,-1000.000
1630096161.812,-25.879,-53.223,2.930,-208.984
1630096161.815,19.531,-24.902,11.230,-958.496
1630096161.819,-10.742,-4.883,-20.020,488.770
1630096161.823,-74.707,-35.156,-61.035,-905.273
1630096161.827,-44.434,-33.691,-6.348,-581.055
1630096161.831,8.789,2.930,33.203,844.727
1630096161.833,-31.738,-11.719,-12.695,769.531
1630096161.837,-74.707,-49.316,-69.336,-604.004
1630096161.841,-66.895,-42.969,-24.414,-854.492
1630096161.845,-30.762,-28.809,15.625,479.980
1630096161.849,-23.438,-37.598,-30.273,952.637
1630096161.853,-69.824,-59.570,-97.656,-262.695
1630096161.857,-78.125,-62.500,-66.895,-1000.000
1630096161.860,-14.648,-16.602,23.926,137.207
1630096161.864,27.832,12.695,21.973,-914.551
1630096161.868,-40.039,-41.016,-59.082,100.098
1630096161.872,-78.613,-55.176,-71.289,-1000.000
1630096161.876,-41.016,-25.879,2.930,-307.617
1630096161.879,-18.066,-26.855,0.488,-978.027
1630096161.883,-50.293,-62.500,-58.105,580.566
1630096161.887,-61.035,-68.848,-76.660,-828.125
1630096161.891,-30.273,-20.996,5.371,-645.996
1630096161.895,6.348,2.441,29.785,753.418
1630096161.899,-8.789,-14.648,-27.344,827.637
1630096161.903,-83.496,-36.621,-80.566,-493.652
1630096161.906,-36.621,-17.578,-19.531,-870.605
1630096161.910,-2.930,-20.508,15.137,437.988
1630096161.914,-46.387,-49.805,-47.363,969.238
1630096161.918,-50.293,-46.875,-81.543,-202.148
1630096161.922,-20.020,-53.711,-46.875,-1000.000
1630096161.923,19.531,-51.758,13.672,22.461
1630096161.927,-24.414,-24.414,-7.324,-934.082
1630096161.931,-51.270,-28.320,-68.848,203.125
1630096161.935,-52.734,-49.805,-71.777,-1000.000
1630096161.939,-30.762,-33.203,5.859,-377.930
1630096161.943,-5.371,-25.391,8.301,976.562
1630096161.947,-8.789,-20.508,-29.297,706.543
1630096161.950,1.465,10.742,-22.461,-666.992
1630096161.954,11.719,-8.301,21.973,-739.258
1630096161.958,-4.395,-29.297,7.324,643.066
1630096161.962,-9.766,-19.043,-40.039,852.051
1630096161.966,-47.852,-24.414,-80.566,-430.664
1630096161.968,-72.266,-47.852,-40.039,-962.891
1630096161.972,-2.930,-38.086,6.836,269.043
1630096161.976,11.719,-13.672,-20.508,-925.781
1630096161.980,-39.062,-28.809,-81.543,-15.137
1630096161.984,-65.918,-66.406,-69.824,-1000.000
1630096161.988,2.441,-56.641,31.738,-42.969
1630096161.992,35.645,2.441,43.457,-898.926
1630096161.995,-38.086,-7.812,-40.527,356.445
1630096161.999,-67.383,-47.852,-69.824,-996.582
1630096162.003,2.441,-18.066,20.996,-461.426
1630096162.007,24.902,-8.789,30.762,952.148
1630096162.011,-25.879,-36.133,-61.523,682.129
1630096162.028,-53.711,-26.855,-104.004,-697.266
1630096162.032,-32.227,-20.508,-22.949,-753.906
1630096162.036,10.254,-9.277,22.949,609.375
1630096162.040,-26.855,-9.766,-20.020,948.730
1630096162.044,-62.012,-33.203,-88.379,-315.430
1630096162.048,-48.828,-48.340,-43.945,-957.520
1630096162.052,-5.371,-34.180,32.715,278.809
1630096162.055,19.531,-24.414,-10.742,-913.086
1630096162.059,-36.621,-55.176,-83.008,62.500
1630096162.063,-31.738,-26.855,-34.668,-1000.000
1630096162.067,43.457,24.414,62.988,-101.074
1630096162.071,6.836,-4.883,11.230,-944.336
1630096162.073,-42.969,-16.602,-67.383,417.480
1630096162.077,-24.902,-9.766,-70.801,-923.828
1630096162.081,5.859,-20.020,15.625,-574.707
1630096162.085,-38.086,-29.297,8.789,817.871
1630096162.089,-70.312,-26.855,-58.594,770.996
1630096162.093,-52.246,-35.156,-78.613,-579.102
1630096162.097,-34.668,-51.758,-9.277,-797.363
1630096162.100,-31.738,-69.336,6.348,533.203
1630096162.104,-13.672,-32.715,-37.598,976.074
1630096162.108,-4.395,18.066,-49.316,-213.867
1630096162.112,-35.645,-12.695,-23.926,-1000.000
1630096162.116,2.930,-30.762,12.695,124.512
1630096162.119,9.277,-23.926,-13.184,-917.969
1630096162.123,-30.762,-20.508,-62.012,178.711
1630096162.127,-42.480,-20.508,-65.918,-1000.000
1630096162.131,-34.668,-28.320,-7.324,-333.008
1630096162.135,-7.324,-24.414,19.531,-980.957
1630096162.139,-38.086,-41.504,-19.043,602.051
1630096162.143,-53.711,-65.430,-74.707,-821.777
1630096162.146,-30.762,-52.246,-19.531,-653.320
1630096162.150,28.809,18.066,44.922,750.000
1630096162.154,78.613,70.801,31.738,895.020
1630096162.158,-30.762,-0.977,-51.758,-445.801
1630096162.162,-58.594,-35.156,-16.602,-892.090
1630096162.164,10.742,-13.184,25.879,429.199
1630096162.168,-1.953,-10.742,-13.184,-959.473
1630096162.172,-37.109,-14.648,-72.754,-129.883
1630096162.176,-30.762,-16.602,-66.406,-1000.000
1630096162.180,10.254,-8.789,21.973,66.406
1630096162.184,4.883,-20.996,8.301,-903.809
1630096162.188,-50.293,-57.617,-72.754,190.918
1630096162.191,-54.688,-58.105,-66.895,-1000.000
1630096162.195,-18.066,-1.953,40.527,-329.102
1630096162.199,-20.508,-1.465,19.531,981.445
1630096162.203,-44.922,-32.715,-63.477,548.828
