timestamps,TP9,AF7,AF8,TP10
1630096938.336,175.293,-56.152,150.391,160.156
1630096938.340,-1000.000,-56.152,-1000.000,-1000.000
1630096938.344,-205.566,-37.598,-44.434,-75.195
1630096938.348,-782.227,-36.133,-761.719,-753.906
1630096938.352,440.918,-50.781,370.117,334.473
1630096938.356,-1000.000,-52.246,-1000.000,-1000.000
1630096938.360,-295.410,-21.973,-297.363,-284.668
1630096938.363,-896.973,-10.254,-877.930,-865.234
1630096938.367,919.922,-33.203,844.727,804.688
1630096938.371,-649.414,-49.316,-748.047,-819.824
1630096938.375,-718.262,-36.621,-584.961,-597.656
1630096938.379,858.887,-24.414,917.969,931.641
1630096938.381,-838.867,-23.926,-854.004,-864.258
1630096938.385,28.809,-28.320,-57.617,-84.473
1630096938.389,-1000.000,-40.039,-1000.000,-1000.000
1630096938.393,94.727,-33.691,355.469,276.367
1630096938.397,-744.629,-16.602,-760.254,-752.441
1630096938.401,188.477,-32.227,179.199,181.152
1630096938.405,-1000.000,-57.617,-1000.000,-1000.000
1630096938.408,-278.809,-30.762,-191.895,-249.512
1630096938.412,-815.430,-23.438,-791.992,-795.410
1630096938.416,559.570,-26.855,504.395,452.148
1630096938.420,-1000.000,-39.551,-1000.000,-1000.000
1630096938.424,-375.000,-40.039,-333.496,-309.570
1630096938.426,-944.824,-32.715,-913.086,-898.438
1630096938.430,-982.910,-36.621,953.613,914.062
1630096938.434,-461.426,-40.527,-568.848,-653.809
1630096938.438,-870.117,-40.527,-713.867,-712.402
1630096938.442,689.453,-30.762,811.035,845.215
1630096938.446,-798.828,-27.832,-820.312,-831.055
1630096938.450,136.230,-39.551,46.387,27.832
1630096938.453,-1000.000,-63.477,-1000.000,-1000.000
1630096938.457,25.391,-44.434,249.023,186.523
1630096938.461,-741.211,-26.367,-750.488,-744.629
1630096938.465,190.430,-48.340,206.543,184.082
1630096938.469,-1000.000,-55.176,-1000.000,-1000.000
1630096938.471,-274.414,-36.133,-230.469,-270.508
1630096938.475,-839.355,-26.855,-816.406,-811.523
1630096938.479,674.316,-45.898,615.234,559.082
1630096938.483,-983.887,-60.547,-1000.000,-1000.000
1630096938.487,-459.961,-35.156,-380.859,-339.355
1630096938.491,999.023,-20.508,-960.449,-945.312
1630096938.495,-895.508,-35.156,-942.871,-955.078
1630096938.498,-238.281,-50.781,-353.516,-393.066
1630096938.502,-989.746,-38.086,-819.824,-843.750
1630096938.506,523.438,-21.484,704.102,712.402
1630096938.510,-777.344,-32.715,-805.176,-804.688
1630096938.514,171.875,-45.898,135.742,149.414
1630096938.516,-1000.000,-49.805,-1000.000,-1000.000
1630096938.520,-162.109,-33.691,-10.742,-36.621
1630096938.524,-768.066,-27.344,-755.859,-748.535
1630096938.528,352.051,-40.039,296.387,252.930
1630096938.532,-1000.000,-46.387,-1000.000,-1000.000
1630096938.536,-282.715,-29.785,-261.719,-279.297
1630096938.540,-873.047,-23.438,-852.051,-843.750
1630096938.543,828.613,-27.344,758.789,702.148
1630096938.547,-787.598,-39.551,-856.445,-945.801
1630096938.551,-657.227,-36.621,-506.836,-520.508
1630096938.555,894.531,-24.414,967.285,963.379
1630096938.559,-838.867,-32.715,-867.676,-867.676
1630096938.562,-83.008,-48.828,-175.293,-196.289
1630096938.566,-1000.000,-48.828,-880.371,-938.965
1630096938.570,380.371,-20.508,606.445,568.359
1630096938.574,-755.371,-25.391,-778.809,-776.367
1630096938.578,173.340,-49.316,154.785,165.527
1630096938.582,-1000.000,-42.969,-1000.000,-1000.000
1630096938.586,-200.195,-24.902,-5.371,-89.355
1630096938.589,-783.691,-26.367,-758.789,-755.371
1630096938.593,453.613,-37.598,407.227,334.961
1630096938.597,-1000.000,-44.434,-1000.000,-1000.000
1630096938.601,-331.543,-20.020,-307.617,-284.668
1630096938.605,-908.691,-4.395,-884.766,-863.770
1630096938.606,929.199,-32.715,872.070,799.805
1630096938.610,-648.438,-50.293,-708.496,-827.637
1630096938.614,-706.055,-32.227,-577.637,-583.984
1630096938.618,863.770,-24.414,919.434,932.129
1630096938.622,-836.914,-33.203,-847.656,-858.887
1630096938.626,67.383,-41.992,-0.977,-44.434
1630096938.630,-1000.000,-32.227,-1000.000,-1000.000
1630096938.633,85.938,-8.789,333.984,280.273
1630096938.637,-741.699,-28.809,-752.930,-747.559
1630096938.641,187.988,-53.223,175.293,176.758
1630096938.645,-1000.000,-46.875,-1000.000,-1000.000
1630096938.649,-278.809,-16.602,-166.016,-215.332
1630096938.651,-822.266,-17.578,-794.922,-793.945
1630096938.655,592.773,-40.527,546.387,517.578
1630096938.659,-1000.000,-57.129,-1000.000,-1000.000
1630096938.663,-440.918,-48.828,-351.074,-326.660
1630096938.667,-998.535,-45.898,-949.219,-939.453
1630096938.671,-900.391,-55.176,-953.613,-961.914
1630096938.675,-304.199,-66.406,-407.715,-448.242
1630096938.678,-911.621,-77.637,-713.379,-730.957
1630096938.682,635.742,-69.336,816.406,836.426
1630096938.686,-790.039,-72.754,-819.824,-824.707
1630096938.690,165.527,-83.496,87.402,98.145
1630096938.694,-1000.000,-101.074,-1000.000,-1000.000
1630096938.711,-75.195,-95.215,151.855,86.914
1630096938.715,-752.441,-90.332,-747.070,-741.699
1630096938.719,258.301,-116.699,255.859,200.684
1630096938.723,-1000.000,-133.789,-1000.000,-1000.000
1630096938.727,-282.715,-101.562,-234.863,-280.273
1630096938.731,-836.426,-81.543,-824.707,-816.406
1630096938.735,666.504,-113.281,669.434,554.199
1630096938.738,-987.793,-136.230,-953.125,-1000.000
1630096938.742,-559.082,-111.816,-412.598,-444.336
1630096938.746,951.172,-88.379,-983.887,-981.445
1630096938.750,-885.742,-98.633,-900.879,-962.891
1630096938.754,-216.797,-125.488,-263.672,-393.555
1630096938.756,-1000.000,-117.676,-827.637,-984.863
1630096938.760,388.672,-81.055,687.988,539.062
1630096938.764,-762.207,-83.984,-792.480,-786.133
1630096938.768,172.363,-105.469,123.535,95.215
1630096938.772,-1000.000,-100.586,-1000.000,-1000.000
1630096938.776,-162.598,-82.031,74.707,-67.871
1630096938.780,-767.578,-80.566,-748.535,-759.277
1630096938.783,328.613,-92.773,322.754,228.516
1630096938.787,-1000.000,-96.680,-1000.000,-1000.000
1630096938.791,-285.645,-77.148,-256.348,-278.320
1630096938.795,-854.492,-71.777,-844.727,-829.590
1630096938.799,752.441,-82.031,753.906,614.746
1630096938.802,-885.254,-90.820,-859.375,-1000.000
1630096938.806,-642.090,-66.895,-473.145,-541.016
1630096938.810,901.367,-42.969,983.887,958.496
1630096938.814,-857.910,-52.246,-874.512,-901.367
1630096938.818,-94.727,-67.383,-160.645,-264.648
1630096938.822,-1000.000,-65.430,-898.438,-1000.000
1630096938.826,255.371,-46.875,580.078,431.641
1630096938.829,-752.930,-48.340,-783.203,-772.461
1630096938.833,183.105,-61.035,163.574,166.992
1630096938.837,-1000.000,-63.477,-1000.000,-1000.000
1630096938.841,-278.320,-49.805,-107.910,-203.613
1630096938.845,-802.734,-41.016,-770.020,-780.762
1630096938.846,449.707,-49.316,400.879,332.031
1630096938.850,-1000.000,-65.430,-1000.000,-1000.000
1630096938.854,-309.082,-50.293,-293.457,-277.832
1630096938.858,-915.039,-38.574,-900.391,-872.070
1630096938.862,953.613,-45.898,921.875,815.430
1630096938.866,-574.219,-58.594,-628.418,-789.551
1630096938.870,-816.406,-62.012,-625.000,-691.895
1630096938.873,751.953,-37.598,890.625,859.375
1630096938.877,-816.895,-22.461,-844.727,-848.633
1630096938.881,102.539,-43.457,30.762,-29.297
1630096938.885,-1000.000,-56.152,-1000.000,-1000.000
1630096938.889,3.418,-29.785,220.703,140.137
1630096938.891,-748.047,-24.414,-748.535,-747.070
1630096938.895,194.336,-47.852,192.383,186.523
