timestamps,TP9,AF7,AF8,TP10
1630096836.187,-930.176,-47.363,-479.492,-1000.000
1630096836.191,-878.906,-51.758,-984.863,-665.527
1630096836.195,835.938,-36.621,604.004,952.148
1630096836.199,948.242,-32.715,-778.809,754.395
1630096836.203,-752.930,-51.758,64.453,-901.367
1630096836.207,-1000.000,-50.293,-936.035,-987.793
1630096836.211,678.711,-21.973,413.574,699.707
1630096836.214,-998.047,-30.762,-785.645,987.305
1630096836.218,-677.246,-58.594,559.082,-725.586
1630096836.222,-1000.000,-54.688,-859.375,-1000.000
1630096836.226,465.820,-31.250,-280.273,612.793
1630096836.230,-911.133,-33.691,-894.531,-965.820
1630096836.231,-421.875,-60.059,872.559,-566.406
1630096836.235,-1000.000,-67.383,-727.051,-1000.000
1630096836.239,-227.051,-46.387,-828.613,100.098
1630096836.243,-907.715,-26.855,792.969,-850.586
1630096836.247,589.844,-36.133,-864.258,212.402
1630096836.251,-979.980,-47.363,-313.477,-1000.000
1630096836.255,-944.336,-51.270,-991.699,-771.973
1630096836.258,750.488,-37.598,554.199,868.652
1630096836.262,918.457,-40.527,-783.691,750.000
1630096836.266,-818.359,-59.570,165.527,-926.758
1630096836.270,-1000.000,-62.988,-965.820,-997.559
1630096836.274,680.176,-49.805,220.215,672.852
1630096836.276,991.211,-50.293,-805.176,999.512
1630096836.280,-663.574,-52.734,641.602,-694.336
1630096836.284,-1000.000,-44.434,-826.172,-1000.000
1630096836.288,284.668,-38.086,-451.660,482.422
1630096836.292,-818.848,-36.133,-970.215,-879.395
1630096836.296,43.945,-60.059,965.332,-301.758
1630096836.300,-1000.000,-78.613,-628.418,-1000.000
1630096836.303,-553.223,-52.734,-915.039,-177.246
1630096836.307,-985.840,-28.320,723.145,-904.785
1630096836.311,628.418,-43.457,-833.496,261.230
1630096836.315,-992.188,-51.270,-246.094,-1000.000
1630096836.319,-967.773,-47.852,-1000.000,-816.895
1630096836.321,678.711,-40.527,496.582,794.922
1630096836.325,-985.352,-41.504,-772.949,930.176
1630096836.329,-713.867,-53.711,310.059,-782.227
1630096836.333,-1000.000,-49.805,-916.504,-1000.000
1630096836.337,648.438,-32.715,163.086,666.504
