timestamps,TP9,AF7,AF8,TP10
1628133351.222,-0.977,-42.969,-22.949,-21.973
1628133351.226,8.301,-47.363,-27.832,-9.277
1628133351.230,-71.289,-28.809,-26.855,-73.242
1628133351.234,-90.332,-20.996,-20.996,-90.820
1628133351.238,-17.578,-21.484,-37.598,-38.086
1628133351.242,29.297,-17.578,-48.340,-0.488
1628133351.246,-45.410,-22.949,-50.781,-52.734
1628133351.249,-108.887,-47.363,-56.152,-104.980
1628133351.253,-36.621,-50.781,-50.293,-51.270
1628133351.257,39.062,-26.855,-20.996,16.602
1628133351.261,-13.672,-29.785,-17.578,-23.438
1628133351.265,-89.844,-40.039,-41.016,-90.820
1628133351.274,-51.758,-40.527,-34.668,-63.965
1628133351.278,35.156,-33.691,-14.648,6.348
1628133351.282,9.277,-36.621,-25.391,-4.395
1628133351.286,-70.312,-52.246,-37.109,-71.289
1628133351.290,-59.082,-45.898,-22.949,-60.059
1628133351.294,9.766,-33.203,-14.648,-2.930
1628133351.298,19.043,-27.344,-23.926,5.371
1628133351.301,-65.918,-28.809,-52.734,-54.688
1628133351.305,-106.445,-37.598,-52.246,-95.703
1628133351.309,-32.715,-20.020,-27.344,-39.062
1628133351.313,17.090,-9.766,-21.973,2.930
1628133351.317,-38.574,-40.039,-28.809,-33.691
1628133351.312,-94.238,-44.434,-27.344,-69.336
1628133351.316,-47.852,-16.113,-16.602,-28.320
1628133351.320,12.207,-23.438,-26.367,18.555
1628133351.324,-29.297,-44.434,-41.504,-10.254
1628133351.328,-98.145,-39.062,-31.738,-62.500
1628133351.332,-66.895,-24.902,-16.602,-52.246
1628133351.336,14.160,-28.809,-16.113,-1.465
1628133351.339,-0.488,-31.250,-20.996,-4.395
1628133351.343,-66.895,-19.531,-30.273,-59.570
1628133351.347,-67.871,-17.090,-51.270,-68.359
1628133351.351,-7.324,-18.555,-45.410,-10.254
1628133351.355,26.367,-21.484,-17.090,16.113
1628133351.354,-40.527,-26.855,-13.184,-43.457
1628133351.358,-97.168,-36.621,-32.227,-81.055
1628133351.362,-28.809,-42.480,-38.574,-33.691
1628133351.366,24.902,-31.738,-34.668,13.672
1628133351.370,-27.344,-40.527,-36.621,-20.508
1628133351.374,-85.449,-52.734,-25.879,-59.082
1628133351.378,-47.363,-36.621,-34.180,-26.367
1628133351.381,31.250,-20.020,-37.598,23.926
1628133351.385,-12.695,-32.227,-22.949,-2.441
1628133351.389,-102.539,-18.066,-23.926,-72.266
1628133351.393,-79.590,-0.488,-41.992,-63.965
1628133351.397,-1.953,-18.555,-41.016,3.418
1628133351.411,1.953,-30.273,-13.672,13.672
1628133351.415,-58.105,-28.320,-15.137,-39.062
1628133351.419,-73.242,-23.438,-22.461,-61.035
1628133351.423,-7.324,-30.273,-19.531,-15.625
1628133351.427,25.391,-33.691,-17.090,10.254
1628133351.431,-44.434,-31.250,-16.113,-39.551
1628133351.435,-83.496,-35.645,-34.180,-66.895
1628133351.438,-22.461,-36.621,-55.176,-20.020
1628133351.442,30.762,-45.898,-50.781,19.531
1628133351.446,-20.020,-57.617,-31.738,-17.578
1628133351.450,-91.309,-41.504,-24.902,-73.730
1628133351.454,-54.688,-25.879,-27.344,-48.828
1628133351.447,23.438,-35.645,-27.344,15.137
1628133351.451,3.418,-44.434,-46.875,4.883
1628133351.455,-79.590,-37.598,-57.617,-57.617
1628133351.459,-74.707,-23.926,-42.480,-56.641
1628133351.463,11.719,-11.230,-30.762,7.324
1628133351.467,19.043,-11.230,-17.578,14.648
1628133351.471,-75.195,-44.922,-13.672,-52.246
1628133351.474,-108.398,-65.918,-26.367,-81.543
1628133351.478,-39.062,-53.711,-45.898,-36.133
1628133351.482,10.742,-31.738,-36.133,4.883
1628133351.486,-48.828,-34.668,-23.438,-39.062
1628133351.490,-100.098,-47.363,-28.320,-90.332
1628133351.500,-32.715,-36.621,-22.461,-44.434
1628133351.504,32.227,-15.625,-39.551,11.230
1628133351.508,-6.348,-11.719,-51.270,-11.230
1628133351.512,-81.543,-31.250,-40.039,-77.637
1628133351.516,-55.664,-30.273,-28.809,-67.871
1628133351.520,24.414,-18.555,-19.531,0.488
1628133351.524,3.906,-38.574,-13.672,-6.836
1628133351.527,-76.660,-52.246,-20.996,-69.336
1628133351.531,-76.660,-38.086,-33.691,-72.266
1628133351.535,17.578,-25.879,-34.180,1.465
1628133351.539,38.086,-47.852,-18.066,18.555
1628133351.543,-56.641,-58.594,-19.531,-52.246
1628133351.537,-83.008,-24.414,-29.785,-76.660
1628133351.541,-11.230,-3.906,-32.715,-23.926
1628133351.545,13.672,-11.230,-41.504,7.812
1628133351.549,-57.129,-31.250,-38.086,-40.527
1628133351.553,-111.328,-37.598,-24.414,-87.891
1628133351.557,-52.734,-29.785,-25.879,-47.852
1628133351.561,36.133,-18.555,-30.762,16.113
1628133351.564,2.930,-30.273,-33.691,-11.230
1628133351.568,-73.730,-45.898,-45.410,-68.848
1628133351.572,-47.852,-35.156,-33.691,-43.457
1628133351.576,34.668,-19.531,-6.836,25.391
1628133351.580,19.531,-27.832,-12.695,6.836
1628133351.596,-76.660,-39.551,-35.645,-73.242
1628133351.600,-67.383,-22.461,-42.480,-62.012
1628133351.604,29.785,-10.742,-18.555,18.066
1628133351.608,33.203,-26.855,-23.926,22.461
1628133351.612,-33.691,-32.227,-41.992,-44.922
1628133351.616,-57.129,-20.996,-32.715,-64.941
1628133351.620,-2.930,-27.344,-33.203,-15.137
1628133351.623,53.711,-33.691,-36.621,25.879
1628133351.627,1.953,-25.391,-41.504,-17.578
1628133351.631,-69.824,-22.949,-48.340,-69.336
1628133351.635,-19.531,-21.484,-61.035,-26.367
1628133351.639,56.152,-24.414,-62.012,36.621
1628133351.631,19.043,-31.738,-34.668,17.090
1628133351.635,-70.801,-45.410,-25.391,-62.988
1628133351.639,-57.617,-29.785,-30.762,-63.965
1628133351.643,32.715,-12.695,-13.672,20.020
1628133351.647,35.645,-40.039,-14.160,36.621
1628133351.651,-35.156,-49.805,-30.762,-21.484
1628133351.655,-58.105,-23.438,-39.062,-52.734
1628133351.658,5.371,-12.207,-38.086,-9.766
1628133351.662,26.855,-27.344,-35.645,11.719
1628133351.666,-43.457,-28.809,-38.086,-40.527
1628133351.670,-76.660,-20.996,-39.551,-61.523
1628133351.674,-17.090,-37.598,-41.016,-10.254
1628133351.688,30.762,-60.059,-41.504,27.832
1628133351.692,-13.184,-60.059,-36.133,-15.625
1628133351.696,-78.613,-34.668,-32.715,-78.125
1628133351.700,-49.805,-16.113,-32.715,-51.270
1628133351.704,40.527,-10.254,-28.320,16.602
1628133351.708,29.785,-6.836,-25.879,11.719
1628133351.712,-63.965,-38.574,-28.809,-57.617
1628133351.715,-62.500,-47.852,-18.066,-55.664
1628133351.719,17.090,-26.367,-19.043,8.301
1628133351.723,24.414,-27.832,-35.156,16.113
1628133351.727,-45.898,-40.527,-34.180,-30.273
1628133351.731,-71.777,-40.527,-36.133,-46.387
1628133351.725,-1.465,-21.484,-32.227,7.812
1628133351.729,41.504,-4.395,-17.578,35.645
1628133351.733,-26.367,-24.414,-25.879,-21.484
1628133351.737,-81.055,-42.480,-30.762,-63.477
1628133351.741,-35.156,-33.203,-30.273,-32.715
1628133351.745,20.996,-35.156,-38.086,12.695
1628133351.749,-14.160,-43.945,-41.504,-9.277
1628133351.752,-79.590,-34.180,-42.969,-61.035
1628133351.756,-46.875,-14.648,-47.363,-41.504
1628133351.760,41.504,-8.789,-35.645,21.484
1628133351.764,30.273,-16.602,-31.250,17.578
1628133351.768,-52.246,-23.438,-30.762,-39.062
1628133351.781,-57.129,-26.367,-18.066,-46.387
1628133351.785,16.113,-33.691,-14.648,0.488
1628133351.789,35.156,-34.668,-19.531,21.484
1628133351.793,-47.363,-40.039,-27.832,-42.969
1628133351.797,-92.285,-45.410,-31.738,-85.449
1628133351.801,-22.949,-28.320,-28.809,-24.414
1628133351.805,30.273,-8.301,-25.879,25.879
1628133351.808,-36.621,-18.066,-38.574,-25.879
1628133351.812,-98.633,-39.551,-43.945,-76.172
1628133351.816,-46.875,-38.574,-37.109,-31.738
1628133351.820,26.367,-41.992,-45.898,22.949
1628133351.824,0.977,-45.898,-40.039,0.000
1628133351.820,-76.660,-30.273,-31.738,-60.547
1628133351.824,-71.777,-27.344,-34.668,-62.988
1628133351.828,2.930,-38.086,-38.086,-1.953
1628133351.832,13.184,-37.109,-32.715,6.836
1628133351.836,-60.547,-31.738,-19.531,-48.828
1628133351.840,-76.172,-37.598,-23.926,-60.547
1628133351.844,3.906,-45.410,-30.273,-1.953
1628133351.847,38.574,-29.297,-33.691,23.438
1628133351.851,-38.086,-19.531,-44.434,-39.551
1628133351.855,-93.262,-23.438,-41.992,-76.660
1628133351.859,-30.273,-11.230,-28.320,-31.738
1628133351.863,19.531,-22.949,-22.461,-0.977
1628133351.875,-39.062,-36.133,-21.973,-34.668
1628133351.879,-92.773,-44.922,-34.668,-67.871
1628133351.883,-49.805,-50.781,-42.480,-40.039
1628133351.887,17.090,-36.133,-24.902,6.348
