timestamps,TP9,AF7,AF8,TP10
1628133219.182,-105.469,-26.855,-11.230,-82.520
1628133219.186,-63.965,-18.555,-23.926,-43.945
1628133219.190,21.973,-30.273,-37.109,20.020
1628133219.194,-7.812,-39.062,-41.992,-2.930
1628133219.198,-92.773,-36.133,-27.832,-72.266
1628133219.202,-77.148,-20.996,-20.996,-73.730
1628133219.206,6.836,-18.066,-26.367,-4.395
1628133219.209,26.367,-15.625,-12.207,21.973
1628133219.213,-49.805,-12.695,-20.508,-33.691
1628133219.217,-83.496,-25.879,-50.293,-62.988
1628133219.221,-8.789,-24.902,-36.621,-14.648
1628133219.225,35.645,-19.531,-9.277,26.367
1628133219.238,-29.785,-39.551,-11.230,-20.020
1628133219.242,-84.473,-46.387,-20.020,-65.430
1628133219.246,-37.109,-36.621,-19.531,-19.531
1628133219.250,30.273,-20.020,-31.738,32.715
1628133219.254,2.441,-28.809,-31.738,6.836
1628133219.258,-64.941,-44.922,-16.113,-52.246
1628133219.262,-54.688,-26.855,-17.578,-49.805
1628133219.265,17.578,-23.438,-17.090,-1.465
1628133219.269,13.672,-54.688,-19.043,-6.348
1628133219.273,-68.359,-63.477,-21.484,-62.500
1628133219.277,-77.637,-29.785,-23.438,-72.754
1628133219.281,-1.465,-2.930,-39.551,-14.648
1628133219.283,21.973,7.812,-40.039,4.395
1628133219.287,-44.434,-2.441,-38.086,-48.340
1628133219.291,-73.730,-20.996,-39.551,-73.242
1628133219.295,-0.488,-19.531,-28.809,-21.484
1628133219.299,51.758,-15.625,-21.973,22.949
1628133219.303,-6.836,-31.738,-39.062,-14.648
1628133219.307,-75.684,-42.969,-44.922,-69.336
1628133219.310,-38.574,-37.109,-31.738,-35.645
1628133219.314,33.203,-34.668,-18.066,21.973
1628133219.318,9.766,-39.062,-1.465,3.906
1628133219.322,-72.266,-54.199,-3.418,-61.523
1628133219.326,-70.801,-43.945,-33.691,-70.312
1628133219.331,5.371,-24.414,-41.992,-13.184
1628133219.335,8.789,-20.996,-46.875,-3.906
1628133219.339,-68.848,-32.715,-58.105,-61.035
1628133219.343,-77.637,-22.461,-43.457,-61.035
1628133219.347,2.930,-12.695,-16.113,-0.977
1628133219.351,27.344,-21.484,-6.836,16.113
1628133219.355,-36.133,-27.832,-8.789,-33.691
1628133219.358,-75.195,-26.855,-35.645,-62.500
1628133219.362,-13.184,-14.160,-61.035,-17.578
1628133219.366,35.156,-27.344,-37.598,24.414
1628133219.370,-30.762,-73.242,-27.344,-17.578
1628133219.374,-103.516,-104.980,-30.762,-81.055
1628133219.369,-54.688,-66.406,-15.137,-55.176
1628133219.373,28.320,-12.695,-33.203,20.508
1628133219.377,8.301,0.000,-96.191,23.926
1628133219.381,-75.684,-12.207,-69.824,-54.688
1628133219.385,-79.102,-17.090,16.602,-65.430
1628133219.389,6.836,-1.465,1.465,-8.789
1628133219.393,17.090,-28.320,-15.137,-17.578
1628133219.396,-52.246,-38.086,5.371,-65.430
1628133219.400,-64.453,-13.672,-0.977,-65.918
1628133219.404,-5.859,-25.879,-21.484,-21.484
1628133219.408,23.926,-48.340,-28.320,-5.859
1628133219.412,-28.320,-52.246,-21.484,-46.387
1628133219.425,-78.613,-50.293,-34.180,-88.379
1628133219.429,-30.762,-28.809,-39.551,-58.105
1628133219.433,35.156,-7.324,-31.738,-1.953
1628133219.437,-15.625,-27.344,-34.180,-30.273
1628133219.441,-87.402,-44.922,-33.203,-76.660
1628133219.445,-51.270,-41.504,-25.391,-56.152
1628133219.449,16.113,-39.062,-24.414,-6.836
1628133219.452,-8.301,-47.852,-30.273,-23.438
1628133219.456,-83.496,-45.410,-42.969,-83.984
1628133219.460,-78.613,-25.391,-65.430,-75.195
1628133219.464,-6.348,-23.926,-58.105,-19.531
1628133219.468,15.625,-30.273,-29.297,-2.930
1628133219.463,-53.223,-35.156,-22.461,-57.617
1628133219.467,-86.914,-37.598,-27.832,-87.891
1628133219.471,-16.113,-31.738,-24.414,-29.785
1628133219.475,20.020,-40.039,-22.461,0.488
