timestamps,TP9,AF7,AF8,TP10
1626640339.766,-55.664,-23.438,-57.617,-168.945
1626640339.770,-37.598,-29.785,-37.598,-20.020
1626640339.774,-1.953,-34.180,-19.043,108.887
1626640339.778,-8.789,-27.832,-11.230,-6.348
1626640339.782,-49.805,-32.227,-21.484,-169.434
1626640339.786,-60.059,-22.949,-42.480,-88.379
1626640339.790,-39.551,-22.461,-42.969,78.125
1626640339.793,-29.785,-28.320,-25.879,20.020
1626640339.797,-51.270,-30.273,-22.461,-149.902
1626640339.801,-60.547,-35.645,-37.598,-124.512
1626640339.805,-29.785,-23.438,-44.922,56.152
1626640339.809,-6.836,-17.578,-29.297,79.102
1626640339.831,-21.973,-21.973,-20.020,-82.520
1626640339.835,-46.875,-28.809,-32.715,-145.020
1626640339.839,-17.090,-22.949,-22.949,29.297
1626640339.843,2.930,-10.254,-22.949,116.211
1626640339.847,-19.531,-15.137,-29.785,-37.598
1626640339.851,-18.555,-14.648,-0.488,-119.141
1626640339.855,-7.324,4.883,-4.395,-0.488
1626640339.858,-11.230,-6.836,-41.504,102.539
1626640339.862,-33.691,-34.668,-56.152,-8.301
1626640339.866,-50.781,-21.973,-42.480,-157.227
1626640339.870,-20.020,-54.688,-15.625,-60.059
1626640339.874,1.953,-97.656,-13.672,102.539
1626640339.834,-20.020,-41.016,-26.855,42.480
1626640339.838,-43.945,-25.391,-26.367,-132.324
1626640339.842,-45.410,-32.715,-35.645,-132.812
1626640339.846,-27.832,-27.344,-44.922,39.062
1626640339.850,-21.484,-15.625,-41.504,63.965
1626640339.854,-27.832,-5.859,-36.133,-90.332
1626640339.858,-35.645,-23.926,-37.109,-144.043
1626640339.861,-21.973,-31.250,-33.203,9.277
1626640339.865,2.441,-37.109,-16.602,113.770
1626640339.869,-8.789,-20.508,-11.230,-18.066
1626640339.873,-30.273,-7.812,-15.137,-136.719
1626640339.877,-45.898,-30.762,-32.227,-50.293
1626640339.905,-40.039,-16.113,-37.109,76.660
1626640339.909,-20.996,-30.762,-23.926,17.090
1626640339.913,-49.316,-67.383,-27.832,-153.320
1626640339.917,-49.316,-32.715,-32.715,-109.375
1626640339.921,-2.930,-27.344,-27.832,88.867
1626640339.925,3.418,-30.762,-29.297,74.707
1626640339.929,-40.527,-29.785,-36.621,-125.488
1626640339.932,-61.523,-24.902,-34.668,-151.367
1626640339.936,-38.086,0.977,-19.531,26.855
1626640339.940,-37.598,-14.648,-31.738,59.082
1626640339.944,-58.105,-40.039,-50.781,-112.305
1626640339.948,-55.176,-27.832,-32.227,-169.434
1626640339.939,-15.625,-2.930,-8.301,3.906
1626640339.943,-12.695,-16.602,-14.160,102.051
1626640339.947,-40.039,-40.527,-27.344,-38.086
1626640339.951,-55.176,-40.039,-44.434,-175.293
1626640339.955,-36.133,-13.184,-30.273,-69.824
1626640339.959,-13.672,-18.555,-17.090,90.820
1626640339.963,-24.414,-40.527,-36.621,16.602
1626640339.966,-51.270,-40.039,-53.223,-163.574
1626640339.970,-47.363,-26.367,-41.016,-120.117
1626640339.974,-8.301,-17.090,-21.484,78.613
1626640339.978,9.766,-58.105,-4.883,86.426
1626640339.982,-32.227,-61.035,-27.832,-107.910
1626640339.981,-53.223,-26.367,-49.805,-153.809
1626640339.985,-27.344,-12.207,-40.527,20.996
1626640339.989,-2.930,-10.742,-37.109,104.004
1626640339.993,-6.348,-18.066,-26.367,-33.691
1626640339.997,-36.133,-23.926,-20.508,-140.625
1626640340.001,-38.086,-28.809,-28.809,-19.531
1626640340.005,-25.391,-27.344,-41.992,97.168
1626640340.008,-40.527,-31.250,-50.293,-17.578
1626640340.012,-45.410,-32.715,-32.227,-147.949
1626640340.016,-31.738,-37.598,-25.391,-69.336
1626640340.020,-9.277,-31.738,-20.020,92.773
1626640340.024,-5.371,-9.277,-15.625,52.246
1626640340.055,-29.785,-1.465,-29.785,-126.465
1626640340.059,-49.316,-61.035,-45.898,-129.883
1626640340.063,-22.949,-45.410,-28.809,54.199
1626640340.067,-8.789,-9.766,-13.184,78.613
1626640340.071,-50.781,-47.363,-32.227,-110.352
1626640340.075,-68.848,-41.504,-43.457,-165.039
1626640340.079,-41.504,-44.434,-40.039,-2.441
1626640340.082,-56.641,-139.160,-56.152,49.805
1626640340.086,-80.078,-150.391,-62.988,-102.539
1626640340.090,-54.688,-40.527,-38.086,-173.340
1626640340.094,-27.344,-8.789,-32.227,-36.621
1626640340.098,-11.230,-19.531,-33.203,98.633
1626640340.103,-11.719,-31.738,-26.855,14.160
1626640340.107,-34.180,-34.180,-32.227,-140.137
1626640340.111,-34.668,-10.742,-32.227,-76.660
1626640340.115,-17.578,-4.883,-19.043,90.332
1626640340.119,-21.973,-33.203,-16.602,58.105
1626640340.123,-35.156,-45.898,-10.254,-106.445
1626640340.127,-32.715,-15.625,-4.395,-103.516
1626640340.130,-22.949,-15.137,-20.508,54.199
1626640340.134,-14.160,-20.020,-22.949,87.891
1626640340.138,-20.508,-28.809,-14.648,-73.242
1626640340.142,-38.574,-30.762,-32.715,-148.438
1626640340.146,-17.578,3.906,-32.227,11.230
1626640340.123,4.395,9.277,-16.113,121.094
1626640340.127,-22.461,-17.578,-26.367,-19.531
1626640340.131,-39.062,-39.551,-23.926,-146.973
1626640340.135,-17.578,-42.969,-11.719,-33.203
1626640340.139,-2.441,-12.207,-18.555,102.539
1626640340.143,-15.137,-0.977,-31.250,21.973
1626640340.147,-44.922,-15.625,-36.621,-149.414
1626640340.150,-31.250,-19.043,-27.832,-104.492
1626640340.154,12.695,-7.324,-20.508,87.402
1626640340.158,7.324,9.766,-28.809,72.754
1626640340.162,-25.879,-3.418,-33.203,-113.281
1626640340.166,-41.016,-22.949,-34.668,-143.066
1626640340.175,-38.086,-22.461,-34.668,17.578
1626640340.179,-25.391,-66.406,-33.691,83.984
1626640340.183,-44.434,-127.441,-59.570,-77.637
1626640340.187,-64.941,-89.844,-60.547,-175.781
1626640340.191,-25.879,-29.297,-20.020,-12.207
1626640340.195,-5.371,-18.066,-11.719,105.957
1626640340.199,-29.297,-44.434,-25.391,-22.461
1626640340.202,-49.316,-35.645,-20.508,-158.691
1626640340.206,-41.992,-0.977,-15.625,-64.453
1626640340.210,-9.766,-18.066,-18.066,104.492
1626640340.214,-9.766,-17.090,-22.461,43.457
1626640340.218,-56.641,-54.688,-44.922,-152.832
1626640340.222,-70.801,-81.543,-53.711,-137.207
1626640340.226,-28.809,-13.672,-41.016,48.828
1626640340.230,-21.484,-4.395,-41.992,55.664
1626640340.234,-32.227,-14.160,-29.297,-98.633
1626640340.238,-30.273,-23.926,-18.066,-134.766
1626640340.242,-20.996,-27.344,-21.973,25.391
1626640340.246,-26.855,-46.875,-32.715,88.867
1626640340.249,-46.387,-58.594,-39.551,-69.336
1626640340.253,-56.152,-15.625,-25.391,-170.410
1626640340.257,-63.477,-22.949,-31.250,-60.059
1626640340.261,-48.828,-41.504,-44.434,61.523
1626640340.265,-25.391,-13.184,-35.156,-13.672
1626640340.261,-41.992,-16.113,-31.250,-156.738
1626640340.265,-40.039,-18.555,-26.367,-86.426
1626640340.269,-12.695,-21.973,-21.484,80.078
1626640340.273,-15.625,-38.574,-21.484,48.340
1626640340.277,-36.621,-36.133,-19.043,-126.465
1626640340.281,-41.992,-27.832,-17.090,-119.629
1626640340.285,-5.371,-12.207,-8.789,83.008
1626640340.288,22.461,0.488,4.883,123.047
1626640340.292,-34.668,-88.379,-28.809,-80.078
1626640340.296,-78.613,-168.945,-66.895,-178.711
1626640340.300,-40.527,-103.027,-47.852,-12.207
1626640340.304,1.953,-43.457,-22.461,111.328
1626640340.343,-16.113,-39.062,-33.691,-28.320
1626640340.347,-45.898,-17.578,-43.945,-164.062
1626640340.351,-23.926,0.977,-38.086,-42.480
1626640340.355,1.465,5.371,-38.574,107.910
1626640340.359,-5.859,14.160,-25.391,21.484
1626640340.363,-38.574,4.883,-1.953,-144.531
1626640340.367,-77.637,-115.234,-40.527,-131.836
1626640340.370,-56.152,-121.582,-57.129,34.668
1626640340.374,-10.254,-22.461,-24.414,63.477
