timestamps,TP9,AF7,AF8,TP10
1628114232.989,-94.238,-36.621,-15.137,-59.570
1628114232.993,-86.914,-46.387,-26.855,-58.594
1628114232.997,36.621,-15.625,-31.738,8.301
1628114233.001,45.898,-37.109,-37.109,19.531
1628114233.005,-73.242,-65.918,-52.246,-41.992
1628114233.009,-90.820,-21.973,-27.344,-45.898
1628114233.013,9.277,-15.625,-25.879,-4.883
1628114233.016,51.758,-37.598,-46.875,4.395
1628114233.020,-36.133,-57.129,-32.715,-26.855
1628114233.024,-111.328,-41.992,-10.742,-57.129
1628114233.028,-46.387,-29.297,-20.996,-46.875
1628114233.032,45.898,-26.855,-40.527,-1.465
1628114233.045,-2.441,-30.762,-31.250,-10.742
1628114233.049,-123.535,-90.820,-50.781,-72.754
1628114233.053,-76.172,-45.410,-57.617,-51.758
1628114233.057,62.012,-15.625,-18.555,18.555
1628114233.061,16.602,-56.152,-31.738,-8.301
1628114233.065,-122.070,-48.340,-41.504,-85.449
1628114233.069,-110.352,-52.734,-17.090,-74.219
1628114233.072,29.785,-21.484,-32.227,-2.930
1628114233.076,58.594,-28.320,-27.344,12.695
1628114233.080,-58.594,-33.691,-13.672,-39.551
1628114233.084,-119.141,-17.090,-48.340,-75.195
1628114233.088,-49.805,-48.340,-78.125,-56.641
1628114233.083,32.227,-49.805,-46.875,-10.254
1628114233.087,-30.762,-33.203,-18.066,-21.973
1628114233.091,-118.164,-32.227,-17.090,-73.730
1628114233.095,-53.711,-26.855,-32.227,-52.246
1628114233.099,56.152,-31.738,-59.082,6.348
1628114233.103,8.789,-20.996,-52.734,-10.742
1628114233.107,-98.145,2.930,-4.883,-54.199
1628114233.110,-90.332,-22.461,-7.812,-55.664
1628114233.114,8.789,-78.613,-47.852,-23.438
1628114233.118,24.414,-41.504,-35.645,-11.719
1628114233.122,-78.613,-23.438,-5.371,-41.992
1628114233.126,-99.609,-37.109,-16.602,-62.988
1628114233.138,6.836,-36.133,-35.645,-24.902
1628114233.142,42.969,-77.148,-50.293,0.000
1628114233.146,-57.129,-60.059,-63.477,-42.969
1628114233.150,-113.281,-40.527,-41.504,-71.289
1628114233.154,-16.113,-26.855,-0.977,-31.250
1628114233.158,72.266,-24.902,-1.953,15.625
1628114233.162,-33.691,-60.059,-60.059,-32.715
1628114233.165,-116.211,-17.578,-63.477,-71.777
1628114233.169,-49.805,2.930,-40.527,-44.922
1628114233.173,45.410,-16.602,-41.504,-7.324
1628114233.177,19.531,-11.719,-38.086,-7.812
1628114233.181,-103.516,-19.531,-26.367,-52.246
1628114233.176,-106.934,-47.852,-1.953,-63.477
1628114233.180,14.648,-53.711,-8.301,-18.066
1628114233.184,42.480,-20.508,-21.973,9.766
1628114233.188,-69.824,-19.043,-16.113,-38.574
1628114233.192,-100.098,-37.598,-20.508,-60.547
1628114233.196,10.742,-34.668,-54.688,-8.789
1628114233.200,63.477,-18.066,-64.453,23.926
1628114233.203,-42.969,-24.414,-35.156,-19.531
1628114233.207,-138.184,-68.359,-27.344,-77.148
1628114233.211,-59.082,-62.500,-31.250,-51.758
1628114233.215,53.223,-18.066,-19.531,12.695
1628114233.219,-0.488,3.418,-18.555,1.953
1628114233.232,-108.887,-10.254,-46.875,-62.012
1628114233.236,-85.449,-72.754,-54.199,-67.383
1628114233.240,25.391,-50.293,-42.480,-17.090
1628114233.244,22.949,-13.672,-54.199,-8.301
1628114233.248,-94.727,-21.484,-56.152,-54.199
1628114233.252,-101.074,-34.180,-25.391,-65.918
1628114233.256,30.762,-55.176,4.883,-6.348
1628114233.259,62.988,-36.133,0.488,16.602
1628114233.263,-72.266,-39.062,-20.020,-41.992
1628114233.267,-125.000,-33.203,-26.855,-72.266
1628114233.271,-16.602,-33.691,-42.480,-26.855
1628114233.275,49.805,-45.898,-36.621,11.230
1628114233.270,-33.691,-10.742,-32.227,-20.508
1628114233.274,-113.770,-23.438,-44.922,-67.383
1628114233.278,-48.828,-45.410,-40.039,-49.805
1628114233.282,47.363,-24.414,-34.180,-1.953
1628114233.286,10.742,-28.320,-24.414,-7.324
1628114233.290,-89.844,-51.758,-15.625,-54.688
1628114233.294,-85.938,-45.898,-30.762,-72.266
1628114233.297,23.438,-33.203,-47.363,-20.996
1628114233.301,17.578,-97.168,-44.922,-7.812
1628114233.305,-90.820,-74.219,-47.363,-56.152
1628114233.309,-100.098,-10.742,-62.012,-66.895
1628114233.313,11.230,-11.230,-26.367,-17.090
1628114233.326,48.340,-11.230,0.488,1.953
1628114233.330,-73.730,-72.754,-32.227,-52.734
1628114233.334,-131.348,-54.688,-44.922,-87.891
