timestamps,TP9,AF7,AF8,TP10
1626466377.741,-44.434,-44.922,-9.766,-8.301
1626466377.745,8.301,-11.719,-5.859,51.758
1626466377.749,-29.297,-44.434,-51.758,-23.926
1626466377.753,-77.637,-80.566,-60.059,-69.824
1626466377.757,-44.922,-57.617,-27.344,-25.879
1626466377.761,15.625,-5.859,10.254,64.453
1626466377.765,-21.484,-23.926,-32.227,19.531
1626466377.768,-64.941,-70.312,-55.176,-61.035
1626466377.772,-28.809,-62.500,-27.344,-37.598
1626466377.776,13.184,-30.273,7.812,43.457
1626466377.780,8.301,-28.320,-15.137,42.969
1626466377.784,-49.316,-68.848,-45.898,-40.039
1626466377.785,-61.035,-75.195,-34.668,-54.688
1626466377.789,0.977,-34.180,-2.930,20.020
1626466377.793,23.438,-11.230,-8.301,60.059
1626466377.797,-28.320,-49.316,-44.434,-13.672
1626466377.801,-50.293,-68.359,-33.691,-38.574
1626466377.805,-12.207,-32.715,7.812,20.508
1626466377.809,33.203,-0.977,17.090,73.730
1626466377.812,3.906,-33.203,-20.020,13.184
1626466377.816,-38.574,-65.430,-21.973,-59.570
1626466377.820,-30.273,-58.594,15.137,-41.992
1626466377.824,30.762,-17.090,45.410,42.480
1626466377.828,24.902,-23.926,12.207,21.973
1626466377.845,-32.715,-62.500,3.906,-46.875
1626466377.849,-41.504,-62.012,28.320,-28.809
1626466377.853,9.766,-20.508,66.406,43.945
1626466377.857,14.160,-15.137,45.898,47.852
1626466377.861,-46.875,-63.965,10.742,-29.297
1626466377.865,-51.270,-66.895,24.902,-55.176
1626466377.869,-3.418,-39.062,56.641,0.000
1626466377.872,29.785,-24.902,56.152,50.293
1626466377.876,-14.648,-60.547,15.137,-13.184
1626466377.880,-50.293,-94.238,6.348,-50.781
1626466377.884,-15.137,-80.566,42.969,-9.766
1626466377.888,34.180,-45.410,62.988,45.898
1626466377.890,-1.465,-67.871,21.484,-5.859
1626466377.894,-51.758,-100.098,11.719,-72.754
1626466377.898,-36.621,-92.285,40.527,-38.086
1626466377.902,12.207,-57.129,72.266,40.039
1626466377.906,11.719,-56.641,35.645,12.207
1626466377.910,-41.992,-85.449,9.766,-62.012
1626466377.914,-63.477,-93.750,31.738,-65.430
1626466377.917,-3.418,-67.383,71.777,1.953
1626466377.921,12.695,-47.363,48.340,13.184
1626466377.925,-60.059,-99.609,-3.418,-69.336
1626466377.929,-75.684,-125.488,2.930,-96.680
1626466377.933,-14.648,-83.496,38.574,-26.855
1626466377.935,16.602,-60.059,29.297,22.461
1626466377.939,-30.273,-95.703,-20.020,-38.574
1626466377.943,-64.453,-119.629,-21.973,-86.426
1626466377.947,-29.297,-102.051,9.766,-63.477
1626466377.951,20.508,-55.664,30.762,14.160
1626466377.955,-11.719,-68.359,-7.324,-34.668
1626466377.959,-59.082,-110.840,-25.391,-106.445
1626466377.962,-40.527,-108.887,1.465,-80.566
1626466377.966,14.648,-62.988,37.598,-1.953
1626466377.970,-0.488,-62.012,5.371,-3.418
1626466377.974,-54.199,-103.516,-24.414,-75.195
1626466377.978,-60.059,-102.539,-11.230,-88.867
1626466377.983,-8.301,-60.059,23.926,-17.090
1626466377.987,12.695,-49.805,12.207,17.090
1626466377.991,-49.805,-97.168,-31.738,-58.594
1626466377.995,-69.824,-122.070,-34.180,-87.402
1626466377.999,-23.926,-86.426,-1.953,-31.738
1626466378.003,21.484,-40.039,9.277,27.344
1626466378.007,-20.996,-73.730,-39.062,-27.832
1626466378.010,-67.383,-113.281,-47.852,-81.055
1626466378.014,-43.945,-98.145,-5.859,-44.922
