timestamps,TP9,AF7,AF8,TP10,Right AUX
1624333163506742.000,-27.344,-55.664,-9.277,-66.895,1.000
1624333163510648.250,-34.668,-36.621,-23.926,-36.133,1.000
1624333163514554.500,-34.668,-24.902,-41.504,-3.418,1.000
1624333163518460.750,-45.410,-15.625,-41.992,-41.504,1.000
1624333163522367.000,-42.480,6.348,7.324,-63.477,1.000
1624333163526273.250,-36.621,9.766,10.742,-30.273,1.000
1624333163530179.500,-18.555,-13.184,-20.996,22.949,1.000
1624333163534085.750,-6.348,-26.855,-8.789,15.625,1.000
1624333163537992.000,-34.668,-16.602,-14.160,-53.711,1.000
1624333163541898.250,-49.805,-2.441,-50.781,-60.547,1.000
1624333163545804.500,-38.574,-7.324,-43.945,-0.488,1.000
1624333163549710.750,-25.391,-8.789,-14.648,9.766,1.000
1624333163553617.000,-20.996,-17.090,-9.766,1.000,1.000
1624333163557523.250,-33.203,-48.828,-30.273,1.000,1.000
1624333163561429.500,-15.625,-35.156,-20.996,1.000,1.000
1624333163565335.750,6.348,-1.953,-10.254,1.000,1.000
1624333163569242.000,-29.297,-16.113,-20.996,1.000,1.000
1624333163573148.250,-64.941,-32.715,-33.203,1.000,1.000
1624333163577054.500,-47.852,-18.555,-43.457,1.000,1.000
1624333163580960.750,-22.461,-4.395,-40.527,1.000,1.000
1624333163584867.000,-4.395,-11.719,-26.855,1.000,1.000
1624333163588773.250,-9.766,-50.781,-15.625,1.000,1.000
1624333163592679.500,-36.621,-51.270,-23.926,1.000,1.000
1624333163596585.750,-35.645,-8.789,-13.672,1.000,1.000
1624333163600492.000,-23.438,-18.555,3.418,39.551,1.000
1624333163604398.250,-1.953,-26.367,0.000,-3.906,1.000
1624333163608304.500,-20.020,-19.043,-14.648,-64.453,1.000
1624333163612210.750,-35.645,1.465,-32.227,-32.715,1.000
1624333163616117.000,-45.898,2.441,-57.617,20.020,1.000
1624333163620023.250,-51.758,-14.160,-47.363,7.324,1.000
1624333163623929.500,-40.039,-20.020,-38.574,-53.223,1.000
1624333163627835.750,-66.406,-11.719,-41.992,-73.242,1.000
1624333163631742.000,-72.754,-19.043,-24.902,-23.926,1.000
1624333163635648.250,-36.133,-29.297,1.953,9.766,1.000
1624333163639554.500,-31.250,-24.414,-2.441,-28.809,1.000
1624333163643460.750,-63.477,-13.184,-31.250,-54.199,1.000
1624333163647367.000,-70.801,-23.438,-52.246,-109.863,1.000
1624333163651273.250,-25.879,-16.113,-42.969,-20.020,1.000
1624333163655179.500,-17.090,25.879,-35.156,22.949,1.000
1624333163659085.750,-68.848,-12.695,-27.344,-64.941,1.000
1624333163662992.000,-55.176,-35.645,-3.906,-72.754,1.000
1624333163666898.250,-29.785,-18.555,-15.625,-22.461,1.000
1624333163670804.500,-75.684,-27.344,-21.484,-44.434,1.000
1624333163674710.750,-129.883,-44.434,-32.715,-117.188,1.000
1624333163678617.000,-138.672,-69.824,-72.754,-172.363,1.000
1624333163682523.250,-115.723,-36.621,-60.059,-131.836,1.000
1624333163686429.500,-112.305,9.277,-10.254,-83.984,1.000
1624333163690335.750,-138.184,29.785,-31.250,-141.113,1.000
1624333163694242.000,-246.094,3.906,-114.746,1.000,1.000
1624333163698148.250,-270.020,-21.484,-105.469,1.000,1.000
1624333163702054.500,-206.055,-11.230,-55.664,1.000,1.000
1624333163705960.750,-217.773,-22.461,-89.844,1.000,1.000
