timestamps,TP9,AF7,AF8,TP10,Right AUX
1624332454287992.000,-47.363,-37.109,-30.273,-71.777,1.000
1624332454291898.250,-28.809,-32.715,-45.898,-16.113,1.000
1624332454295804.500,-13.184,-26.855,-25.391,29.785,1.000
1624332454299710.750,-28.809,-31.738,-21.973,-25.391,1.000
1624332454303617.000,-45.410,-14.648,-28.809,-62.988,1.000
1624332454307523.250,-4.395,-4.395,-47.852,2.930,1.000
1624332454311429.500,38.086,-47.363,-68.359,63.477,1.000
1624332454315335.750,20.508,-77.148,-48.828,14.648,1.000
1624332454319242.000,1.465,-58.105,-24.902,-46.875,1.000
1624332454323148.250,-2.441,-15.625,-22.949,-22.949,1.000
1624332454327054.500,21.973,-5.371,-10.742,47.363,1.000
1624332454330960.750,23.926,-23.438,0.977,33.203,1.000
1624332454334867.000,-36.133,-27.344,-20.508,1.000,1.000
1624332454338773.250,-46.387,-24.902,-37.598,1.000,1.000
1624332454342679.500,-5.859,-13.184,-41.016,1.000,1.000
1624332454346585.750,0.977,-15.625,-38.574,1.000,1.000
1624332454350492.000,-19.043,-39.062,-50.293,1.000,1.000
1624332454354398.250,-38.086,-42.969,-58.594,1.000,1.000
1624332454358304.500,-10.254,-15.625,-27.344,1.000,1.000
1624332454362210.750,-0.977,4.883,-24.902,1.000,1.000
1624332454366117.000,-47.852,-16.113,-25.879,1.000,1.000
1624332454370023.250,-50.293,-26.855,-18.066,1.000,1.000
1624332454373929.500,-21.484,-28.809,-35.156,1.000,1.000
1624332454377835.750,9.766,-63.477,-24.902,1.000,1.000
1624332454381742.000,-43.457,-68.848,-20.508,0.488,1.000
1624332454385648.250,-66.406,-55.664,-23.926,-68.848,1.000
1624332454389554.500,-100.586,-41.992,-65.918,-128.418,1.000
1624332454393460.750,-77.148,-46.387,-105.957,-68.848,1.000
1624332454397367.000,-16.602,-22.949,-31.738,22.461,1.000
1624332454401273.250,-10.254,-9.277,37.598,1.953,1.000
1624332454405179.500,-59.570,-28.320,-3.906,-86.426,1.000
1624332454409085.750,-74.219,-37.598,-30.273,-69.336,1.000
1624332454412992.000,-34.668,-38.086,-1.953,19.043,1.000
1624332454416898.250,-17.578,-47.363,17.578,20.508,1.000
1624332454420804.500,-63.965,-38.086,-20.996,-65.430,1.000
1624332454424710.750,-69.336,-3.418,-32.715,-62.988,1.000
1624332454428617.000,-25.879,-39.062,-3.906,1.000,1.000
1624332454432523.250,0.977,-15.625,-20.996,1.000,1.000
1624332454436429.500,-8.789,7.324,-26.855,1.000,1.000
1624332454440335.750,-49.316,-26.367,-34.668,1.000,1.000
1624332454444242.000,-71.289,-61.523,-35.645,1.000,1.000
1624332454448148.250,-42.480,-52.246,-16.113,1.000,1.000
1624332454452054.500,-34.180,-46.387,-21.484,1.000,1.000
1624332454455960.750,-43.457,-41.992,-17.090,1.000,1.000
1624332454459867.000,-45.898,-25.879,-10.742,1.000,1.000
1624332454463773.250,-29.297,-7.324,-42.969,1.000,1.000
1624332454467679.500,-15.625,-20.508,-48.828,1.000,1.000
1624332454471585.750,-43.945,-45.898,-26.367,1.000,1.000
1624332454475492.000,-8.301,-28.809,-7.812,-93.262,1.000
1624332454479398.250,-27.832,4.395,-27.344,-61.035,1.000
1624332454483304.500,-0.977,-8.789,-17.578,20.508,1.000
1624332454487210.750,8.789,-28.320,-26.855,12.695,1.000
1624332454491117.000,-30.762,-49.805,-92.285,-57.617,1.000
1624332454495023.250,-63.965,-66.406,-92.285,-44.922,1.000
1624332454498929.500,-44.922,-59.570,-34.668,23.926,1.000
1624332454502835.750,-28.809,-37.598,-20.508,11.230,1.000
1624332454506742.000,-36.133,-20.020,-14.160,-74.707,1.000
1624332454510648.250,-47.363,-21.484,-8.301,-87.891,1.000
1624332454514554.500,-35.645,-3.906,2.930,-5.371,1.000
1624332454518460.750,2.441,7.324,5.859,39.551,1.000
1624332454522367.000,-16.602,-33.691,-7.812,36.621,1.000
1624332454526273.250,23.926,-25.391,-22.461,69.824,1.000
1624332454530179.500,-54.199,-49.316,-70.312,-77.148,1.000
1624332454534085.750,-86.426,-46.875,-59.082,-118.652,1.000
1624332454537992.000,-40.039,-54.199,-14.648,-10.742,1.000
1624332454541898.250,-32.227,-55.176,-21.973,7.324,1.000
1624332454545804.500,-57.129,-22.949,-36.621,-71.289,1.000
1624332454549710.750,-69.824,-32.227,-28.809,-101.562,1.000
1624332454553617.000,-44.434,-57.617,-45.410,-41.016,1.000
1624332454557523.250,-11.719,-38.086,-43.945,15.625,1.000
1624332454561429.500,-14.160,1.953,-12.207,-15.625,1.000
1624332454565335.750,-34.180,5.859,4.883,-73.242,1.000
1624332454569242.000,-38.086,-55.176,-49.316,-70.801,1.000
1624332454573148.250,-13.672,-30.762,-49.316,-14.160,1.000
1624332454577054.500,-6.348,-15.625,-35.645,16.113,1.000
1624332454580960.750,-32.227,-40.039,-31.738,-34.180,1.000
1624332454584867.000,-50.781,-37.598,-11.719,-92.285,1.000
1624332454588773.250,-14.648,-22.949,-5.859,-42.969,1.000
1624332454592679.500,30.762,-27.344,-19.531,40.527,1.000
1624332454596585.750,-6.836,-12.207,-23.438,-0.977,1.000
1624332454600492.000,-67.871,-6.348,-33.203,-98.633,1.000
1624332454604398.250,-65.918,-32.227,-53.223,-94.238,1.000
1624332454608304.500,-27.832,-47.363,-47.852,-3.906,1.000
1624332454612210.750,-21.484,-40.039,-36.133,-3.418,1.000
1624332454616117.000,-37.598,12.207,-58.105,-73.730,1.000
1624332454620023.250,-27.344,-4.883,-41.992,6.348,1.000
1624332454623929.500,6.836,-40.527,-15.625,24.902,1.000
1624332454627835.750,0.000,-50.781,-9.766,-42.969,1.000
1624332454631742.000,-31.250,-42.969,-20.508,-86.914,1.000
1624332454635648.250,-33.203,-32.715,-20.508,-26.855,1.000
1624332454639554.500,0.977,-20.996,-37.109,35.645,1.000
1624332454643460.750,-5.859,-8.301,-46.387,-25.879,1.000
1624332454647367.000,-49.316,-12.207,-43.945,-99.609,1.000
1624332454651273.250,-57.129,-26.855,-43.945,-40.527,1.000
1624332454655179.500,-17.090,-34.180,-32.227,37.109,1.000
1624332454659085.750,-3.418,-25.879,-37.598,7.324,1.000
1624332454662992.000,-21.973,-40.039,-20.996,4.395,1.000
1624332454666898.250,-72.754,-55.664,-43.945,-101.074,1.000
1624332454670804.500,-69.336,-12.207,-43.945,-92.773,1.000
1624332454674710.750,-10.742,-1.465,-41.992,18.066,1.000
1624332454678617.000,8.301,-5.371,-24.414,42.480,1.000
1624332454682523.250,-36.133,-13.184,-6.836,-51.270,1.000
