timestamps,TP9,AF7,AF8,TP10,Right AUX
1622759923707975.750,-18.555,-19.531,-26.855,-9.277,1.000
1622759923711882.000,-38.574,-25.879,-29.297,-66.895,1.000
1622759923715788.250,-41.016,-30.762,-28.320,-53.223,1.000
1622759923719694.500,-22.461,-28.320,-29.785,7.324,1.000
1622759923723600.750,-23.438,-27.832,-35.156,-2.930,1.000
1622759923727507.000,-41.992,-30.762,-40.039,-66.895,1.000
1622759923731413.250,-43.945,-31.738,-40.039,-69.336,1.000
1622759923735319.500,-25.879,-28.809,-35.645,-5.371,1.000
1622759923739225.750,-11.230,-26.855,-28.320,17.578,1.000
1622759923743132.000,-26.855,-34.180,-30.273,-42.480,1.000
1622759923747038.250,-41.992,-42.969,-33.203,-70.801,1.000
1622759923750944.500,-26.855,-32.715,-24.414,-8.789,1.000
1622759923754850.750,-10.254,-18.066,-19.531,1.000,1.000
1622759923758757.000,-25.391,-29.785,-29.297,1.000,1.000
1622759923762663.250,-50.293,-42.969,-36.133,1.000,1.000
1622759923766569.500,-40.039,-33.203,-30.762,1.000,1.000
1622759923770475.750,-19.043,-22.949,-26.367,1.000,1.000
1622759923774382.000,-20.996,-24.414,-29.785,1.000,1.000
1622759923778288.250,-37.598,-35.645,-37.109,1.000,1.000
1622759923782194.500,-36.621,-36.621,-32.715,1.000,1.000
1622759923786100.750,-16.113,-26.855,-21.973,1.000,1.000
1622759923790007.000,-11.719,-22.949,-21.484,1.000,1.000
1622759923793913.250,-29.785,-34.180,-25.391,1.000,1.000
1622759923797819.500,-38.086,-40.039,-31.738,1.000,1.000
1622759923801725.750,-16.602,-25.391,-28.809,-8.789,1.000
1622759923805632.000,-5.371,-22.949,-30.762,13.672,1.000
1622759923809538.250,-33.691,-35.645,-43.457,-49.805,1.000
1622759923813444.500,-44.922,-39.062,-37.109,-80.078,1.000
1622759923817350.750,-20.020,-31.250,-28.809,-15.137,1.000
1622759923821257.000,-1.465,-19.531,-26.367,30.762,1.000
1622759923825163.250,-10.742,-20.508,-30.762,-13.672,1.000
1622759923829069.500,-34.668,-38.086,-37.109,-67.871,1.000
1622759923832975.750,-29.785,-35.645,-27.344,-35.645,1.000
1622759923836882.000,-7.812,-23.926,-23.438,19.043,1.000
1622759923840788.250,-13.672,-32.715,-30.273,-7.812,1.000
1622759923844694.500,-36.621,-44.434,-29.297,-69.824,1.000
1622759923848600.750,-40.527,-40.039,-30.273,1.000,1.000
1622759923852507.000,-20.996,-24.902,-28.809,1.000,1.000
1622759923856413.250,-13.184,-28.809,-25.391,1.000,1.000
1622759923860319.500,-25.879,-36.621,-31.738,1.000,1.000
1622759923864225.750,-32.715,-36.621,-35.156,1.000,1.000
1622759923868132.000,-13.672,-22.461,-23.926,1.000,1.000
1622759923872038.250,-1.953,-11.719,-19.043,1.000,1.000
1622759923875944.500,-22.461,-20.508,-25.879,1.000,1.000
1622759923879850.750,-33.203,-29.297,-27.832,1.000,1.000
1622759923883757.000,-20.508,-25.879,-26.855,1.000,1.000
1622759923887663.250,-5.859,-12.695,-21.484,1.000,1.000
1622759923891569.500,-13.672,-17.090,-22.949,1.000,1.000
