timestamps,TP9,AF7,AF8,TP10,Right AUX
1626294639.4519792,-11.719000000000001,-20.02,-23.926,1.0,1.0
1626294639.4558854,57.129,-62.012,-35.645,1.0,1.0
1626294639.4597917,-45.898,-61.523,-70.312,1.0,1.0
1626294639.463698,-138.184,-35.645,-69.824,1.0,1.0
1626294639.4676042,-61.523,-21.973000000000003,-44.922,1.0,1.0
1626294639.4715104,34.18,-14.16,-36.621,1.0,1.0
1626294639.475417,-11.23,-11.23,-29.785,1.0,1.0
1626294639.479323,-114.74600000000001,-35.156,-20.996,1.0,1.0
1626294639.483229,-85.93799999999999,-47.363,-33.691,1.0,1.0
1626294639.4871356,38.086,-38.086,-54.688,1.0,1.0
1626294639.4910414,39.062,-25.879,-55.663999999999994,1.0,1.0
1626294639.4949477,-80.078,-52.246,-52.246,1.0,1.0
1626294639.498854,-106.445,-42.968999999999994,-25.879,-200.195,1.0
1626294639.5027602,-86.914,-44.922,-24.414,-118.164,1.0
1626294639.506667,30.761999999999997,-20.02,-27.344,119.62899999999999,1.0
1626294639.510573,34.668,-15.625,-36.621,81.543,1.0
1626294639.5144792,-87.402,-29.296999999999997,-47.852,-173.828,1.0
1626294639.5183854,-111.32799999999999,-32.227,-40.527,-181.15200000000002,1.0
1626294639.5222914,17.09,-22.461,-20.508000000000003,77.148,1.0
1626294639.526198,55.663999999999994,-13.672,-29.296999999999997,129.88299999999998,1.0
1626294639.5301042,-54.199,-23.438000000000002,-43.945,-111.32799999999999,1.0
1626294639.5340102,-115.234,-30.273000000000003,-38.086,-211.426,1.0
1626294639.5379167,-13.184000000000001,-20.996,-20.996,17.09,1.0
1626294639.541823,61.035,-35.156,-30.273000000000003,151.36700000000002,1.0
1626294639.5457292,51.27,-19.531,-40.527,-43.457,1.0
1626294639.5496354,-48.828,-43.945,-39.551,-222.168,1.0
1626294639.5535417,-138.184,-68.359,-41.504,-72.266,1.0
1626294639.557448,-48.828,-39.062,-26.366999999999997,155.762,1.0
1626294639.5613542,49.316,-39.551,-21.973000000000003,44.434,1.0
