timestamps,TP9,AF7,AF8,TP10,Right AUX
1626294701.233229,-86.426,-13.672,-14.16,-181.641,1.0
1626294701.2371356,-17.09,-17.578,-20.508000000000003,1.465,1.0
1626294701.2410414,27.831999999999997,-63.477,-71.289,111.816,1.0
1626294701.2449477,-3.418,-38.574,-81.543,-14.16,1.0
1626294701.248854,-64.453,10.254000000000001,-26.855,-158.691,1.0
1626294701.2527602,-69.336,-9.766,-2.441,-83.49600000000001,1.0
1626294701.256667,12.207,-21.973000000000003,-15.625,99.12100000000001,1.0
1626294701.260573,11.23,-35.645,-23.438000000000002,38.574,1.0
1626294701.2644792,-74.219,-36.621,-30.273000000000003,-163.57399999999998,1.0
1626294701.2683854,-91.79700000000001,-37.598,-53.223,-140.625,1.0
1626294701.2722914,2.93,-15.625,-35.645,80.078,1.0
1626294701.276198,57.129,-9.277000000000001,-13.184000000000001,115.723,1.0
1626294701.2801042,19.043,22.949,-3.418,1.0,1.0
1626294701.2840102,-70.801,0.0,-14.648,1.0,1.0
1626294701.2879167,-98.633,-57.617,-52.733999999999995,1.0,1.0
1626294701.291823,1.953,-58.593999999999994,-30.761999999999997,1.0,1.0
1626294701.2957292,53.711000000000006,-29.785,2.93,1.0,1.0
1626294701.2996354,-30.273000000000003,-17.09,8.789,1.0,1.0
1626294701.3035417,-105.95700000000001,-25.879,-8.789,1.0,1.0
1626294701.307448,-61.523,-62.988,-56.641000000000005,1.0,1.0
1626294701.3113542,10.742,-44.922,-40.039,1.0,1.0
1626294701.3152604,-26.366999999999997,-16.113,-8.301,1.0,1.0
1626294701.3191667,-86.426,-26.366999999999997,-17.09,1.0,1.0
1626294701.323073,-58.105,-47.363,-24.901999999999997,1.0,1.0
1626294701.3269792,-0.977,-23.926,-1.953,29.785,1.0
1626294701.3308856,71.777,-26.366999999999997,-12.695,155.762,1.0
1626294701.3347917,-22.461,-60.547,-39.062,-43.457,1.0
1626294701.338698,-109.863,-51.758,-15.137,-204.59,1.0
1626294701.3426042,-47.363,-31.25,4.883,-48.34,1.0
1626294701.3465104,29.296999999999997,-33.691,-21.484,123.535,1.0
1626294701.3504167,-4.883,-2.441,-52.246,21.484,1.0
1626294701.354323,-102.051,-20.996,-52.733999999999995,-178.71099999999998,1.0
1626294701.358229,-84.473,-30.761999999999997,-16.113,-117.18799999999999,1.0
1626294701.3621356,21.484,-20.996,-18.066,102.539,1.0
1626294701.3660414,41.016000000000005,-18.555,-22.461,102.051,1.0
1626294701.3699481,-71.777,-40.039,-35.645,-124.023,1.0
1626294701.373854,-102.539,-30.761999999999997,-39.551,-191.40599999999998,1.0
1626294701.3777602,-105.469,-0.977,-33.203,-149.414,1.0
1626294701.381667,-0.977,-19.043,-30.761999999999997,74.219,1.0
1626294701.385573,30.273000000000003,-44.434,-34.18,82.031,1.0
1626294701.389479,-52.733999999999995,-28.32,-29.296999999999997,-121.094,1.0
1626294701.3933854,-99.12100000000001,-20.508000000000003,-48.828,-172.363,1.0
1626294701.3972914,-19.043,-15.137,-37.598,27.831999999999997,1.0
1626294701.401198,25.879,-50.293,-33.203,104.00399999999999,1.0
1626294701.4051042,-55.176,-62.5,-63.477,-94.238,1.0
1626294701.4090104,-117.18799999999999,-45.898,-56.152,-212.891,1.0
1626294701.4129167,-53.223,-28.32,-15.137,-41.504,1.0
1626294701.416823,40.527,-16.602,-0.488,133.30100000000002,1.0
1626294701.4207292,72.266,9.766,-0.977,6.348,1.0
1626294701.4246354,0.0,-11.23,-37.598,-184.082,1.0
1626294701.4285414,-107.91,-52.246,-60.059,-76.172,1.0
1626294701.432448,-32.227,-29.785,-28.809,130.371,1.0
1626294701.4363542,77.637,-5.859,-2.93,61.035,1.0
1626294701.4402604,22.461,-32.227,-25.879,-153.809,1.0
1626294701.4441667,-80.078,-39.551,-31.25,-153.32,1.0
1626294701.448073,-89.355,-75.195,-41.016000000000005,65.918,1.0
1626294701.4519792,24.901999999999997,-45.898,-23.438000000000002,120.117,1.0
1626294701.4558854,54.688,2.441,-19.043,-88.867,1.0
1626294701.4597917,-49.316,-14.648,-47.852,-159.18,1.0
1626294701.463698,-75.195,-39.062,-16.113,47.852,1.0
1626294701.4676042,-94.727,-15.625,-41.016000000000005,-129.395,1.0
1626294701.4715104,32.227,11.719000000000001,1.953,110.352,1.0
1626294701.475417,52.246,-18.555,-11.23,114.258,1.0
1626294701.479323,-58.593999999999994,-31.25,-59.082,-125.977,1.0
1626294701.483229,-94.238,-17.578,-63.965,-166.50400000000002,1.0
1626294701.4871356,-13.184000000000001,-23.438000000000002,-28.809,46.387,1.0
1626294701.4910414,35.645,-10.254000000000001,-17.09,115.723,1.0
1626294701.4949477,-24.414,-58.593999999999994,-46.387,-67.87100000000001,1.0
1626294701.498854,-91.309,-67.383,-37.598,-180.66400000000002,1.0
1626294701.5027602,-38.574,-3.906,-7.812,-10.254000000000001,1.0
1626294701.506667,38.574,29.785,3.418,136.719,1.0
1626294701.510573,2.93,-0.977,-15.625,0.977,1.0
1626294701.5144792,2.441,-29.296999999999997,-20.996,1.0,1.0
1626294701.5183854,-103.027,-20.508000000000003,-54.199,1.0,1.0
1626294701.5222914,-83.49600000000001,-61.523,-62.988,1.0,1.0
1626294701.526198,8.301,-53.223,-28.809,1.0,1.0
1626294701.5301042,-9.277000000000001,0.0,-30.761999999999997,1.0,1.0
1626294701.5340102,-104.492,-5.371,-55.176,1.0,1.0
1626294701.5379167,-66.406,-4.883,-45.41,1.0,1.0
1626294701.541823,22.461,-53.223,-30.761999999999997,1.0,1.0
1626294701.5457292,15.137,-70.312,-40.527,1.0,1.0
1626294701.5496354,-66.895,-53.223,-50.293,1.0,1.0
1626294701.5535417,-78.613,-30.761999999999997,-19.531,1.0,1.0
1626294701.557448,2.93,-25.879,-1.953,1.0,1.0
1626294701.5613542,32.227,-2.441,-10.254000000000001,107.42200000000001,1.0
1626294701.5652604,53.711000000000006,17.578,-3.418,90.82,1.0
1626294701.5691667,-55.663999999999994,-29.296999999999997,-37.598,-140.625,1.0
1626294701.573073,-102.539,-62.988,-45.41,-177.24599999999998,1.0
1626294701.5769792,-13.184000000000001,-44.434,-25.879,40.527,1.0
1626294701.5808856,39.551,-40.039,-22.949,110.84,1.0
1626294701.5847917,-28.809,-23.438000000000002,-22.949,-81.543,1.0
1626294701.588698,-95.215,-30.761999999999997,-24.414,-179.199,1.0
1626294701.5926042,-24.901999999999997,-22.949,-10.254000000000001,4.883,1.0
1626294701.5965104,51.27,-8.789,-0.488,133.789,1.0
1626294701.6004167,-6.348,-11.719000000000001,-24.414,-24.414,1.0
1626294701.604323,-68.359,-12.695,-29.296999999999997,-165.03900000000002,1.0
1626294701.608229,-87.891,-13.184000000000001,-48.34,-165.03900000000002,1.0
1626294701.6121356,-23.438000000000002,-6.836,-16.602,8.789,1.0
1626294701.6160414,33.691,-55.176,-19.043,127.441,1.0
1626294701.6199481,-9.766,-62.012,-51.27,-20.996,1.0
1626294701.623854,-86.426,-39.551,-61.035,-185.05900000000003,1.0
1626294701.6277602,-49.805,-35.156,-12.207,-63.477,1.0
1626294701.631667,41.992,-8.789,9.277000000000001,135.254,1.0
1626294701.635573,-0.488,-42.48,-29.296999999999997,34.18,1.0
1626294701.639479,-95.70299999999999,-29.296999999999997,-29.785,-176.27,1.0
1626294701.6433854,-75.195,5.859,-15.625,-115.234,1.0
1626294701.6472914,12.695,3.418,-20.996,91.79700000000001,1.0
1626294701.651198,6.348,-42.968999999999994,-48.828,69.336,1.0
1626294701.6551042,43.945,0.0,-37.598,-153.809,1.0
1626294701.6590104,-45.898,-11.719000000000001,-49.316,-176.27,1.0
1626294701.6629167,-115.723,-104.00399999999999,-48.828,49.316,1.0
1626294701.666823,-16.602,-71.289,-27.831999999999997,150.391,1.0
1626294701.6707292,44.434,3.906,-10.742,-57.129,1.0
1626294701.6746354,-52.246,-30.273000000000003,-31.25,-201.66,1.0
1626294701.6785414,-102.539,-39.551,-49.316,-20.508000000000003,1.0
1626294701.682448,-45.41,-67.87100000000001,-61.523,142.09,1.0
1626294701.6863542,26.855,-50.293,-42.48,6.348,1.0
1626294701.6902604,-13.672,-13.672,-41.504,-211.91400000000002,1.0
1626294701.6941667,-82.52,7.812,-63.477,-115.723,1.0
1626294701.698073,-40.527,-6.836,-49.316,116.211,1.0
1626294701.7019792,-23.926,-3.906,-8.301,11.23,1.0
1626294701.7058854,55.176,7.324,-27.344,141.113,1.0
1626294701.7097917,-34.668,-65.43,-52.246,-49.316,1.0
1626294701.713698,-117.676,-89.355,-25.391,-204.59,1.0
1626294701.7176042,-73.242,-25.879,-10.254000000000001,-71.777,1.0
1626294701.7215104,19.043,18.066,-20.508000000000003,110.352,1.0
1626294701.725417,25.391,32.227,-10.254000000000001,42.48,1.0
1626294701.729323,-82.031,-38.086,-19.531,-166.50400000000002,1.0
1626294701.733229,-89.844,-52.246,-23.926,-121.58200000000001,1.0
1626294701.7371356,0.977,-21.484,-20.02,90.33200000000001,1.0
1626294701.7410414,21.484,2.441,-15.625,83.008,1.0
1626294701.7449477,-64.453,-16.602,-25.391,-138.672,1.0
1626294701.748854,-77.637,-34.668,-21.973000000000003,-162.109,1.0
1626294701.7527602,-83.49600000000001,-9.766,-23.926,-134.27700000000002,1.0
1626294701.756667,-15.625,-39.551,-68.848,49.805,1.0
1626294701.760573,23.926,-40.039,-66.895,65.918,1.0
1626294701.7644792,-38.574,-7.324,-40.039,-107.42200000000001,1.0
1626294701.7683854,-94.238,-7.324,-25.391,-166.016,1.0
1626294701.7722914,-29.296999999999997,3.906,-3.906,19.531,1.0
1626294701.776198,15.137,-60.059,-24.414,106.934,1.0
1626294701.7801042,-43.457,-41.504,-26.366999999999997,-63.965,1.0
1626294701.7840102,-102.051,-10.742,1.465,-185.05900000000003,1.0
1626294701.7879167,-42.48,-51.27,1.465,-24.414,1.0
1626294701.791823,29.296999999999997,-61.035,-17.578,134.766,1.0
1626294701.7957292,43.457,9.766,-32.715,1.0,1.0
1626294701.7996354,-16.602,18.066,-12.695,1.0,1.0
1626294701.8035417,-88.37899999999999,-41.504,-17.09,1.0,1.0
1626294701.807448,-43.945,-53.711000000000006,-19.531,1.0,1.0
1626294701.8113542,31.738000000000003,-7.812,-20.508000000000003,1.0,1.0
1626294701.8152604,4.395,-10.254000000000001,-13.672,1.0,1.0
1626294701.8191667,-87.402,-22.461,-10.742,1.0,1.0
1626294701.823073,-85.93799999999999,-31.25,-23.926,1.0,1.0
1626294701.8269792,20.02,-12.695,-27.831999999999997,1.0,1.0
1626294701.8308856,48.828,-7.812,-31.738000000000003,1.0,1.0
1626294701.8347917,-42.968999999999994,-13.672,-31.738000000000003,1.0,1.0
1626294701.838698,-84.961,-12.695,-37.598,1.0,1.0
1626294701.8426042,-81.543,-26.855,-33.691,-115.723,1.0
1626294701.8465104,20.02,-33.691,-3.418,97.16799999999999,1.0
1626294701.8504167,40.039,-46.875,-17.09,82.52,1.0
1626294701.854323,-65.918,-47.363,-42.968999999999994,-146.484,1.0
1626294701.858229,-104.00399999999999,-20.508000000000003,-30.761999999999997,-186.035,1.0
1626294701.8621356,-6.836,7.812,-6.348,35.156,1.0
1626294701.8660414,51.27,7.324,-9.277000000000001,125.0,1.0
1626294701.8699481,-42.48,-40.527,-58.593999999999994,-83.008,1.0
1626294701.873854,-101.56200000000001,-46.875,-56.641000000000005,-191.40599999999998,1.0
1626294701.8777602,-35.156,-32.227,-38.086,-12.207,1.0
1626294701.881667,40.039,-9.766,-42.48,130.859,1.0
1626294701.885573,-15.137,-1.465,-32.715,-21.973000000000003,1.0
1626294701.889479,-22.461,-40.527,-53.711000000000006,1.0,1.0
1626294701.8933854,-96.68,-42.48,-39.551,1.0,1.0
1626294701.8972914,-25.391,-18.555,-12.695,1.0,1.0
1626294701.901198,57.129,-18.066,7.324,1.0,1.0
1626294701.9051042,8.789,-29.296999999999997,-0.977,1.0,1.0
1626294701.9090104,-77.637,-35.645,-5.371,1.0,1.0
1626294701.9129167,-50.293,-18.555,-4.395,1.0,1.0
1626294701.916823,52.246,-5.859,-1.465,1.0,1.0
1626294701.9207292,47.363,-7.324,-19.531,1.0,1.0
1626294701.9246354,-76.66,-13.672,-43.457,1.0,1.0
1626294701.9285414,-81.055,-22.949,-37.109,1.0,1.0
1626294701.932448,37.598,-35.645,-22.461,1.0,1.0
1626294701.9363542,23.438000000000002,-6.836,-27.831999999999997,111.32799999999999,1.0
1626294701.9402604,19.531,-8.789,-26.366999999999997,69.824,1.0
1626294701.9441667,-71.289,-26.366999999999997,-24.901999999999997,-136.719,1.0
1626294701.948073,-95.70299999999999,-35.156,-27.831999999999997,-148.438,1.0
1626294701.9519792,0.0,-35.645,-19.043,59.082,1.0
1626294701.9558854,55.176,-56.152,-46.875,123.04700000000001,1.0
1626294701.9597917,-31.25,-44.922,-42.968999999999994,-70.312,1.0
1626294701.963698,-112.305,-46.875,-35.156,-197.75400000000002,1.0
1626294701.9676042,-32.715,-32.715,-19.043,-3.418,1.0
1626294701.9715104,68.848,8.301,11.719000000000001,168.945,1.0
1626294701.975417,10.254000000000001,8.789,-9.277000000000001,10.254000000000001,1.0
1626294701.979323,-113.281,-31.25,-53.711000000000006,-199.707,1.0
1626294701.983229,-105.469,-46.875,-70.801,-196.28900000000002,1.0
1626294701.9871356,-38.086,8.301,-62.012,-31.738000000000003,1.0
1626294701.9910414,51.27,2.93,-18.555,134.27700000000002,1.0
1626294701.9949477,-13.184000000000001,-26.366999999999997,-24.414,-22.949,1.0
