timestamps,TP9,AF7,AF8,TP10,Right AUX
1624333163.506742,-27.344,-55.664,-9.277,-66.895,1.0
1624333163.5106483,-34.668,-36.621,-23.926,-36.133,1.0
1624333163.5145545,-34.668,-24.902,-41.504,-3.418,1.0
1624333163.5184608,-45.41,-15.625,-41.992,-41.504,1.0
1624333163.522367,-42.48,6.348,7.324,-63.477,1.0
1624333163.5262733,-36.621,9.766,10.742,-30.273,1.0
1624333163.5301795,-18.555,-13.184,-20.996,22.949,1.0
1624333163.5340855,-6.348,-26.855,-8.789,15.625,1.0
1624333163.537992,-34.668,-16.602,-14.16,-53.711,1.0
1624333163.5418983,-49.805,-2.441,-50.781,-60.547,1.0
1624333163.5458045,-38.574,-7.324,-43.945,-0.488,1.0
1624333163.5497108,-25.391,-8.789,-14.648,9.766,1.0
1624333163.553617,-20.996,-17.09,-9.766,1.0,1.0
1624333163.5575233,-33.203,-48.828,-30.273,1.0,1.0
1624333163.5614295,-15.625,-35.156,-20.996,1.0,1.0
1624333163.5653355,6.348,-1.953,-10.254,1.0,1.0
1624333163.569242,-29.297,-16.113,-20.996,1.0,1.0
1624333163.5731483,-64.941,-32.715,-33.203,1.0,1.0
1624333163.5770545,-47.852,-18.555,-43.457,1.0,1.0
1624333163.5809608,-22.461,-4.395,-40.527,1.0,1.0
1624333163.584867,-4.395,-11.719,-26.855,1.0,1.0
1624333163.5887733,-9.766,-50.781,-15.625,1.0,1.0
1624333163.5926795,-36.621,-51.27,-23.926,1.0,1.0
1624333163.5965855,-35.645,-8.789,-13.672,1.0,1.0
1624333163.600492,-23.438,-18.555,3.418,39.551,1.0
1624333163.6043983,-1.953,-26.367,0.0,-3.906,1.0
1624333163.6083045,-20.02,-19.043,-14.648,-64.453,1.0
1624333163.6122108,-35.645,1.465,-32.227,-32.715,1.0
1624333163.616117,-45.898,2.441,-57.617,20.02,1.0
1624333163.6200233,-51.758,-14.16,-47.363,7.324,1.0
1624333163.6239295,-40.039,-20.02,-38.574,-53.223,1.0
1624333163.6278355,-66.406,-11.719,-41.992,-73.242,1.0
1624333163.631742,-72.754,-19.043,-24.902,-23.926,1.0
1624333163.6356483,-36.133,-29.297,1.953,9.766,1.0
1624333163.6395545,-31.25,-24.414,-2.441,-28.809,1.0
1624333163.6434608,-63.477,-13.184,-31.25,-54.199,1.0
1624333163.647367,-70.801,-23.438,-52.246,-109.863,1.0
1624333163.6512733,-25.879,-16.113,-42.969,-20.02,1.0
1624333163.6551795,-17.09,25.879,-35.156,22.949,1.0
1624333163.6590855,-68.848,-12.695,-27.344,-64.941,1.0
1624333163.662992,-55.176,-35.645,-3.906,-72.754,1.0
1624333163.6668983,-29.785,-18.555,-15.625,-22.461,1.0
1624333163.6708045,-75.684,-27.344,-21.484,-44.434,1.0
1624333163.6747108,-129.883,-44.434,-32.715,-117.188,1.0
1624333163.678617,-138.672,-69.824,-72.754,-172.363,1.0
1624333163.6825233,-115.723,-36.621,-60.059,-131.836,1.0
1624333163.6864295,-112.305,9.277,-10.254,-83.984,1.0
1624333163.6903355,-138.184,29.785,-31.25,-141.113,1.0
1624333163.694242,-246.094,3.906,-114.746,1.0,1.0
1624333163.6981483,-270.02,-21.484,-105.469,1.0,1.0
1624333163.7020545,-206.055,-11.23,-55.664,1.0,1.0
1624333163.7059608,-217.773,-22.461,-89.844,1.0,1.0
1624333163.709867,-223.145,-10.254,-99.609,1.0,1.0
1624333163.7137733,-172.852,28.809,-57.617,1.0,1.0
1624333163.7176795,-140.625,60.059,-70.801,1.0,1.0
1624333163.7215855,-198.242,34.18,-150.879,1.0,1.0
1624333163.725492,-243.652,6.836,-185.059,1.0,1.0
1624333163.7293983,-235.352,-6.348,-170.41,1.0,1.0
1624333163.7333045,-207.031,11.719,-157.715,1.0,1.0
1624333163.7372108,-132.324,52.246,-111.816,1.0,1.0
1624333163.741117,-93.262,69.824,-96.191,-168.457,1.0
1624333163.7450233,-142.578,63.477,-139.648,-246.582,1.0
1624333163.7489295,-140.625,55.176,-116.211,-235.84,1.0
1624333163.7528355,-90.332,74.219,-98.145,-149.902,1.0
1624333163.756742,-112.305,59.57,-139.648,-170.898,1.0
1624333163.7606483,-105.469,39.062,-126.465,-212.402,1.0
1624333163.7645545,-76.66,43.945,-104.004,-200.195,1.0
1624333163.7684608,-59.082,49.805,-120.605,-135.742,1.0
1624333163.772367,-52.734,28.32,-117.676,-104.492,1.0
1624333163.7762733,-76.66,-2.441,-103.027,-164.062,1.0
1624333163.7801795,-82.031,-1.465,-92.773,-184.082,1.0
1624333163.7840855,-17.578,30.273,-57.129,-87.402,1.0
1624333163.787992,-29.785,11.23,-32.715,-3.418,1.0
1624333163.7918983,-45.898,25.879,-62.5,-18.555,1.0
1624333163.7958045,-62.988,-23.438,-99.609,-85.449,1.0
1624333163.7997108,-53.711,-84.473,-64.941,-82.52,1.0
1624333163.803617,-18.555,-73.242,-30.273,-16.113,1.0
1624333163.8075233,-23.926,-16.113,-59.57,1.953,1.0
1624333163.8114295,-46.387,-3.906,-83.008,-50.293,1.0
1624333163.8153355,-44.434,-4.395,-63.965,-84.961,1.0
1624333163.819242,-28.809,-6.836,-45.41,-45.898,1.0
1624333163.8231483,4.883,-34.668,-17.578,23.926,1.0
1624333163.8270545,14.16,-42.48,5.859,17.578,1.0
1624333163.8309608,-26.367,-38.086,-34.668,-67.871,1.0
1624333163.834867,-35.156,-50.781,-72.754,1.0,1.0
1624333163.8387733,-15.137,-33.203,-41.992,1.0,1.0
1624333163.8426795,-16.602,21.484,-48.34,1.0,1.0
1624333163.8465855,-42.48,24.414,-91.309,1.0,1.0
1624333163.850492,-54.199,-25.391,-66.406,1.0,1.0
1624333163.8543983,-24.902,-48.828,-9.766,1.0,1.0
1624333163.8583045,-24.414,-39.062,-11.23,1.0,1.0
1624333163.8622108,-63.477,-36.133,-51.27,1.0,1.0
1624333163.866117,-51.27,-35.645,-40.527,1.0,1.0
1624333163.8700233,6.348,-6.836,1.465,1.0,1.0
1624333163.8739295,30.273,10.254,-7.812,1.0,1.0
1624333163.8778355,8.789,3.418,-71.289,1.0,1.0
1624333163.881742,-27.832,-12.207,-58.594,1.0,1.0
1624333163.8856483,-66.895,-23.926,-29.785,1.0,1.0
1624333163.8895545,-52.246,-14.16,-33.203,1.0,1.0
