timestamps,TP9,AF7,AF8,TP10,Right AUX
1622759270.8448582,-12.695,-13.184,-26.855,-14.16,1.0
1622759270.8487644,-62.5,-16.602,-38.086,-62.988,1.0
1622759270.8526707,-75.195,-19.531,-41.992,-63.965,1.0
1622759270.856577,-24.414,-21.973,-30.273,-24.414,1.0
1622759270.8604832,-3.418,-25.879,-31.25,-17.09,1.0
1622759270.8643894,-60.547,-23.438,-41.992,-75.195,1.0
1622759270.8682954,-88.379,-30.273,-28.32,-91.309,1.0
1622759270.872202,-33.691,-36.621,-12.207,-28.32,1.0
1622759270.8761082,10.742,-25.879,-21.973,3.418,1.0
1622759270.8800144,-33.691,-31.25,-36.133,-51.758,1.0
1622759270.8839207,-81.543,-26.367,-35.156,-85.938,1.0
1622759270.887827,-42.969,-4.883,-37.598,-32.227,1.0
1622759270.8917332,11.23,-18.555,-42.48,1.0,1.0
1622759270.8956394,-5.371,-41.504,-28.32,1.0,1.0
1622759270.8995454,-61.035,-35.156,-13.672,1.0,1.0
1622759270.903452,-60.059,-25.879,-10.742,1.0,1.0
1622759270.9073582,2.441,-22.949,-10.742,1.0,1.0
1622759270.9112644,7.324,-25.391,-18.066,1.0,1.0
1622759270.9151707,-60.059,-33.691,-31.25,1.0,1.0
1622759270.919077,-77.148,-20.996,-41.016,1.0,1.0
1622759270.9229832,-18.555,-6.348,-30.762,1.0,1.0
1622759270.9268894,13.672,-12.207,-20.996,1.0,1.0
1622759270.9307954,-37.109,-19.043,-42.48,1.0,1.0
1622759270.934702,-80.078,-40.527,-58.105,1.0,1.0
1622759270.9386082,-36.621,-43.945,-36.621,1.0,1.0
1622759270.9425144,5.859,-35.156,-15.625,1.0,1.0
1622759270.9464207,-21.484,-23.926,-8.789,1.0,1.0
1622759270.950327,-81.055,-10.742,-25.879,1.0,1.0
1622759270.9542332,-71.777,-21.484,-43.457,1.0,1.0
1622759270.9581394,-13.184,-24.414,-36.133,1.0,1.0
1622759270.9620454,-13.672,-20.996,-22.949,1.0,1.0
1622759270.965952,-68.848,-43.945,-27.832,1.0,1.0
1622759270.9698582,-89.844,-54.199,-59.082,1.0,1.0
1622759270.9737644,-31.738,-35.645,-66.895,1.0,1.0
1622759270.9776707,-3.418,-27.344,-41.016,1.0,1.0
1622759270.981577,-56.152,-20.996,-31.25,1.0,1.0
1622759270.9854832,-80.566,-16.602,-34.668,-76.66,1.0
1622759270.9893894,-20.02,-10.254,-24.902,-7.812,1.0
1622759270.9932954,10.742,-28.809,-24.902,15.137,1.0
1622759270.997202,-25.391,-43.457,-34.18,-36.621,1.0
1622759271.0011082,-56.641,-27.344,-29.785,-62.012,1.0
1622759271.0050144,-31.738,-38.574,-26.855,-29.785,1.0
1622759271.0089207,9.277,-49.805,-27.832,2.441,1.0
1622759271.012827,-14.16,-30.273,-38.086,-28.809,1.0
1622759271.0167332,-63.477,-27.344,-39.062,-73.73,1.0
1622759271.0206394,-50.293,-18.066,-26.367,-51.758,1.0
1622759271.0245454,1.465,0.0,-27.832,2.441,1.0
1622759271.028452,1.953,-7.324,-29.785,-6.348,1.0
1622759271.0323582,-3.906,-38.086,-22.949,-3.418,1.0
1622759271.0362644,-44.434,-32.227,-40.527,-43.457,1.0
1622759271.0401707,-97.168,-9.766,-52.734,-91.797,1.0
1622759271.044077,-58.105,-7.812,-37.109,-48.828,1.0
1622759271.0479832,-1.465,-18.066,-34.668,6.836,1.0
1622759271.0518894,-11.719,-30.762,-37.109,-11.23,1.0
1622759271.0557954,-54.688,-37.109,-39.062,-54.199,1.0
1622759271.059702,-60.059,-43.457,-42.48,-54.688,1.0
1622759271.0636082,-10.254,-41.504,-30.762,-11.719,1.0
1622759271.0675144,-3.418,-21.973,-25.879,-9.277,1.0
1622759271.0714207,-52.734,-16.113,-23.438,-53.711,1.0
1622759271.075327,-66.895,-22.949,-16.113,-58.594,1.0
1622759271.0792332,-20.02,-16.602,-20.508,1.0,1.0
1622759271.0831394,13.184,-10.742,-29.297,1.0,1.0
1622759271.0870454,-30.273,-6.836,-30.273,1.0,1.0
1622759271.090952,-70.312,-3.906,-33.691,1.0,1.0
1622759271.0948582,-40.527,-26.367,-34.668,1.0,1.0
1622759271.0987644,-1.953,-55.664,-34.18,1.0,1.0
1622759271.1026707,-18.066,-62.012,-34.668,1.0,1.0
1622759271.106577,-69.824,-41.992,-23.438,1.0,1.0
1622759271.1104832,-72.266,-27.832,-22.461,1.0,1.0
1622759271.1143894,-16.113,-24.902,-39.551,1.0,1.0
1622759271.1182954,-18.066,-23.438,-50.293,1.0,1.0
1622759271.122202,-74.707,-31.738,-43.945,1.0,1.0
1622759271.1261082,-71.777,-29.297,-30.762,1.0,1.0
1622759271.1300144,-12.695,-25.391,-21.973,1.0,1.0
1622759271.1339207,6.348,-20.996,-22.949,1.0,1.0
1622759271.137827,-62.5,-28.32,-34.668,1.0,1.0
1622759271.1417332,-87.402,-38.086,-30.273,1.0,1.0
1622759271.1456394,-20.02,-21.973,-16.113,1.0,1.0
1622759271.1495454,5.859,-20.996,-17.578,1.0,1.0
1622759271.153452,-41.016,-29.785,-23.926,1.0,1.0
1622759271.1573582,-72.266,-26.367,-20.02,1.0,1.0
1622759271.1612644,-39.551,-38.574,-16.602,1.0,1.0
1622759271.1651707,7.324,-31.25,-19.043,1.0,1.0
1622759271.169077,-18.066,-10.254,-27.344,1.0,1.0
1622759271.1729832,-75.195,-13.672,-26.855,1.0,1.0
1622759271.1768894,-61.523,-17.578,-29.297,1.0,1.0
1622759271.1807954,-1.953,-10.742,-32.715,1.0,1.0
1622759271.184702,3.418,-24.414,-34.668,1.0,1.0
1622759271.1886082,-51.758,-31.738,-30.762,1.0,1.0
1622759271.1925144,-63.965,-22.461,-26.367,1.0,1.0
1622759271.1964207,-7.324,-23.438,-20.02,1.0,1.0
1622759271.200327,17.09,-28.809,-21.484,1.0,1.0
1622759271.2042332,-35.645,-17.09,-34.18,1.0,1.0
1622759271.2081394,-74.707,-11.719,-40.527,1.0,1.0
1622759271.2120454,-21.973,-27.832,-27.832,1.0,1.0
1622759271.215952,17.578,-33.203,-22.461,1.0,1.0
1622759271.2198582,-30.273,-47.852,-32.227,-43.945,1.0
1622759271.2237644,-75.684,-60.547,-34.18,-79.102,1.0
1622759271.2276707,-36.621,-33.203,-32.227,-33.203,1.0
1622759271.231577,11.719,-13.184,-22.949,11.719,1.0
1622759271.2354832,-12.695,-14.16,-30.762,-14.648,1.0
1622759271.2393894,-65.43,-3.906,-45.41,-62.988,1.0
1622759271.2432954,-60.547,0.977,-43.457,-53.223,1.0
1622759271.247202,-4.395,-5.859,-30.762,1.465,1.0
1622759271.2511082,2.441,-23.438,-13.184,2.93,1.0
1622759271.2550144,-65.43,-40.527,-10.742,-57.617,1.0
1622759271.2589207,-81.543,-44.434,-12.695,-64.941,1.0
1622759271.262827,-21.484,-30.273,-17.09,-9.277,1.0
1622759271.2667332,-22.949,-20.996,-36.133,-7.812,1.0
1622759271.2706394,-6.836,-27.832,-21.973,-6.836,1.0
1622759271.2745454,-53.711,-35.645,-30.762,-52.734,1.0
1622759271.278452,-70.801,-34.668,-44.922,-61.035,1.0
1622759271.2823582,-20.508,-36.621,-41.504,-19.531,1.0
1622759271.2862644,5.371,-42.969,-31.25,-4.395,1.0
1622759271.2901707,-37.598,-28.809,-30.273,-54.688,1.0
1622759271.294077,-74.219,-11.719,-35.645,-81.055,1.0
1622759271.2979832,-45.41,-18.066,-38.086,-44.434,1.0
1622759271.3018894,-5.859,-17.578,-31.738,-11.719,1.0
1622759271.3057954,-27.344,-12.207,-22.949,-37.109,1.0
1622759271.309702,-75.684,-23.926,-17.578,-78.125,1.0
1622759271.3136082,-63.477,-32.715,-25.879,1.0,1.0
1622759271.3175144,-8.789,-41.016,-35.645,1.0,1.0
1622759271.3214207,-6.836,-39.062,-32.227,1.0,1.0
1622759271.325327,-61.035,-26.367,-22.949,1.0,1.0
1622759271.3292332,-77.637,-31.738,-33.203,1.0,1.0
1622759271.3331394,-19.043,-33.203,-42.969,1.0,1.0
1622759271.3370454,6.348,-32.227,-44.922,1.0,1.0
1622759271.340952,-44.434,-26.855,-49.316,1.0,1.0
1622759271.3448582,-74.219,-24.414,-25.879,1.0,1.0
1622759271.3487644,-29.785,-13.672,-20.996,1.0,1.0
1622759271.3526707,11.719,-26.855,-41.016,1.0,1.0
1622759271.356577,-36.621,-62.5,-47.363,1.0,1.0
1622759271.3604832,-6.836,-19.531,-42.48,-9.277,1.0
1622759271.3643894,-53.711,-23.438,-42.969,-61.035,1.0
1622759271.3682954,-72.754,-36.621,-28.809,-68.848,1.0
1622759271.372202,-18.066,-47.852,-24.902,-11.719,1.0
1622759271.3761082,3.906,-41.992,-35.156,1.465,1.0
1622759271.3800144,-36.621,-27.344,-38.086,-46.875,1.0
1622759271.3839207,-69.336,-34.668,-38.086,-72.754,1.0
1622759271.387827,-31.738,-45.41,-42.48,-33.203,1.0
1622759271.3917332,15.625,-27.832,-34.18,10.254,1.0
1622759271.3956394,-18.066,-8.301,-26.367,-25.391,1.0
1622759271.3995454,-76.66,-28.809,-32.715,-83.008,1.0
1622759271.403452,-57.617,-48.34,-32.227,-50.293,1.0
1622759271.4073582,-2.441,-17.578,-27.344,1.0,1.0
1622759271.4112644,-18.066,-15.137,-25.879,1.0,1.0
1622759271.4151707,-86.914,-62.988,-30.273,1.0,1.0
1622759271.419077,-84.473,-62.5,-36.621,1.0,1.0
1622759271.4229832,-8.301,-22.949,-41.504,1.0,1.0
1622759271.4268894,4.395,-18.555,-54.688,1.0,1.0
1622759271.4307954,-49.805,-3.418,-38.086,1.0,1.0
1622759271.434702,-77.148,-8.789,-13.672,1.0,1.0
1622759271.4386082,-32.715,-29.297,-16.113,1.0,1.0
1622759271.4425144,21.484,-3.906,-4.395,1.0,1.0
1622759271.4464207,-15.625,-12.207,-12.695,1.0,1.0
1622759271.450327,-67.383,-34.18,-37.598,1.0,1.0
1622759271.4542332,-34.668,-36.133,-39.062,1.0,1.0
1622759271.4581394,13.672,-44.434,-29.297,1.0,1.0
1622759271.4620454,-8.789,-25.391,-46.387,1.0,1.0
1622759271.465952,-63.965,-20.508,-65.43,1.0,1.0
1622759271.4698582,-41.504,-36.133,-30.762,1.0,1.0
1622759271.4737644,5.859,-26.855,-22.949,1.0,1.0
1622759271.4776707,0.977,-12.695,-40.039,1.0,1.0
1622759271.481577,-48.828,-5.859,-35.156,1.0,1.0
1622759271.4854832,-68.848,-25.391,-37.109,1.0,1.0
1622759271.4893894,-16.602,-30.762,-37.109,1.0,1.0
1622759271.4932954,15.137,-24.414,-36.621,1.0,1.0
1622759271.497202,-17.578,-39.551,-45.898,1.0,1.0
1622759271.5011082,-53.711,-38.574,-44.434,1.0,1.0
1622759271.5050144,-34.668,-18.555,-28.32,1.0,1.0
1622759271.5089207,2.93,-7.812,-12.207,1.0,1.0
1622759271.512827,-19.531,-4.395,-21.484,1.0,1.0
1622759271.5167332,-65.918,-9.277,-41.992,1.0,1.0
1622759271.5206394,-59.082,-34.668,-44.434,1.0,1.0
1622759271.5245454,-15.625,-30.273,-39.062,1.0,1.0
1622759271.528452,-20.508,-21.484,-19.043,1.0,1.0
1622759271.5323582,-71.289,-36.133,-13.184,1.0,1.0
1622759271.5362644,-60.547,-39.062,-45.898,1.0,1.0
1622759271.5401707,25.391,-20.02,-62.5,1.0,1.0
1622759271.544077,15.625,-36.133,-39.551,1.0,1.0
1622759271.5479832,-105.469,-47.363,-26.855,-104.492,1.0
1622759271.5518894,-125.977,-15.137,-28.32,-110.84,1.0
1622759271.5557954,-46.387,-9.766,-6.348,-27.832,1.0
1622759271.559702,22.461,4.395,-11.23,27.344,1.0
1622759271.5636082,-22.461,11.719,-37.598,-20.02,1.0
1622759271.5675144,-130.371,-50.293,-26.367,-116.699,1.0
1622759271.5714207,-132.324,-71.289,-22.461,-121.094,1.0
1622759271.575327,-78.125,-52.246,-23.926,-86.426,1.0
1622759271.5792332,-101.562,-58.105,-29.297,-111.816,1.0
1622759271.5831394,-144.531,-44.434,-37.598,-142.09,1.0
1622759271.5870454,-93.75,-22.461,-21.484,-87.402,1.0
1622759271.590952,-50.293,-16.113,-27.344,-44.922,1.0
1622759271.5948582,3.418,-40.039,-15.137,-99.609,1.0
1622759271.5987644,-18.066,-31.738,-25.879,-134.277,1.0
1622759271.6026707,-59.57,-18.066,-39.062,-64.941,1.0
1622759271.606577,-28.809,15.137,-20.02,-19.043,1.0
1622759271.6104832,15.137,0.488,-33.691,-65.918,1.0
1622759271.6143894,2.93,-38.086,-56.152,-116.211,1.0
1622759271.6182954,-40.039,-61.035,-35.645,-101.074,1.0
1622759271.622202,-56.641,-67.871,-15.137,-55.176,1.0
1622759271.6261082,-10.742,-23.926,-17.578,-48.828,1.0
1622759271.6300144,14.648,8.789,-33.203,-82.52,1.0
1622759271.6339207,-22.461,-16.602,-23.926,-95.703,1.0
1622759271.637827,-41.992,-33.691,-17.09,-48.828,1.0
1622759271.6417332,-18.555,-3.418,-29.297,1.0,1.0
