timestamps,TP9,AF7,AF8,TP10,Right AUX
1624332454.287992,-47.363,-37.109,-30.273,-71.777,1.0
1624332454.2918983,-28.809,-32.715,-45.898,-16.113,1.0
1624332454.2958045,-13.184,-26.855,-25.391,29.785,1.0
1624332454.2997108,-28.809,-31.738,-21.973,-25.391,1.0
1624332454.303617,-45.41,-14.648,-28.809,-62.988,1.0
1624332454.3075233,-4.395,-4.395,-47.852,2.93,1.0
1624332454.3114295,38.086,-47.363,-68.359,63.477,1.0
1624332454.3153355,20.508,-77.148,-48.828,14.648,1.0
1624332454.319242,1.465,-58.105,-24.902,-46.875,1.0
1624332454.3231483,-2.441,-15.625,-22.949,-22.949,1.0
1624332454.3270545,21.973,-5.371,-10.742,47.363,1.0
1624332454.3309608,23.926,-23.438,0.977,33.203,1.0
1624332454.334867,-36.133,-27.344,-20.508,1.0,1.0
1624332454.3387733,-46.387,-24.902,-37.598,1.0,1.0
1624332454.3426795,-5.859,-13.184,-41.016,1.0,1.0
1624332454.3465855,0.977,-15.625,-38.574,1.0,1.0
1624332454.350492,-19.043,-39.062,-50.293,1.0,1.0
1624332454.3543983,-38.086,-42.969,-58.594,1.0,1.0
1624332454.3583045,-10.254,-15.625,-27.344,1.0,1.0
1624332454.3622108,-0.977,4.883,-24.902,1.0,1.0
1624332454.366117,-47.852,-16.113,-25.879,1.0,1.0
1624332454.3700233,-50.293,-26.855,-18.066,1.0,1.0
1624332454.3739295,-21.484,-28.809,-35.156,1.0,1.0
1624332454.3778355,9.766,-63.477,-24.902,1.0,1.0
1624332454.381742,-43.457,-68.848,-20.508,0.488,1.0
1624332454.3856483,-66.406,-55.664,-23.926,-68.848,1.0
1624332454.3895545,-100.586,-41.992,-65.918,-128.418,1.0
1624332454.3934608,-77.148,-46.387,-105.957,-68.848,1.0
1624332454.397367,-16.602,-22.949,-31.738,22.461,1.0
1624332454.4012733,-10.254,-9.277,37.598,1.953,1.0
1624332454.4051795,-59.57,-28.32,-3.906,-86.426,1.0
1624332454.4090855,-74.219,-37.598,-30.273,-69.336,1.0
1624332454.412992,-34.668,-38.086,-1.953,19.043,1.0
1624332454.4168983,-17.578,-47.363,17.578,20.508,1.0
1624332454.4208045,-63.965,-38.086,-20.996,-65.43,1.0
1624332454.4247108,-69.336,-3.418,-32.715,-62.988,1.0
1624332454.428617,-25.879,-39.062,-3.906,1.0,1.0
1624332454.4325233,0.977,-15.625,-20.996,1.0,1.0
1624332454.4364295,-8.789,7.324,-26.855,1.0,1.0
1624332454.4403355,-49.316,-26.367,-34.668,1.0,1.0
1624332454.444242,-71.289,-61.523,-35.645,1.0,1.0
1624332454.4481483,-42.48,-52.246,-16.113,1.0,1.0
1624332454.4520545,-34.18,-46.387,-21.484,1.0,1.0
1624332454.4559608,-43.457,-41.992,-17.09,1.0,1.0
1624332454.459867,-45.898,-25.879,-10.742,1.0,1.0
1624332454.4637733,-29.297,-7.324,-42.969,1.0,1.0
1624332454.4676795,-15.625,-20.508,-48.828,1.0,1.0
1624332454.4715855,-43.945,-45.898,-26.367,1.0,1.0
1624332454.475492,-8.301,-28.809,-7.812,-93.262,1.0
1624332454.4793983,-27.832,4.395,-27.344,-61.035,1.0
1624332454.4833045,-0.977,-8.789,-17.578,20.508,1.0
1624332454.4872108,8.789,-28.32,-26.855,12.695,1.0
1624332454.491117,-30.762,-49.805,-92.285,-57.617,1.0
1624332454.4950233,-63.965,-66.406,-92.285,-44.922,1.0
1624332454.4989295,-44.922,-59.57,-34.668,23.926,1.0
1624332454.5028355,-28.809,-37.598,-20.508,11.23,1.0
1624332454.506742,-36.133,-20.02,-14.16,-74.707,1.0
1624332454.5106483,-47.363,-21.484,-8.301,-87.891,1.0
1624332454.5145545,-35.645,-3.906,2.93,-5.371,1.0
1624332454.5184608,2.441,7.324,5.859,39.551,1.0
1624332454.522367,-16.602,-33.691,-7.812,36.621,1.0
1624332454.5262733,23.926,-25.391,-22.461,69.824,1.0
1624332454.5301795,-54.199,-49.316,-70.312,-77.148,1.0
1624332454.5340855,-86.426,-46.875,-59.082,-118.652,1.0
1624332454.537992,-40.039,-54.199,-14.648,-10.742,1.0
1624332454.5418983,-32.227,-55.176,-21.973,7.324,1.0
1624332454.5458045,-57.129,-22.949,-36.621,-71.289,1.0
1624332454.5497108,-69.824,-32.227,-28.809,-101.562,1.0
1624332454.553617,-44.434,-57.617,-45.41,-41.016,1.0
1624332454.5575233,-11.719,-38.086,-43.945,15.625,1.0
1624332454.5614295,-14.16,1.953,-12.207,-15.625,1.0
1624332454.5653355,-34.18,5.859,4.883,-73.242,1.0
1624332454.569242,-38.086,-55.176,-49.316,-70.801,1.0
1624332454.5731483,-13.672,-30.762,-49.316,-14.16,1.0
1624332454.5770545,-6.348,-15.625,-35.645,16.113,1.0
1624332454.5809608,-32.227,-40.039,-31.738,-34.18,1.0
1624332454.584867,-50.781,-37.598,-11.719,-92.285,1.0
1624332454.5887733,-14.648,-22.949,-5.859,-42.969,1.0
1624332454.5926795,30.762,-27.344,-19.531,40.527,1.0
1624332454.5965855,-6.836,-12.207,-23.438,-0.977,1.0
1624332454.600492,-67.871,-6.348,-33.203,-98.633,1.0
1624332454.6043983,-65.918,-32.227,-53.223,-94.238,1.0
1624332454.6083045,-27.832,-47.363,-47.852,-3.906,1.0
1624332454.6122108,-21.484,-40.039,-36.133,-3.418,1.0
1624332454.616117,-37.598,12.207,-58.105,-73.73,1.0
1624332454.6200233,-27.344,-4.883,-41.992,6.348,1.0
1624332454.6239295,6.836,-40.527,-15.625,24.902,1.0
1624332454.6278355,0.0,-50.781,-9.766,-42.969,1.0
1624332454.631742,-31.25,-42.969,-20.508,-86.914,1.0
1624332454.6356483,-33.203,-32.715,-20.508,-26.855,1.0
1624332454.6395545,0.977,-20.996,-37.109,35.645,1.0
1624332454.6434608,-5.859,-8.301,-46.387,-25.879,1.0
1624332454.647367,-49.316,-12.207,-43.945,-99.609,1.0
1624332454.6512733,-57.129,-26.855,-43.945,-40.527,1.0
1624332454.6551795,-17.09,-34.18,-32.227,37.109,1.0
1624332454.6590855,-3.418,-25.879,-37.598,7.324,1.0
1624332454.662992,-21.973,-40.039,-20.996,4.395,1.0
1624332454.6668983,-72.754,-55.664,-43.945,-101.074,1.0
1624332454.6708045,-69.336,-12.207,-43.945,-92.773,1.0
1624332454.6747108,-10.742,-1.465,-41.992,18.066,1.0
1624332454.678617,8.301,-5.371,-24.414,42.48,1.0
1624332454.6825233,-36.133,-13.184,-6.836,-51.27,1.0
1624332454.6864295,-56.641,-52.734,-3.906,-86.914,1.0
1624332454.6903355,-8.301,-62.5,6.348,6.348,1.0
1624332454.694242,21.973,-42.48,-17.09,45.41,1.0
