timestamps,TP9,AF7,AF8,TP10,Right AUX
1622759923.7079759,-18.555,-19.531,-26.855,-9.277000000000001,1.0
1622759923.711882,-38.574,-25.879,-29.296999999999997,-66.895,1.0
1622759923.7157884,-41.016000000000005,-30.761999999999997,-28.32,-53.223,1.0
1622759923.7196946,-22.461,-28.32,-29.785,7.324,1.0
1622759923.7236009,-23.438000000000002,-27.831999999999997,-35.156,-2.93,1.0
1622759923.727507,-41.992,-30.761999999999997,-40.039,-66.895,1.0
1622759923.731413,-43.945,-31.738000000000003,-40.039,-69.336,1.0
1622759923.7353199,-25.879,-28.809,-35.645,-5.371,1.0
1622759923.7392254,-11.23,-26.855,-28.32,17.578,1.0
1622759923.7431324,-26.855,-34.18,-30.273000000000003,-42.48,1.0
1622759923.747038,-41.992,-42.968999999999994,-33.203,-70.801,1.0
1622759923.7509441,-26.855,-32.715,-24.414,-8.789,1.0
1622759923.754851,-10.254000000000001,-18.066,-19.531,1.0,1.0
1622759923.758757,-25.391,-29.785,-29.296999999999997,1.0,1.0
1622759923.762663,-50.293,-42.968999999999994,-36.133,1.0,1.0
1622759923.7665696,-40.039,-33.203,-30.761999999999997,1.0,1.0
1622759923.7704754,-19.043,-22.949,-26.366999999999997,1.0,1.0
1622759923.774382,-20.996,-24.414,-29.785,1.0,1.0
1622759923.7782884,-37.598,-35.645,-37.109,1.0,1.0
1622759923.7821946,-36.621,-36.621,-32.715,1.0,1.0
1622759923.7861009,-16.113,-26.855,-21.973000000000003,1.0,1.0
1622759923.790007,-11.719000000000001,-22.949,-21.484,1.0,1.0
1622759923.7939134,-29.785,-34.18,-25.391,1.0,1.0
1622759923.7978196,-38.086,-40.039,-31.738000000000003,1.0,1.0
1622759923.8017254,-16.602,-25.391,-28.809,-8.789,1.0
1622759923.805632,-5.371,-22.949,-30.761999999999997,13.672,1.0
1622759923.8095384,-33.691,-35.645,-43.457,-49.805,1.0
1622759923.8134446,-44.922,-39.062,-37.109,-80.078,1.0
1622759923.8173509,-20.02,-31.25,-28.809,-15.137,1.0
1622759923.821257,-1.465,-19.531,-26.366999999999997,30.761999999999997,1.0
1622759923.8251634,-10.742,-20.508000000000003,-30.761999999999997,-13.672,1.0
1622759923.8290696,-34.668,-38.086,-37.109,-67.87100000000001,1.0
1622759923.8329759,-29.785,-35.645,-27.344,-35.645,1.0
1622759923.836882,-7.812,-23.926,-23.438000000000002,19.043,1.0
1622759923.8407884,-13.672,-32.715,-30.273000000000003,-7.812,1.0
1622759923.8446946,-36.621,-44.434,-29.296999999999997,-69.824,1.0
1622759923.848601,-40.527,-40.039,-30.273000000000003,1.0,1.0
1622759923.852507,-20.996,-24.901999999999997,-28.809,1.0,1.0
1622759923.856413,-13.184000000000001,-28.809,-25.391,1.0,1.0
1622759923.8603199,-25.879,-36.621,-31.738000000000003,1.0,1.0
1622759923.8642254,-32.715,-36.621,-35.156,1.0,1.0
1622759923.8681316,-13.672,-22.461,-23.926,1.0,1.0
1622759923.872038,-1.953,-11.719000000000001,-19.043,1.0,1.0
1622759923.8759441,-22.461,-20.508000000000003,-25.879,1.0,1.0
