timestamps,TP9,AF7,AF8,TP10
1626465483.397,41.504,-22.461,-44.922,-8.301
1626465483.401,-5.859,-28.320,-53.711,-58.594
1626465483.405,-83.008,-31.738,-11.719,-53.223
1626465483.409,-29.297,-23.926,2.930,0.000
1626465483.413,38.086,-20.996,-36.621,0.977
1626465483.417,26.367,-29.785,-58.594,-50.781
1626465483.421,-65.918,-29.297,-24.414,-65.430
1626465483.424,-41.016,-12.695,7.812,-0.488
1626465483.428,27.344,-21.484,-32.715,11.719
1626465483.432,34.668,-35.645,-64.941,-37.109
1626465483.436,-34.668,-23.926,-26.855,-54.199
1626465483.440,-50.781,-20.996,13.184,1.465
1626465483.442,12.695,-30.762,-19.531,26.367
1626465483.446,32.227,-37.109,-59.570,-16.602
1626465483.450,-40.039,-39.551,-47.852,-44.922
1626465483.454,-71.289,-29.297,1.465,-11.719
1626465483.458,-7.324,-20.508,-6.836,16.602
1626465483.462,20.508,-24.414,-52.246,-22.949
1626465483.466,-18.066,-31.250,-54.199,-70.312
1626465483.469,-98.145,-35.156,-14.648,-66.895
1626465483.473,-64.453,-30.273,-5.859,-7.812
1626465483.477,12.695,-22.461,-53.223,-13.184
1626465483.481,1.953,-35.156,-72.266,-64.453
1626465483.485,-82.031,-37.598,-37.598,-69.336
1626465483.487,-62.012,-25.391,-9.277,-10.742
1626465483.491,3.418,-33.691,-40.039,0.488
1626465483.495,14.648,-35.645,-80.566,-43.945
1626465483.499,-60.547,-26.855,-57.617,-70.312
1626465483.503,-89.355,-31.250,-11.719,-42.480
1626465483.507,-16.602,-32.227,-30.762,-12.207
1626465483.511,24.414,-23.926,-63.477,-33.203
1626465483.514,-43.457,-40.039,-58.105,-79.102
1626465483.518,-105.469,-47.363,-13.672,-54.688
1626465483.522,-31.250,-31.250,2.930,3.418
1626465483.526,36.133,-26.367,-39.551,-8.301
1626465483.530,11.719,-35.645,-62.988,-48.340
1626465483.532,-74.707,-35.645,-19.043,-57.129
1626465483.536,-52.246,-27.832,4.883,-7.324
1626465483.540,16.602,-24.414,-32.227,-4.883
1626465483.544,16.602,-32.227,-59.570,-52.734
1626465483.548,-76.660,-44.434,-33.203,-68.359
1626465483.552,-63.477,-35.645,6.836,-9.277
1626465483.556,19.531,-28.320,-17.578,16.602
1626465483.559,50.781,-31.738,-60.547,-19.043
1626465483.563,-24.902,-30.762,-47.852,-52.734
1626465483.567,-70.312,-28.320,0.000,-27.344
1626465483.571,5.859,-22.949,-5.371,13.184
1626465483.575,52.734,-19.043,-51.270,-10.254
1626465483.578,-0.488,-20.020,-52.246,-51.270
1626465483.582,-62.500,-22.949,0.488,-37.598
1626465483.586,-11.719,-25.879,10.742,21.484
1626465483.590,51.758,-23.438,-37.109,10.742
1626465483.594,30.762,-27.832,-54.688,-46.387
1626465483.598,-64.941,-33.203,-10.254,-53.711
