timestamps,TP9,AF7,AF8,TP10
1630086908.760,-518.066,-26.367,-9.277,-531.250
1630086908.764,-911.621,-5.371,4.395,634.766
1630086908.768,370.605,-23.438,-12.207,628.906
1630086908.772,-1000.000,-62.500,-26.367,-508.789
1630086908.776,-1000.000,-56.152,-18.066,-763.184
1630086908.780,506.348,0.977,-0.977,306.641
1630086908.784,885.742,11.230,-1.465,817.871
1630086908.787,-665.039,-37.598,-18.555,-236.816
1630086908.791,-1000.000,-41.504,-13.672,-849.121
1630086908.795,-94.238,0.488,0.000,-27.344
1630086908.799,-838.867,13.184,-6.836,867.676
1630086908.803,-16.113,-26.367,-14.648,59.570
1630086908.819,-1000.000,-49.805,-3.906,-820.312
1630086908.823,-232.422,-18.555,2.441,-354.004
1630086908.827,-829.102,11.719,-8.301,798.828
1630086908.831,243.164,-29.785,-20.508,392.578
1630086908.835,-1000.000,-67.383,-32.227,-693.359
1630086908.839,-612.793,-31.738,-19.043,-622.559
1630086908.843,-966.309,15.625,17.090,552.734
1630086908.846,494.141,-15.137,7.324,652.832
1630086908.850,-1000.000,-45.898,-6.348,-461.426
1630086908.854,-1000.000,-22.949,11.719,-779.785
1630086908.858,283.203,11.230,23.926,214.355
1630086908.862,-977.051,6.836,14.648,827.637
1630086908.864,-464.355,-37.109,1.465,-163.574
1630086908.868,-1000.000,-42.480,-14.648,-855.469
1630086908.872,-206.543,-3.906,-13.672,-138.672
1630086908.876,-846.191,11.719,-7.324,860.840
1630086908.880,119.629,-22.461,-11.719,160.156
1630086908.884,-1000.000,-42.480,-9.766,-763.184
1630086908.888,-297.852,-12.695,2.441,-384.277
1630086908.891,-839.844,13.184,7.812,774.902
1630086908.895,242.188,-26.855,-11.230,502.441
1630086908.899,-1000.000,-52.246,-19.531,-602.051
1630086908.903,-764.648,-31.250,-7.324,-642.578
1630086908.907,877.930,-7.324,0.000,483.887
1630086908.909,608.887,-24.414,-14.160,743.652
1630086908.913,-943.359,-56.152,-13.184,-341.797
1630086908.917,-1000.000,-49.316,-5.371,-787.598
1630086908.921,121.582,-18.066,5.859,135.742
1630086908.925,-873.047,-18.555,2.441,862.793
1630086908.929,-255.371,-52.734,-17.578,-41.992
1630086908.933,-1000.000,-53.223,-12.695,-796.387
1630086908.936,-219.238,-20.996,-10.742,-193.848
1630086908.940,-835.938,5.371,0.488,879.395
1630086908.944,242.188,-31.250,11.230,308.105
1630086908.948,-1000.000,-68.848,-11.719,-718.750
1630086908.952,-434.082,-34.180,-9.766,-490.723
1630086908.954,-874.512,-2.930,13.184,678.223
1630086908.958,290.527,-31.738,-0.977,549.316
1630086908.962,-1000.000,-50.293,-25.879,-554.199
1630086908.966,-895.020,-36.621,-16.602,-714.844
1630086908.970,680.176,-2.441,-3.906,365.234
1630086908.974,787.109,0.000,-17.090,787.109
1630086908.978,-780.762,-45.898,-31.738,-268.066
1630086908.981,-1000.000,-42.480,-21.973,-826.660
1630086908.985,-7.324,0.488,-6.836,20.996
1630086908.989,-840.332,-4.883,-25.879,853.027
1630086908.993,-101.074,-49.316,-37.109,7.324
1630086908.997,-1000.000,-61.035,-30.273,-812.500
1630086908.999,-226.562,-29.297,-22.461,-290.527
1630086909.003,-832.031,-15.625,-11.719,792.480
1630086909.007,244.141,-48.828,-20.020,318.848
1630086909.011,-1000.000,-69.824,-22.949,-681.152
1630086909.015,-542.969,-54.688,-20.508,-557.129
1630086909.019,-923.828,-15.137,-6.836,593.750
1630086909.023,420.898,-25.879,-14.648,617.676
1630086909.026,-1000.000,-40.527,-9.277,-470.215
1630086909.030,-1000.000,-23.438,5.859,-729.004
1630086909.034,459.473,-18.555,-14.160,264.160
1630086909.038,917.480,-23.926,-21.484,789.062
1630086909.042,-618.652,-53.223,-26.855,-216.797
1630086909.044,-1000.000,-63.965,-18.555,-850.098
1630086909.048,-156.250,-36.133,-9.766,-104.004
1630086909.052,-842.773,-8.789,-17.090,837.891
1630086909.056,55.176,-45.898,-17.090,95.703
1630086909.060,-1000.000,-74.219,-13.184,-807.129
1630086909.064,-238.770,-41.992,-5.371,-382.324
