timestamps,TP9,AF7,AF8,TP10
1630086649.200,-831.055,-20.996,6.836,135.742
1630086649.204,-133.789,-1.953,42.480,-64.453
1630086649.208,-1000.000,-30.273,-8.301,-211.426
1630086649.212,-87.402,-54.688,-71.289,-42.969
1630086649.216,-785.645,-72.754,-52.246,133.789
1630086649.220,212.402,-72.754,-11.719,-37.109
1630086649.224,-1000.000,-71.777,-35.156,-174.805
1630086649.227,-271.484,-71.777,-64.453,-39.551
1630086649.231,-807.617,-77.148,-49.316,154.297
1630086649.235,376.465,-92.285,-36.621,19.043
1630086649.239,-1000.000,-69.824,-54.199,-175.293
1630086649.243,-483.887,-60.547,-67.871,-81.543
1630086649.244,-963.867,-54.688,-47.363,128.418
1630086649.248,865.234,-59.082,16.113,82.520
1630086649.252,-650.391,-75.195,21.973,-122.070
1630086649.256,-1000.000,-88.379,-43.457,-157.227
1630086649.260,393.555,-64.941,-98.145,47.363
1630086649.264,-786.621,-18.066,-62.500,105.957
1630086649.268,70.312,11.719,-17.578,-86.914
1630086649.271,-1000.000,16.113,-20.020,-182.617
1630086649.275,-119.629,-12.695,-9.766,12.695
1630086649.279,-773.926,-17.578,0.488,170.898
1630086649.283,210.938,-2.930,-24.902,-73.730
1630086649.287,-1000.000,2.930,-40.527,-260.254
1630086649.290,-276.367,39.551,-68.359,-122.559
1630086649.294,-833.008,47.363,-70.801,68.848
1630086649.298,597.168,58.594,-28.320,-15.625
1630086649.302,-1000.000,56.641,-46.875,-247.559
1630086649.306,-687.500,32.227,-103.027,-250.488
1630086649.310,911.133,48.828,-76.172,32.227
1630086649.314,987.793,47.852,-38.574,28.809
1630086649.317,-442.383,14.648,-56.641,-260.742
1630086649.321,-1000.000,9.766,-65.918,-342.285
1630086649.325,109.375,2.441,-98.633,-173.828
1630086649.329,-778.809,-13.184,-80.078,-90.820
1630086649.333,125.977,-13.184,-69.336,-238.281
1630086649.334,-1000.000,2.441,-76.172,-303.711
1630086649.338,-240.723,-6.348,-87.402,-190.918
1630086649.342,-798.340,-18.555,-71.777,-38.086
1630086649.346,250.488,-22.461,-38.574,-125.977
1630086649.350,-1000.000,-55.664,-44.434,-312.988
1630086649.354,-281.250,-38.574,-73.242,-190.430
1630086649.358,-873.047,-8.789,-59.570,76.172
1630086649.361,764.648,-39.551,14.648,30.273
1630086649.365,-834.473,-93.750,-8.301,-200.195
1630086649.369,-781.250,-114.258,-66.895,-235.840
1630086649.373,808.105,-87.402,-50.293,20.020
1630086649.377,-884.277,-56.641,-25.391,58.105
1630086649.380,-269.531,-86.914,-38.574,-168.945
1630086649.384,-1000.000,-113.281,-53.223,-219.727
1630086649.388,228.027,-94.238,-45.898,49.316
1630086649.392,-760.742,-71.777,-22.949,193.359
1630086649.396,176.270,-75.195,-5.371,-18.555
1630086649.400,-1000.000,-69.336,-2.441,-140.625
1630086649.404,-217.773,-58.594,-14.648,28.809
1630086649.407,-790.527,-61.523,-17.578,202.637
1630086649.411,334.473,-60.059,-6.836,41.016
1630086649.415,-1000.000,-87.402,-6.836,-160.645
1630086649.419,-399.902,-104.004,-37.109,-59.570
1630086649.423,-916.504,-93.750,-36.133,189.941
1630086649.424,814.941,-80.078,8.301,119.141
1630086649.428,-756.836,-75.195,4.395,-80.078
1630086649.432,-910.645,-92.773,-32.715,-84.961
1630086649.436,626.465,-84.473,-34.668,117.188
1630086649.440,-816.406,-64.453,0.488,166.016
1630086649.444,-128.418,-70.801,-9.277,-61.523
1630086649.448,-1000.000,-73.730,-6.348,-101.074
1630086649.451,189.453,-55.176,5.371,123.535
1630086649.455,-755.859,-41.504,-10.254,179.199
1630086649.459,187.500,-47.363,-11.719,-44.922
1630086649.463,-1000.000,-37.109,-33.203,-166.016
1630086649.467,-274.414,-11.719,-55.176,15.137
1630086649.469,-808.105,-27.832,-55.176,177.246
1630086649.473,369.629,-64.453,-51.758,16.602
1630086649.477,-1000.000,-77.148,-52.246,-179.199
1630086649.481,-476.562,-56.641,-48.340,-92.773
1630086649.485,978.516,-49.316,-56.641,132.324
1630086649.489,-970.703,-48.828,-7.812,121.582
1630086649.493,-381.836,-57.617,4.883,-67.383
1630086649.496,-1000.000,-67.383,-41.992,-128.418
1630086649.500,375.488,-53.223,-60.547,71.289
1630086649.504,-787.598,-86.914,-43.457,119.141
1630086649.508,-18.555,-81.543,0.488,-97.168
1630086649.512,-1000.000,-18.066,6.348,-164.062
1630086649.529,-114.746,-18.555,-42.969,36.621
1630086649.533,-783.691,-41.016,-75.684,136.719
1630086649.537,215.820,-50.781,-48.828,-51.758
1630086649.541,-1000.000,-56.152,-32.227,-195.312
1630086649.545,-312.988,-68.359,-50.781,-80.566
1630086649.549,-830.078,-59.570,-15.625,147.461
1630086649.553,473.633,-62.988,-7.812,54.688
1630086649.556,-1000.000,-87.402,-67.871,-180.664
1630086649.560,-680.664,-66.406,-80.078,-137.695
1630086649.564,886.230,-43.457,-12.695,162.598
1630086649.568,981.934,-62.988,12.207,153.809
1630086649.572,-452.148,-101.562,-33.203,-145.020
1630086649.574,-1000.000,-108.398,-66.895,-197.754
1630086649.578,80.078,-85.938,-69.336,36.133
1630086649.582,-787.109,-74.219,-50.781,109.863
1630086649.586,78.125,-96.680,-56.152,-119.629
1630086649.590,-1000.000,-101.562,-42.480,-198.242
1630086649.594,-241.211,-56.152,-41.992,17.090
1630086649.598,-810.059,-26.367,-46.387,158.691
1630086649.601,234.375,-56.641,-21.973,-32.715
1630086649.605,-1000.000,-61.523,9.277,-150.391
1630086649.609,-388.184,-39.062,-12.695,-24.902
1630086649.613,-868.652,-59.570,-69.336,111.816
1630086649.617,575.684,-75.684,-45.898,10.254
1630086649.620,-1000.000,-75.195,-30.273,-188.965
1630086649.624,-876.953,-80.566,-45.410,-137.207
1630086649.628,644.531,-88.379,-64.941,92.285
1630086649.632,-889.648,-76.660,-37.109,118.652
1630086649.636,-288.086,-89.355,-11.230,-84.961
1630086649.640,-1000.000,-118.164,-29.297,-146.973
1630086649.644,67.383,-103.027,-56.152,62.500
1630086649.647,-776.367,-98.145,-75.684,125.488
1630086649.651,131.836,-128.906,-27.832,-60.547
1630086649.655,-1000.000,-108.398,6.348,-161.621
1630086649.659,-256.836,-56.152,-19.043,-19.531
1630086649.663,-815.430,-61.035,-18.555,130.371
1630086649.664,239.746,-87.891,-31.738,-61.035
1630086649.668,-1000.000,-94.238,-51.270,-257.812
1630086649.672,-565.430,-82.031,-56.641,-147.949
1630086649.676,-966.797,-61.523,-42.969,124.023
