timestamps,TP9,AF7,AF8,TP10
1630087767.297,-155.273,-28.320,-81.055,-226.562
1630087767.301,-813.965,-11.719,-62.988,-825.195
1630087767.305,214.844,-41.016,-64.941,236.328
1630087767.309,-1000.000,-65.430,-92.773,-1000.000
1630087767.313,-304.688,-37.598,-80.078,-502.441
1630087767.317,-825.684,-7.812,-61.523,-916.016
1630087767.321,318.848,-27.344,-62.988,469.727
1630087767.324,-1000.000,-80.566,-87.402,-1000.000
1630087767.328,-721.680,-66.895,-88.379,-987.793
1630087767.332,886.230,-20.996,-76.172,500.000
1630087767.336,761.230,-31.738,-79.102,959.961
1630087767.340,-789.551,-61.523,-83.008,-526.855
1630087767.342,-1000.000,-62.988,-94.727,-1000.000
1630087767.346,161.621,-35.156,-79.590,-81.543
1630087767.350,-822.754,-14.648,-62.500,-824.707
1630087767.354,-100.098,-57.129,-74.219,73.730
1630087767.358,-1000.000,-77.148,-82.520,-1000.000
1630087767.362,-213.867,-37.598,-86.426,-260.254
1630087767.366,-820.312,-16.113,-75.684,-825.195
1630087767.369,236.328,-48.828,-75.684,250.488
1630087767.373,-1000.000,-73.242,-98.145,-1000.000
1630087767.377,-404.297,-44.922,-83.496,-634.766
1630087767.381,-864.258,-10.742,-75.195,978.516
1630087767.385,421.875,-20.996,-77.148,591.797
1630087767.387,-1000.000,-52.246,-81.055,-938.477
1630087767.391,-896.484,-51.758,-83.984,-1000.000
1630087767.395,630.371,-13.672,-76.660,254.395
1630087767.399,974.609,-5.371,-55.664,-891.113
1630087767.403,-528.809,-48.828,-62.012,-258.789
1630087767.407,-1000.000,-54.199,-82.520,-1000.000
1630087767.411,17.578,-23.926,-80.078,-162.598
1630087767.414,-805.176,-20.508,-69.336,-821.289
1630087767.418,49.316,-50.781,-61.035,174.805
1630087767.422,-1000.000,-60.547,-62.500,-1000.000
1630087767.426,-244.141,-35.645,-65.918,-354.980
1630087767.430,-820.312,-19.043,-61.523,-851.562
1630087767.433,240.234,-51.270,-50.781,331.543
1630087767.437,-1000.000,-74.219,-66.895,-1000.000
1630087767.441,-515.625,-52.734,-91.309,-757.324
1630087767.445,-922.852,-26.855,-78.125,834.961
1630087767.449,538.086,-23.438,-61.523,760.742
1630087767.453,-1000.000,-41.992,-81.055,-776.367
1630087767.457,-1000.000,-50.293,-94.727,-1000.000
1630087767.460,456.055,-23.926,-76.660,142.090
1630087767.464,-915.527,-0.488,-43.945,-845.215
1630087767.468,-347.656,-46.387,-68.359,-120.605
1630087767.472,-1000.000,-63.965,-95.703,-1000.000
1630087767.476,-105.469,-31.738,-63.965,-211.914
1630087767.477,-809.082,-30.762,-43.945,-820.312
1630087767.481,173.828,-58.105,-69.824,223.145
1630087767.485,-1000.000,-59.082,-88.379,-1000.000
1630087767.489,-260.742,-21.973,-71.777,-386.230
1630087767.493,-813.965,-5.371,-73.242,-863.281
1630087767.497,304.688,-39.062,-80.078,459.473
1630087767.501,-1000.000,-71.289,-89.355,-1000.000
1630087767.504,-612.305,-52.734,-84.961,-873.047
1630087767.508,-986.328,-20.508,-71.777,703.613
1630087767.512,643.555,-37.109,-61.523,863.281
1630087767.516,-897.949,-72.754,-86.426,-645.996
1630087767.520,-1000.000,-75.684,-101.562,-1000.000
1630087767.523,239.746,-49.805,-72.754,-19.043
1630087767.527,-843.262,-40.527,-64.941,-826.172
1630087767.531,-180.664,-61.035,-78.125,20.508
1630087767.535,-1000.000,-69.336,-87.402,-1000.000
1630087767.539,-198.730,-47.363,-78.613,-242.188
1630087767.543,-820.801,-18.555,-59.570,-821.777
1630087767.547,229.492,-32.715,-52.246,246.094
1630087767.550,-1000.000,-62.500,-70.312,-1000.000
1630087767.554,-351.074,-59.082,-75.195,-544.922
1630087767.558,-842.285,-33.691,-61.523,-948.242
1630087767.562,370.605,-40.039,-62.500,534.180
1630087767.566,-1000.000,-80.566,-83.008,-996.582
1630087767.567,-761.719,-73.242,-91.309,-1000.000
1630087767.571,812.988,-37.598,-76.172,428.223
1630087767.575,881.348,-29.297,-61.523,-936.523
1630087767.579,-643.066,-55.176,-80.566,-359.863
1630087767.583,-1000.000,-71.777,-87.891,-1000.000
1630087767.587,114.258,-45.410,-78.125,-113.770
1630087767.591,-801.270,-5.859,-49.316,-814.453
1630087767.594,13.672,-10.742,-39.551,160.645
1630087767.598,-1000.000,-64.941,-80.566,-1000.000
1630087767.602,-235.352,-63.965,-88.867,-301.758
1630087767.606,-816.406,-35.156,-68.848,-830.078
1630087767.610,236.816,-49.805,-75.195,273.438
1630087767.612,-1000.000,-77.148,-104.004,-1000.000
1630087767.616,-420.410,-56.152,-103.027,-638.672
1630087767.620,-873.535,-24.902,-80.078,961.426
1630087767.624,478.027,-33.691,-69.824,664.062
1630087767.628,-1000.000,-60.547,-99.121,-887.207
1630087767.632,-874.512,-58.105,-109.375,-1000.000
1630087767.636,666.992,-29.297,-82.031,316.406
1630087767.639,988.281,-39.551,-76.660,-882.812
