timestamps,TP9,AF7,AF8,TP10
1630087651.617,-607.910,-58.594,-63.477,-739.258
1630087651.621,-971.191,-19.531,-10.254,895.996
1630087651.625,576.172,-12.695,-4.395,682.617
1630087651.629,-959.473,-71.289,-72.266,-870.117
1630087651.633,-1000.000,-67.383,-70.801,-1000.000
1630087651.637,244.141,28.809,-8.789,104.004
1630087651.641,-863.281,41.504,1.953,-834.961
1630087651.644,-248.047,-59.082,-59.570,-142.090
1630087651.648,-1000.000,-126.953,-115.234,-1000.000
1630087651.652,-216.797,-105.957,-107.910,-226.074
1630087651.656,-829.590,-23.926,-23.926,-827.637
1630087651.660,217.773,-56.641,-37.109,240.723
1630087651.662,-1000.000,-94.727,-79.590,-1000.000
1630087651.666,-308.594,-36.133,-36.133,-409.180
1630087651.670,-829.102,27.344,20.508,-862.793
1630087651.674,292.969,-19.531,-26.855,365.723
1630087651.678,-1000.000,-103.516,-110.840,-1000.000
1630087651.682,-747.559,-77.148,-70.312,-882.812
1630087651.686,885.254,17.090,22.949,701.172
1630087651.689,709.473,-1.953,15.625,831.543
1630087651.693,-848.145,-124.023,-70.312,-718.750
1630087651.697,-1000.000,-105.957,-57.617,-1000.000
1630087651.701,119.629,-2.441,30.273,-0.488
1630087651.705,-831.055,3.418,48.340,-826.660
1630087651.707,-143.555,-75.684,-10.742,-47.852
1630087651.711,-1000.000,-103.516,-46.387,-1000.000
1630087651.715,-225.586,-30.273,14.160,-231.934
1630087651.719,-828.613,22.461,68.848,-826.660
1630087651.723,240.234,-42.969,12.695,243.164
1630087651.727,-1000.000,-92.285,-31.250,-1000.000
1630087651.731,-404.297,-26.855,19.043,-509.277
1630087651.734,-861.816,18.555,67.871,-908.203
1630087651.738,341.309,-104.492,-7.812,436.035
1630087651.742,-1000.000,-143.555,-30.273,-1000.000
1630087651.746,-850.586,-64.453,38.574,-989.258
1630087651.750,711.914,6.348,98.633,497.559
1630087651.752,887.695,18.555,93.750,-1000.000
1630087651.756,-642.578,-51.758,21.973,-491.211
1630087651.760,-1000.000,-60.059,18.066,-1000.000
1630087651.764,-14.648,17.090,71.777,-136.230
1630087651.768,-819.824,42.480,82.031,-828.613
1630087651.772,-1.465,-35.156,21.973,95.215
1630087651.776,-1000.000,-68.359,0.000,-1000.000
1630087651.779,-236.816,-94.727,-37.109,-252.930
1630087651.783,-824.707,-49.316,-2.441,-824.219
1630087651.787,242.188,-21.973,45.898,242.188
1630087651.791,-1000.000,-88.867,-6.836,-1000.000
1630087651.795,-531.738,-45.410,6.348,-647.949
1630087651.797,-921.875,23.926,61.523,995.117
1630087651.801,497.070,-10.742,54.688,579.590
1630087651.805,-1000.000,-77.148,-11.230,-962.891
1630087651.809,-1000.000,-64.941,-11.230,-1000.000
1630087651.813,420.410,15.137,50.781,237.793
1630087651.817,-949.707,33.203,66.895,-871.094
1630087651.821,-409.180,-66.895,-11.230,-259.766
1630087651.824,-1000.000,-120.605,-59.082,-1000.000
1630087651.828,-165.527,-32.715,20.508,-214.844
1630087651.832,-827.637,13.184,71.289,-829.590
1630087651.836,143.066,-79.102,15.137,211.914
1630087651.840,-1000.000,-102.539,-15.625,-1000.000
