timestamps,TP9,AF7,AF8,TP10
1630096287.683,-19.531,0.977,-53.223,-90.820
1630096287.687,-37.109,-27.832,-52.734,-520.996
1630096287.691,-38.574,-64.941,-20.020,-56.641
1630096287.695,2.441,-43.457,-20.508,398.926
1630096287.699,27.832,-50.781,-45.898,81.543
1630096287.703,22.949,-57.617,-52.246,-434.570
1630096287.707,-51.758,-57.129,-22.949,-190.430
1630096287.710,-51.758,-26.855,-6.348,359.863
1630096287.714,31.738,14.648,-20.996,310.547
1630096287.718,7.324,-57.617,-55.176,-293.457
1630096287.722,-25.879,-93.750,-20.508,-398.926
1630096287.726,-24.902,-51.758,6.836,214.844
1630096287.726,-24.902,-51.758,6.836,214.844
1630096287.728,-46.387,-29.297,-17.578,362.305
1630096287.732,-68.359,-31.250,-53.223,-161.621
1630096287.736,-48.828,-42.969,-51.270,-497.070
1630096287.740,-0.977,-16.602,-6.348,65.430
1630096287.744,-21.973,-14.160,-19.531,450.684
1630096287.748,-66.406,-38.574,-64.941,40.527
1630096287.752,-40.039,-65.430,-53.711,-462.402
1630096287.755,10.254,18.555,12.695,-21.973
1630096287.759,17.090,99.121,29.785,489.258
1630096287.763,-11.719,-28.809,-27.832,168.945
1630096287.767,-32.227,-83.008,-62.988,-443.359
1630096287.771,-28.320,-62.988,-33.203,-327.148
1630096287.772,7.812,-59.082,-21.973,302.734
1630096287.776,2.930,-56.152,-44.434,356.934
1630096287.780,-36.621,-47.852,-56.152,-251.465
1630096287.784,-36.133,-44.434,-28.320,-410.645
1630096287.788,-32.227,-34.668,-15.625,226.562
1630096287.792,-24.902,-41.016,-45.898,381.348
1630096287.796,-5.859,-46.387,-65.430,-136.230
1630096287.799,-20.996,51.758,-33.203,-442.383
1630096287.803,-26.367,29.785,-13.672,15.625
1630096287.807,-13.184,-57.129,-17.578,336.426
1630096287.811,-5.859,-40.527,-28.320,16.113
1630096287.815,-16.602,-39.062,-40.527,-474.121
1630096287.817,-9.766,-59.570,-16.113,-114.746
1630096287.821,-9.277,-86.914,-24.414,378.418
1630096287.825,-27.832,-76.172,-36.621,189.453
1630096287.829,-38.086,-50.293,-43.457,-372.070
1630096287.833,-41.504,-37.109,-23.438,-335.449
1630096287.837,-45.898,-41.504,-14.160,312.988
1630096287.841,-20.508,18.066,-21.484,405.762
1630096287.844,-6.348,60.547,-30.273,-208.496
1630096287.848,-29.297,-38.086,-41.016,-499.023
1630096287.852,-19.043,-59.570,-31.250,119.141
1630096287.856,-21.484,-29.297,-12.695,425.781
1630096287.860,-39.062,-51.270,-35.645,-91.309
1630096287.862,-24.902,-71.777,-62.500,-554.688
1630096287.866,-27.344,-62.012,-13.672,-24.414
1630096287.870,-14.160,-62.500,-5.371,442.383
1630096287.874,-24.902,-64.941,-51.270,122.559
1630096287.878,-73.242,-68.359,-69.336,-504.883
1630096287.882,-33.203,-30.762,-27.344,-192.871
1630096287.886,-0.488,48.340,-5.371,451.660
1630096287.889,-16.113,13.184,-35.156,232.910
1630096287.893,-62.988,-59.570,-67.383,-445.801
1630096287.897,-83.496,-43.945,-27.344,-408.203
1630096287.901,-21.484,-29.297,-4.883,317.871
1630096287.905,-11.719,-70.312,-49.316,387.207
1630096287.923,-44.434,-79.102,-91.309,-251.465
1630096287.927,-45.410,-63.477,-58.594,-503.418
1630096287.931,-33.203,-64.941,-17.578,149.902
1630096287.935,-46.387,-61.523,-34.180,433.105
1630096287.939,-56.641,-57.129,-56.641,-78.125
1630096287.943,-50.781,-17.090,-37.109,-495.117
1630096287.947,-44.434,-5.859,-0.488,-6.348
1630096287.950,-29.297,-35.645,-15.625,430.176
1630096287.954,-28.809,-62.988,-61.523,69.824
1630096287.958,1.465,13.184,-50.293,-494.629
1630096287.962,6.348,41.016,7.324,-199.707
1630096287.966,-20.996,-46.875,-3.418,386.719
1630096287.973,-27.344,-33.691,-38.574,298.340
1630096287.977,-34.668,-10.742,-59.570,-343.750
1630096287.981,-55.176,-44.434,-42.969,-455.566
1630096287.985,-34.668,-66.406,-35.645,216.309
1630096287.989,-16.113,-41.504,-26.855,415.039
1630096287.993,-36.133,-37.109,-28.809,-151.367
1630096287.997,-54.688,-48.340,-28.809,-497.070
1630096288.000,-46.387,-49.316,-6.348,82.031
1630096288.004,-10.742,-21.973,-3.418,456.543
1630096288.008,-25.879,8.301,-28.320,-3.418
1630096288.012,-49.805,-33.203,-34.180,-576.660
1630096288.016,-35.156,-44.922,-6.836,-131.836
1630096288.013,-55.176,-25.391,-25.879,444.824
1630096288.017,-52.734,-35.645,-59.570,165.527
1630096288.021,-39.062,-49.316,-60.059,-485.352
1630096288.025,-24.414,-56.641,-16.113,-282.227
1630096288.029,-7.812,-7.324,-6.348,388.672
1630096288.033,-34.180,2.930,-36.621,339.844
1630096288.037,-37.109,-43.457,-56.152,-283.691
1630096288.040,-20.020,-67.383,-29.785,-392.090
1630096288.044,-14.648,-4.883,11.719,259.766
1630096288.048,-24.414,54.688,-3.906,384.766
1630096288.052,-53.711,-39.551,-67.383,-228.027
1630096288.056,-75.684,-67.871,-56.152,-599.121
1630096288.058,-43.457,-49.805,-19.043,12.207
1630096288.062,-20.508,-53.223,-36.621,418.457
1630096288.066,-40.527,-47.363,-64.453,17.578
1630096288.070,-52.246,-43.457,-53.711,-500.977
1630096288.074,-43.457,-49.316,-8.789,-140.625
1630096288.078,-32.715,-45.410,-15.137,446.777
1630096288.082,-56.152,-61.035,-54.688,262.695
1630096288.085,-40.039,-41.016,-54.199,-413.574
1630096288.089,5.859,64.453,10.254,-289.551
1630096288.093,-15.137,5.859,4.883,340.332
1630096288.097,-25.391,-77.148,-41.016,330.078
1630096288.101,-16.602,-50.781,-55.664,-282.715
1630096288.102,-21.484,-56.641,-29.785,-484.863
1630096288.106,-34.668,-61.035,-20.996,167.969
1630096288.110,-68.359,-44.434,-43.945,413.574
1630096288.114,-59.570,-38.086,-61.035,-124.023
1630096288.118,-58.105,-41.504,-41.992,-541.504
1630096288.122,-56.152,-45.898,-14.160,23.926
1630096288.126,-58.594,-68.848,-32.227,458.008
1630096288.129,-39.551,-20.020,-50.781,89.844
1630096288.133,-9.277,25.879,-34.668,-477.051
1630096288.137,-38.574,-34.180,0.000,-174.316
1630096288.141,-33.691,-57.617,-10.254,414.551
1630096288.145,-33.203,-41.016,-50.293,236.328
1630096288.147,-26.367,-49.805,-61.523,-426.758
1630096288.151,-26.367,-62.988,-20.508,-365.234
1630096288.155,-45.898,-50.781,-0.488,317.871
1630096288.159,-30.762,-56.152,-14.160,367.676
1630096288.163,-42.480,-65.918,-54.688,-266.113
1630096288.167,-44.922,-73.242,-54.199,-519.531
1630096288.171,-18.555,-40.039,-24.414,156.738
1630096288.174,-23.926,33.691,-35.645,438.965
1630096288.178,-23.926,-8.301,-66.895,-89.355
1630096288.182,-20.508,-38.086,-50.293,-559.570
1630096288.186,-36.133,-21.973,-8.789,-59.082
1630096288.190,-37.598,-36.133,-31.250,414.551
1630096288.207,-33.203,-47.852,-59.082,126.953
1630096288.211,-37.109,-58.105,-58.105,-484.863
1630096288.215,5.371,-8.301,-10.742,-235.840
1630096288.219,1.953,1.953,-1.953,405.762
1630096288.223,-33.691,-54.199,-30.273,309.570
1630096288.227,-42.480,-77.148,-49.316,-329.590
1630096288.231,-32.715,16.113,-2.441,-362.793
1630096288.234,-13.184,86.914,30.762,316.895
1630096288.238,-28.320,-35.645,-17.578,384.766
1630096288.242,-66.895,-90.332,-78.125,-256.348
1630096288.246,-83.008,-59.570,-77.148,-592.773
1630096288.250,-51.758,-34.180,-35.645,53.711
1630096288.237,-11.230,-31.250,-37.109,479.980
1630096288.241,-35.645,-46.875,-56.152,-0.977
1630096288.245,-69.824,-55.664,-46.387,-573.242
1630096288.249,-50.293,-49.316,-2.930,-90.332
1630096288.253,-49.316,-62.500,-3.418,454.102
1630096288.257,-61.035,-44.434,-42.969,159.668
1630096288.261,-50.781,-2.930,-54.688,-494.141
1630096288.264,-60.547,-43.457,-23.926,-294.922
1630096288.268,-65.918,-71.289,-8.789,375.977
1630096288.272,-37.598,-19.531,-23.926,296.875
1630096288.276,-41.016,17.578,-44.434,-354.492
1630096288.280,-61.035,-67.383,-23.926,-471.191
1630096288.297,-28.320,-84.473,1.953,202.637
1630096288.301,-21.484,-60.059,-22.461,400.391
1630096288.305,-42.480,-63.965,-58.594,-152.344
1630096288.309,-37.598,-60.547,-35.156,-553.223
1630096288.313,-27.832,-60.059,2.441,29.297
1630096288.317,-37.598,-2.930,-8.789,470.215
1630096288.321,-43.457,10.254,-41.992,46.387
1630096288.324,-37.109,-44.434,-56.152,-523.438
1630096288.328,-51.758,-70.801,-47.363,-170.898
1630096288.332,-15.625,18.066,-18.555,378.418
1630096288.336,-5.371,83.984,-2.441,198.242
1630096288.340,-57.129,-28.320,-36.133,-471.191
1630096288.342,-48.828,-62.988,-12.695,-370.117
1630096288.346,-27.832,-41.016,-1.465,296.387
1630096288.350,-47.363,-41.504,-25.391,336.426
1630096288.354,-38.574,-59.570,-47.363,-272.461
1630096288.358,-17.578,-66.895,-15.137,-456.543
1630096288.362,-15.625,-59.082,5.371,209.961
1630096288.366,-28.320,-57.617,-25.879,410.645
1630096288.369,-24.902,-90.820,-68.359,-189.941
1630096288.373,-31.250,-59.570,-45.898,-583.008
1630096288.377,-15.625,40.527,3.906,75.195
1630096288.381,-31.250,10.254,-24.414,485.840
1630096288.385,-58.594,-40.527,-58.105,-4.395
1630096288.389,-37.598,-9.766,-52.734,-586.914
1630096288.393,-35.645,-8.789,-12.207,-221.680
1630096288.397,-57.617,-55.176,-15.625,351.074
1630096288.401,-49.805,-55.176,-40.527,180.176
1630096288.405,-26.367,-57.617,-62.012,-464.844
1630096288.409,-35.156,-57.129,-32.715,-383.301
1630096288.413,-38.574,-56.152,-12.695,349.609
1630096288.416,-28.320,-76.660,-54.688,370.605
1630096288.420,-14.648,-10.254,-61.523,-259.277
1630096288.424,-14.160,40.039,-13.184,-503.906
1630096288.428,-24.902,-45.410,-10.742,112.305
1630096288.432,-25.391,-52.246,-37.109,376.953
1630096288.434,-38.086,-33.691,-62.500,-121.582
1630096288.438,-50.293,-47.363,-62.012,-570.312
1630096288.442,-52.246,-59.082,-30.762,-93.262
1630096288.446,-46.875,-61.523,-31.250,392.090
1630096288.450,-46.875,-49.805,-57.129,75.684
1630096288.454,-64.941,-62.500,-56.152,-500.977
1630096288.458,-30.762,-64.941,-16.602,-195.312
1630096288.461,-15.137,-31.738,-21.484,408.691
1630096288.465,-23.438,45.410,-39.062,279.785
1630096288.469,-41.016,-1.953,-57.129,-383.789
1630096288.473,-49.805,-71.777,-37.109,-406.738
1630096288.477,-21.973,-51.758,-6.348,270.020
1630096288.477,-4.395,-48.340,-19.531,371.094
1630096288.481,-7.324,-68.359,-64.941,-204.590
1630096288.485,-46.875,-80.078,-66.406,-498.047
1630096288.489,-78.125,-58.105,-26.367,103.516
1630096288.493,-84.473,-41.504,-33.691,369.629
1630096288.497,-51.758,-30.762,-62.500,-72.754
1630096288.501,-61.523,-58.594,-62.500,-483.398
1630096288.504,-38.574,21.973,-5.859,-40.039
1630096288.508,14.160,172.852,24.414,424.316
1630096288.512,-45.410,37.109,-42.969,72.754
1630096288.516,-77.148,-96.680,-75.195,-520.020
1630096288.520,-65.918,-73.242,-20.020,-294.922
1630096288.522,-52.734,-60.547,-17.578,303.711
1630096288.526,-28.809,-46.387,-50.293,211.914
1630096288.530,-47.363,-28.320,-64.453,-354.004
1630096288.534,-40.527,-33.203,-41.504,-373.047
