timestamps,TP9,AF7,AF8,TP10
1630097037.606,-102.539,-44.434,-217.773,-230.957
1630097037.610,-1000.000,-37.598,-1000.000,-1000.000
1630097037.614,193.359,-26.855,453.125,385.254
1630097037.618,-749.512,-31.738,-772.461,-764.648
1630097037.622,184.570,-40.527,164.551,175.781
1630097037.626,-1000.000,-41.504,-1000.000,-1000.000
1630097037.630,-278.320,-44.922,-146.484,-192.871
1630097037.633,-806.152,-39.062,-774.414,-776.367
1630097037.637,463.867,-35.156,384.766,350.098
1630097037.641,-1000.000,-42.969,-1000.000,-1000.000
1630097037.645,-359.863,-31.738,-309.570,-285.156
1630097037.649,-925.293,-25.391,-890.625,-871.094
1630097037.651,943.359,-33.691,868.164,813.965
1630097037.655,-597.656,-48.340,-713.379,-796.875
1630097037.659,-834.473,-42.969,-669.434,-696.777
1630097037.663,736.328,-29.297,864.746,865.234
1630097037.667,-815.918,-34.668,-841.309,-850.098
1630097037.671,40.527,-47.852,-33.691,-68.848
1630097037.675,-1000.000,-51.270,-1000.000,-1000.000
1630097037.678,46.875,-41.992,270.996,178.711
1630097037.682,-747.559,-37.598,-753.418,-749.023
1630097037.686,191.895,-41.016,180.176,185.547
1630097037.690,-1000.000,-59.082,-1000.000,-1000.000
1630097037.694,-278.320,-43.945,-220.215,-265.625
1630097037.696,-817.383,-26.367,-794.922,-801.270
1630097037.700,546.875,-40.527,484.863,456.055
1630097037.704,-1000.000,-43.457,-1000.000,-1000.000
1630097037.708,-455.078,-33.691,-351.562,-346.680
1630097037.712,-996.094,-30.762,-942.383,-925.781
1630097037.716,-937.012,-37.598,999.512,954.590
1630097037.720,-343.750,-57.617,-470.215,-561.035
1630097037.723,-1000.000,-46.387,-842.773,-874.023
1630097037.727,484.375,-25.391,695.312,685.059
1630097037.731,-774.902,-33.691,-805.176,-808.594
1630097037.735,158.203,-52.246,68.359,53.711
1630097037.739,-1000.000,-49.316,-1000.000,-1000.000
1630097037.741,-103.027,-25.391,92.773,23.926
1630097037.745,-758.789,-24.902,-749.512,-749.512
1630097037.749,232.910,-33.203,222.656,194.824
1630097037.753,-1000.000,-39.551,-1000.000,-1000.000
1630097037.757,-275.391,-33.203,-264.648,-277.832
1630097037.761,-847.168,-21.484,-829.102,-820.312
1630097037.765,701.660,-20.020,642.090,572.754
1630097037.768,-950.684,-23.926,-992.188,-1000.000
1630097037.772,-576.172,-28.320,-429.199,-463.379
1630097037.776,945.312,-20.508,-989.258,-998.535
1630097037.780,-883.789,-16.113,-915.039,-931.641
1630097037.784,-188.965,-24.902,-277.344,-332.520
1630097037.786,-1000.000,-9.277,-927.246,-1000.000
1630097037.790,325.684,9.277,581.055,501.953
1630097037.794,-756.836,0.977,-779.297,-776.367
1630097037.798,175.293,-15.625,137.695,142.578
1630097037.802,-1000.000,-17.090,-1000.000,-1000.000
1630097037.806,-186.523,11.230,8.301,-86.914
1630097037.810,-773.926,11.719,-749.512,-756.836
1630097037.813,360.840,-20.508,321.289,251.953
1630097037.817,-1000.000,-36.133,-1000.000,-1000.000
1630097037.821,-282.715,-11.230,-277.832,-278.809
1630097037.825,-875.488,3.906,-861.816,-843.262
1630097037.829,834.473,-16.602,796.387,691.406
1630097037.831,-774.902,-33.203,-817.383,-957.520
1630097037.835,-693.848,-32.227,-524.414,-588.867
1630097037.839,877.441,-29.297,961.914,933.105
1630097037.843,-848.145,-25.391,-864.746,-875.488
1630097037.847,-56.152,-35.156,-128.906,-180.176
1630097037.851,-1000.000,-30.762,-975.098,-1000.000
1630097037.855,184.082,-12.207,483.398,349.609
1630097037.858,-746.582,-23.438,-771.973,-761.719
1630097037.862,184.082,-45.898,173.340,179.688
1630097037.866,-1000.000,-51.758,-1000.000,-1000.000
1630097037.870,-278.809,-36.621,-172.363,-236.328
1630097037.874,-810.547,-32.227,-781.250,-789.062
1630097037.876,494.141,-41.016,431.641,385.742
1630097037.880,-1000.000,-52.246,-1000.000,-1000.000
1630097037.884,-413.086,-46.387,-330.078,-313.965
1630097037.888,-953.613,-30.273,-911.621,-899.414
1630097037.892,982.422,-45.410,925.293,884.766
1630097037.896,-528.809,-60.547,-623.047,-694.824
1630097037.900,-905.273,-37.109,-712.891,-754.883
1630097037.903,650.391,-27.832,829.102,817.383
1630097037.907,-803.711,-42.480,-837.891,-838.867
1630097037.911,74.219,-53.223,4.395,-28.809
1630097037.915,-1000.000,-53.223,-1000.000,-1000.000
1630097037.919,-29.785,-38.574,147.461,103.516
1630097037.936,-755.371,-34.668,-751.465,-749.023
1630097037.940,199.219,-53.223,191.406,190.430
1630097037.944,-1000.000,-65.918,-1000.000,-1000.000
1630097037.948,-277.344,-52.734,-245.117,-278.320
1630097037.952,-827.637,-45.898,-815.430,-812.988
1630097037.956,607.422,-60.547,576.660,523.926
1630097037.960,-1000.000,-73.730,-1000.000,-1000.000
1630097037.963,-541.504,-70.801,-427.734,-420.898
1630097037.967,955.078,-62.500,-980.469,-973.145
