timestamps,TP9,AF7,AF8,TP10
1626.4656012370003,35.156,-33.691,-53.223,-26.855
1626.4656012410003,-36.621,-32.715,-46.387,-57.617
1626.4656012449998,-106.445,-33.691,-8.301,-37.598
1626.4656012489997,-43.457,-33.203,-6.836,0.488
1626.4656012529997,28.32,-38.574,-40.527,-17.09
1626.4656012570001,-1.465,-42.48,-46.387,-46.387
1626.465601261,-86.914,-45.41,-18.066,-44.922
1626.465601264,-52.246,-40.527,-12.207,0.977
1626.465601268,16.113,-36.621,-51.27,-2.93
1626.4656012720002,8.301,-40.527,-65.918,-50.781000000000006
1626.465601276,-88.867,-40.039,-30.273000000000003,-66.406
1626.4656012799999,-77.148,-28.809,-2.93,-15.625
1626.465601283,8.301,-29.296999999999997,-23.438000000000002,3.906
1626.4656012870003,37.598,-38.086,-48.34,-29.785
1626.4656012910002,-54.688,-41.992,-39.062,-54.199
1626.4656012950002,-88.867,-41.992,-8.301,-17.09
1626.4656012990001,-11.23,-37.109,-16.602,7.812
1626.465601303,48.828,-33.691,-46.875,-15.137
1626.4656013070003,-12.207,-41.504,-51.27,-50.781000000000006
1626.46560131,-86.426,-42.968999999999994,-12.695,-33.691
1626.465601314,-37.598,-40.039,-8.789,8.301
1626.465601318,24.414,-46.387,-44.434,-11.23
1626.465601322,-0.977,-47.363,-57.129,-46.387
1626.465601326,-83.49600000000001,-45.898,-20.996,-48.34
1626.4656013279998,-55.176,-41.504,-3.418,-6.348
1626.465601332,22.461,-40.527,-28.809,0.488
1626.465601336,23.926,-46.875,-46.875,-35.156
1626.46560134,-79.59,-43.945,-26.855,-60.547
1626.4656013439999,-75.195,-33.691,0.488,-17.578
1626.4656013479998,4.883,-34.668,-25.391,-0.488
1626.4656013520002,23.438000000000002,-43.945,-61.035,-35.645
1626.465601355,-64.941,-53.711000000000006,-51.758,-69.336
1626.465601359,-97.16799999999999,-48.34,-11.23,-41.992
1626.465601363,-24.414,-48.828,-18.555,-3.418
1626.465601367,30.273000000000003,-47.363,-52.246,-29.296999999999997
1626.465601371,-25.879,-39.551,-49.316,-61.523
1626.4656013720003,-100.586,-33.203,-9.277000000000001,-44.922
1626.4656013760002,-45.898,-31.25,-4.395,-1.465
1626.4656013800002,19.531,-39.062,-40.527,-9.766
1626.465601384,7.324,-44.922,-57.129,-56.152
1626.4656013879999,-74.219,-38.574,-18.555,-62.012
1626.4656013920003,-54.199,-23.926,9.766,-3.418
1626.4656013960002,10.742,-37.598,-33.203,-2.93
1626.465601399,20.508000000000003,-46.875,-60.547,-43.945
1626.465601403,-62.5,-29.785,-27.831999999999997,-56.152
1626.4656014070001,-67.383,-26.366999999999997,7.324,-13.672
1626.465601411,1.953,-34.668,-14.648,6.348
1626.465601415,30.761999999999997,-35.156,-54.688,-30.761999999999997
1626.465601417,-46.387,-41.016000000000005,-46.387,-62.5
1626.465601421,-87.891,-32.715,-6.348,-36.133
1626.465601425,-16.113,-20.508000000000003,-16.113,-5.371
1626.465601429,44.434,-24.414,-48.828,-22.461
1626.4656014329998,0.0,-33.203,-58.105,-60.059
1626.465601437,-80.566,-35.156,-14.16,-46.387
1626.465601441,-39.551,-36.621,-5.371,-1.953
1626.465601444,25.879,-40.527,-38.574,-11.23
1626.465601448,21.484,-37.598,-42.968999999999994,-42.48
1626.465601452,-83.984,-48.34,-24.901999999999997,-61.035
1626.465601456,-79.102,-53.223,-8.301,-17.09
1626.46560146,7.812,-34.668,-22.949,5.371
1626.4656014770003,23.438000000000002,-35.645,-46.387,-32.227
1626.465601481,-69.824,-45.41,-28.809,-58.105
1626.465601485,-86.914,-39.551,4.395,-20.508000000000003
1626.465601489,-10.254000000000001,-31.738000000000003,-22.461,3.906
