timestamps,TP9,AF7,AF8,TP10
1626465601.237,35.156,-33.691,-53.223,-26.855
1626465601.241,-36.621,-32.715,-46.387,-57.617
1626465601.245,-106.445,-33.691,-8.301,-37.598
1626465601.249,-43.457,-33.203,-6.836,0.488
1626465601.253,28.320,-38.574,-40.527,-17.090
1626465601.257,-1.465,-42.480,-46.387,-46.387
1626465601.261,-86.914,-45.410,-18.066,-44.922
1626465601.264,-52.246,-40.527,-12.207,0.977
1626465601.268,16.113,-36.621,-51.270,-2.930
1626465601.272,8.301,-40.527,-65.918,-50.781
1626465601.276,-88.867,-40.039,-30.273,-66.406
1626465601.280,-77.148,-28.809,-2.930,-15.625
1626465601.283,8.301,-29.297,-23.438,3.906
1626465601.287,37.598,-38.086,-48.340,-29.785
1626465601.291,-54.688,-41.992,-39.062,-54.199
1626465601.295,-88.867,-41.992,-8.301,-17.090
1626465601.299,-11.230,-37.109,-16.602,7.812
1626465601.303,48.828,-33.691,-46.875,-15.137
1626465601.307,-12.207,-41.504,-51.270,-50.781
1626465601.310,-86.426,-42.969,-12.695,-33.691
1626465601.314,-37.598,-40.039,-8.789,8.301
1626465601.318,24.414,-46.387,-44.434,-11.230
1626465601.322,-0.977,-47.363,-57.129,-46.387
1626465601.326,-83.496,-45.898,-20.996,-48.340
1626465601.328,-55.176,-41.504,-3.418,-6.348
1626465601.332,22.461,-40.527,-28.809,0.488
1626465601.336,23.926,-46.875,-46.875,-35.156
1626465601.340,-79.590,-43.945,-26.855,-60.547
1626465601.344,-75.195,-33.691,0.488,-17.578
1626465601.348,4.883,-34.668,-25.391,-0.488
1626465601.352,23.438,-43.945,-61.035,-35.645
1626465601.355,-64.941,-53.711,-51.758,-69.336
1626465601.359,-97.168,-48.340,-11.230,-41.992
1626465601.363,-24.414,-48.828,-18.555,-3.418
1626465601.367,30.273,-47.363,-52.246,-29.297
1626465601.371,-25.879,-39.551,-49.316,-61.523
1626465601.372,-100.586,-33.203,-9.277,-44.922
1626465601.376,-45.898,-31.250,-4.395,-1.465
1626465601.380,19.531,-39.062,-40.527,-9.766
1626465601.384,7.324,-44.922,-57.129,-56.152
1626465601.388,-74.219,-38.574,-18.555,-62.012
1626465601.392,-54.199,-23.926,9.766,-3.418
1626465601.396,10.742,-37.598,-33.203,-2.930
1626465601.399,20.508,-46.875,-60.547,-43.945
1626465601.403,-62.500,-29.785,-27.832,-56.152
1626465601.407,-67.383,-26.367,7.324,-13.672
1626465601.411,1.953,-34.668,-14.648,6.348
1626465601.415,30.762,-35.156,-54.688,-30.762
1626465601.417,-46.387,-41.016,-46.387,-62.500
1626465601.421,-87.891,-32.715,-6.348,-36.133
1626465601.425,-16.113,-20.508,-16.113,-5.371
1626465601.429,44.434,-24.414,-48.828,-22.461
1626465601.433,0.000,-33.203,-58.105,-60.059
1626465601.437,-80.566,-35.156,-14.160,-46.387
1626465601.441,-39.551,-36.621,-5.371,-1.953
1626465601.444,25.879,-40.527,-38.574,-11.230
1626465601.448,21.484,-37.598,-42.969,-42.480
1626465601.452,-83.984,-48.340,-24.902,-61.035
1626465601.456,-79.102,-53.223,-8.301,-17.090
1626465601.460,7.812,-34.668,-22.949,5.371
1626465601.477,23.438,-35.645,-46.387,-32.227
1626465601.481,-69.824,-45.410,-28.809,-58.105
1626465601.485,-86.914,-39.551,4.395,-20.508
1626465601.489,-10.254,-31.738,-22.461,3.906
1626465601.493,35.156,-34.180,-58.105,-18.555
1626465601.497,-29.297,-40.039,-45.410,-49.805
1626465601.501,-81.543,-37.109,-2.930,-23.926
1626465601.504,-23.926,-32.715,-10.742,6.836
1626465601.508,22.949,-37.109,-49.805,-20.996
1626465601.512,-27.344,-46.875,-51.758,-58.105
1626465601.516,-112.793,-41.992,-17.578,-56.152
1626465601.520,-67.383,-26.367,-7.324,-12.695
1626465601.522,15.625,-22.461,-38.574,-16.602
1626465601.526,5.371,-44.922,-58.105,-56.152
1626465601.530,-90.820,-51.270,-28.809,-68.359
1626465601.534,-71.289,-28.809,4.395,-19.531
1626465601.538,3.418,-31.250,-19.043,-9.277
1626465601.542,29.785,-37.598,-47.363,-38.574
1626465601.546,-59.082,-38.574,-37.598,-66.406
1626465601.549,-83.984,-27.832,-5.859,-29.785
1626465601.553,-4.883,-16.113,-20.020,0.488
1626465601.557,33.691,-20.996,-57.617,-38.086
1626465601.561,-31.250,-20.020,-56.641,-72.754
1626465601.565,-103.027,-32.715,-23.926,-52.246
1626465601.567,-54.688,-35.645,-22.949,-18.066
1626465601.571,16.602,-26.367,-53.711,-34.180
1626465601.575,-12.695,-40.039,-63.477,-70.801
1626465601.579,-104.980,-43.945,-24.414,-60.059
1626465601.583,-68.359,-36.621,-10.742,-15.137
1626465601.587,12.695,-30.273,-37.109,-8.301
1626465601.591,20.020,-24.902,-57.129,-29.785
1626465601.594,-76.172,-34.180,-43.945,-52.734
1626465601.598,-75.195,-40.527,-13.184,-17.090
1626465601.602,-1.465,-34.668,-25.879,0.488
1626465601.606,29.785,-27.344,-53.223,-29.297
1626465601.610,-47.363,-33.691,-42.969,-65.918
1626465601.612,-78.613,-30.762,-4.395,-36.133
1626465601.616,-6.348,-19.043,-14.160,0.488
1626465601.620,49.316,-18.066,-54.199,-22.949
1626465601.624,-2.441,-18.066,-57.129,-58.105
