timestamps,TP9,AF7,AF8,TP10
1626.465842123,-38.574,-45.41,-24.901999999999997,-32.715
1626.465842127,191.895,-35.645,-27.344,5.371
1626.465842131,6.348,-40.039,-42.968999999999994,-25.879
1626.465842135,-206.055,-41.992,-22.949,-44.922
1626.465842139,-112.305,-39.062,-14.648,-32.227
1626.465842143,147.461,-34.18,-17.578,-4.883
1626.465842147,65.918,-42.48,-41.016000000000005,-24.901999999999997
1626.46584215,-210.449,-50.781000000000006,-44.434,-61.035
1626.465842154,-184.082,-35.156,-29.296999999999997,-47.363
1626.465842158,83.008,-33.203,-22.461,-13.184000000000001
1626.4658421620002,135.254,-39.062,-40.039,-6.348
1626.4658421660001,-145.996,-38.086,-41.016000000000005,-52.246
1626.4658421660001,-217.773,-34.18,-32.715,-61.035
1626.46584217,6.836,-29.296999999999997,-26.366999999999997,-29.785
1626.465842174,167.48,-30.273000000000003,-32.227,-12.207
1626.465842178,-83.984,-34.668,-48.828,-53.711000000000006
1626.4658421820002,-235.352,-37.598,-36.621,-63.965
1626.4658421860001,-54.199,-29.296999999999997,-26.366999999999997,-25.391
1626.46584219,176.27,-35.156,-34.668,1.465
1626.4658421929998,-2.441,-46.387,-50.781000000000006,-37.109
1626.465842197,-216.797,-40.527,-40.039,-52.246
1626.465842201,-121.094,-39.062,-26.366999999999997,-35.645
1626.465842205,133.789,-42.968999999999994,-16.602,-3.418
1626.465842209,85.93799999999999,-45.41,-37.109,-13.184000000000001
1626.4658422129999,-184.082,-43.457,-37.598,-50.781000000000006
1626.465842217,-191.895,-40.527,-33.691,-56.152
1626.465842221,66.895,-36.133,-23.926,-23.926
1626.465842225,153.32,-38.574,-32.227,-9.277000000000001
1626.465842229,-125.0,-48.828,-37.109,-49.805
1626.4658422329999,-212.40200000000002,-45.898,-29.785,-50.781000000000006
1626.4658422370003,17.09,-35.645,-21.484,-12.695
1626.46584224,197.75400000000002,-28.32,-23.438000000000002,11.23
1626.465842244,-56.152,-38.574,-39.062,-38.086
1626.465842248,-231.445,-41.016000000000005,-30.761999999999997,-57.617
1626.4658422520001,-67.383,-33.203,-19.531,-31.25
1626.465842256,181.15200000000002,-34.18,-18.066,2.441
1626.4658422710002,37.598,-39.551,-39.551,-20.508000000000003
1626.465842275,-200.195,-37.598,-30.761999999999997,-45.41
1626.465842279,-139.648,-31.738000000000003,-20.996,-41.016000000000005
1626.465842283,124.023,-29.785,-16.602,-5.859
1626.4658422870002,105.95700000000001,-36.133,-37.109,-7.324
1626.4658422910002,-175.78099999999998,-49.316,-45.41,-51.27
1626.4658422950001,-193.84799999999998,-45.898,-36.133,-50.781000000000006
1626.4658422979999,50.781000000000006,-36.133,-27.831999999999997,-22.949
1626.465842302,163.086,-37.598,-32.227,-2.93
1626.465842306,-102.539,-40.039,-41.016000000000005,-35.645
1626.46584231,-217.773,-36.621,-44.922,-50.781000000000006
1626.465842314,-16.113,-28.32,-32.227,-27.344
1626.465842316,192.87099999999998,-23.438000000000002,-21.973000000000003,4.395
1626.4658423199999,-29.785,-32.715,-45.41,-34.18
1626.4658423239998,-231.445,-36.133,-38.574,-61.523
1626.4658423279998,-88.37899999999999,-30.761999999999997,-24.414,-36.621
1626.465842332,170.41,-32.227,-26.855,1.465
1626.465842336,61.035,-33.203,-40.039,-24.414
1626.4658423399999,-187.012,-35.645,-31.738000000000003,-48.828
1626.4658423429998,-156.738,-35.645,-26.855,-40.527
1626.465842347,97.16799999999999,-38.574,-25.391,-18.066
1626.465842351,122.07,-39.062,-36.621,-19.531
1626.465842355,-158.691,-33.203,-37.598,-57.129
1626.465842359,-210.449,-38.086,-35.156,-56.641000000000005
1626.4658423620003,32.227,-38.086,-26.855,-21.484
1626.4658423660003,170.41,-35.156,-35.156,-3.906
1626.4658423699998,-89.355,-36.621,-43.945,-50.293
1626.4658423739997,-211.91400000000002,-35.156,-27.344,-53.223
1626.4658423779997,-32.227,-33.203,-25.879,-26.366999999999997
1626.4658423820001,174.31599999999997,-28.809,-34.18,-1.953
1626.465842386,-20.02,-35.645,-47.363,-37.109
1626.465842389,-229.49200000000002,-38.574,-38.086,-62.988
1626.4658423929998,-122.07,-41.016000000000005,-34.18,-46.875
1626.4658423970002,141.602,-37.109,-28.809,-2.93
1626.465842401,56.641000000000005,-38.574,-39.062,-21.484
1626.4658424049999,-203.613,-43.945,-34.18,-60.547
1626.465842406,-178.71099999999998,-39.062,-29.785,-54.199
1626.46584241,90.33200000000001,-26.855,-25.879,-24.414
1626.465842414,148.438,-30.273000000000003,-34.18,-13.672
1626.465842418,-144.531,-41.992,-39.551,-52.246
1626.4658424220002,-220.215,-40.527,-32.227,-59.082
1626.465842426,11.719000000000001,-38.574,-22.461,-24.414
1626.46584243,172.363,-40.527,-29.296999999999997,0.977
1626.4658424329998,-86.426,-46.875,-42.968999999999994,-41.992
1626.465842437,-244.62900000000002,-52.246,-33.203,-58.593999999999994
1626.465842441,-59.082,-43.457,-20.996,-32.227
1626.465842445,182.61700000000002,-29.785,-22.949,0.488
1626.4658424489999,-0.488,-43.457,-39.551,-35.156
1626.465842451,-230.957,-51.27,-36.133,-65.918
1626.465842455,-141.602,-40.039,-22.461,-52.246
1626.4658424589998,132.32399999999998,-30.273000000000003,-10.254000000000001,-10.254000000000001
1626.4658424629997,83.49600000000001,-34.18,-35.645,-26.366999999999997
1626.465842467,-199.707,-38.086,-38.574,-69.336
1626.4658424709999,-194.824,-32.715,-26.855,-58.593999999999994
1626.4658424749998,59.57,-31.25,-22.461,-29.296999999999997
1626.465842478,139.16,-35.156,-36.621,-20.508000000000003
1626.4658424820002,-141.113,-46.387,-43.945,-64.453
1626.4658424860002,-227.051,-43.457,-34.18,-71.777
1626.46584249,5.371,-31.25,-26.855,-36.621
1626.465842494,190.43,-23.926,-33.203,-5.371
1626.4658424989998,-53.223,-30.273000000000003,-46.875,-45.41
1626.4658425029997,-228.516,-30.761999999999997,-40.527,-64.941
1626.4658425070002,-80.078,-28.32,-35.645,-46.387
1626.4658425110001,169.922,-26.855,-30.273000000000003,-8.301
1626.465842515,28.32,-34.668,-43.457,-30.273000000000003
1626.465842519,-200.68400000000003,-33.691,-26.366999999999997,-55.663999999999994
1626.4658425229998,-131.836,-35.156,-23.926,-39.062
1626.465842526,124.023,-37.598,-31.25,-5.371
1626.46584253,117.676,-27.344,-41.016000000000005,-9.277000000000001
1626.4658425339999,-166.50400000000002,-33.691,-38.574,-51.27
1626.4658425379998,-197.266,-37.598,-26.855,-52.733999999999995
1626.465842542,49.316,-35.156,-20.996,-20.996
1626.465842541,160.156,-35.645,-27.831999999999997,-5.371
1626.465842545,-104.492,-44.434,-39.062,-41.992
1626.465842549,-214.355,-42.48,-33.691,-48.34
