timestamps,TP9,AF7,AF8,TP10
1626.465483397,41.504,-22.461,-44.922,-8.301
1626.465483401,-5.859,-28.32,-53.711000000000006,-58.593999999999994
1626.465483405,-83.008,-31.738000000000003,-11.719000000000001,-53.223
1626.465483409,-29.296999999999997,-23.926,2.93,0.0
1626.465483413,38.086,-20.996,-36.621,0.977
1626.465483417,26.366999999999997,-29.785,-58.593999999999994,-50.781000000000006
1626.465483421,-65.918,-29.296999999999997,-24.414,-65.43
1626.465483424,-41.016000000000005,-12.695,7.812,-0.488
1626.465483428,27.344,-21.484,-32.715,11.719000000000001
1626.4654834320002,34.668,-35.645,-64.941,-37.109
1626.465483436,-34.668,-23.926,-26.855,-54.199
1626.46548344,-50.781000000000006,-20.996,13.184000000000001,1.465
1626.465483442,12.695,-30.761999999999997,-19.531,26.366999999999997
1626.465483446,32.227,-37.109,-59.57,-16.602
1626.46548345,-40.039,-39.551,-47.852,-44.922
1626.465483454,-71.289,-29.296999999999997,1.465,-11.719000000000001
1626.4654834579999,-7.324,-20.508000000000003,-6.836,16.602
1626.465483462,20.508000000000003,-24.414,-52.246,-22.949
1626.465483466,-18.066,-31.25,-54.199,-70.312
1626.4654834689998,-98.145,-35.156,-14.648,-66.895
1626.4654834729997,-64.453,-30.273000000000003,-5.859,-7.812
1626.4654834770001,12.695,-22.461,-53.223,-13.184000000000001
1626.4654834809999,1.953,-35.156,-72.266,-64.453
1626.4654834849998,-82.031,-37.598,-37.598,-69.336
1626.4654834870003,-62.012,-25.391,-9.277000000000001,-10.742
1626.4654834910002,3.418,-33.691,-40.039,0.488
1626.465483495,14.648,-35.645,-80.566,-43.945
1626.465483499,-60.547,-26.855,-57.617,-70.312
1626.4654835029999,-89.355,-31.25,-11.719000000000001,-42.48
1626.4654835070003,-16.602,-32.227,-30.761999999999997,-12.207
1626.4654835110002,24.414,-23.926,-63.477,-33.203
1626.465483514,-43.457,-40.039,-58.105,-79.102
1626.465483518,-105.469,-47.363,-13.672,-54.688
