timestamps,TP9,AF7,AF8,TP10
1626.466523285,-64.453,-53.223,-22.949,-64.941
1626.466523289,-24.414,-23.438000000000002,-13.672,-1.465
1626.466523293,-27.344,-32.227,-31.738000000000003,-9.766
1626.466523297,-67.383,-62.012,-39.062,-65.43
1626.466523301,-76.172,-59.57,-30.273000000000003,-45.41
1626.466523305,-36.621,-32.227,-6.348,7.324
1626.466523309,-7.324,-23.438000000000002,-14.16,16.113
1626.466523312,-52.246,-56.152,-43.457,-41.016000000000005
1626.466523316,-77.148,-71.289,-56.152,-67.383
1626.4665233199999,-56.641000000000005,-56.641000000000005,-45.898,-30.761999999999997
1626.4665233239998,-32.227,-35.645,-24.901999999999997,9.766
1626.4665233279998,-53.223,-52.733999999999995,-44.434,-33.691
1626.4665233279998,-53.223,-52.733999999999995,-44.434,-33.691
1626.46652333,-71.777,-59.57,-44.922,-69.824
1626.466523334,-43.945,-41.016000000000005,-26.855,-44.922
1626.466523338,7.812,-24.901999999999997,-13.184000000000001,9.766
1626.466523342,-12.207,-40.527,-35.156,-13.672
1626.466523346,-47.852,-58.593999999999994,-44.922,-74.219
1626.46652335,-41.504,-34.668,-27.344,-63.965
1626.466523354,-6.836,-8.301,1.953,-9.766
1626.4665233570001,-3.418,-22.461,-16.113,-23.926
1626.466523361,-51.758,-56.641000000000005,-47.363,-84.473
1626.466523365,-66.406,-59.57,-41.016000000000005,-87.402
1626.466523369,-21.973000000000003,-35.645,-12.695,-42.968999999999994
1626.466523373,-13.184000000000001,-32.227,-25.391,-18.555
1626.466523375,-61.035,-54.688,-45.898,-62.988
1626.466523379,-63.965,-61.035,-39.551,-83.984
1626.4665233829999,-39.062,-45.898,-20.02,-51.758
1626.466523387,-2.441,-24.414,-10.254000000000001,-7.324
1626.466523391,-30.761999999999997,-47.363,-42.48,-32.227
1626.466523395,-79.59,-62.5,-46.875,-54.688
1626.466523399,-46.875,-46.387,-21.973000000000003,-41.504
1626.4665234020001,7.812,-28.809,3.906,-3.906
1626.466523406,-22.949,-45.41,-26.366999999999997,-11.719000000000001
1626.46652341,-80.566,-70.312,-39.551,-48.34
1626.466523414,-69.336,-64.941,-23.438000000000002,-39.062
1626.466523418,-11.719000000000001,-38.086,-9.277000000000001,11.23
1626.4665234200002,-4.883,-30.273000000000003,-20.996,23.926
1626.4665234240001,-47.363,-65.43,-36.621,-33.691
1626.466523428,-51.758,-74.707,-31.738000000000003,-58.105
1626.4665234320003,-10.254000000000001,-48.34,-20.02,-10.742
1626.4665234360002,14.648,-19.531,-17.09,23.438000000000002
1626.46652344,-19.531,-30.273000000000003,-33.691,-32.715
1626.466523444,-35.645,-47.363,-32.227,-70.801
1626.466523447,-21.973000000000003,-48.828,-16.602,-51.27
1626.466523451,3.906,-38.574,-12.207,-17.09
1626.466523455,-11.23,-37.109,-29.296999999999997,-34.668
1626.466523459,-51.27,-48.828,-29.296999999999997,-66.895
1626.466523463,-34.18,-48.34,-20.02,-71.289
1626.466523465,4.395,-18.066,-10.254000000000001,-28.809
1626.4665234689999,-21.973000000000003,-14.648,-36.621,-34.668
1626.4665234729998,-48.34,-48.34,-44.434,-83.008
1626.4665234770002,-27.831999999999997,-52.733999999999995,-37.109,-74.219
1626.466523481,-6.348,-19.043,-26.366999999999997,-24.901999999999997
1626.466523485,-23.438000000000002,-2.93,-34.18,-1.953
1626.4665234889999,-57.617,-40.039,-43.945,-49.316
1626.466523492,-60.059,-58.105,-27.344,-75.684
1626.466523496,-34.18,-38.086,-5.859,-28.809
1626.4665235,-4.395,-18.066,-7.324,18.555
1626.466523504,-28.809,-29.785,-31.25,-29.785
1626.466523508,-64.941,-57.129,-37.109,-62.988
1626.46652351,-31.738000000000003,-47.852,-14.16,-33.203
1626.4665235139998,8.789,-18.066,0.977,14.16
1626.4665235179998,-45.41,-34.668,-35.645,-15.625
1626.466523522,-81.055,-64.453,-40.527,-47.852
1626.466523526,-42.968999999999994,-43.457,-16.602,-28.32
1626.46652353,-2.441,-3.418,3.418,4.883
1626.4665235339999,-24.414,-10.254000000000001,-17.09,-13.672
1626.4665235370003,-46.875,-48.828,-43.457,-77.148
1626.466523541,-48.828,-46.875,-35.156,-70.801
1626.466523545,-32.715,-20.996,-21.484,-20.508000000000003
1626.466523549,-19.531,-17.578,-38.574,-15.625
1626.466523553,-70.801,-48.34,-72.266,-93.262
1626.466523556,-74.707,-32.715,-60.059,-113.77
1626.46652356,-32.715,10.254000000000001,-27.831999999999997,-64.453
1626.466523564,-25.391,8.789,-46.387,-50.781000000000006
1626.4665235679997,-68.848,-25.391,-76.172,-92.773
1626.466523572,-83.008,-34.668,-66.406,-119.62899999999999
1626.4665235759999,-28.809,-20.02,-46.387,-86.426
1626.4665235799998,4.395,-0.488,-33.691,-26.855
1626.466523583,-15.625,-5.859,-54.688,-46.875
1626.4665235870002,-39.062,-35.645,-55.176,-91.309
1626.4665235910002,-44.922,-41.992,-41.992,-90.82
1626.4665235950001,-5.371,-4.395,-21.484,-26.855
1626.466523599,9.277000000000001,0.0,-31.738000000000003,-7.324
1626.4665235999998,-37.109,-34.18,-50.781000000000006,-60.547
1626.4665236039998,-50.293,-40.039,-51.758,-60.059
1626.4665236079998,-9.277000000000001,-15.625,-28.809,6.348
1626.4665236120002,19.531,1.465,-32.715,13.672
1626.4665236160001,-29.296999999999997,-33.203,-61.523,-48.828
1626.4665236199999,-71.289,-57.129,-56.152,-69.336
1626.4665236239998,-43.457,-34.668,-32.715,-49.805
1626.466523627,-11.23,-12.695,-10.254000000000001,10.742
1626.466523631,-40.527,-30.761999999999997,-32.227,-23.438000000000002
1626.466523635,-67.383,-43.945,-41.016000000000005,-71.777
1626.466523639,-42.968999999999994,-30.761999999999997,-20.508000000000003,-39.062
1626.4665236429998,6.348,-10.742,-4.883,8.301
1626.4665236600001,-10.742,-5.371,-30.273000000000003,-15.137
1626.466523664,-64.941,-32.227,-41.504,-53.223
1626.466523668,-62.012,-46.387,-26.366999999999997,-54.199
1626.4665236720002,-14.16,-22.461,-14.648,-13.672
