timestamps,TP9,AF7,AF8,TP10
1626466523.285,-64.453,-53.223,-22.949,-64.941
1626466523.289,-24.414,-23.438,-13.672,-1.465
1626466523.293,-27.344,-32.227,-31.738,-9.766
1626466523.297,-67.383,-62.012,-39.062,-65.430
1626466523.301,-76.172,-59.570,-30.273,-45.410
1626466523.305,-36.621,-32.227,-6.348,7.324
1626466523.309,-7.324,-23.438,-14.160,16.113
1626466523.312,-52.246,-56.152,-43.457,-41.016
1626466523.316,-77.148,-71.289,-56.152,-67.383
1626466523.320,-56.641,-56.641,-45.898,-30.762
1626466523.324,-32.227,-35.645,-24.902,9.766
1626466523.328,-53.223,-52.734,-44.434,-33.691
1626466523.328,-53.223,-52.734,-44.434,-33.691
1626466523.330,-71.777,-59.570,-44.922,-69.824
1626466523.334,-43.945,-41.016,-26.855,-44.922
1626466523.338,7.812,-24.902,-13.184,9.766
1626466523.342,-12.207,-40.527,-35.156,-13.672
1626466523.346,-47.852,-58.594,-44.922,-74.219
1626466523.350,-41.504,-34.668,-27.344,-63.965
1626466523.354,-6.836,-8.301,1.953,-9.766
1626466523.357,-3.418,-22.461,-16.113,-23.926
1626466523.361,-51.758,-56.641,-47.363,-84.473
1626466523.365,-66.406,-59.570,-41.016,-87.402
1626466523.369,-21.973,-35.645,-12.695,-42.969
1626466523.373,-13.184,-32.227,-25.391,-18.555
1626466523.375,-61.035,-54.688,-45.898,-62.988
1626466523.379,-63.965,-61.035,-39.551,-83.984
1626466523.383,-39.062,-45.898,-20.020,-51.758
1626466523.387,-2.441,-24.414,-10.254,-7.324
1626466523.391,-30.762,-47.363,-42.480,-32.227
1626466523.395,-79.590,-62.500,-46.875,-54.688
1626466523.399,-46.875,-46.387,-21.973,-41.504
1626466523.402,7.812,-28.809,3.906,-3.906
1626466523.406,-22.949,-45.410,-26.367,-11.719
1626466523.410,-80.566,-70.312,-39.551,-48.340
1626466523.414,-69.336,-64.941,-23.438,-39.062
1626466523.418,-11.719,-38.086,-9.277,11.230
1626466523.420,-4.883,-30.273,-20.996,23.926
1626466523.424,-47.363,-65.430,-36.621,-33.691
1626466523.428,-51.758,-74.707,-31.738,-58.105
1626466523.432,-10.254,-48.340,-20.020,-10.742
1626466523.436,14.648,-19.531,-17.090,23.438
1626466523.440,-19.531,-30.273,-33.691,-32.715
1626466523.444,-35.645,-47.363,-32.227,-70.801
1626466523.447,-21.973,-48.828,-16.602,-51.270
1626466523.451,3.906,-38.574,-12.207,-17.090
1626466523.455,-11.230,-37.109,-29.297,-34.668
1626466523.459,-51.270,-48.828,-29.297,-66.895
1626466523.463,-34.180,-48.340,-20.020,-71.289
1626466523.465,4.395,-18.066,-10.254,-28.809
1626466523.469,-21.973,-14.648,-36.621,-34.668
1626466523.473,-48.340,-48.340,-44.434,-83.008
1626466523.477,-27.832,-52.734,-37.109,-74.219
1626466523.481,-6.348,-19.043,-26.367,-24.902
1626466523.485,-23.438,-2.930,-34.180,-1.953
1626466523.489,-57.617,-40.039,-43.945,-49.316
1626466523.492,-60.059,-58.105,-27.344,-75.684
1626466523.496,-34.180,-38.086,-5.859,-28.809
1626466523.500,-4.395,-18.066,-7.324,18.555
1626466523.504,-28.809,-29.785,-31.250,-29.785
1626466523.508,-64.941,-57.129,-37.109,-62.988
1626466523.510,-31.738,-47.852,-14.160,-33.203
1626466523.514,8.789,-18.066,0.977,14.160
1626466523.518,-45.410,-34.668,-35.645,-15.625
1626466523.522,-81.055,-64.453,-40.527,-47.852
1626466523.526,-42.969,-43.457,-16.602,-28.320
1626466523.530,-2.441,-3.418,3.418,4.883
1626466523.534,-24.414,-10.254,-17.090,-13.672
1626466523.537,-46.875,-48.828,-43.457,-77.148
1626466523.541,-48.828,-46.875,-35.156,-70.801
1626466523.545,-32.715,-20.996,-21.484,-20.508
1626466523.549,-19.531,-17.578,-38.574,-15.625
1626466523.553,-70.801,-48.340,-72.266,-93.262
1626466523.556,-74.707,-32.715,-60.059,-113.770
1626466523.560,-32.715,10.254,-27.832,-64.453
1626466523.564,-25.391,8.789,-46.387,-50.781
1626466523.568,-68.848,-25.391,-76.172,-92.773
1626466523.572,-83.008,-34.668,-66.406,-119.629
1626466523.576,-28.809,-20.020,-46.387,-86.426
1626466523.580,4.395,-0.488,-33.691,-26.855
1626466523.583,-15.625,-5.859,-54.688,-46.875
1626466523.587,-39.062,-35.645,-55.176,-91.309
1626466523.591,-44.922,-41.992,-41.992,-90.820
1626466523.595,-5.371,-4.395,-21.484,-26.855
1626466523.599,9.277,0.000,-31.738,-7.324
1626466523.600,-37.109,-34.180,-50.781,-60.547
1626466523.604,-50.293,-40.039,-51.758,-60.059
1626466523.608,-9.277,-15.625,-28.809,6.348
1626466523.612,19.531,1.465,-32.715,13.672
1626466523.616,-29.297,-33.203,-61.523,-48.828
1626466523.620,-71.289,-57.129,-56.152,-69.336
1626466523.624,-43.457,-34.668,-32.715,-49.805
1626466523.627,-11.230,-12.695,-10.254,10.742
1626466523.631,-40.527,-30.762,-32.227,-23.438
1626466523.635,-67.383,-43.945,-41.016,-71.777
1626466523.639,-42.969,-30.762,-20.508,-39.062
1626466523.643,6.348,-10.742,-4.883,8.301
1626466523.660,-10.742,-5.371,-30.273,-15.137
1626466523.664,-64.941,-32.227,-41.504,-53.223
1626466523.668,-62.012,-46.387,-26.367,-54.199
1626466523.672,-14.160,-22.461,-14.648,-13.672
1626466523.676,-13.672,-19.043,-32.715,-3.418
1626466523.680,-62.012,-36.621,-36.621,-51.758
1626466523.684,-73.730,-36.133,-26.367,-62.500
1626466523.687,-35.645,-14.160,-5.859,-24.902
1626466523.691,-11.719,0.000,-14.160,3.418
1626466523.695,-59.570,-39.062,-55.664,-43.457
1626466523.699,-71.777,-59.082,-53.223,-83.008
1626466523.703,-18.555,-28.809,-14.160,-47.363
1626466523.705,14.160,-3.906,-2.441,2.441
1626466523.709,-15.137,-30.273,-38.086,-44.434
1626466523.713,-62.988,-48.340,-39.551,-75.684
1626466523.717,-60.059,-37.109,-25.391,-46.387
1626466523.721,7.324,-10.254,-19.531,-15.137
1626466523.725,-3.418,-15.137,-36.621,-30.762
1626466523.729,-53.223,-46.387,-36.621,-74.707
1626466523.732,-49.316,-44.922,-15.625,-71.777
1626466523.736,-21.973,-15.625,1.953,-7.812
1626466523.740,-7.324,-2.930,-13.184,11.719
1626466523.744,-54.688,-31.250,-34.180,-39.062
1626466523.748,-78.613,-43.945,-33.691,-61.035
1626466523.750,-40.527,-21.484,-16.602,-19.043
1626466523.754,-14.648,-8.789,-11.719,6.348
1626466523.758,-49.316,-32.227,-42.969,-45.898
1626466523.762,-75.684,-48.340,-44.434,-72.266
1626466523.766,-59.082,-34.668,-12.695,-39.062
1626466523.770,-31.250,-6.348,-11.719,1.465
1626466523.774,-41.504,-23.438,-43.945,-25.879
1626466523.777,-65.918,-58.594,-47.363,-64.453
1626466523.781,-59.570,-51.270,-28.809,-55.176
1626466523.785,-11.230,-25.879,-16.113,-4.395
1626466523.789,-12.695,-25.391,-41.992,-27.344
1626466523.793,-72.754,-52.734,-57.617,-85.938
1626466523.796,-66.895,-47.852,-41.016,-79.102
1626466523.800,-3.418,-12.207,-13.672,-30.762
1626466523.804,5.371,-8.301,-32.715,-2.441
1626466523.808,-34.668,-48.828,-58.594,-56.152
1626466523.812,-54.199,-60.059,-50.781,-78.125
1626466523.816,-26.855,-18.555,-29.297,-30.762
1626466523.820,-0.488,2.441,-20.996,12.695
1626466523.823,-31.738,-35.156,-45.898,-32.227
1626466523.827,-42.969,-46.387,-45.410,-56.152
1626466523.831,-16.602,-26.367,-24.902,-29.297
1626466523.835,3.418,-3.418,-7.812,11.230
1626466523.839,-29.785,-16.602,-32.715,-20.020
1626466523.840,-75.684,-48.340,-49.316,-68.359
1626466523.844,-66.895,-41.992,-41.504,-49.805
1626466523.848,-24.902,-19.043,-14.648,-4.883
1626466523.852,-17.090,-13.672,-24.902,-14.160
1626466523.856,-54.199,-32.715,-41.016,-52.734
1626466523.860,-64.941,-38.574,-30.762,-60.547
1626466523.864,-30.273,-15.625,-16.602,-18.555
1626466523.867,-16.602,-15.137,-39.062,0.488
1626466523.871,-62.500,-47.852,-66.895,-55.664
1626466523.875,-80.566,-57.129,-44.434,-68.848
1626466523.879,-36.621,-30.273,-24.414,-42.969
1626466523.883,10.254,-5.371,-20.996,-2.441
1626466523.885,-24.902,-30.762,-39.551,-22.461
1626466523.889,-58.594,-55.664,-39.551,-47.852
1626466523.893,-31.250,-41.992,-15.625,-22.461
1626466523.897,7.812,-12.207,-6.348,12.207
1626466523.901,-9.277,-26.367,-40.039,-22.461
1626466523.905,-47.363,-55.176,-41.992,-58.105
1626466523.909,-48.828,-43.945,-30.273,-49.316
1626466523.912,-12.207,-19.531,-24.902,-3.418
1626466523.916,8.789,-13.184,-29.297,10.742
1626466523.920,-26.855,-43.457,-44.434,-54.688
1626466523.924,-41.016,-53.711,-38.574,-67.871
1626466523.928,-5.371,-24.414,-8.789,-25.879
1626466523.930,10.742,-6.348,-18.066,1.953
1626466523.934,-36.133,-38.086,-52.246,-42.969
1626466523.938,-71.289,-62.988,-42.969,-74.707
1626466523.942,-49.316,-45.898,-12.695,-53.223
1626466523.946,-16.113,-17.578,-7.812,-8.789
1626466523.950,-39.551,-25.879,-33.691,-23.926
1626466523.954,-80.566,-39.062,-30.273,-61.523
1626466523.957,-67.383,-38.574,-20.996,-52.734
1626466523.961,-4.883,-20.020,-8.301,-4.395
1626466523.965,-20.508,-18.555,-35.156,-7.324
1626466523.969,-70.801,-46.875,-63.965,-58.105
1626466523.973,-70.312,-57.617,-45.410,-75.684
1626466523.975,-23.438,-29.297,-4.395,-19.043
1626466523.979,5.371,-10.254,-8.301,15.137
1626466523.983,-47.852,-41.016,-32.227,-51.758
1626466523.987,-79.590,-52.734,-23.438,-68.359
1626466523.991,-33.691,-31.738,0.488,-19.531
1626466523.995,-16.113,-11.719,-6.836,6.348
1626466523.999,-67.383,-40.527,-38.574,-41.016
1626466524.002,-80.078,-69.824,-29.785,-77.148
1626466524.006,-53.711,-54.199,-13.672,-53.223
1626466524.010,-19.531,-19.531,-10.742,-9.766
1626466524.014,-31.250,-33.203,-43.945,-41.504
1626466524.018,-66.895,-65.918,-55.176,-79.590
