timestamps,TP9,AF7,AF8,TP10
1628133107.264,13.184,-16.602,-41.016,9.766
1628133107.268,-37.109,-15.137,-44.922,-23.926
1628133107.272,-63.477,-13.184,-49.316,-50.781
1628133107.276,1.953,-43.945,-31.250,-6.348
1628133107.280,38.086,-70.312,-20.996,29.297
1628133107.284,-21.484,-37.109,-21.973,-15.625
1628133107.288,-65.430,-3.906,-18.066,-57.617
1628133107.291,-36.133,-20.996,-27.344,-42.480
1628133107.295,19.043,-35.645,-34.668,-0.488
1628133107.299,5.371,-29.785,-39.062,-4.395
1628133107.303,-71.289,-29.785,-45.410,-55.176
1628133107.307,-74.707,-17.578,-38.574,-60.547
1628133107.310,-44.922,-43.457,-40.527,-41.016
1628133107.314,-68.848,-33.203,-27.832,-62.988
1628133107.318,-13.184,-29.785,-30.762,-11.719
1628133107.322,30.273,-27.832,-27.832,22.461
1628133107.326,-18.066,-32.227,-25.879,-22.461
1628133107.329,-65.918,-21.484,-20.508,-65.918
1628133107.333,-33.203,-13.672,-13.672,-35.156
1628133107.337,0.000,-38.574,-26.855,-4.883
1628133107.341,-22.949,-50.293,-48.340,-15.625
1628133107.345,-70.312,-37.598,-48.828,-60.059
1628133107.358,-67.383,-42.969,-34.180,-67.871
1628133107.362,-18.555,-31.250,-39.062,-28.809
1628133107.366,-15.137,-26.367,-43.945,-21.484
1628133107.370,-62.500,-23.438,-38.574,-49.316
1628133107.374,-62.500,-3.906,-39.062,-47.852
1628133107.378,9.766,3.906,-24.414,2.441
1628133107.382,27.832,-15.137,-12.207,17.578
1628133107.385,-46.875,-33.691,-29.785,-40.527
1628133107.389,-91.309,-43.945,-37.109,-75.195
1628133107.393,-32.715,-44.922,-29.785,-38.086
1628133107.397,19.531,-33.203,-22.461,6.348
1628133107.401,-31.738,-23.926,-23.438,-27.832
1628133107.394,-88.867,-24.414,-43.945,-76.660
1628133107.398,-41.016,-21.973,-39.551,-41.016
1628133107.402,25.391,-21.484,-25.879,10.254
1628133107.406,-16.113,-31.250,-20.020,-18.555
1628133107.410,-88.379,-32.715,-24.414,-71.289
1628133107.414,-65.430,-17.578,-41.016,-49.316
1628133107.418,4.395,-17.578,-47.852,-0.977
1628133107.421,-0.488,-47.852,-53.223,-11.719
1628133107.425,-65.430,-56.152,-42.480,-51.758
1628133107.429,-76.172,-42.480,-24.414,-61.523
1628133107.433,-14.648,-46.387,-24.414,-23.438
1628133107.437,14.648,-37.109,-18.555,2.441
1628133107.451,-46.875,-24.902,-15.625,-41.504
1628133107.455,-93.750,-14.648,-20.508,-76.172
1628133107.459,-35.156,-3.418,-29.785,-34.668
1628133107.463,19.531,-14.160,-46.875,9.277
1628133107.467,-15.625,-30.273,-41.992,-20.508
1628133107.471,-77.148,-41.992,-24.902,-67.871
1628133107.475,-62.500,-49.316,-27.344,-56.641
1628133107.478,-3.418,-38.574,-40.039,-14.648
1628133107.482,-21.973,-28.809,-37.598,-22.949
1628133107.486,-71.289,-29.297,-22.461,-64.941
1628133107.490,-61.523,-26.855,-25.879,-64.453
1628133107.494,-14.648,-22.461,-30.273,-24.414
1628133107.489,-1.465,-30.762,-29.297,-10.254
1628133107.493,-58.105,-43.945,-21.973,-53.711
1628133107.497,-72.754,-35.645,-7.812,-63.965
1628133107.501,-15.625,-23.438,-11.230,-15.625
1628133107.505,5.371,-33.203,-32.227,2.930
1628133107.509,-49.805,-41.016,-48.828,-42.969
1628133107.513,-83.008,-24.414,-45.898,-70.801
1628133107.516,-36.621,-30.273,-27.832,-37.598
1628133107.520,8.789,-43.457,-29.297,-5.371
1628133107.524,-27.344,-32.715,-38.086,-28.809
1628133107.528,-83.008,-24.902,-42.480,-65.430
1628133107.532,-54.688,-28.809,-46.875,-45.410
1628133107.544,15.137,-22.461,-37.109,6.348
1628133107.548,11.230,-21.973,-24.902,3.418
1628133107.552,-67.871,-45.410,-16.602,-59.570
1628133107.556,-82.031,-39.062,-17.090,-77.148
1628133107.560,-12.695,-20.020,-20.996,-15.625
1628133107.564,-10.254,-37.598,-36.621,-11.230
1628133107.568,-72.266,-61.035,-51.758,-66.406
1628133107.571,-83.008,-52.246,-60.547,-75.684
1628133107.575,-31.738,-30.762,-52.734,-29.785
1628133107.579,4.883,-33.203,-37.598,1.953
1628133107.583,-33.691,-35.156,-30.273,-29.785
1628133107.587,-82.031,-30.273,-32.715,-72.754
1628133107.581,-44.434,-34.668,-34.180,-47.852
1628133107.585,12.207,-32.227,-12.207,-4.395
1628133107.589,-20.020,-30.762,-20.020,-22.949
1628133107.593,-68.359,-32.227,-37.598,-61.035
1628133107.597,-39.551,-25.391,-40.527,-46.387
1628133107.601,5.371,-28.809,-54.199,-8.301
1628133107.605,-4.883,-41.992,-39.551,-17.090
1628133107.608,-61.035,-44.434,-15.137,-64.941
1628133107.612,-71.289,-27.344,-19.531,-68.848
1628133107.616,-4.395,-21.484,-45.410,-15.625
1628133107.620,30.762,-30.762,-38.574,18.555
1628133107.624,-26.855,-59.082,-17.578,-21.973
1628133107.641,-62.012,-50.293,-19.043,-55.176
1628133107.645,-13.184,0.977,-38.086,-19.043
1628133107.649,14.160,-5.859,-49.805,6.836
1628133107.653,-44.434,-40.039,-42.480,-37.598
1628133107.657,-73.730,-35.156,-17.578,-71.777
