timestamps,TP9,AF7,AF8,TP10,Right AUX
1626295255.6707292,-85.93799999999999,10.254000000000001,-35.156,-134.766,1.0
1626295255.6746354,-46.875,-84.961,-21.484,-21.973000000000003,1.0
1626295255.6785414,29.785,-104.98,-6.348,90.82,1.0
1626295255.682448,12.207,-4.883,-19.043,9.766,1.0
1626295255.6863542,-79.102,7.812,-34.668,-135.74200000000002,1.0
1626295255.6902604,-74.707,13.672,-34.18,-77.148,1.0
1626295255.6941667,-15.625,-93.262,-66.895,49.316,1.0
1626295255.698073,1.953,-43.457,-50.293,23.438000000000002,1.0
1626295255.7019792,-60.059,5.371,-29.785,-116.211,1.0
1626295255.7058854,-86.426,-34.668,-27.344,-119.62899999999999,1.0
1626295255.7097917,-5.859,-46.875,-3.906,30.761999999999997,1.0
1626295255.713698,11.719000000000001,-123.535,-22.949,38.574,1.0
1626295255.7176042,-45.898,-30.761999999999997,-48.34,1.0,1.0
1626295255.7215104,-64.941,17.09,-37.598,1.0,1.0
1626295255.725417,16.602,14.16,-11.719000000000001,1.0,1.0
1626295255.729323,55.176,-1.953,-28.809,1.0,1.0
1626295255.733229,-46.387,-92.773,-54.688,1.0,1.0
1626295255.7371356,-110.84,-29.785,-33.691,1.0,1.0
1626295255.7410414,-46.875,13.672,-14.16,1.0,1.0
1626295255.7449477,26.855,-0.488,-18.555,1.0,1.0
1626295255.748854,-17.09,-31.738000000000003,-47.363,1.0,1.0
1626295255.7527602,-82.52,-46.875,-48.34,1.0,1.0
1626295255.756667,-44.434,-9.277000000000001,-26.366999999999997,1.0,1.0
1626295255.760573,16.113,7.324,-34.18,1.0,1.0
1626295255.7644792,17.578,20.996,-23.438000000000002,43.945,1.0
1626295255.7683854,-50.781000000000006,-71.777,-11.23,-103.516,1.0
1626295255.7722914,-75.684,-99.609,-29.296999999999997,-113.281,1.0
1626295255.776198,-17.09,-9.766,-30.273000000000003,30.761999999999997,1.0
1626295255.7801042,9.766,14.648,-26.855,51.758,1.0
1626295255.7840102,-51.27,-11.23,-33.691,-94.727,1.0
1626295255.7879167,-104.00399999999999,-137.695,-59.57,-156.738,1.0
1626295255.791823,-34.668,-75.684,-47.363,-8.301,1.0
1626295255.7957292,24.901999999999997,-3.418,-5.371,83.49600000000001,1.0
1626295255.7996354,-20.02,1.953,-1.465,-34.668,1.0
1626295255.8035417,-63.965,6.836,-19.531,-125.0,1.0
1626295255.807448,-46.387,-96.68,-65.43,-39.551,1.0
1626295255.8113542,7.812,-26.855,-55.176,1.0,1.0
1626295255.8152604,-5.859,4.395,-22.949,1.0,1.0
1626295255.8191667,-63.965,2.441,-20.02,1.0,1.0
1626295255.823073,-50.293,-15.137,-11.23,1.0,1.0
1626295255.8269792,5.859,-121.094,-3.906,1.0,1.0
1626295255.8308856,6.348,-52.733999999999995,-9.277000000000001,1.0,1.0
1626295255.8347917,-54.199,-9.277000000000001,-20.02,1.0,1.0
1626295255.838698,-73.242,-9.277000000000001,-17.578,1.0,1.0
1626295255.8426042,-14.16,-49.805,-23.438000000000002,1.0,1.0
1626295255.8465104,18.555,-94.238,-45.41,1.0,1.0
1626295255.8504167,-51.758,-20.996,-55.663999999999994,1.0,1.0
1626295255.854323,-112.79299999999999,7.324,-49.316,1.0,1.0
1626295255.858229,-41.992,46.387,-47.363,-11.719000000000001,1.0
1626295255.8621356,18.066,-42.968999999999994,-37.109,83.984,1.0
1626295255.8660414,-42.968999999999994,-109.863,-35.156,-51.758,1.0
1626295255.8699481,-105.95700000000001,-66.895,-27.344,-165.03900000000002,1.0
1626295255.873854,-64.453,-35.645,-14.16,-52.246,1.0
1626295255.8777602,11.719000000000001,15.137,-7.324,79.102,1.0
1626295255.881667,-8.789,-104.98,-29.296999999999997,2.93,1.0
1626295255.885573,-66.406,-75.195,-40.527,-125.977,1.0
1626295255.889479,-46.387,-1.465,-20.996,-68.359,1.0
1626295255.8933854,17.09,10.742,-8.301,68.848,1.0
1626295255.8972914,9.277000000000001,3.418,-14.16,37.109,1.0
1626295255.901198,-64.941,-117.18799999999999,-27.831999999999997,-109.863,1.0
1626295255.9051042,-54.688,11.719000000000001,-41.016000000000005,-117.676,1.0
1626295255.9090104,-44.922,-65.43,-40.039,-81.055,1.0
1626295255.9129167,25.391,-83.984,-7.324,68.848,1.0
1626295255.916823,20.996,-27.344,-8.301,53.711000000000006,1.0
1626295255.9207292,-42.48,4.395,-13.184000000000001,-89.355,1.0
1626295255.9246354,-52.733999999999995,29.296999999999997,-5.371,-106.445,1.0
1626295255.9285414,-25.391,-125.977,-42.968999999999994,-2.441,1.0
1626295255.932448,1.953,-67.383,-65.43,46.875,1.0
1626295255.9363542,-40.039,17.578,-61.523,-74.219,1.0
1626295255.9402604,-84.473,0.0,-42.48,-147.94899999999998,1.0
1626295255.9441667,-30.273000000000003,-14.648,-23.926,-22.949,1.0
1626295255.948073,14.16,-140.137,-32.227,71.289,1.0
1626295255.9519792,-15.625,-48.828,-24.414,1.0,1.0
1626295255.9558854,-70.801,11.23,-25.879,1.0,1.0
1626295255.9597917,-44.434,18.066,-24.901999999999997,1.0,1.0
1626295255.963698,31.738000000000003,-5.371,-10.254000000000001,1.0,1.0
1626295255.9676042,26.855,-95.70299999999999,-15.625,1.0,1.0
1626295255.9715104,-35.645,-5.859,-34.668,1.0,1.0
1626295255.975417,-44.922,17.09,-26.366999999999997,1.0,1.0
1626295255.979323,5.371,14.16,-15.137,1.0,1.0
1626295255.983229,6.348,-11.719000000000001,-29.296999999999997,1.0,1.0
1626295255.9871356,-68.848,-94.727,-36.621,1.0,1.0
1626295255.9910414,-102.539,-33.203,-46.387,1.0,1.0
1626295255.9949477,-34.668,13.184000000000001,-42.968999999999994,1.0,1.0
1626295255.998854,30.273000000000003,31.25,-28.809,77.148,1.0
1626295256.0027602,-19.043,-65.918,-40.527,-38.574,1.0
1626295256.006667,-82.031,-90.33200000000001,-31.25,-145.50799999999998,1.0
1626295256.010573,-41.016000000000005,5.859,7.812,-41.016000000000005,1.0
1626295256.0144792,25.879,26.366999999999997,-1.953,80.078,1.0
1626295256.0183854,1.465,7.812,-33.203,-1.953,1.0
1626295256.0222914,-78.125,-114.74600000000001,-44.434,-144.531,1.0
1626295256.026198,-72.266,-63.965,-43.945,-102.539,1.0
1626295256.0301042,-7.812,8.789,-37.598,36.621,1.0
1626295256.0340102,4.395,16.602,-41.504,20.508000000000003,1.0
1626295256.0379167,-37.598,-14.16,-41.504,-103.027,1.0
1626295256.041823,-49.316,-160.156,-24.901999999999997,-99.609,1.0
1626295256.0457292,-70.801,-20.508000000000003,-41.504,-102.051,1.0
1626295256.0496354,-0.488,-80.078,-37.109,46.875,1.0
1626295256.0535417,9.766,-69.824,-23.926,40.527,1.0
1626295256.057448,-47.852,2.93,-16.113,-96.191,1.0
1626295256.0613542,-76.66,-11.719000000000001,-22.949,-118.652,1.0
1626295256.0652604,-29.785,-9.766,-42.48,10.254000000000001,1.0
1626295256.0691667,-3.906,-127.441,-62.5,51.27,1.0
1626295256.073073,-54.199,-74.707,-52.733999999999995,-78.125,1.0
1626295256.0769792,-83.49600000000001,10.742,-22.461,-136.23,1.0
1626295256.0808856,-22.949,22.949,-1.953,4.395,1.0
1626295256.0847917,34.668,-20.508000000000003,-14.16,95.70299999999999,1.0
1626295256.088698,-13.672,-187.012,-44.434,-21.484,1.0
1626295256.0926042,-42.968999999999994,1.953,-36.133,-141.602,1.0
1626295256.0965104,-92.285,-83.49600000000001,-49.805,-64.453,1.0
1626295256.1004167,-35.645,-74.219,-20.996,68.848,1.0
1626295256.104323,28.32,19.043,1.465,30.273000000000003,1.0
1626295256.108229,5.371,21.973000000000003,-22.949,-111.32799999999999,1.0
1626295256.1121356,-59.57,4.395,-59.57,-96.191,1.0
1626295256.1160414,-57.617,-153.809,-55.176,26.855,1.0
1626295256.1199481,5.371,-114.258,-28.32,19.531,1.0
1626295256.123854,3.418,-8.301,-9.766,-98.633,1.0
1626295256.1277602,-57.129,2.93,-7.812,-118.652,1.0
1626295256.131667,-62.5,-1.465,-17.09,19.531,1.0
1626295256.135573,-9.277000000000001,-121.58200000000001,-21.973000000000003,73.73,1.0
1626295256.139479,18.555,-51.758,-20.508000000000003,1.0,1.0
1626295256.1433854,-23.438000000000002,14.648,-21.484,1.0,1.0
1626295256.1472914,-54.199,14.648,-36.621,1.0,1.0
1626295256.151198,-19.043,-31.738000000000003,-43.945,1.0,1.0
1626295256.1551042,12.695,-120.605,-24.901999999999997,1.0,1.0
1626295256.1590104,-29.785,-40.039,-25.391,1.0,1.0
1626295256.1629167,-87.891,5.859,-28.32,1.0,1.0
1626295256.166823,-54.688,34.18,-21.973000000000003,1.0,1.0
1626295256.1707292,4.883,-8.301,-22.949,1.0,1.0
1626295256.1746354,-28.32,-87.891,-27.831999999999997,1.0,1.0
1626295256.1785414,-108.887,-30.761999999999997,-53.223,1.0,1.0
1626295256.182448,-90.82,-15.625,-48.34,1.0,1.0
1626295256.1863542,-7.324,-1.465,-32.715,51.27,1.0
1626295256.1902604,-0.977,-70.801,-41.992,20.02,1.0
1626295256.1941667,-70.312,-99.609,-37.598,-125.488,1.0
1626295256.198073,-76.66,-4.395,-27.344,-108.887,1.0
1626295256.2019792,-6.836,33.691,-1.465,39.551,1.0
1626295256.2058854,20.996,12.695,-6.836,69.336,1.0
1626295256.2097917,-43.457,-135.74200000000002,-44.922,-75.195,1.0
1626295256.213698,-71.777,-74.707,-48.828,-126.95299999999999,1.0
1626295256.2176042,-14.16,7.812,-33.691,4.883,1.0
1626295256.2215104,25.391,15.137,-22.949,81.055,1.0
1626295256.225417,-18.555,-4.883,-27.831999999999997,-26.855,1.0
1626295256.229323,-91.79700000000001,-140.137,-53.711000000000006,-137.207,1.0
1626295256.233229,-73.242,24.901999999999997,-22.949,-134.766,1.0
1626295256.2371356,-29.785,-61.035,-21.484,-14.16,1.0
1626295256.2410414,26.855,-83.008,-34.18,78.613,1.0
1626295256.2449477,3.418,-6.348,-42.968999999999994,-11.23,1.0
