timestamps,TP9,AF7,AF8,TP10,Right AUX
1626295004.5613542,-32.715,-9.277000000000001,-23.438000000000002,-70.801,1.0
1626295004.5652604,-107.42200000000001,-25.879,-37.598,-178.71099999999998,1.0
1626295004.5691667,-50.781000000000006,-31.738000000000003,-53.223,-33.691,1.0
1626295004.573073,31.25,-44.434,-70.312,103.027,1.0
1626295004.5769792,23.438000000000002,26.855,-44.434,14.16,1.0
1626295004.5808856,-56.152,25.391,-35.645,-136.23,1.0
1626295004.5847917,-60.547,-36.133,-36.133,-77.148,1.0
1626295004.588698,19.043,-91.309,-9.277000000000001,91.79700000000001,1.0
1626295004.5926042,15.625,-55.663999999999994,-12.207,42.48,1.0
1626295004.5965104,-76.172,-2.93,-44.922,-149.90200000000002,1.0
1626295004.6004167,-82.52,-0.488,-42.968999999999994,-135.254,1.0
1626295004.604323,7.812,-2.93,-28.32,52.246,1.0
1626295004.608229,26.366999999999997,-7.324,-18.555,1.0,1.0
1626295004.6121356,7.812,2.441,-13.184000000000001,1.0,1.0
1626295004.6160414,-84.961,-30.761999999999997,-26.366999999999997,1.0,1.0
1626295004.6199481,-96.68,-74.219,-35.156,1.0,1.0
1626295004.623854,-6.348,-38.574,-31.738000000000003,1.0,1.0
1626295004.6277602,35.156,-23.926,-9.766,1.0,1.0
1626295004.631667,-22.461,-6.348,-13.672,1.0,1.0
1626295004.635573,-84.473,-65.43,-45.41,1.0,1.0
1626295004.639479,-38.086,-57.617,-36.621,1.0,1.0
1626295004.6433854,19.043,-2.93,-26.855,1.0,1.0
1626295004.6472914,-60.059,-19.531,-54.199,1.0,1.0
1626295004.651198,-137.695,-28.809,-63.965,1.0,1.0
1626295004.6551042,-74.219,-43.945,-4.883,-132.812,1.0
1626295004.6590104,-28.32,-32.227,-15.625,1.465,1.0
1626295004.6629167,31.25,-30.273000000000003,-28.809,109.863,1.0
1626295004.666823,-16.113,-68.848,-24.414,-16.602,1.0
1626295004.6707292,-107.91,-23.438000000000002,-41.992,-168.945,1.0
1626295004.6746354,-87.402,-5.859,-61.035,-80.078,1.0
1626295004.6785414,-2.441,-2.93,-55.663999999999994,77.148,1.0
1626295004.682448,4.395,-74.707,-40.527,23.926,1.0
1626295004.6863542,-72.75399999999999,-101.074,-32.715,-142.09,1.0
1626295004.6902604,-76.66,-28.32,-36.133,-102.539,1.0
1626295004.6941667,14.16,-8.789,-22.461,85.449,1.0
1626295004.698073,42.968999999999994,-20.508000000000003,-9.766,94.238,1.0
1626295004.7019792,21.973000000000003,24.901999999999997,-45.898,43.945,1.0
1626295004.7058854,-51.758,-4.395,-58.593999999999994,-129.88299999999998,1.0
1626295004.7097917,-71.289,-48.34,-34.668,-113.77,1.0
1626295004.713698,-15.625,-58.593999999999994,-25.879,47.363,1.0
1626295004.7176042,-3.418,-13.672,-52.733999999999995,47.363,1.0
1626295004.7215104,-72.266,-18.555,-53.223,-130.371,1.0
1626295004.725417,-104.98,-24.414,-50.293,-177.734,1.0
1626295004.729323,-22.461,-89.355,-31.738000000000003,4.395,1.0
1626295004.733229,36.621,-75.195,-10.742,97.656,1.0
1626295004.7371356,-28.32,-4.883,-23.926,-59.57,1.0
1626295004.7410414,-84.473,0.0,-29.785,-168.945,1.0
1626295004.7449477,-33.203,-9.277000000000001,-26.366999999999997,-32.715,1.0
1626295004.748854,-42.48,4.883,-18.555,1.0,1.0
1626295004.7527602,22.949,17.578,-16.113,1.0,1.0
1626295004.756667,-16.113,-24.901999999999997,-43.945,1.0,1.0
1626295004.760573,-70.801,-89.844,-68.848,1.0,1.0
1626295004.7644792,-40.527,-37.598,-53.711000000000006,1.0,1.0
1626295004.7683854,17.09,16.602,-31.25,1.0,1.0
1626295004.7722914,-12.695,24.901999999999997,-50.293,1.0,1.0
1626295004.776198,-81.055,-44.922,-31.25,1.0,1.0
1626295004.7801042,-64.941,-47.363,3.418,1.0,1.0
1626295004.7840102,1.953,15.625,-6.348,1.0,1.0
1626295004.7879167,2.441,13.184000000000001,-13.184000000000001,1.0,1.0
1626295004.791823,-81.055,-22.461,-24.414,1.0,1.0
1626295004.7957292,-68.848,-32.227,-19.043,-142.578,1.0
1626295004.7996354,-72.266,-15.625,-23.438000000000002,-113.281,1.0
1626295004.8035417,8.789,-16.113,-18.066,66.406,1.0
1626295004.807448,22.461,-52.246,-22.949,68.359,1.0
1626295004.8113542,-76.66,-36.621,-56.152,-132.32399999999998,1.0
1626295004.8152604,-115.234,-35.645,-51.27,-169.43400000000003,1.0
1626295004.8191667,-25.391,11.23,-16.602,18.066,1.0
1626295004.823073,20.508000000000003,-44.434,-11.719000000000001,87.402,1.0
1626295004.8269792,-39.062,-57.129,-39.062,-78.613,1.0
1626295004.8308856,-81.055,-1.953,-27.344,-166.016,1.0
1626295004.8347917,-14.648,-9.766,-6.348,-5.371,1.0
1626295004.838698,44.434,-13.672,-47.363,109.863,1.0
1626295004.8426042,43.945,-24.414,-14.648,106.934,1.0
1626295004.8465104,-23.926,-3.906,-35.645,-51.758,1.0
1626295004.8504167,-76.172,-28.809,-41.504,-154.785,1.0
1626295004.854323,-23.438000000000002,-69.824,-28.809,-23.926,1.0
1626295004.858229,29.785,2.441,-18.555,101.56200000000001,1.0
1626295004.8621356,-7.324,21.973000000000003,-35.645,1.465,1.0
1626295004.8660414,-70.801,10.742,-41.504,-144.043,1.0
1626295004.8699481,-57.129,-55.176,-18.066,-78.125,1.0
1626295004.873854,8.301,-66.406,-15.137,83.984,1.0
1626295004.8777602,21.973000000000003,-21.973000000000003,-36.621,56.152,1.0
1626295004.881667,-53.223,-52.246,-63.477,-120.605,1.0
1626295004.885573,-74.219,-55.663999999999994,-53.223,-123.04700000000001,1.0
1626295004.889479,-71.289,-6.348,-10.254000000000001,69.824,1.0
1626295004.8933854,-4.395,15.625,-9.766,109.375,1.0
1626295004.8972914,4.883,-11.23,-20.02,-94.727,1.0
1626295004.901198,-64.941,-57.617,-32.227,-190.43,1.0
1626295004.9051042,-74.707,-17.578,-20.02,-9.766,1.0
1626295004.9090104,5.859,6.836,-9.766,117.676,1.0
1626295004.9129167,37.109,1.465,-34.18,-36.133,1.0
1626295004.916823,-19.531,-75.684,-55.663999999999994,-183.59400000000002,1.0
