timestamps,TP9,AF7,AF8,TP10,Right AUX
1626295117.3426042,-29.296999999999997,-11.23,-50.293,-40.527,1.0
1626295117.3465104,42.48,15.137,-48.34,104.98,1.0
1626295117.3504167,0.488,6.348,-63.965,1.953,1.0
1626295117.354323,-96.68,-26.855,-77.148,-173.828,1.0
1626295117.358229,-84.473,0.0,-49.805,-106.934,1.0
1626295117.3621356,12.695,8.789,-19.531,89.355,1.0
1626295117.3660414,-0.488,9.277000000000001,-35.156,50.293,1.0
1626295117.3699481,-97.16799999999999,-56.641000000000005,-48.828,-155.273,1.0
1626295117.373854,-77.148,-45.898,-26.366999999999997,-134.27700000000002,1.0
1626295117.3777602,27.831999999999997,3.418,-10.254000000000001,78.613,1.0
1626295117.381667,18.066,-10.742,-35.645,81.543,1.0
1626295117.385573,-88.37899999999999,-22.461,-62.988,-125.977,1.0
1626295117.389479,-136.719,-75.195,-79.102,1.0,1.0
1626295117.3933854,-60.547,-38.574,-75.684,1.0,1.0
1626295117.3972914,14.16,-11.719000000000001,-44.434,1.0,1.0
1626295117.401198,-40.039,-1.953,-37.109,1.0,1.0
1626295117.4051042,-119.62899999999999,-10.254000000000001,-46.875,1.0,1.0
1626295117.4090104,-50.781000000000006,-70.801,-26.855,1.0,1.0
1626295117.4129167,48.34,-20.02,-17.578,1.0,1.0
1626295117.416823,2.441,-6.836,-35.645,1.0,1.0
1626295117.4207292,-89.355,-24.901999999999997,-40.527,1.0,1.0
1626295117.4246354,-83.008,-46.875,-42.968999999999994,1.0,1.0
1626295117.4285414,-3.906,-68.359,-44.922,1.0,1.0
1626295117.432448,10.742,-5.371,-45.41,1.0,1.0
1626295117.4363542,-65.43,-0.488,-63.965,1.0,1.0
1626295117.4402604,-84.961,3.418,-57.617,1.0,1.0
1626295117.4441667,0.488,-24.414,-26.366999999999997,1.0,1.0
1626295117.448073,34.18,-60.059,-38.086,1.0,1.0
1626295117.4519792,-57.617,-3.906,-58.105,1.0,1.0
1626295117.4558854,-111.816,15.137,-56.152,1.0,1.0
1626295117.4597917,-19.043,13.672,-44.922,1.0,1.0
1626295117.463698,51.758,-81.055,-19.531,1.0,1.0
1626295117.4676042,-10.254000000000001,-87.891,-11.719000000000001,1.0,1.0
1626295117.4715104,-100.098,-21.973000000000003,-24.901999999999997,1.0,1.0
1626295117.475417,-79.59,-9.766,-32.227,1.0,1.0
1626295117.479323,14.648,2.93,-16.113,1.0,1.0
1626295117.483229,0.977,-86.426,-14.648,1.0,1.0
1626295117.4871356,-104.98,-77.637,-26.366999999999997,1.0,1.0
1626295117.4910414,-99.12100000000001,-33.691,-11.23,1.0,1.0
1626295117.4949477,8.301,-9.277000000000001,12.695,1.0,1.0
1626295117.498854,14.648,-22.461,0.0,1.0,1.0
1626295117.5027602,-79.59,-114.74600000000001,-25.879,1.0,1.0
1626295117.506667,-111.32799999999999,-63.965,-16.602,1.0,1.0
1626295117.510573,-20.02,-36.621,0.0,1.0,1.0
1626295117.5144792,37.598,-53.223,-12.207,1.0,1.0
1626295117.5183854,-51.758,-55.176,-38.086,1.0,1.0
1626295117.5222914,-131.34799999999998,-99.12100000000001,-40.039,1.0,1.0
1626295117.526198,-61.523,-51.27,-16.602,1.0,1.0
1626295117.5301042,26.366999999999997,-11.23,-0.977,106.934,1.0
1626295117.5340102,-22.949,-5.371,-16.602,-21.484,1.0
1626295117.5379167,-104.98,-32.227,-22.949,-180.176,1.0
1626295117.541823,-68.848,-54.199,-21.973000000000003,-79.59,1.0
1626295117.5457292,28.32,-37.109,-33.203,105.95700000000001,1.0
1626295117.5496354,12.207,-42.48,-34.668,44.434,1.0
1626295117.5535417,-84.961,-28.32,-32.715,-153.809,1.0
1626295117.557448,-92.285,-88.37899999999999,-27.831999999999997,-140.625,1.0
1626295117.5613542,-5.371,-68.359,-20.02,50.293,1.0
1626295117.5652604,18.555,-9.766,-18.066,73.242,1.0
1626295117.5691667,-66.406,-24.414,-14.648,-111.816,1.0
1626295117.573073,-108.398,-44.922,-21.484,-167.48,1.0
1626295117.5769792,-89.355,-16.113,-25.879,-156.738,1.0
1626295117.5808856,5.371,39.551,-15.625,42.48,1.0
1626295117.5847917,26.366999999999997,-5.859,-38.086,74.219,1.0
1626295117.588698,-70.312,-86.426,-57.617,-117.676,1.0
1626295117.5926042,-98.633,-31.738000000000003,-30.761999999999997,-170.898,1.0
1626295117.5965104,-24.901999999999997,1.465,-26.855,2.93,1.0
1626295117.6004167,29.785,15.625,-20.508000000000003,106.445,1.0
1626295117.604323,-24.901999999999997,-50.293,-13.672,-31.25,1.0
1626295117.608229,-107.42200000000001,-82.031,-35.156,-169.43400000000003,1.0
1626295117.6121356,-61.523,-44.922,-29.296999999999997,-52.733999999999995,1.0
1626295117.6160414,29.296999999999997,-25.879,-18.066,111.816,1.0
1626295117.6199481,10.742,-28.809,-17.578,37.598,1.0
1626295117.623854,-106.445,-153.32,-42.48,1.0,1.0
1626295117.6277602,-97.16799999999999,-79.102,-42.48,1.0,1.0
1626295117.631667,23.926,39.551,-17.578,1.0,1.0
1626295117.635573,27.344,21.973000000000003,-28.809,1.0,1.0
1626295117.639479,-72.266,-31.25,-52.246,1.0,1.0
1626295117.6433854,-97.656,-106.934,-55.663999999999994,1.0,1.0
1626295117.6472914,4.395,-36.621,-30.273000000000003,1.0,1.0
1626295117.651198,54.688,-10.742,-18.555,1.0,1.0
1626295117.6551042,-22.949,-40.039,-38.574,1.0,1.0
1626295117.6590104,-82.031,-62.012,-52.733999999999995,1.0,1.0
1626295117.6629167,-23.926,-76.66,-27.831999999999997,1.0,1.0
1626295117.666823,39.062,17.578,-7.324,1.0,1.0
1626295117.6707292,-15.625,34.668,-22.949,1.0,1.0
1626295117.6746354,-93.262,18.066,-32.227,1.0,1.0
1626295117.6785414,-56.152,-20.02,-39.551,1.0,1.0
1626295117.682448,20.508000000000003,-68.359,-38.086,1.0,1.0
1626295117.6863542,17.578,-25.879,-22.461,1.0,1.0
1626295117.6902604,-58.105,-12.695,-23.438000000000002,1.0,1.0
1626295117.6941667,-67.383,-17.578,-30.273000000000003,1.0,1.0
1626295117.698073,0.0,-89.355,-37.598,1.0,1.0
1626295117.7019792,15.625,-65.43,-29.296999999999997,1.0,1.0
1626295117.7058854,-62.988,-15.625,-26.366999999999997,1.0,1.0
1626295117.7097917,-105.469,-36.133,-45.898,1.0,1.0
1626295117.713698,-17.578,-31.738000000000003,-41.504,1.0,1.0
1626295117.7176042,11.23,5.859,-22.461,68.848,1.0
