timestamps,TP9,AF7,AF8,TP10
1628114717.036,20.508,5.859,-26.855,8.301
1628114717.040,16.113,-10.742,-27.344,-5.371
1628114717.044,-79.102,-34.668,-36.133,-66.406
1628114717.048,-85.449,-25.391,-33.203,-62.012
1628114717.052,14.160,-11.719,-35.645,1.465
1628114717.056,41.992,-2.441,-30.273,20.020
1628114717.060,-51.758,-8.789,-27.832,-43.457
1628114717.063,-111.328,-31.250,-25.879,-84.961
1628114717.067,-33.203,-26.367,-23.926,-27.344
1628114717.071,65.430,-27.832,-6.836,35.645
1628114717.075,20.508,-45.410,-6.348,-3.418
1628114717.079,-85.449,-37.109,-33.691,-72.754
1628114717.082,-37.598,0.977,-61.523,-65.918
1628114717.086,-100.586,7.812,-47.852,-93.750
1628114717.090,-73.730,3.906,-40.527,-57.617
1628114717.094,17.578,-12.207,-36.133,1.953
1628114717.098,26.367,-21.973,-30.762,-9.277
1628114717.101,-56.152,-30.762,-42.480,-61.035
1628114717.105,-95.215,-38.574,-59.082,-71.777
1628114717.109,-5.371,-19.531,-33.203,-17.578
1628114717.113,59.082,-7.324,-11.719,14.648
1628114717.117,-21.484,-26.855,-19.043,-41.504
1628114717.114,-70.801,-49.316,-12.695,-66.895
1628114717.118,-15.137,-41.504,-9.277,-18.066
1628114717.122,36.133,-14.160,-30.273,3.906
1628114717.126,-18.555,-21.484,-34.180,-36.133
1628114717.130,-107.422,-41.016,-42.480,-87.891
1628114717.134,-73.242,-33.203,-47.852,-59.082
1628114717.138,26.367,-12.207,-34.668,14.648
1628114717.141,4.883,-13.672,-31.738,-8.301
1628114717.145,-81.055,-31.250,-34.180,-62.988
1628114717.149,-76.172,-39.062,-40.527,-50.293
1628114717.153,7.324,-28.809,-35.645,-4.883
1628114717.157,34.180,-13.672,-15.625,1.953
1628114717.170,-47.852,-17.578,-16.113,-46.875
1628114717.174,-89.355,-30.762,-26.367,-63.965
1628114717.178,-20.508,-51.758,-34.668,-23.438
1628114717.182,31.250,-45.898,-30.273,-3.418
1628114717.186,-30.273,-26.367,-29.785,-34.180
1628114717.190,-97.656,-22.949,-46.875,-64.941
1628114717.194,-50.781,-17.090,-33.691,-36.133
1628114717.197,16.113,-12.695,-26.367,-3.906
1628114717.201,-26.855,-10.254,-45.410,-44.434
1628114717.205,-102.051,-20.508,-37.109,-85.938
1628114717.209,-55.664,-18.066,-26.367,-32.227
1628114717.213,42.480,-4.883,-28.320,30.762
1628114717.205,20.508,-16.113,-19.043,-0.488
1628114717.209,-75.195,-29.297,-6.348,-54.688
1628114717.213,-77.148,-25.879,-18.555,-41.992
1628114717.217,12.695,-16.113,-28.809,11.230
1628114717.221,29.297,-19.043,-23.438,3.906
1628114717.225,-66.895,-54.199,-36.621,-69.336
1628114717.229,-100.586,-64.453,-47.852,-77.637
1628114717.232,-10.742,-43.945,-26.855,-15.137
1628114717.236,36.621,-24.902,-22.461,-0.977
1628114717.240,-48.828,-26.367,-39.551,-52.734
1628114717.244,-121.582,-43.945,-47.852,-79.102
1628114717.248,-48.828,-31.250,-39.062,-18.066
1628114717.264,47.852,-7.324,-26.855,27.344
1628114717.268,-5.859,-20.996,-31.250,-25.391
1628114717.272,-72.266,-20.996,-16.113,-48.828
1628114717.276,-34.180,-18.066,-5.859,-5.859
1628114717.280,38.086,-35.156,-23.926,15.137
1628114717.284,20.020,-13.184,-41.016,-32.227
1628114717.288,-77.637,-18.066,-33.691,-89.355
1628114717.291,-91.309,-48.340,-17.578,-73.242
1628114717.295,-0.488,-57.129,-19.531,-6.836
1628114717.299,42.480,-57.617,-18.555,9.277
1628114717.303,-41.992,-27.344,-23.438,-44.434
1628114717.307,-112.793,-19.531,-31.250,-73.730
1628114717.302,-29.785,-20.508,-24.414,-15.625
1628114717.306,52.734,-20.020,-20.020,27.832
1628114717.310,-25.879,-34.668,-27.832,-28.809
1628114717.314,-99.609,-40.527,-29.785,-67.383
1628114717.318,-34.180,-38.086,-17.090,-22.949
1628114717.322,46.387,-44.922,-17.578,13.184
1628114717.326,0.977,-62.012,-36.621,-31.738
1628114717.329,-85.449,-55.176,-37.598,-71.289
1628114717.333,-72.266,-42.480,-25.391,-38.574
1628114717.337,27.344,-54.199,-10.742,12.207
1628114717.341,39.062,-48.828,-9.277,-0.977
1628114717.345,-66.895,-25.391,-24.414,-58.594
1628114717.373,-110.840,-35.156,-29.785,-63.965
1628114717.377,-23.926,-53.223,-21.484,-6.348
1628114717.381,37.598,-33.203,-11.230,18.555
1628114717.385,-37.598,-23.926,-21.484,-41.504
1628114717.389,-90.820,-33.691,-25.879,-59.570
1628114717.393,-29.785,-50.781,-31.738,-9.766
1628114717.397,33.203,-43.945,-47.363,9.766
1628114717.400,-16.602,-41.016,-42.969,-31.250
1628114717.404,-83.496,-42.480,-29.297,-58.594
1628114717.408,-54.199,-32.715,-28.809,-27.344
1628114717.412,15.137,-33.203,-31.250,6.348
1628114717.416,-9.766,-27.344,-32.715,-36.133
1628114717.394,-109.375,-23.438,-36.621,-99.121
1628114717.398,-86.914,-20.996,-27.832,-61.523
1628114717.402,25.391,-18.555,-9.766,10.254
1628114717.406,41.992,-15.137,-25.391,13.184
1628114717.410,-59.570,-24.414,-59.570,-57.617
1628114717.414,-92.773,-38.574,-44.434,-58.594
1628114717.418,-12.207,-47.852,-31.738,0.977
1628114717.421,-1.465,-44.434,-47.363,-22.949
1628114717.425,-77.637,-29.785,-41.504,-78.613
1628114717.429,-122.070,-41.992,-27.832,-79.590
1628114717.433,-61.035,-60.059,-18.066,-24.902
1628114717.437,21.973,-47.852,-7.324,3.906
1628114717.448,-14.160,-15.625,-19.531,-30.273
1628114717.452,-103.027,-9.277,-31.738,-67.383
1628114717.456,-74.707,-33.691,-18.066,-40.039
1628114717.460,35.156,-21.484,-12.207,19.531
1628114717.464,21.973,-22.461,-13.672,0.488
1628114717.468,-63.965,-25.879,-25.879,-52.246
1628114717.472,-63.965,-14.160,-49.316,-30.273
1628114717.475,14.160,-20.020,-31.738,21.973
1628114717.479,32.227,-13.672,-18.066,9.277
1628114717.483,-62.500,-9.277,-28.809,-54.688
1628114717.487,-124.023,-22.461,-34.180,-85.449
1628114717.491,-43.457,-40.527,-25.879,-20.996
1628114717.486,35.645,-45.898,-13.672,16.602
1628114717.490,-30.273,-39.551,-16.602,-49.316
1628114717.494,-111.328,-47.363,-23.926,-85.938
1628114717.498,-43.945,-35.645,-23.438,-28.320
1628114717.502,60.059,-6.836,-20.508,28.809
1628114717.506,-10.254,-6.836,-36.621,-32.227
1628114717.510,-127.441,-29.785,-41.992,-96.680
1628114717.513,-90.332,-33.203,-35.645,-57.617
1628114717.517,19.043,-3.418,-41.016,4.395
1628114717.521,17.578,-2.441,-32.715,-0.488
1628114717.525,-77.148,-14.160,-25.879,-54.688
1628114717.529,-101.562,-27.832,-32.715,-65.918
1628114717.542,-15.137,-27.344,-47.363,-13.184
1628114717.546,25.391,-18.066,-53.223,-10.742
1628114717.550,-44.434,-44.922,-46.875,-70.312
1628114717.554,-90.820,-58.105,-36.621,-75.195
1628114717.558,-7.812,-21.484,-20.508,-4.883
1628114717.562,65.430,-7.812,-22.949,23.926
1628114717.566,-34.180,-29.297,-44.922,-59.082
1628114717.569,-112.793,-25.879,-37.598,-103.516
1628114717.573,-48.828,-18.066,-24.414,-51.758
1628114717.577,25.391,-33.691,-41.016,-8.301
1628114717.581,4.395,-43.457,-37.109,-35.156
1628114717.585,-79.102,-42.480,-25.391,-79.590
1628114717.581,-73.242,-39.062,-38.086,-51.270
1628114717.585,39.062,-23.438,-39.551,20.996
1628114717.589,55.176,-20.020,-20.020,11.719
1628114717.593,-52.246,-26.855,-22.461,-58.594
1628114717.597,-89.844,-32.227,-43.457,-69.336
1628114717.601,5.859,-20.508,-42.969,-6.348
1628114717.605,57.129,-15.625,-18.066,16.113
1628114717.608,-43.457,-40.527,-17.578,-52.246
1628114717.612,-121.094,-40.527,-34.668,-88.867
1628114717.616,-41.504,-17.578,-23.926,-25.391
1628114717.620,35.156,-28.809,-18.555,15.625
1628114717.624,-26.855,-36.133,-29.785,-50.781
1628114717.638,-106.934,-28.809,-40.039,-104.492
1628114717.642,-67.871,-50.293,-34.668,-60.059
1628114717.646,37.598,-55.176,-25.879,11.230
1628114717.650,18.066,-42.480,-39.551,-4.395
1628114717.654,-90.820,-52.734,-38.574,-72.266
1628114717.658,-90.332,-26.367,-19.043,-48.340
1628114717.662,10.254,0.488,-14.160,15.137
1628114717.665,25.879,-27.832,-19.531,-4.395
1628114717.669,-60.059,-49.316,-13.184,-64.453
1628114717.673,-94.238,-33.691,-20.508,-66.406
1628114717.677,-21.484,-4.395,-43.457,-16.113
1628114717.681,43.945,-16.113,-24.414,0.488
1628114717.673,-37.109,-32.715,-25.391,-59.570
1628114717.677,-119.629,-28.809,-47.852,-102.539
1628114717.681,-47.852,-31.738,-36.621,-42.480
1628114717.685,62.012,-10.254,-22.461,30.273
1628114717.689,16.602,-24.414,-24.902,-13.672
1628114717.693,-79.590,-65.918,-26.855,-60.547
1628114717.697,-41.504,-62.012,-24.902,-15.137
1628114717.700,44.434,-9.277,-22.949,18.066
1628114717.704,38.574,51.758,-8.789,-4.395
1628114717.708,-53.223,3.418,-14.160,-55.664
1628114717.712,-80.566,-56.152,-43.945,-62.012
1628114717.716,8.789,-51.758,-40.039,-2.930
1628114717.748,48.828,-33.203,-24.902,10.254
1628114717.752,-47.852,-12.695,-43.457,-55.664
1628114717.756,-104.980,-30.273,-48.828,-86.914
1628114717.760,-29.785,-30.762,-22.949,-29.785
1628114717.764,35.645,-26.367,-17.578,5.371
1628114717.768,-27.344,-34.180,-24.902,-41.992
1628114717.772,-95.703,-27.832,-14.160,-70.801
1628114717.775,-22.461,-17.578,-6.836,-9.277
1628114717.779,68.848,-20.020,-1.953,47.852
1628114717.783,14.648,-44.922,-18.066,-0.488
1628114717.787,-94.238,-48.828,-51.270,-65.918
1628114717.791,-85.938,-36.133,-61.035,-49.805
1628114717.767,6.348,-31.738,-55.176,5.371
1628114717.771,21.484,-31.250,-41.016,-11.719
1628114717.775,-73.730,-53.223,-30.273,-80.566
1628114717.779,-108.398,-54.199,-16.602,-76.660
1628114717.783,-13.184,-30.762,-4.395,-13.672
1628114717.787,52.246,-12.695,1.953,15.625
1628114717.791,-24.902,-23.438,-6.348,-35.156
1628114717.794,-104.980,-47.363,-25.391,-67.383
1628114717.798,-56.152,-31.250,-35.156,-29.785
1628114717.802,23.926,-24.414,-31.738,9.277
1628114717.806,-37.109,-40.527,-42.969,-40.527
1628114717.810,-124.512,-48.340,-41.504,-93.750
1628114717.823,-74.219,-40.527,-18.555,-48.340
1628114717.827,16.602,-36.621,-34.668,1.465
1628114717.831,-5.859,-35.156,-45.410,-26.855
1628114717.835,-92.773,-38.086,-37.109,-70.312
1628114717.839,-96.680,-59.082,-23.926,-62.500
1628114717.843,-6.348,-23.438,-27.344,-19.043
1628114717.847,20.020,6.348,-52.246,-26.367
1628114717.850,-76.660,-35.645,-47.852,-87.402
1628114717.854,-124.023,-37.109,-42.969,-91.309
1628114717.858,-29.297,-27.832,-24.414,-18.555
1628114717.862,46.387,-44.434,-17.090,20.508
1628114717.866,-34.180,-41.992,-25.879,-37.598
1628114717.860,-110.352,-18.555,-38.086,-86.426
1628114717.864,-53.223,-20.020,-54.199,-49.316
1628114717.868,33.691,-35.645,-32.715,-3.906
1628114717.872,-17.090,-56.641,-12.695,-49.316
1628114717.876,-113.770,-59.082,-36.621,-96.191
1628114717.880,-95.703,-43.945,-51.758,-59.082
1628114717.884,2.930,-33.203,-28.809,-3.418
1628114717.887,-7.324,-33.691,-17.578,-25.879
1628114717.891,-96.191,-29.297,-17.578,-73.242
1628114717.895,-85.449,-24.902,-20.020,-44.922
1628114717.899,14.648,-22.461,-24.902,18.066
1628114717.903,34.668,-36.133,-37.109,8.301
1628114717.917,-58.105,-40.039,-47.363,-61.035
1628114717.921,-94.727,-8.301,-15.625,-62.012
1628114717.925,-20.996,-12.695,-9.766,-5.371
1628114717.929,26.855,-53.223,-30.762,-2.930
1628114717.933,-36.133,-70.312,-41.992,-49.805
1628114717.937,-107.422,-55.664,-36.621,-73.242
1628114717.941,-51.270,-42.969,-32.227,-31.738
1628114717.944,44.434,-36.133,-37.598,14.648
1628114717.948,26.367,-26.855,-31.738,-4.395
1628114717.952,-40.527,-7.812,-17.090,-27.344
1628114717.956,-42.480,-9.277,-32.227,-13.184
1628114717.960,9.277,-20.508,-42.480,12.695
1628114717.955,14.160,-20.020,-22.461,9.277
1628114717.959,-68.848,-37.598,-16.602,-54.199
1628114717.963,-101.562,-39.062,-22.461,-66.895
1628114717.967,-12.207,-6.836,-15.137,-2.930
1628114717.971,46.387,-17.090,-15.625,20.508
1628114717.975,-46.387,-39.551,-31.250,-41.992
1628114717.979,-105.469,-32.227,-31.250,-68.359
1628114717.982,-32.227,-34.180,-24.414,-25.879
1628114717.986,37.109,-2.930,-24.414,2.441
1628114717.990,0.488,18.555,-23.926,-25.879
1628114717.994,-85.938,-18.555,-27.344,-71.289
1628114717.998,-64.941,-59.570,-36.621,-43.945
1628114718.013,27.832,-36.133,-34.180,5.371
1628114718.017,10.254,-7.812,-32.715,-17.090
1628114718.021,-67.383,-29.297,-17.578,-57.129
1628114718.025,-65.430,-42.969,-20.020,-42.969
1628114718.029,28.320,-37.109,-23.926,11.230
1628114718.033,60.547,14.160,-25.391,15.137
1628114718.037,-48.340,28.809,-44.434,-57.129
1628114718.040,-93.262,-16.602,-30.273,-68.359
1628114718.044,1.953,-16.113,-10.742,-9.277
1628114718.048,56.152,-12.695,-14.648,7.324
1628114718.052,-26.855,-3.418,-26.855,-47.852
1628114718.056,-89.844,-5.859,-22.949,-71.777
1628114718.048,-27.344,-33.203,-23.926,-21.973
1628114718.052,36.133,-50.781,-26.855,6.348
1628114718.056,-15.625,-63.965,-39.551,-40.527
1628114718.060,-85.938,-42.480,-37.598,-71.289
1628114718.064,-47.363,-37.109,-22.949,-26.367
1628114718.068,28.320,-63.965,-24.902,5.371
1628114718.072,11.719,-53.711,-27.344,-27.832
1628114718.075,-62.500,-30.273,-36.133,-74.219
1628114718.079,-72.754,-28.809,-32.227,-59.570
1628114718.083,-1.953,-28.809,-17.090,-8.301
1628114718.087,22.461,-16.602,-20.508,-16.602
1628114718.091,-70.801,-21.973,-35.156,-85.449
1628114718.104,-112.793,-15.137,-36.621,-93.262
1628114718.108,-21.973,1.465,-38.086,-22.461
1628114718.112,32.715,-26.367,-36.133,4.883
1628114718.116,-41.504,-35.645,-28.320,-51.270
1628114718.120,-106.934,-35.645,-31.738,-81.543
1628114718.124,-44.434,-36.621,-28.809,-32.715
1628114718.128,28.320,-47.852,-24.414,-2.930
1628114718.131,-21.973,-48.828,-21.484,-49.805
1628114718.135,-106.445,-39.551,-28.320,-98.633
1628114718.139,-75.684,-30.762,-41.992,-56.152
1628114718.143,11.230,-17.090,-24.902,4.883
1628114718.147,-7.812,-19.531,-27.832,-26.367
1628114718.144,-94.727,-22.949,-48.340,-81.543
1628114718.148,-85.449,-29.297,-37.598,-54.199
1628114718.152,13.672,-28.320,-20.508,18.066
1628114718.156,43.457,-16.113,-18.066,22.949
1628114718.160,-51.758,-43.457,-24.414,-47.363
1628114718.164,-94.238,-57.129,-25.879,-61.035
1628114718.168,-6.836,-34.668,-33.203,5.371
1628114718.171,56.641,-31.250,-31.738,21.484
1628114718.175,-30.273,-24.902,-23.438,-48.340
1628114718.179,-115.723,-24.902,-14.160,-83.008
1628114718.183,-53.711,-23.926,-10.254,-31.250
1628114718.187,44.434,-17.578,-0.977,27.344
1628114718.200,21.973,7.812,-5.371,1.465
1628114718.204,-87.402,23.438,-32.715,-56.641
1628114718.208,-79.590,-22.461,-36.621,-23.438
1628114718.212,16.602,-45.898,-20.020,25.391
1628114718.216,15.625,-50.781,-25.391,-13.184
1628114718.220,-69.824,-7.812,-43.457,-58.594
1628114718.224,-95.703,-11.719,-41.992,-59.570
1628114718.227,-11.230,-41.016,-37.109,-19.043
1628114718.231,37.598,-18.555,-23.926,-6.348
1628114718.235,-48.828,-14.648,-19.043,-57.129
1628114718.239,-95.703,-18.066,-32.227,-70.312
1628114718.243,-20.996,-30.273,-32.227,-12.695
1628114718.236,34.180,-27.832,-31.250,8.789
1628114718.240,-13.184,-25.391,-25.879,-38.086
1628114718.244,-89.355,-34.668,-27.344,-67.383
1628114718.248,-59.570,-25.391,-40.527,-33.691
1628114718.252,30.273,-39.551,-40.527,15.137
1628114718.256,27.832,-37.598,-28.809,0.488
1628114718.260,-52.734,-26.367,-21.973,-48.828
1628114718.263,-70.801,-59.570,-33.691,-44.434
1628114718.267,14.648,-41.992,-36.621,3.418
1628114718.271,24.902,-17.090,-37.598,-8.789
1628114718.275,-76.172,-20.020,-41.992,-68.848
1628114718.279,-104.492,-28.809,-34.180,-74.707
1628114718.294,-24.902,-27.344,-30.273,-14.648
1628114718.298,21.973,-15.137,-24.414,0.000
1628114718.302,-46.387,-21.973,-23.438,-55.176
1628114718.306,-115.234,-48.340,-46.387,-79.102
1628114718.310,-52.734,-65.918,-60.547,-35.156
1628114718.314,32.715,-60.059,-45.898,2.441
1628114718.318,-10.742,-48.828,-35.645,-30.273
1628114718.321,-103.027,-40.039,-47.852,-74.707
1628114718.325,-82.520,-34.180,-34.180,-55.664
1628114718.329,14.160,-29.297,-12.695,0.488
1628114718.333,-0.488,-9.277,-10.254,-25.879
1628114718.337,-92.285,-4.883,-7.324,-86.914
1628114718.329,-78.125,-19.531,-5.859,-58.105
1628114718.333,17.090,-42.969,-21.973,5.371
1628114718.337,50.781,-42.480,-27.832,14.160
1628114718.341,-51.758,-48.340,-35.156,-57.617
1628114718.345,-113.281,-49.316,-36.133,-77.637
1628114718.349,-26.367,-31.250,-37.598,-20.508
1628114718.353,36.621,-32.227,-48.828,5.371
1628114718.356,-34.180,-23.926,-34.668,-42.969
1628114718.360,-112.305,3.418,-36.621,-83.984
1628114718.364,-64.453,-12.207,-38.574,-45.898
1628114718.368,22.461,-33.203,-37.109,0.977
1628114718.372,-10.742,-35.156,-35.645,-24.902
1628114718.386,-70.312,-25.879,-18.555,-46.387
1628114718.390,-48.828,-11.719,-27.344,-20.996
1628114718.394,10.254,-28.809,-31.738,8.301
1628114718.398,15.137,-39.551,-26.855,-7.812
1628114718.402,-67.871,-25.879,-36.621,-63.965
1628114718.406,-96.191,-34.668,-37.109,-59.082
1628114718.410,-18.555,-60.059,-43.945,-12.207
1628114718.413,16.113,-56.641,-48.340,1.465
1628114718.417,-59.570,-56.641,-39.551,-51.270
1628114718.421,-106.445,-45.410,-29.785,-72.266
1628114718.425,-32.227,-25.879,-24.902,-15.137
1628114718.429,36.133,-36.621,-25.391,13.184
1628114718.441,-5.371,-52.246,-16.113,-18.555
1628114718.445,-67.871,-44.434,-14.160,-45.410
1628114718.449,-44.434,-39.062,-33.691,-18.555
1628114718.453,33.203,-15.137,-45.898,18.555
1628114718.457,6.836,0.000,-37.598,-15.137
1628114718.461,-96.191,-24.902,-33.691,-77.148
1628114718.465,-83.496,-46.387,-35.156,-56.641
1628114718.468,18.066,-37.109,-37.598,6.836
1628114718.472,18.555,-17.578,-41.504,-9.277
1628114718.476,-68.359,-18.555,-27.832,-55.176
1628114718.480,-80.078,-25.391,-17.578,-35.156
1628114718.484,6.836,-35.645,-31.250,24.902
1628114718.497,59.570,-49.805,-39.062,37.109
1628114718.501,-20.508,-49.316,-38.086,-27.344
1628114718.505,-81.055,-35.645,-34.180,-59.570
1628114718.509,-20.508,-29.785,-26.855,-13.672
1628114718.513,47.852,-13.672,-28.320,20.020
1628114718.517,-5.859,-14.648,-30.273,-27.832
1628114718.521,-84.473,-23.926,-30.273,-61.035
1628114718.524,-32.227,-22.461,-27.344,-11.719
1628114718.528,53.711,-56.641,-31.250,25.879
1628114718.532,25.879,-59.082,-25.879,-7.812
1628114718.536,-71.289,-25.879,-41.504,-59.570
1628114718.540,-67.383,-31.738,-44.434,-34.180
1628114718.519,38.574,-48.340,-25.879,37.598
1628114718.523,49.316,-27.832,-19.531,21.484
1628114718.527,-74.219,-23.926,-28.809,-69.336
1628114718.531,-109.375,-26.855,-44.434,-74.707
1628114718.535,-7.812,-8.789,-32.715,-11.719
1628114718.539,29.297,-20.996,-27.832,-8.789
1628114718.543,-60.547,-47.852,-36.133,-67.383
1628114718.546,-112.305,-41.504,-40.527,-83.496
1628114718.550,-34.668,-19.043,-44.434,-34.668
1628114718.554,63.965,-20.996,-41.504,9.766
1628114718.558,17.578,-30.762,-24.414,-20.508
1628114718.562,-90.820,-36.621,-9.277,-76.172
1628114718.575,-59.570,-21.484,-4.395,-48.828
1628114718.579,28.320,-17.090,-13.184,10.254
1628114718.583,-0.977,-37.598,-22.949,-21.973
1628114718.587,-96.191,-35.156,-32.227,-79.102
1628114718.591,-115.234,-40.039,-43.945,-67.383
1628114718.595,-6.836,10.742,-32.715,-0.977
1628114718.599,30.273,27.344,-29.297,-7.324
1628114718.602,-67.871,-59.570,-35.156,-81.543
1628114718.606,-97.168,-65.918,-30.273,-78.125
1628114718.610,-24.902,-45.898,-38.574,-21.973
1628114718.614,50.781,-0.488,-37.109,12.207
1628114718.618,-28.809,19.043,-25.391,-51.758
1628114718.611,-122.559,-17.578,-17.090,-92.773
1628114718.615,-57.129,-22.461,-24.902,-36.133
1628114718.619,30.273,-21.973,-30.273,5.859
1628114718.623,0.000,-24.902,-26.367,-25.879
1628114718.627,-91.309,-31.250,-25.879,-76.660
1628114718.631,-68.359,-25.879,-26.855,-50.781
1628114718.635,45.898,-16.602,-32.715,18.066
1628114718.638,28.809,-21.973,-54.199,-8.301
