timestamps,TP9,AF7,AF8,TP10
1628114803.123,-96.191,-57.617,-6.836,-82.520
1628114803.127,-62.500,-62.988,-21.973,-43.457
1628114803.131,82.031,-50.293,-23.438,40.527
1628114803.135,83.496,-30.273,-32.227,27.344
1628114803.139,-65.918,-59.570,-34.180,-63.477
1628114803.143,-98.145,-55.176,-40.039,-79.102
1628114803.147,42.480,-56.152,-35.156,6.348
1628114803.150,84.473,-53.711,-27.832,35.156
1628114803.154,-60.059,-32.715,-31.738,-55.176
1628114803.158,-124.023,-38.086,-19.531,-80.078
1628114803.162,-12.207,-61.035,-21.484,-5.371
1628114803.166,78.125,-70.801,-21.973,43.945
1628114803.172,-17.090,-32.227,-21.973,-17.578
1628114803.176,-143.066,-8.789,-39.062,-92.773
1628114803.180,-67.383,-34.180,-31.738,-43.945
1628114803.184,86.426,-70.801,-11.230,46.875
1628114803.188,60.059,-62.988,-2.441,33.203
1628114803.192,-82.031,-14.648,-13.184,-48.340
1628114803.196,-90.820,-20.020,-41.016,-50.293
1628114803.199,56.641,-29.785,-50.781,29.297
1628114803.203,81.055,-41.992,-37.109,29.785
1628114803.207,-74.219,-64.453,-25.391,-65.918
1628114803.211,-107.422,-37.598,-32.715,-78.613
1628114803.215,34.668,-41.504,-42.480,8.301
1628114803.229,107.422,-49.316,-31.250,48.828
1628114803.233,-26.855,-58.594,-35.156,-37.598
1628114803.237,-126.465,-35.645,-45.410,-92.773
1628114803.241,-9.766,-16.113,-26.855,-13.184
1628114803.245,95.215,-51.758,-28.809,42.480
1628114803.249,0.488,-47.363,-49.316,-17.578
1628114803.253,-117.676,-37.598,-30.273,-81.543
1628114803.256,-66.895,-6.836,-24.414,-44.922
1628114803.260,67.383,17.090,-20.020,40.527
1628114803.264,57.129,-45.410,-17.090,31.250
1628114803.268,-102.051,-74.219,-38.574,-67.871
1628114803.272,-110.840,-55.664,-30.762,-74.707
1628114803.266,55.176,-52.734,-12.695,28.809
1628114803.270,82.031,-47.363,-26.367,37.109
1628114803.274,-63.477,-31.250,-41.504,-58.105
1628114803.278,-119.629,-45.898,-49.805,-83.008
1628114803.282,20.020,-65.430,-40.527,16.113
1628114803.286,123.047,-4.883,-23.438,72.754
1628114803.290,-22.461,-16.113,-14.160,-32.715
1628114803.293,-137.207,-54.688,-15.625,-89.844
1628114803.297,-23.926,-28.320,-29.785,-5.371
1628114803.301,78.125,-30.273,-33.203,45.898
1628114803.305,-10.254,-5.859,-39.062,-19.043
1628114803.309,-158.691,-27.832,-43.457,-105.469
1628114803.323,-110.840,-54.199,-27.344,-61.035
1628114803.327,61.523,-58.594,-10.254,42.969
1628114803.331,54.688,-51.758,-12.207,22.949
1628114803.335,-106.445,-64.453,-28.809,-77.148
1628114803.339,-118.164,-75.684,-28.809,-69.336
1628114803.343,18.066,-29.785,-24.902,7.812
1628114803.347,61.523,-21.973,-28.809,16.602
