timestamps,TP9,AF7,AF8,TP10
1626466275.712,-528.320,-513.184,-730.469,-1000.000
1626466275.716,171.875,-468.750,-659.668,-926.758
1626466275.720,543.457,-456.055,-685.547,-792.480
1626466275.724,697.266,-479.980,-750.488,-908.691
1626466275.728,748.047,-494.141,-739.258,-996.094
1626466275.732,840.332,-470.215,-666.992,-791.992
1626466275.736,895.020,-440.918,-659.180,-614.746
1626466275.739,907.715,-444.824,-721.191,-741.211
1626466275.743,944.824,-477.051,-750.977,-904.785
1626466275.747,968.262,-479.004,-677.734,-752.930
1626466275.751,965.332,-446.777,-628.906,-581.055
1626466275.755,966.309,-442.383,-679.199,-653.809
1626466275.755,966.797,-469.238,-732.422,-869.141
1626466275.759,966.797,-465.332,-671.387,-841.797
1626466275.763,965.820,-429.199,-618.652,-640.625
1626466275.767,962.891,-425.781,-642.090,-720.703
1626466275.771,969.727,-444.336,-687.988,-939.941
1626466275.775,894.043,-446.777,-656.250,-1000.000
1626466275.779,748.047,-424.805,-589.355,-994.141
1626466275.782,608.398,-421.387,-600.098,-1000.000
1626466275.786,398.438,-443.359,-662.598,-1000.000
1626466275.790,231.934,-458.008,-659.668,-1000.000
1626466275.794,151.855,-439.941,-594.727,-1000.000
1626466275.798,113.770,-407.227,-574.219,-1000.000
1626466275.800,124.512,-410.645,-617.188,-1000.000
1626466275.804,175.293,-447.754,-654.297,-1000.000
1626466275.808,349.609,-438.477,-590.820,-1000.000
1626466275.812,481.934,-410.645,-550.293,-1000.000
1626466275.816,486.328,-414.062,-599.609,-1000.000
1626466275.820,446.777,-429.199,-650.391,-1000.000
1626466275.824,421.387,-429.199,-595.703,-1000.000
1626466275.827,413.086,-407.715,-547.363,-1000.000
1626466275.831,369.141,-395.996,-585.449,-1000.000
1626466275.835,281.738,-423.340,-646.484,-1000.000
1626466275.839,230.469,-451.660,-613.281,-1000.000
1626466275.843,239.746,-427.246,-541.992,-1000.000
1626466275.845,243.652,-398.438,-545.898,-1000.000
1626466275.849,216.797,-403.809,-600.586,-1000.000
1626466275.853,182.129,-425.293,-614.258,-1000.000
1626466275.857,199.707,-413.086,-556.641,-1000.000
1626466275.861,240.723,-377.441,-523.438,-1000.000
1626466275.865,276.855,-372.070,-551.270,-1000.000
1626466275.869,292.969,-396.973,-588.379,-1000.000
1626466275.872,327.637,-399.902,-533.691,-1000.000
1626466275.876,395.996,-365.234,-494.141,-1000.000
1626466275.880,464.844,-355.469,-533.691,-1000.000
1626466275.884,506.836,-381.836,-574.219,-1000.000
1626466275.888,571.289,-377.441,-521.484,-1000.000
1626466275.891,643.066,-350.098,-466.309,-1000.000
1626466275.895,705.078,-335.938,-481.934,-1000.000
1626466275.899,767.578,-345.215,-535.645,-1000.000
1626466275.903,833.496,-362.305,-528.320,-1000.000
1626466275.907,926.270,-342.773,-463.867,-1000.000
1626466275.911,969.727,-312.500,-445.801,-993.652
1626466275.915,965.332,-326.172,-501.465,-1000.000
1626466275.918,960.938,-358.887,-526.367,-993.652
1626466275.922,967.285,-347.168,-453.613,-726.074
1626466275.926,936.035,-327.637,-440.918,-553.223
1626466275.930,707.031,-332.031,-517.578,-816.895
1626466275.934,363.770,-361.328,-579.102,-1000.000
1626466275.937,-164.551,-375.977,-540.527,-994.629
1626466275.941,-769.043,-360.352,-494.141,-996.582
1626466275.945,-1000.000,-364.258,-543.457,-1000.000
1626466275.949,-989.746,-411.133,-635.742,-1000.000
1626466275.953,-997.559,-427.734,-616.699,-1000.000
1626466275.957,-1000.000,-408.691,-589.355,-1000.000
1626466275.961,-1000.000,-414.551,-642.090,-1000.000
1626466275.964,-1000.000,-455.566,-738.281,-1000.000
1626466275.968,-1000.000,-492.188,-785.156,-1000.000
1626466275.972,-1000.000,-500.000,-761.719,-1000.000
1626466275.976,-1000.000,-511.230,-813.477,-1000.000
1626466275.980,-1000.000,-555.664,-937.988,-1000.000
1626466275.995,-1000.000,-624.512,-1000.000,-1000.000
1626466275.999,-1000.000,-657.227,-997.559,-1000.000
1626466276.003,-1000.000,-676.270,-999.512,-1000.000
1626466276.007,-1000.000,-717.773,-1000.000,-1000.000
1626466276.011,-1000.000,-770.020,-1000.000,-1000.000
1626466276.015,-1000.000,-810.547,-1000.000,-1000.000
1626466276.019,-1000.000,-825.195,-1000.000,-1000.000
1626466276.022,-1000.000,-851.074,-1000.000,-1000.000
1626466276.026,-1000.000,-905.273,-1000.000,-1000.000
1626466276.030,-1000.000,-979.980,-1000.000,-1000.000
1626466276.034,-1000.000,-1000.000,-1000.000,-1000.000
1626466276.038,-1000.000,-981.934,-1000.000,-1000.000
1626466276.040,-999.023,-984.375,-1000.000,-1000.000
1626466276.044,-1000.000,-1000.000,-1000.000,-1000.000
1626466276.048,-978.027,-1000.000,-1000.000,-1000.000
1626466276.052,-924.316,-1000.000,-1000.000,-1000.000
1626466276.056,-860.840,-1000.000,-1000.000,-1000.000
1626466276.060,-809.570,-1000.000,-1000.000,-1000.000
1626466276.064,-773.926,-1000.000,-1000.000,-1000.000
1626466276.067,-699.707,-1000.000,-1000.000,-1000.000
1626466276.071,-601.074,-1000.000,-1000.000,-1000.000
1626466276.075,-511.230,-1000.000,-1000.000,-1000.000
1626466276.079,-475.586,-1000.000,-1000.000,-1000.000
1626466276.083,-514.160,-1000.000,-1000.000,-1000.000
1626466276.085,-614.746,-1000.000,-1000.000,-1000.000
1626466276.089,-790.527,-1000.000,-1000.000,-1000.000
1626466276.093,-955.566,-1000.000,-1000.000,-1000.000
1626466276.097,-1000.000,-1000.000,-1000.000,-1000.000
1626466276.101,-996.582,-1000.000,-1000.000,-1000.000
1626466276.105,-1000.000,-1000.000,-1000.000,-1000.000
1626466276.109,-1000.000,-1000.000,-1000.000,-1000.000
