timestamps,TP9,AF7,AF8,TP10,Right AUX
1626294679670729.250,7.812,11.230,-48.340,31.250,1.000
1626294679674635.500,-88.379,1.465,-42.480,-161.133,1.000
1626294679678541.750,-97.168,-27.344,-38.086,-125.977,1.000
1626294679682448.000,-6.836,-55.176,-42.480,73.730,1.000
1626294679686354.250,27.832,-18.555,-36.133,90.820,1.000
1626294679690260.500,-66.406,-34.180,-51.758,-119.629,1.000
1626294679694166.750,-110.840,-50.293,-52.246,-172.852,1.000
1626294679698073.000,-29.297,-47.363,-31.738,23.926,1.000
1626294679701979.250,25.391,-49.805,-14.160,105.469,1.000
1626294679705885.500,-38.574,-30.762,-8.789,-63.965,1.000
1626294679709791.750,-110.352,-38.086,-29.785,-184.570,1.000
1626294679713698.000,-56.152,-28.809,-25.391,-34.668,1.000
1626294679717604.250,-0.488,-20.996,-22.461,124.512,1.000
1626294679721510.500,43.945,-0.488,-38.574,-9.277,1.000
1626294679725416.750,-21.484,-11.230,-47.852,-191.406,1.000
1626294679729323.000,-92.773,-33.203,-47.363,-102.539,1.000
1626294679733229.250,-35.645,-1.465,-37.598,85.449,1.000
1626294679737135.500,58.594,0.977,-12.207,31.250,1.000
1626294679741041.750,16.602,-15.137,-15.625,-169.434,1.000
1626294679744948.000,-98.633,-40.527,-39.062,-150.391,1.000
1626294679748854.250,-91.797,-48.828,-40.039,71.777,1.000
1626294679752760.500,23.438,-20.020,-35.645,102.539,1.000
1626294679756666.750,50.781,-25.879,-29.785,-105.469,1.000
1626294679760573.000,-57.129,-20.996,-29.297,-152.832,1.000
1626294679764479.250,-61.523,-23.926,-33.691,-142.578,1.000
1626294679768385.500,-57.129,-5.371,-15.625,-89.844,1.000
1626294679772291.750,18.066,-6.836,-31.250,96.191,1.000
1626294679776198.000,15.625,-48.828,-45.898,50.781,1.000
1626294679780104.250,-76.660,-39.062,-43.457,-155.273,1.000
1626294679784010.500,-102.539,-28.809,-44.922,-169.434,1.000
1626294679787916.750,4.883,-0.488,-31.250,40.039,1.000
1626294679791823.000,33.691,-24.902,-39.551,98.145,1.000
1626294679795729.250,-58.594,-67.871,-62.988,-101.562,1.000
1626294679799635.500,-94.727,-34.180,-40.527,-185.059,1.000
1626294679803541.750,-24.414,-21.484,-26.367,-9.766,1.000
1626294679807448.000,47.363,0.000,-12.695,129.395,1.000
1626294679811354.250,53.223,-3.906,-18.555,112.793,1.000
1626294679815260.500,-24.414,-3.906,-17.090,-66.895,1.000
1626294679819166.750,-95.703,-27.832,-26.855,-179.688,1.000
1626294679823073.000,-29.785,-45.410,-28.809,-17.578,1.000
1626294679826979.250,72.754,-5.859,-27.832,154.297,1.000
1626294679830885.500,-19.043,-18.066,-42.480,-14.648,1.000
1626294679834791.750,-155.273,-36.621,-27.832,-226.074,1.000
1626294679838698.000,-116.699,-53.223,-8.789,-119.629,1.000
1626294679842604.250,-27.832,-78.125,-3.906,63.477,1.000
1626294679846510.500,-64.453,-54.199,-8.301,-19.531,1.000
1626294679850416.750,-176.270,-52.734,-53.711,-232.422,1.000
1626294679854323.000,-190.918,-64.453,-47.852,-210.938,1.000
1626294679858229.250,-237.793,-123.535,29.785,0.488,1.000
1626294679862135.500,-133.301,-130.371,8.789,20.508,1.000
1626294679866041.750,-112.793,-130.859,27.344,-202.148,1.000
1626294679869948.000,-201.660,-135.254,62.012,-281.738,1.000
1626294679873854.250,-222.168,-125.000,64.941,-85.449,1.000
1626294679877760.500,-108.887,-118.652,73.730,-1.953,1.000
1626294679881666.750,-37.109,-93.262,58.594,-186.035,1.000
1626294679885573.000,-112.305,-99.121,21.973,-308.105,1.000
1626294679889479.250,-173.828,-127.441,15.625,-155.273,1.000
1626294679893385.500,-89.355,-110.840,17.578,20.508,1.000
1626294679897291.750,10.742,-90.332,25.391,-75.195,1.000
1626294679901198.000,-48.340,-105.957,15.137,-251.465,1.000
1626294679905104.250,55.176,-12.207,-36.621,-65.430,1.000
1626294679909010.500,4.395,-11.719,-37.598,-171.387,1.000
1626294679912916.750,-36.133,-24.414,-24.902,-0.977,1.000
1626294679916823.000,3.906,-34.668,-39.551,156.250,1.000
1626294679920729.250,52.246,-30.762,-62.500,7.812,1.000
