timestamps,TP9,AF7,AF8,TP10,Right AUX
1626203018585389.000,-171.387,-26.855,-36.133,-210.938,1.000
1626203018589295.250,50.293,-21.973,-14.648,87.402,1.000
1626203018593201.500,111.328,-41.504,-18.555,153.320,1.000
1626203018597107.750,-98.633,-55.176,-28.320,-127.930,1.000
1626203018601014.000,-209.961,-45.410,-27.832,-248.535,1.000
1626203018604920.250,-30.762,-38.574,-15.137,3.906,1.000
1626203018608826.500,105.957,-30.762,-22.461,171.875,1.000
1626203018612732.750,-48.828,-24.902,-38.086,-55.176,1.000
1626203018616639.000,-227.051,-37.109,-42.480,-282.715,1.000
1626203018620545.250,-90.820,-37.109,-23.926,-85.449,1.000
1626203018624451.500,129.395,-26.855,-8.789,189.941,1.000
1626203018628357.750,46.875,-34.180,-24.902,56.641,1.000
1626203018632264.000,7.324,-48.340,-49.805,1.000,1.000
1626203018636170.250,-201.660,-56.641,-50.293,1.000,1.000
1626203018640076.500,-87.891,-28.320,-24.902,1.000,1.000
1626203018643982.750,119.629,1.465,-27.344,1.000,1.000
1626203018647889.000,41.992,-21.484,-60.547,1.000,1.000
1626203018651795.250,-170.898,-46.875,-52.734,1.000,1.000
1626203018655701.500,-161.133,-41.016,-35.156,1.000,1.000
1626203018659607.750,48.828,-25.391,-31.738,1.000,1.000
1626203018663514.000,80.078,-28.320,-32.227,1.000,1.000
1626203018667420.250,-108.398,-49.316,-41.016,1.000,1.000
1626203018671326.500,-166.016,-32.227,-26.855,1.000,1.000
1626203018675232.750,24.902,-9.277,-8.301,1.000,1.000
1626203018679139.000,49.805,-51.270,-22.461,97.168,1.000
1626203018683045.250,87.891,-55.176,-45.410,136.230,1.000
1626203018686951.500,-123.535,-46.387,-57.129,-148.926,1.000
1626203018690857.750,-193.359,-38.574,-30.273,-231.445,1.000
1626203018694764.000,10.254,-31.250,-2.441,45.410,1.000
1626203018698670.250,125.488,-1.465,-13.184,193.359,1.000
1626203018702576.500,-46.875,-14.648,-46.387,-50.781,1.000
1626203018706482.750,-190.430,-43.457,-33.691,-235.840,1.000
1626203018710389.000,-44.434,-41.504,-21.973,-26.367,1.000
1626203018714295.250,126.465,-39.551,-40.527,199.219,1.000
1626203018718201.500,29.297,-30.762,-47.363,49.805,1.000
1626203018722107.750,-177.246,-33.691,-45.410,-229.004,1.000
1626203018726014.000,-190.918,3.418,-48.340,-243.652,1.000
1626203018729920.250,-78.125,-3.418,-33.691,-71.777,1.000
