timestamps,TP9,AF7,AF8,TP10,Right AUX
1622759270844858.250,-12.695,-13.184,-26.855,-14.160,1.000
1622759270848764.500,-62.500,-16.602,-38.086,-62.988,1.000
1622759270852670.750,-75.195,-19.531,-41.992,-63.965,1.000
1622759270856577.000,-24.414,-21.973,-30.273,-24.414,1.000
1622759270860483.250,-3.418,-25.879,-31.250,-17.090,1.000
1622759270864389.500,-60.547,-23.438,-41.992,-75.195,1.000
1622759270868295.750,-88.379,-30.273,-28.320,-91.309,1.000
1622759270872202.000,-33.691,-36.621,-12.207,-28.320,1.000
1622759270876108.250,10.742,-25.879,-21.973,3.418,1.000
1622759270880014.500,-33.691,-31.250,-36.133,-51.758,1.000
1622759270883920.750,-81.543,-26.367,-35.156,-85.938,1.000
1622759270887827.000,-42.969,-4.883,-37.598,-32.227,1.000
1622759270891733.250,11.230,-18.555,-42.480,1.000,1.000
1622759270895639.500,-5.371,-41.504,-28.320,1.000,1.000
1622759270899545.750,-61.035,-35.156,-13.672,1.000,1.000
1622759270903452.000,-60.059,-25.879,-10.742,1.000,1.000
1622759270907358.250,2.441,-22.949,-10.742,1.000,1.000
1622759270911264.500,7.324,-25.391,-18.066,1.000,1.000
1622759270915170.750,-60.059,-33.691,-31.250,1.000,1.000
1622759270919077.000,-77.148,-20.996,-41.016,1.000,1.000
1622759270922983.250,-18.555,-6.348,-30.762,1.000,1.000
1622759270926889.500,13.672,-12.207,-20.996,1.000,1.000
1622759270930795.750,-37.109,-19.043,-42.480,1.000,1.000
1622759270934702.000,-80.078,-40.527,-58.105,1.000,1.000
1622759270938608.250,-36.621,-43.945,-36.621,1.000,1.000
1622759270942514.500,5.859,-35.156,-15.625,1.000,1.000
1622759270946420.750,-21.484,-23.926,-8.789,1.000,1.000
1622759270950327.000,-81.055,-10.742,-25.879,1.000,1.000
1622759270954233.250,-71.777,-21.484,-43.457,1.000,1.000
1622759270958139.500,-13.184,-24.414,-36.133,1.000,1.000
1622759270962045.750,-13.672,-20.996,-22.949,1.000,1.000
1622759270965952.000,-68.848,-43.945,-27.832,1.000,1.000
1622759270969858.250,-89.844,-54.199,-59.082,1.000,1.000
1622759270973764.500,-31.738,-35.645,-66.895,1.000,1.000
1622759270977670.750,-3.418,-27.344,-41.016,1.000,1.000
1622759270981577.000,-56.152,-20.996,-31.250,1.000,1.000
1622759270985483.250,-80.566,-16.602,-34.668,-76.660,1.000
1622759270989389.500,-20.020,-10.254,-24.902,-7.812,1.000
1622759270993295.750,10.742,-28.809,-24.902,15.137,1.000
1622759270997202.000,-25.391,-43.457,-34.180,-36.621,1.000
1622759271001108.250,-56.641,-27.344,-29.785,-62.012,1.000
1622759271005014.500,-31.738,-38.574,-26.855,-29.785,1.000
1622759271008920.750,9.277,-49.805,-27.832,2.441,1.000
1622759271012827.000,-14.160,-30.273,-38.086,-28.809,1.000
1622759271016733.250,-63.477,-27.344,-39.062,-73.730,1.000
1622759271020639.500,-50.293,-18.066,-26.367,-51.758,1.000
1622759271024545.750,1.465,0.000,-27.832,2.441,1.000
1622759271028452.000,1.953,-7.324,-29.785,-6.348,1.000
