timestamps,TP9,AF7,AF8,TP10
1626465842.123,-38.574,-45.410,-24.902,-32.715
1626465842.127,191.895,-35.645,-27.344,5.371
1626465842.131,6.348,-40.039,-42.969,-25.879
1626465842.135,-206.055,-41.992,-22.949,-44.922
1626465842.139,-112.305,-39.062,-14.648,-32.227
1626465842.143,147.461,-34.180,-17.578,-4.883
1626465842.147,65.918,-42.480,-41.016,-24.902
1626465842.150,-210.449,-50.781,-44.434,-61.035
1626465842.154,-184.082,-35.156,-29.297,-47.363
1626465842.158,83.008,-33.203,-22.461,-13.184
1626465842.162,135.254,-39.062,-40.039,-6.348
1626465842.166,-145.996,-38.086,-41.016,-52.246
1626465842.166,-217.773,-34.180,-32.715,-61.035
1626465842.170,6.836,-29.297,-26.367,-29.785
1626465842.174,167.480,-30.273,-32.227,-12.207
1626465842.178,-83.984,-34.668,-48.828,-53.711
1626465842.182,-235.352,-37.598,-36.621,-63.965
1626465842.186,-54.199,-29.297,-26.367,-25.391
1626465842.190,176.270,-35.156,-34.668,1.465
1626465842.193,-2.441,-46.387,-50.781,-37.109
1626465842.197,-216.797,-40.527,-40.039,-52.246
1626465842.201,-121.094,-39.062,-26.367,-35.645
1626465842.205,133.789,-42.969,-16.602,-3.418
1626465842.209,85.938,-45.410,-37.109,-13.184
1626465842.213,-184.082,-43.457,-37.598,-50.781
1626465842.217,-191.895,-40.527,-33.691,-56.152
1626465842.221,66.895,-36.133,-23.926,-23.926
1626465842.225,153.320,-38.574,-32.227,-9.277
1626465842.229,-125.000,-48.828,-37.109,-49.805
1626465842.233,-212.402,-45.898,-29.785,-50.781
1626465842.237,17.090,-35.645,-21.484,-12.695
1626465842.240,197.754,-28.320,-23.438,11.230
1626465842.244,-56.152,-38.574,-39.062,-38.086
1626465842.248,-231.445,-41.016,-30.762,-57.617
1626465842.252,-67.383,-33.203,-19.531,-31.250
1626465842.256,181.152,-34.180,-18.066,2.441
1626465842.271,37.598,-39.551,-39.551,-20.508
1626465842.275,-200.195,-37.598,-30.762,-45.410
1626465842.279,-139.648,-31.738,-20.996,-41.016
1626465842.283,124.023,-29.785,-16.602,-5.859
1626465842.287,105.957,-36.133,-37.109,-7.324
1626465842.291,-175.781,-49.316,-45.410,-51.270
1626465842.295,-193.848,-45.898,-36.133,-50.781
1626465842.298,50.781,-36.133,-27.832,-22.949
1626465842.302,163.086,-37.598,-32.227,-2.930
1626465842.306,-102.539,-40.039,-41.016,-35.645
1626465842.310,-217.773,-36.621,-44.922,-50.781
1626465842.314,-16.113,-28.320,-32.227,-27.344
1626465842.316,192.871,-23.438,-21.973,4.395
1626465842.320,-29.785,-32.715,-45.410,-34.180
1626465842.324,-231.445,-36.133,-38.574,-61.523
1626465842.328,-88.379,-30.762,-24.414,-36.621
1626465842.332,170.410,-32.227,-26.855,1.465
1626465842.336,61.035,-33.203,-40.039,-24.414
1626465842.340,-187.012,-35.645,-31.738,-48.828
1626465842.343,-156.738,-35.645,-26.855,-40.527
1626465842.347,97.168,-38.574,-25.391,-18.066
1626465842.351,122.070,-39.062,-36.621,-19.531
1626465842.355,-158.691,-33.203,-37.598,-57.129
1626465842.359,-210.449,-38.086,-35.156,-56.641
1626465842.362,32.227,-38.086,-26.855,-21.484
1626465842.366,170.410,-35.156,-35.156,-3.906
1626465842.370,-89.355,-36.621,-43.945,-50.293
1626465842.374,-211.914,-35.156,-27.344,-53.223
1626465842.378,-32.227,-33.203,-25.879,-26.367
1626465842.382,174.316,-28.809,-34.180,-1.953
1626465842.386,-20.020,-35.645,-47.363,-37.109
1626465842.389,-229.492,-38.574,-38.086,-62.988
1626465842.393,-122.070,-41.016,-34.180,-46.875
1626465842.397,141.602,-37.109,-28.809,-2.930
1626465842.401,56.641,-38.574,-39.062,-21.484
1626465842.405,-203.613,-43.945,-34.180,-60.547
1626465842.406,-178.711,-39.062,-29.785,-54.199
1626465842.410,90.332,-26.855,-25.879,-24.414
1626465842.414,148.438,-30.273,-34.180,-13.672
1626465842.418,-144.531,-41.992,-39.551,-52.246
1626465842.422,-220.215,-40.527,-32.227,-59.082
1626465842.426,11.719,-38.574,-22.461,-24.414
1626465842.430,172.363,-40.527,-29.297,0.977
1626465842.433,-86.426,-46.875,-42.969,-41.992
1626465842.437,-244.629,-52.246,-33.203,-58.594
1626465842.441,-59.082,-43.457,-20.996,-32.227
1626465842.445,182.617,-29.785,-22.949,0.488
1626465842.449,-0.488,-43.457,-39.551,-35.156
1626465842.451,-230.957,-51.270,-36.133,-65.918
1626465842.455,-141.602,-40.039,-22.461,-52.246
1626465842.459,132.324,-30.273,-10.254,-10.254
1626465842.463,83.496,-34.180,-35.645,-26.367
1626465842.467,-199.707,-38.086,-38.574,-69.336
1626465842.471,-194.824,-32.715,-26.855,-58.594
1626465842.475,59.570,-31.250,-22.461,-29.297
1626465842.478,139.160,-35.156,-36.621,-20.508
1626465842.482,-141.113,-46.387,-43.945,-64.453
1626465842.486,-227.051,-43.457,-34.180,-71.777
1626465842.490,5.371,-31.250,-26.855,-36.621
1626465842.494,190.430,-23.926,-33.203,-5.371
1626465842.499,-53.223,-30.273,-46.875,-45.410
1626465842.503,-228.516,-30.762,-40.527,-64.941
1626465842.507,-80.078,-28.320,-35.645,-46.387
1626465842.511,169.922,-26.855,-30.273,-8.301
1626465842.515,28.320,-34.668,-43.457,-30.273
1626465842.519,-200.684,-33.691,-26.367,-55.664
1626465842.523,-131.836,-35.156,-23.926,-39.062
1626465842.526,124.023,-37.598,-31.250,-5.371
1626465842.530,117.676,-27.344,-41.016,-9.277
1626465842.534,-166.504,-33.691,-38.574,-51.270
1626465842.538,-197.266,-37.598,-26.855,-52.734
1626465842.542,49.316,-35.156,-20.996,-20.996
1626465842.541,160.156,-35.645,-27.832,-5.371
1626465842.545,-104.492,-44.434,-39.062,-41.992
1626465842.549,-214.355,-42.480,-33.691,-48.340
1626465842.553,-12.695,-34.668,-27.344,-26.367
1626465842.557,188.477,-31.738,-35.156,-2.930
1626465842.561,-33.691,-35.156,-49.316,-38.574
1626465842.565,-232.910,-46.875,-43.945,-62.988
1626465842.568,-96.191,-41.016,-36.133,-42.969
1626465842.572,172.852,-22.461,-27.344,1.953
1626465842.576,57.129,-30.762,-48.340,-18.066
1626465842.580,-205.566,-36.133,-44.434,-55.664
1626465842.584,-159.180,-32.715,-31.250,-48.828
1626465842.588,114.746,-27.344,-25.879,-9.766
1626465842.592,128.418,-33.691,-43.945,-12.207
1626465842.596,-154.785,-46.875,-39.551,-54.688
1626465842.600,-201.172,-46.875,-32.715,-55.664
1626465842.604,44.922,-31.250,-26.855,-15.625
1626465842.608,187.988,-23.926,-28.320,6.836
1626465842.612,-89.355,-37.109,-41.016,-44.922
1626465842.615,-223.633,-42.969,-31.738,-55.176
1626465842.619,-35.156,-40.527,-18.555,-24.414
1626465842.623,175.293,-44.922,-20.020,-5.371
1626465842.627,-20.508,-49.805,-37.598,-41.016
1626465842.631,-219.727,-43.457,-27.832,-49.316
1626465842.646,-104.980,-34.668,-15.625,-32.715
1626465842.650,154.785,-27.832,-13.184,-8.789
1626465842.654,71.289,-30.273,-31.738,-21.973
1626465842.658,-193.848,-29.297,-26.367,-48.828
1626465842.662,-173.340,-27.344,-17.578,-41.016
1626465842.666,85.449,-29.785,-18.555,-16.602
1626465842.670,132.324,-37.109,-36.133,-11.230
1626465842.673,-148.926,-41.992,-37.598,-41.992
1626465842.677,-214.844,-42.480,-29.297,-45.898
1626465842.681,29.297,-39.551,-19.043,-11.230
1626465842.685,195.312,-31.250,-25.879,10.742
1626465842.689,-62.012,-32.715,-37.598,-30.273
1626465842.692,-217.285,-38.574,-27.344,-41.016
1626465842.696,-41.992,-31.738,-16.113,-15.625
1626465842.700,195.312,-20.996,-11.230,17.090
1626465842.704,11.230,-25.391,-37.598,-20.508
1626465842.708,-220.215,-33.691,-34.668,-49.805
1626465842.712,-119.629,-27.832,-23.438,-24.902
1626465842.716,156.250,-15.137,-17.578,16.113
1626465842.719,104.004,-20.508,-28.320,3.906
1626465842.723,-178.711,-37.598,-26.855,-37.109
1626465842.727,-182.617,-41.992,-23.438,-36.133
1626465842.731,79.102,-31.250,-15.137,-2.441
1626465842.735,160.156,-28.320,-20.996,2.930
1626465842.737,-121.094,-39.551,-23.438,-42.969
1626465842.741,-208.496,-37.109,-16.602,-47.852
1626465842.745,15.625,-29.297,-10.742,-17.578
1626465842.749,188.965,-36.621,-18.555,2.930
1626465842.753,-58.105,-53.711,-35.645,-37.109
1626465842.757,-224.121,-46.875,-30.273,-52.246
1626465842.761,-67.383,-30.273,-20.020,-32.227
1626465842.764,178.223,-21.973,-17.090,1.953
1626465842.768,27.344,-30.762,-37.598,-29.297
1626465842.772,-219.238,-38.574,-37.109,-69.824
1626465842.776,-147.949,-31.738,-25.879,-54.688
1626465842.780,136.230,-24.414,-16.602,-12.207
1626465842.781,123.047,-31.738,-35.156,-13.184
1626465842.785,-160.156,-38.574,-39.551,-41.504
1626465842.789,-185.547,-35.156,-33.691,-44.434
1626465842.793,66.895,-25.879,-24.414,-17.090
1626465842.797,164.062,-21.484,-37.109,-8.789
1626465842.801,-122.559,-32.715,-42.969,-65.918
1626465842.805,-215.820,-35.156,-33.203,-70.312
1626465842.808,-11.230,-29.785,-36.133,-39.551
1626465842.812,179.688,-31.738,-38.086,-10.254
1626465842.816,-38.574,-40.527,-44.434,-41.016
1626465842.820,-225.586,-37.109,-31.738,-64.941
1626465842.824,-86.426,-27.832,-29.785,-45.898
1626465842.827,168.457,-21.484,-31.738,-13.184
1626465842.831,47.852,-24.902,-43.945,-36.133
1626465842.835,-200.684,-28.809,-38.086,-62.988
1626465842.839,-149.414,-27.344,-36.133,-53.223
1626465842.843,108.398,-22.949,-37.598,-20.996
1626465842.847,121.582,-25.391,-48.828,-19.531
1626465842.851,-155.273,-33.203,-43.457,-60.059
1626465842.854,-213.379,-37.598,-40.039,-69.336
1626465842.858,22.461,-34.668,-36.621,-41.504
1626465842.862,155.762,-25.879,-39.551,-16.113
1626465842.866,-105.957,-29.297,-46.387,-48.340
1626465842.870,-220.703,-40.527,-39.062,-56.152
1626465842.873,-21.973,-35.645,-35.156,-30.762
1626465842.877,194.336,-22.949,-33.203,6.348
1626465842.881,-7.324,-30.762,-45.898,-27.344
1626465842.885,-214.355,-35.156,-37.109,-49.805
1626465842.889,-97.168,-23.438,-29.785,-28.809
1626465842.893,170.898,-18.066,-23.926,5.371
1626465842.897,80.078,-30.273,-41.992,-18.066
1626465842.900,-187.012,-37.598,-44.434,-56.641
1626465842.904,-160.645,-32.715,-38.086,-42.480
1626465842.908,101.562,-31.250,-30.273,-6.348
1626465842.912,133.789,-31.250,-39.551,-1.465
1626465842.916,-158.691,-40.527,-46.387,-43.457
1626465842.916,-220.703,-42.969,-36.621,-50.781
1626465842.920,20.996,-32.227,-18.555,-14.648
1626465842.924,176.270,-30.762,-26.367,5.371
1626465842.928,-88.379,-42.969,-44.434,-41.992
1626465842.932,-236.328,-44.434,-33.203,-53.711
1626465842.936,-47.852,-32.227,-19.043,-27.344
1626465842.940,186.035,-35.645,-30.273,1.953
1626465842.943,-5.371,-42.969,-51.758,-32.227
1626465842.947,-231.445,-37.109,-36.133,-59.082
1626465842.951,-129.395,-30.762,-24.414,-44.922
1626465842.955,138.672,-33.691,-20.020,-12.695
1626465842.959,71.777,-40.039,-41.504,-25.391
1626465842.965,-198.242,-36.621,-34.668,-57.129
1626465842.969,-181.641,-32.715,-26.367,-50.293
1626465842.973,74.219,-28.809,-24.414,-21.484
1626465842.977,140.625,-30.762,-38.086,-19.043
1626465842.981,-149.902,-44.434,-46.387,-65.918
1626465842.985,-236.816,-41.504,-36.133,-72.266
1626465842.989,-12.695,-38.574,-28.809,-36.133
1626465842.992,173.340,-35.156,-25.879,-0.977
1626465842.996,-58.105,-35.156,-32.715,-36.621
1626465843.000,-225.098,-41.992,-34.180,-59.082
1626465843.004,-67.871,-40.527,-30.273,-36.621
1626465843.008,180.664,-30.762,-26.367,-1.465
1626465843.021,32.227,-30.273,-45.898,-31.250
1626465843.025,-215.332,-43.945,-38.086,-65.430
1626465843.029,-143.066,-41.992,-25.391,-55.176
1626465843.033,131.836,-32.715,-20.508,-18.555
1626465843.037,112.305,-36.133,-37.109,-26.367
1626465843.041,-163.574,-35.156,-39.062,-60.547
1626465843.045,-185.059,-38.086,-33.203,-57.617
1626465843.048,69.824,-37.109,-23.438,-22.461
1626465843.052,167.969,-31.250,-33.203,-13.184
1626465843.056,-113.281,-41.504,-39.062,-58.105
1626465843.060,-219.727,-46.387,-30.273,-65.918
1626465843.064,-15.137,-41.016,-26.855,-39.062
1626465843.066,184.082,-33.203,-25.391,-13.184
1626465843.070,-41.016,-37.598,-35.156,-51.758
1626465843.074,-225.098,-39.551,-28.809,-68.848
1626465843.078,-85.449,-31.250,-21.973,-49.805
1626465843.082,163.574,-31.738,-21.973,-18.066
1626465843.086,40.039,-43.457,-40.527,-37.598
1626465843.090,-210.449,-45.410,-36.621,-64.941
1626465843.093,-155.273,-33.691,-37.109,-56.641
1626465843.097,126.465,-30.762,-28.320,-6.836
1626465843.101,116.211,-39.062,-35.156,-11.719
1626465843.105,-177.734,-43.945,-36.621,-67.383
1626465843.109,-191.895,-36.621,-21.484,-50.293
1626465843.111,54.199,-29.297,-8.301,-11.230
1626465843.115,165.039,-43.945,-18.555,3.906
