timestamps,TP9,AF7,AF8,TP10
1626640479.596,-1.953,-30.762,-25.879,87.402
1626640479.600,-29.785,-47.852,-32.227,-84.961
1626640479.604,-36.621,-12.695,-25.879,-136.230
1626640479.608,-41.992,-28.320,-29.297,-4.883
1626640479.612,-20.996,-34.180,-14.648,82.520
1626640479.616,-29.785,-27.344,-19.043,-49.316
1626640479.620,-49.316,-24.902,-29.785,-160.156
1626640479.623,-28.320,-22.949,-18.555,-41.504
1626640479.627,-3.906,-32.227,-11.230,97.656
1626640479.631,0.977,-30.762,-12.695,12.695
1626640479.635,-40.039,-46.387,-38.574,-156.250
1626640479.639,-49.316,-61.035,-40.039,-95.215
1626640479.640,-8.789,-11.719,-24.902,88.379
1626640479.644,-22.461,-21.973,-29.785,-68.848
1626640479.647,-33.691,-22.949,-34.180,-140.625
1626640479.651,-3.418,3.418,-26.367,16.602
1626640479.655,19.531,-5.859,-17.090,126.465
1626640479.659,-3.418,-49.805,-27.344,-11.230
1626640479.663,-37.109,-42.480,-35.645,-147.949
1626640479.683,-33.203,-14.648,-25.391,-45.410
1626640479.687,-22.461,-12.695,-32.227,92.285
1626640479.691,-34.180,-31.250,-47.852,11.230
1626640479.695,-39.062,-31.250,-48.340,-150.879
1626640479.699,-29.297,-19.531,-33.691,-100.098
1626640479.703,-13.184,-24.902,-16.602,77.637
1626640479.707,-15.137,-39.551,-24.414,59.082
1626640479.710,-30.273,-18.066,-35.156,-101.562
1626640479.714,-37.598,-22.949,-29.785,-124.023
1626640479.718,-23.926,-33.203,-32.227,37.109
1626640479.722,-20.020,-15.625,-36.621,98.633
1626640479.726,-50.293,-34.180,-41.504,-71.777
1626640479.724,-55.664,-36.133,-42.480,-164.551
1626640479.728,-29.785,-27.344,-30.273,-10.742
1626640479.732,-10.254,-38.086,-20.508,108.887
1626640479.736,-16.113,-29.785,-24.902,-4.395
1626640479.740,-32.227,-11.719,-25.391,-132.812
1626640479.744,-34.180,-19.531,-13.184,-47.363
1626640479.748,-29.297,-37.598,-16.113,96.191
1626640479.751,-26.855,-31.250,-29.297,45.898
1626640479.755,-44.922,-25.879,-37.598,-122.070
1626640479.759,-47.363,-30.273,-27.832,-104.004
1626640479.763,-20.508,-24.902,-23.926,74.219
1626640479.767,-21.973,-26.855,-30.273,78.125
