timestamps,TP9,AF7,AF8,TP10,Right AUX
1626295255670729.250,-85.938,10.254,-35.156,-134.766,1.000
1626295255674635.500,-46.875,-84.961,-21.484,-21.973,1.000
1626295255678541.750,29.785,-104.980,-6.348,90.820,1.000
1626295255682448.000,12.207,-4.883,-19.043,9.766,1.000
1626295255686354.250,-79.102,7.812,-34.668,-135.742,1.000
1626295255690260.500,-74.707,13.672,-34.180,-77.148,1.000
1626295255694166.750,-15.625,-93.262,-66.895,49.316,1.000
1626295255698073.000,1.953,-43.457,-50.293,23.438,1.000
1626295255701979.250,-60.059,5.371,-29.785,-116.211,1.000
1626295255705885.500,-86.426,-34.668,-27.344,-119.629,1.000
1626295255709791.750,-5.859,-46.875,-3.906,30.762,1.000
1626295255713698.000,11.719,-123.535,-22.949,38.574,1.000
1626295255717604.250,-45.898,-30.762,-48.340,1.000,1.000
1626295255721510.500,-64.941,17.090,-37.598,1.000,1.000
1626295255725416.750,16.602,14.160,-11.719,1.000,1.000
1626295255729323.000,55.176,-1.953,-28.809,1.000,1.000
1626295255733229.250,-46.387,-92.773,-54.688,1.000,1.000
1626295255737135.500,-110.840,-29.785,-33.691,1.000,1.000
1626295255741041.750,-46.875,13.672,-14.160,1.000,1.000
1626295255744948.000,26.855,-0.488,-18.555,1.000,1.000
1626295255748854.250,-17.090,-31.738,-47.363,1.000,1.000
1626295255752760.500,-82.520,-46.875,-48.340,1.000,1.000
1626295255756666.750,-44.434,-9.277,-26.367,1.000,1.000
1626295255760573.000,16.113,7.324,-34.180,1.000,1.000
1626295255764479.250,17.578,20.996,-23.438,43.945,1.000
1626295255768385.500,-50.781,-71.777,-11.230,-103.516,1.000
1626295255772291.750,-75.684,-99.609,-29.297,-113.281,1.000
1626295255776198.000,-17.090,-9.766,-30.273,30.762,1.000
1626295255780104.250,9.766,14.648,-26.855,51.758,1.000
1626295255784010.500,-51.270,-11.230,-33.691,-94.727,1.000
1626295255787916.750,-104.004,-137.695,-59.570,-156.738,1.000
1626295255791823.000,-34.668,-75.684,-47.363,-8.301,1.000
1626295255795729.250,24.902,-3.418,-5.371,83.496,1.000
1626295255799635.500,-20.020,1.953,-1.465,-34.668,1.000
1626295255803541.750,-63.965,6.836,-19.531,-125.000,1.000
1626295255807448.000,-46.387,-96.680,-65.430,-39.551,1.000
1626295255811354.250,7.812,-26.855,-55.176,1.000,1.000
1626295255815260.500,-5.859,4.395,-22.949,1.000,1.000
1626295255819166.750,-63.965,2.441,-20.020,1.000,1.000
1626295255823073.000,-50.293,-15.137,-11.230,1.000,1.000
1626295255826979.250,5.859,-121.094,-3.906,1.000,1.000
1626295255830885.500,6.348,-52.734,-9.277,1.000,1.000
1626295255834791.750,-54.199,-9.277,-20.020,1.000,1.000
1626295255838698.000,-73.242,-9.277,-17.578,1.000,1.000
1626295255842604.250,-14.160,-49.805,-23.438,1.000,1.000
1626295255846510.500,18.555,-94.238,-45.410,1.000,1.000
1626295255850416.750,-51.758,-20.996,-55.664,1.000,1.000
1626295255854323.000,-112.793,7.324,-49.316,1.000,1.000
1626295255858229.250,-41.992,46.387,-47.363,-11.719,1.000
1626295255862135.500,18.066,-42.969,-37.109,83.984,1.000
1626295255866041.750,-42.969,-109.863,-35.156,-51.758,1.000
1626295255869948.000,-105.957,-66.895,-27.344,-165.039,1.000
1626295255873854.250,-64.453,-35.645,-14.160,-52.246,1.000
1626295255877760.500,11.719,15.137,-7.324,79.102,1.000
1626295255881666.750,-8.789,-104.980,-29.297,2.930,1.000
1626295255885573.000,-66.406,-75.195,-40.527,-125.977,1.000
1626295255889479.250,-46.387,-1.465,-20.996,-68.359,1.000
1626295255893385.500,17.090,10.742,-8.301,68.848,1.000
1626295255897291.750,9.277,3.418,-14.160,37.109,1.000
1626295255901198.000,-64.941,-117.188,-27.832,-109.863,1.000
1626295255905104.250,-54.688,11.719,-41.016,-117.676,1.000
1626295255909010.500,-44.922,-65.430,-40.039,-81.055,1.000
1626295255912916.750,25.391,-83.984,-7.324,68.848,1.000
1626295255916823.000,20.996,-27.344,-8.301,53.711,1.000
1626295255920729.250,-42.480,4.395,-13.184,-89.355,1.000
1626295255924635.500,-52.734,29.297,-5.371,-106.445,1.000
1626295255928541.750,-25.391,-125.977,-42.969,-2.441,1.000
1626295255932448.000,1.953,-67.383,-65.430,46.875,1.000
1626295255936354.250,-40.039,17.578,-61.523,-74.219,1.000
1626295255940260.500,-84.473,0.000,-42.480,-147.949,1.000
1626295255944166.750,-30.273,-14.648,-23.926,-22.949,1.000
1626295255948073.000,14.160,-140.137,-32.227,71.289,1.000
1626295255951979.250,-15.625,-48.828,-24.414,1.000,1.000
1626295255955885.500,-70.801,11.230,-25.879,1.000,1.000
1626295255959791.750,-44.434,18.066,-24.902,1.000,1.000
1626295255963698.000,31.738,-5.371,-10.254,1.000,1.000
1626295255967604.250,26.855,-95.703,-15.625,1.000,1.000
1626295255971510.500,-35.645,-5.859,-34.668,1.000,1.000
1626295255975416.750,-44.922,17.090,-26.367,1.000,1.000
1626295255979323.000,5.371,14.160,-15.137,1.000,1.000
1626295255983229.250,6.348,-11.719,-29.297,1.000,1.000
1626295255987135.500,-68.848,-94.727,-36.621,1.000,1.000
1626295255991041.750,-102.539,-33.203,-46.387,1.000,1.000
1626295255994948.000,-34.668,13.184,-42.969,1.000,1.000
1626295255998854.250,30.273,31.250,-28.809,77.148,1.000
1626295256002760.500,-19.043,-65.918,-40.527,-38.574,1.000
1626295256006666.750,-82.031,-90.332,-31.250,-145.508,1.000
1626295256010573.000,-41.016,5.859,7.812,-41.016,1.000
1626295256014479.250,25.879,26.367,-1.953,80.078,1.000
1626295256018385.500,1.465,7.812,-33.203,-1.953,1.000
1626295256022291.750,-78.125,-114.746,-44.434,-144.531,1.000
1626295256026198.000,-72.266,-63.965,-43.945,-102.539,1.000
1626295256030104.250,-7.812,8.789,-37.598,36.621,1.000
1626295256034010.500,4.395,16.602,-41.504,20.508,1.000
1626295256037916.750,-37.598,-14.160,-41.504,-103.027,1.000
1626295256041823.000,-49.316,-160.156,-24.902,-99.609,1.000
1626295256045729.250,-70.801,-20.508,-41.504,-102.051,1.000
1626295256049635.500,-0.488,-80.078,-37.109,46.875,1.000
1626295256053541.750,9.766,-69.824,-23.926,40.527,1.000
1626295256057448.000,-47.852,2.930,-16.113,-96.191,1.000
1626295256061354.250,-76.660,-11.719,-22.949,-118.652,1.000
1626295256065260.500,-29.785,-9.766,-42.480,10.254,1.000
1626295256069166.750,-3.906,-127.441,-62.500,51.270,1.000
1626295256073073.000,-54.199,-74.707,-52.734,-78.125,1.000
1626295256076979.250,-83.496,10.742,-22.461,-136.230,1.000
1626295256080885.500,-22.949,22.949,-1.953,4.395,1.000
1626295256084791.750,34.668,-20.508,-14.160,95.703,1.000
1626295256088698.000,-13.672,-187.012,-44.434,-21.484,1.000
1626295256092604.250,-42.969,1.953,-36.133,-141.602,1.000
1626295256096510.500,-92.285,-83.496,-49.805,-64.453,1.000
1626295256100416.750,-35.645,-74.219,-20.996,68.848,1.000
1626295256104323.000,28.320,19.043,1.465,30.273,1.000
1626295256108229.250,5.371,21.973,-22.949,-111.328,1.000
1626295256112135.500,-59.570,4.395,-59.570,-96.191,1.000
1626295256116041.750,-57.617,-153.809,-55.176,26.855,1.000
1626295256119948.000,5.371,-114.258,-28.320,19.531,1.000
1626295256123854.250,3.418,-8.301,-9.766,-98.633,1.000
1626295256127760.500,-57.129,2.930,-7.812,-118.652,1.000
1626295256131666.750,-62.500,-1.465,-17.090,19.531,1.000
1626295256135573.000,-9.277,-121.582,-21.973,73.730,1.000
1626295256139479.250,18.555,-51.758,-20.508,1.000,1.000
1626295256143385.500,-23.438,14.648,-21.484,1.000,1.000
1626295256147291.750,-54.199,14.648,-36.621,1.000,1.000
1626295256151198.000,-19.043,-31.738,-43.945,1.000,1.000
1626295256155104.250,12.695,-120.605,-24.902,1.000,1.000
1626295256159010.500,-29.785,-40.039,-25.391,1.000,1.000
1626295256162916.750,-87.891,5.859,-28.320,1.000,1.000
1626295256166823.000,-54.688,34.180,-21.973,1.000,1.000
1626295256170729.250,4.883,-8.301,-22.949,1.000,1.000
1626295256174635.500,-28.320,-87.891,-27.832,1.000,1.000
1626295256178541.750,-108.887,-30.762,-53.223,1.000,1.000
1626295256182448.000,-90.820,-15.625,-48.340,1.000,1.000
1626295256186354.250,-7.324,-1.465,-32.715,51.270,1.000
1626295256190260.500,-0.977,-70.801,-41.992,20.020,1.000
1626295256194166.750,-70.312,-99.609,-37.598,-125.488,1.000
1626295256198073.000,-76.660,-4.395,-27.344,-108.887,1.000
1626295256201979.250,-6.836,33.691,-1.465,39.551,1.000
1626295256205885.500,20.996,12.695,-6.836,69.336,1.000
1626295256209791.750,-43.457,-135.742,-44.922,-75.195,1.000
1626295256213698.000,-71.777,-74.707,-48.828,-126.953,1.000
1626295256217604.250,-14.160,7.812,-33.691,4.883,1.000
1626295256221510.500,25.391,15.137,-22.949,81.055,1.000
1626295256225416.750,-18.555,-4.883,-27.832,-26.855,1.000
1626295256229323.000,-91.797,-140.137,-53.711,-137.207,1.000
1626295256233229.250,-73.242,24.902,-22.949,-134.766,1.000
1626295256237135.500,-29.785,-61.035,-21.484,-14.160,1.000
1626295256241041.750,26.855,-83.008,-34.180,78.613,1.000
1626295256244948.000,3.418,-6.348,-42.969,-11.230,1.000
1626295256248854.250,-63.477,14.160,-40.527,-129.395,1.000
1626295256252760.500,-42.969,27.344,-23.926,-50.293,1.000
1626295256256666.750,2.441,-87.402,-35.156,59.570,1.000
1626295256260573.000,-17.578,-77.637,-35.156,-8.301,1.000
1626295256264479.250,-80.566,-26.855,-29.785,-138.672,1.000
1626295256268385.500,-78.613,-4.883,-33.691,-100.098,1.000
1626295256272291.750,2.930,-3.906,-7.812,60.059,1.000
1626295256276198.000,29.297,-109.375,11.230,65.430,1.000
1626295256280104.250,-52.734,-47.363,-25.879,1.000,1.000
