timestamps,TP9,AF7,AF8,TP10,Right AUX
1626295004561354.250,-32.715,-9.277,-23.438,-70.801,1.000
1626295004565260.500,-107.422,-25.879,-37.598,-178.711,1.000
1626295004569166.750,-50.781,-31.738,-53.223,-33.691,1.000
1626295004573073.000,31.250,-44.434,-70.312,103.027,1.000
1626295004576979.250,23.438,26.855,-44.434,14.160,1.000
1626295004580885.500,-56.152,25.391,-35.645,-136.230,1.000
1626295004584791.750,-60.547,-36.133,-36.133,-77.148,1.000
1626295004588698.000,19.043,-91.309,-9.277,91.797,1.000
1626295004592604.250,15.625,-55.664,-12.207,42.480,1.000
1626295004596510.500,-76.172,-2.930,-44.922,-149.902,1.000
1626295004600416.750,-82.520,-0.488,-42.969,-135.254,1.000
1626295004604323.000,7.812,-2.930,-28.320,52.246,1.000
1626295004608229.250,26.367,-7.324,-18.555,1.000,1.000
1626295004612135.500,7.812,2.441,-13.184,1.000,1.000
1626295004616041.750,-84.961,-30.762,-26.367,1.000,1.000
1626295004619948.000,-96.680,-74.219,-35.156,1.000,1.000
1626295004623854.250,-6.348,-38.574,-31.738,1.000,1.000
1626295004627760.500,35.156,-23.926,-9.766,1.000,1.000
1626295004631666.750,-22.461,-6.348,-13.672,1.000,1.000
1626295004635573.000,-84.473,-65.430,-45.410,1.000,1.000
1626295004639479.250,-38.086,-57.617,-36.621,1.000,1.000
1626295004643385.500,19.043,-2.930,-26.855,1.000,1.000
1626295004647291.750,-60.059,-19.531,-54.199,1.000,1.000
1626295004651198.000,-137.695,-28.809,-63.965,1.000,1.000
1626295004655104.250,-74.219,-43.945,-4.883,-132.812,1.000
1626295004659010.500,-28.320,-32.227,-15.625,1.465,1.000
1626295004662916.750,31.250,-30.273,-28.809,109.863,1.000
1626295004666823.000,-16.113,-68.848,-24.414,-16.602,1.000
1626295004670729.250,-107.910,-23.438,-41.992,-168.945,1.000
1626295004674635.500,-87.402,-5.859,-61.035,-80.078,1.000
1626295004678541.750,-2.441,-2.930,-55.664,77.148,1.000
1626295004682448.000,4.395,-74.707,-40.527,23.926,1.000
1626295004686354.250,-72.754,-101.074,-32.715,-142.090,1.000
1626295004690260.500,-76.660,-28.320,-36.133,-102.539,1.000
1626295004694166.750,14.160,-8.789,-22.461,85.449,1.000
1626295004698073.000,42.969,-20.508,-9.766,94.238,1.000
1626295004701979.250,21.973,24.902,-45.898,43.945,1.000
1626295004705885.500,-51.758,-4.395,-58.594,-129.883,1.000
1626295004709791.750,-71.289,-48.340,-34.668,-113.770,1.000
1626295004713698.000,-15.625,-58.594,-25.879,47.363,1.000
1626295004717604.250,-3.418,-13.672,-52.734,47.363,1.000
1626295004721510.500,-72.266,-18.555,-53.223,-130.371,1.000
1626295004725416.750,-104.980,-24.414,-50.293,-177.734,1.000
1626295004729323.000,-22.461,-89.355,-31.738,4.395,1.000
1626295004733229.250,36.621,-75.195,-10.742,97.656,1.000
1626295004737135.500,-28.320,-4.883,-23.926,-59.570,1.000
1626295004741041.750,-84.473,0.000,-29.785,-168.945,1.000
1626295004744948.000,-33.203,-9.277,-26.367,-32.715,1.000
1626295004748854.250,-42.480,4.883,-18.555,1.000,1.000
1626295004752760.500,22.949,17.578,-16.113,1.000,1.000
1626295004756666.750,-16.113,-24.902,-43.945,1.000,1.000
1626295004760573.000,-70.801,-89.844,-68.848,1.000,1.000
1626295004764479.250,-40.527,-37.598,-53.711,1.000,1.000
1626295004768385.500,17.090,16.602,-31.250,1.000,1.000
1626295004772291.750,-12.695,24.902,-50.293,1.000,1.000
1626295004776198.000,-81.055,-44.922,-31.250,1.000,1.000
1626295004780104.250,-64.941,-47.363,3.418,1.000,1.000
1626295004784010.500,1.953,15.625,-6.348,1.000,1.000
1626295004787916.750,2.441,13.184,-13.184,1.000,1.000
1626295004791823.000,-81.055,-22.461,-24.414,1.000,1.000
1626295004795729.250,-68.848,-32.227,-19.043,-142.578,1.000
1626295004799635.500,-72.266,-15.625,-23.438,-113.281,1.000
1626295004803541.750,8.789,-16.113,-18.066,66.406,1.000
1626295004807448.000,22.461,-52.246,-22.949,68.359,1.000
1626295004811354.250,-76.660,-36.621,-56.152,-132.324,1.000
1626295004815260.500,-115.234,-35.645,-51.270,-169.434,1.000
1626295004819166.750,-25.391,11.230,-16.602,18.066,1.000
1626295004823073.000,20.508,-44.434,-11.719,87.402,1.000
1626295004826979.250,-39.062,-57.129,-39.062,-78.613,1.000
1626295004830885.500,-81.055,-1.953,-27.344,-166.016,1.000
1626295004834791.750,-14.648,-9.766,-6.348,-5.371,1.000
1626295004838698.000,44.434,-13.672,-47.363,109.863,1.000
1626295004842604.250,43.945,-24.414,-14.648,106.934,1.000
1626295004846510.500,-23.926,-3.906,-35.645,-51.758,1.000
1626295004850416.750,-76.172,-28.809,-41.504,-154.785,1.000
1626295004854323.000,-23.438,-69.824,-28.809,-23.926,1.000
1626295004858229.250,29.785,2.441,-18.555,101.562,1.000
1626295004862135.500,-7.324,21.973,-35.645,1.465,1.000
1626295004866041.750,-70.801,10.742,-41.504,-144.043,1.000
1626295004869948.000,-57.129,-55.176,-18.066,-78.125,1.000
1626295004873854.250,8.301,-66.406,-15.137,83.984,1.000
1626295004877760.500,21.973,-21.973,-36.621,56.152,1.000
1626295004881666.750,-53.223,-52.246,-63.477,-120.605,1.000
1626295004885573.000,-74.219,-55.664,-53.223,-123.047,1.000
1626295004889479.250,-71.289,-6.348,-10.254,69.824,1.000
1626295004893385.500,-4.395,15.625,-9.766,109.375,1.000
1626295004897291.750,4.883,-11.230,-20.020,-94.727,1.000
1626295004901198.000,-64.941,-57.617,-32.227,-190.430,1.000
1626295004905104.250,-74.707,-17.578,-20.020,-9.766,1.000
1626295004909010.500,5.859,6.836,-9.766,117.676,1.000
1626295004912916.750,37.109,1.465,-34.180,-36.133,1.000
1626295004916823.000,-19.531,-75.684,-55.664,-183.594,1.000
1626295004920729.250,-68.848,-83.984,-28.320,-53.223,1.000
1626295004924635.500,-19.531,-7.812,-8.789,122.559,1.000
1626295004928541.750,29.785,11.719,-23.926,45.410,1.000
1626295004932448.000,-21.484,-0.977,-32.715,-122.559,1.000
1626295004936354.250,-38.086,13.672,-34.180,-66.895,1.000
1626295004940260.500,-79.102,0.977,-23.926,-147.949,1.000
1626295004944166.750,-21.484,-16.113,-21.484,-3.906,1.000
1626295004948073.000,54.199,-21.973,-6.348,129.395,1.000
1626295004951979.250,9.277,-19.043,-18.066,4.395,1.000
1626295004955885.500,-79.102,-37.598,-41.504,-148.926,1.000
1626295004959791.750,-54.688,0.488,-33.203,-69.824,1.000
1626295004963698.000,35.645,-16.602,0.488,98.633,1.000
1626295004967604.250,28.320,-34.668,3.418,53.223,1.000
