timestamps,TP9,AF7,AF8,TP10,Right AUX
1626295117342604.250,-29.297,-11.230,-50.293,-40.527,1.000
1626295117346510.500,42.480,15.137,-48.340,104.980,1.000
1626295117350416.750,0.488,6.348,-63.965,1.953,1.000
1626295117354323.000,-96.680,-26.855,-77.148,-173.828,1.000
1626295117358229.250,-84.473,0.000,-49.805,-106.934,1.000
1626295117362135.500,12.695,8.789,-19.531,89.355,1.000
1626295117366041.750,-0.488,9.277,-35.156,50.293,1.000
1626295117369948.000,-97.168,-56.641,-48.828,-155.273,1.000
1626295117373854.250,-77.148,-45.898,-26.367,-134.277,1.000
1626295117377760.500,27.832,3.418,-10.254,78.613,1.000
1626295117381666.750,18.066,-10.742,-35.645,81.543,1.000
1626295117385573.000,-88.379,-22.461,-62.988,-125.977,1.000
1626295117389479.250,-136.719,-75.195,-79.102,1.000,1.000
1626295117393385.500,-60.547,-38.574,-75.684,1.000,1.000
1626295117397291.750,14.160,-11.719,-44.434,1.000,1.000
1626295117401198.000,-40.039,-1.953,-37.109,1.000,1.000
1626295117405104.250,-119.629,-10.254,-46.875,1.000,1.000
1626295117409010.500,-50.781,-70.801,-26.855,1.000,1.000
1626295117412916.750,48.340,-20.020,-17.578,1.000,1.000
1626295117416823.000,2.441,-6.836,-35.645,1.000,1.000
1626295117420729.250,-89.355,-24.902,-40.527,1.000,1.000
1626295117424635.500,-83.008,-46.875,-42.969,1.000,1.000
1626295117428541.750,-3.906,-68.359,-44.922,1.000,1.000
1626295117432448.000,10.742,-5.371,-45.410,1.000,1.000
1626295117436354.250,-65.430,-0.488,-63.965,1.000,1.000
1626295117440260.500,-84.961,3.418,-57.617,1.000,1.000
1626295117444166.750,0.488,-24.414,-26.367,1.000,1.000
1626295117448073.000,34.180,-60.059,-38.086,1.000,1.000
1626295117451979.250,-57.617,-3.906,-58.105,1.000,1.000
1626295117455885.500,-111.816,15.137,-56.152,1.000,1.000
1626295117459791.750,-19.043,13.672,-44.922,1.000,1.000
1626295117463698.000,51.758,-81.055,-19.531,1.000,1.000
1626295117467604.250,-10.254,-87.891,-11.719,1.000,1.000
1626295117471510.500,-100.098,-21.973,-24.902,1.000,1.000
1626295117475416.750,-79.590,-9.766,-32.227,1.000,1.000
1626295117479323.000,14.648,2.930,-16.113,1.000,1.000
1626295117483229.250,0.977,-86.426,-14.648,1.000,1.000
1626295117487135.500,-104.980,-77.637,-26.367,1.000,1.000
1626295117491041.750,-99.121,-33.691,-11.230,1.000,1.000
1626295117494948.000,8.301,-9.277,12.695,1.000,1.000
1626295117498854.250,14.648,-22.461,0.000,1.000,1.000
1626295117502760.500,-79.590,-114.746,-25.879,1.000,1.000
1626295117506666.750,-111.328,-63.965,-16.602,1.000,1.000
1626295117510573.000,-20.020,-36.621,0.000,1.000,1.000
1626295117514479.250,37.598,-53.223,-12.207,1.000,1.000
1626295117518385.500,-51.758,-55.176,-38.086,1.000,1.000
1626295117522291.750,-131.348,-99.121,-40.039,1.000,1.000
1626295117526198.000,-61.523,-51.270,-16.602,1.000,1.000
1626295117530104.250,26.367,-11.230,-0.977,106.934,1.000
1626295117534010.500,-22.949,-5.371,-16.602,-21.484,1.000
1626295117537916.750,-104.980,-32.227,-22.949,-180.176,1.000
1626295117541823.000,-68.848,-54.199,-21.973,-79.590,1.000
1626295117545729.250,28.320,-37.109,-33.203,105.957,1.000
1626295117549635.500,12.207,-42.480,-34.668,44.434,1.000
